Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","27","1997","16","16","1,410","15.7","1","0","1","1","0","0","3","0","0.8","0.8","0.2","1.1","6","31","2","0.06","0.00","0.06","0.06","0.06","0.05","0.02","0.07","0.05","0.07",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","27","1997","14","14","1,260","14.0","0","0","0","0","0","0","3","0","0.5","0.5","0.3","0.8","10","77","0","0.00","0.00","0.00","0.00","0.00","0.04","0.02","0.06","0.04","0.06",
"Asher Agbinone","engENG","MF","Crystal Palace","engPremier League","18","2005","2","0","6","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.1","2","0","1","0.00","0.00","0.00","0.00","0.00","0.29","0.50","0.79","0.29","0.79",
"Jeremy Agbonifo","seSWE","FW,MF","Lens","frLigue 1","18","2005","8","1","300","3.3","1","0","1","1","0","0","1","0","0.7","0.7","0.2","0.9","13","6","36","0.30","0.00","0.30","0.30","0.30","0.21","0.06","0.26","0.21","0.26",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","23","2000","14","14","1,206","13.4","0","0","0","0","0","0","1","1","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","22","2002","35","24","2,114","23.5","1","3","4","1","0","0","5","1","0.9","0.9","2.5","3.3","29","135","23","0.04","0.13","0.17","0.04","0.17","0.04","0.11","0.14","0.04","0.14",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","24","1999","22","21","1,751","19.5","3","0","3","3","0","0","1","0","1.4","1.4","1.8","3.2","33","43","105","0.15","0.00","0.15","0.15","0.15","0.07","0.09","0.17","0.07","0.17",
"Álvaro Aguado","esESP","MF","Espanyol","esLa Liga","28","1996","16","4","443","4.9","0","1","1","0","0","0","3","0","0.6","0.6","0.6","1.2","15","37","4","0.00","0.20","0.20","0.00","0.20","0.12","0.12","0.24","0.12","0.24",
"Lorenzo Aguado","esESP","DF","Real Madrid","esLa Liga","21","2002","2","0","5","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Nayef Aguerd","maMAR","DF","Real Sociedad","esLa Liga","28","1996","21","21","1,760","19.6","0","0","0","0","0","0","5","0","2.4","2.4","0.1","2.5","26","75","1","0.00","0.00","0.00","0.00","0.00","0.12","0.01","0.13","0.12","0.13",
"Ruben Aguilar","frFRA","DF,MF","Lens","frLigue 1","31","1993","16","13","1,124","12.5","1","2","3","1","0","0","4","0","0.8","0.8","1.9","2.7","32","74","101","0.08","0.16","0.24","0.08","0.24","0.06","0.15","0.21","0.06","0.21",
"Naouirou Ahamada","frFRA","MF,FW","Rennes","frLigue 1","22","2002","3","0","58","0.6","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","2","1","1","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.03","0.03","0.03",
"Honest Ahanor","itITA","DF,MF","Genoa","itSerie A","16","2008","6","3","270","3.0","0","0","0","0","0","0","0","0","0.5","0.5","0.1","0.6","3","3","7","0.00","0.00","0.00","0.00","0.00","0.17","0.04","0.21","0.17","0.21",
"Erik Ahlstrand","seSWE","FW,MF","St. Pauli","deBundesliga","22","2001","5","0","43","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","1","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Jean-Eudes Aholou","ciCIV","MF","Angers","frLigue 1","30","1994","26","26","1,959","21.8","2","0","2","2","0","0","7","0","1.8","1.8","1.0","2.8","15","68","16","0.09","0.00","0.09","0.09","0.09","0.08","0.05","0.13","0.08","0.13",
"Joseph Aidoo","ghGHA","DF","Valladolid","esLa Liga","28","1995","8","6","583","6.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","14","0","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","28","1995","1","0","2","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Ayman Aiki","frFRA","FW,MF","Saint-Étienne","frLigue 1","19","2005","5","1","127","1.4","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","4","5","8","0.00","0.00","0.00","0.00","0.00","0.07","0.02","0.09","0.07","0.09",
"Ola Aina","ngNGA","DF","Nott'ham Forest","engPremier League","27","1996","35","35","2,995","33.3","2","1","3","2","0","0","5","0","0.6","0.6","1.4","2.1","67","107","67","0.06","0.03","0.09","0.06","0.09","0.02","0.04","0.06","0.02","0.06",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","23","2001","37","37","3,109","34.5","4","7","11","4","0","0","7","1","2.7","2.7","5.5","8.2","89","108","176","0.12","0.20","0.32","0.12","0.32","0.08","0.16","0.24","0.08","0.24",
"Junior Ajayi","ciCIV","FW","Hellas Verona","itSerie A","19","2004","2","0","13","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","26","1998","24","17","1,438","16.0","0","0","0","0","0","0","5","0","1.0","1.0","1.2","2.2","27","56","44","0.00","0.00","0.00","0.00","0.00","0.06","0.08","0.14","0.06","0.14",
"Ludovic Ajorque","frFRA","FW","Brest","frLigue 1","30","1994","31","29","2,495","27.7","13","2","15","13","0","1","5","0","10.4","9.6","3.1","12.7","10","41","124","0.47","0.07","0.54","0.47","0.54","0.38","0.11","0.49","0.35","0.46",
"Manuel Akanji","chSUI","DF","Manchester City","engPremier League","29","1995","26","23","2,014","22.4","0","0","0","0","0","0","3","0","1.6","1.6","0.4","1.9","46","158","7","0.00","0.00","0.00","0.00","0.00","0.07","0.02","0.09","0.07","0.09",
"Ümit Akdag","roROU","DF","Toulouse","frLigue 1","20","2003","9","6","500","5.6","0","0","0","0","0","0","2","0","0.1","0.1","0.1","0.1","4","29","9","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.03","0.01","0.03",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","29","1995","10","8","678","7.5","0","0","0","0","0","0","0","0","0.2","0.2","0.0","0.2","12","50","2","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.03","0.03","0.03",
"Ilias Akhomach","maMAR","MF,FW","Villarreal","esLa Liga","20","2004","11","7","584","6.5","1","0","1","1","0","0","1","0","0.6","0.6","1.0","1.6","30","12","64","0.15","0.00","0.15","0.15","0.15","0.09","0.15","0.23","0.09","0.23",
"Sergio Akieme","esESP","DF","Reims","frLigue 1","26","1997","30","29","2,523","28.0","2","3","5","2","0","0","5","0","1.5","1.5","2.5","4.0","55","86","97","0.07","0.11","0.18","0.07","0.18","0.05","0.09","0.14","0.05","0.14",
"Maghnes Akliouche","frFRA","FW,MF","Monaco","frLigue 1","22","2002","32","27","2,406","26.7","5","10","15","4","1","1","2","0","9.2","8.4","7.3","15.7","127","173","226","0.19","0.37","0.56","0.15","0.52","0.35","0.27","0.62","0.32","0.59",
"Paul Akouokou","ciCIV","MF","Lyon","frLigue 1","26","1997","2","0","19","0.2","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Clément Akpa","ciCIV","DF","Auxerre","frLigue 1","22","2001","31","29","2,486","27.6","0","1","1","0","0","0","7","0","0.3","0.3","0.9","1.2","27","74","24","0.00","0.04","0.04","0.00","0.04","0.01","0.03","0.04","0.01","0.04",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Monza","itSerie A","31","1992","14","12","966","10.7","0","0","0","0","0","0","4","0","0.3","0.3","0.2","0.6","21","19","22","0.00","0.00","0.00","0.00","0.00","0.03","0.02","0.05","0.03","0.05",
"David Akpan Ankeye","ngNGA","FW,MF","Genoa","itSerie A","22","2002","4","0","45","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","29","1995","32","23","2,220","24.7","0","0","0","0","0","0","3","0","0.1","0.1","0.3","0.4","14","98","16","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.02","0.00","0.02",
"Chuba Akpom","engENG","FW","Lille","frLigue 1","28","1995","14","6","639","7.1","3","1","4","2","1","2","0","0","5.0","3.4","0.5","3.9","6","7","38","0.42","0.14","0.56","0.28","0.42","0.70","0.08","0.78","0.48","0.56",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","32","1992","7","4","317","3.5","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","2","7","4","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.00","0.02",
"Ibrahim Alani","ngNGA","MF","Valladolid","esLa Liga","18","2006","3","1","160","1.8","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","2","5","1","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01",
"Andreas Albers","dkDEN","FW","St. Pauli","deBundesliga","34","1990","14","0","62","0.7","1","0","1","1","0","0","0","0","0.6","0.6","0.1","0.7","1","3","6","1.45","0.00","1.45","1.45","1.45","0.90","0.14","1.04","0.90","1.04",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","38","1985","15","14","1,188","13.2","0","0","0","0","0","0","5","0","0.1","0.1","0.0","0.1","3","34","0","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01",
"Carlos Alcaraz","arARG","MF","Southampton","engPremier League","21","2002","1","0","10","0.1","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.2","4","6","1","0.00","0.00","0.00","0.00","0.00","0.62","0.86","1.48","0.62","1.48",
"Carlos Alcaraz","arARG","FW,MF","Everton","engPremier League","21","2002","15","7","764","8.5","2","3","5","2","0","0","4","0","1.7","1.7","1.6","3.4","19","42","21","0.24","0.35","0.59","0.24","0.59","0.20","0.19","0.40","0.20","0.40",
"Omar Alderete","pyPAR","DF","Getafe","esLa Liga","27","1996","34","34","2,971","33.0","1","0","1","1","0","0","8","0","1.7","1.7","0.9","2.6","25","112","7","0.03","0.00","0.03","0.03","0.03","0.05","0.03","0.08","0.05","0.08",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","26","1998","10","5","452","5.0","0","0","0","0","0","0","1","0","0.9","0.9","0.1","1.0","3","12","10","0.00","0.00","0.00","0.00","0.00","0.18","0.02","0.20","0.18","0.20",
"Carles Aleñá","esESP","MF,FW","Alavés","esLa Liga","26","1998","14","13","1,090","12.1","0","2","2","0","0","0","1","0","0.7","0.7","1.3","2.0","18","58","43","0.00","0.17","0.17","0.00","0.17","0.06","0.11","0.17","0.06","0.17",
