Name,Value,Fee,From,Direction
"Pedro Rebocho","€1.50m","€550k","EA Guingamp","Left","Benfica"
"Lebogang Phiri","€1.50m","€225k","EA Guingamp","Left","Bröndby IF"
"Clément Grenier","€2.00m","free transfer","EA Guingamp","Left","Lyon"
"Franck Tabanou","€2.00m","free transfer","EA Guingamp","Left","Swansea"
"Abdoul Camara","€1.00m","free transfer","EA Guingamp","Left","Derby"
"Félix Eboa Eboa","-","free transfer","EA Guingamp","Left","Paris SG B"
"Denis Petric","€1.00m","free transfer","EA Guingamp","Left","Angers SCO"
"Cheick Traoré","€250k","?","EA Guingamp","Left","LB Châteauroux"
"Marc-Aurèle Caillard","€400k","?","EA Guingamp","Left","Clermont Foot"
"Nathaël Julan","€400k","?","EA Guingamp","Left","Le Havre AC"
"Yeni Ngbakoto","€2.00m","?","EA Guingamp","Left","QPR"
"Karim Achahbar","€250k","End of loanJun 30, 2017","EA Guingamp","Left","Quevilly Rouen"
"Benjamin Angoua","€1.00m","End of loanDec 31, 2017","EA Guingamp","Left","New England"
"Franck Héry","€200k","End of loanJun 30, 2017","EA Guingamp","Left","Les Herbiers"
"Alexandre Mendy","€1.25m","€600k","EA Guingamp","Joined","G. Bordeaux"
"Baissama Sankoh","€800k","€500k","EA Guingamp","Joined","SM Caen"
"Nill De Pauw","€1.75m","€350k","EA Guingamp","Joined","Zulte Waregem"
"Franck Héry","€200k","free transfer","EA Guingamp","Joined","Les Herbiers"
"Dorian Lévêque","€800k","free transfer","EA Guingamp","Joined","PAOK"
"Sloan Privat","€1.50m","free transfer","EA Guingamp","Joined","Valenciennes FC"
"Mathieu Bodmer","€1.00m","free transfer","EA Guingamp","Joined","Amiens SC"
"Johny Placide","€800k","free transfer","EA Guingamp","Joined","Oldham Athletic"
"Romain Salin","€500k","free transfer","EA Guingamp","Joined","Sporting"
"Jérémy Livolant","€150k","loan transfer","EA Guingamp","Joined","US Boulogne"
