Name,Value,Fee,From,Direction
"Yusuf Yazıcı","€15.00m","Loan fee:€350k","LOSC Lille","Joined","CSKA Moscow"
"Eugenio Pizzuto","€300k","free transfer","LOSC Lille","Joined","Braga B"
"Lucas Chevalier","€500k","loan transfer","LOSC Lille","Joined","Valenciennes FC"
"Kouadio-Yves Dabila","€1.20m","loan transfer","LOSC Lille","Joined","RFC Seraing"
"Achraf Hakimi","€60.00m","€68.00m","Paris Saint-Germain","Left","Inter"
"Danilo Pereira","€20.00m","€16.00m","Paris Saint-Germain","Left","Porto"
"Nuno Mendes","€40.00m","Loan fee:€7.00m","Paris Saint-Germain","Left","Sporting"
"Lionel Messi","€80.00m","free transfer","Paris Saint-Germain","Left","Barcelona"
"Georginio Wijnaldum","€30.00m","free transfer","Paris Saint-Germain","Left","Liverpool"
"Sergio Ramos","€10.00m","free transfer","Paris Saint-Germain","Left","Real Madrid"
"Gianluigi Donnarumma","€60.00m","free transfer","Paris Saint-Germain","Left","AC Milan"
"Edouard Michut","€1.00m","-","Paris Saint-Germain","Left","Paris SG U19"
"Teddy Alloh","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Nathan Bitumazala","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Anfane Ahamada","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Tidjany Touré","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Kenny Nagera","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Denis Franchi","€250k","-","Paris Saint-Germain","Left","Paris SG U19"
"Thierno Baldé","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Xavi Simons","€1.50m","-","Paris Saint-Germain","Left","Paris SG U19"
"Garissone Innocent","€300k","End of loanDec 20, 2021","Paris Saint-Germain","Left","Vannes"
"Kenny Nagera","€400k","End of loanJan 16, 2022","Paris Saint-Germain","Left","SC Bastia"
"Junior Dina Ebimbe","€6.00m","End of loanJun 30, 2021","Paris Saint-Germain","Left","Dijon"
"Bandiougou Fadiga","€1.20m","End of loanJun 30, 2021","Paris Saint-Germain","Left","Stade Brestois"
"Marcin Bulka","€800k","End of loanJun 30, 2021","Paris Saint-Germain","Left","LB Châteauroux"
"Arnaud Kalimuendo","€10.00m","End of loanJun 30, 2021","Paris Saint-Germain","Left","Lens"
"Garissone Innocent","€300k","End of loanJun 30, 2021","Paris Saint-Germain","Left","SM Caen"
"Alphonse Areola","€17.00m","End of loanJun 30, 2021","Paris Saint-Germain","Left","Fulham"
"Mitchel Bakker","€10.00m","€7.00m","Paris Saint-Germain","Joined","Leverkusen"
"Pablo Sarabia","€25.00m","Loan fee:€2.00m","Paris Saint-Germain","Joined","Sporting"
"Alphonse Areola","€17.00m","Loan fee:€2.00m","Paris Saint-Germain","Joined","West Ham"
"Kays Ruiz-Atil","€3.00m","free transfer","Paris Saint-Germain","Joined","Barcelona B"
"Kenny Nagera","€400k","loan transfer","Paris Saint-Germain","Joined","US Avranches"
"Timothée Pembélé","€4.00m","loan transfer","Paris Saint-Germain","Joined","G. Bordeaux"
"Kenny Nagera","-","loan transfer","Paris Saint-Germain","Joined","SC Bastia"
"Thierno Baldé","-","loan transfer","Paris Saint-Germain","Joined","Le Havre AC"
"Arnaud Kalimuendo","€10.00m","loan transfer","Paris Saint-Germain","Joined","Lens"
"Teddy Alloh","€250k","loan transfer","Paris Saint-Germain","Joined","KAS Eupen"
"Garissone Innocent","€300k","loan transfer","Paris Saint-Germain","Joined","Vannes"
"Sergio Rico","€5.00m","loan transfer","Paris Saint-Germain","Joined","RCD Mallorca"
"Rafinha","€12.00m","loan transfer","Paris Saint-Germain","Joined","Real Sociedad"
"Marcin Bulka","€800k","loan transfer","Paris Saint-Germain","Joined","Nice"
"Bandiougou Fadiga","€1.20m","-","Paris Saint-Germain","Joined","Paris SG B"
"Danilo Pereira","€20.00m","End of loanJun 30, 2021","Paris Saint-Germain","Joined","Porto"
"Moise Kean","€35.00m","End of loanJun 30, 2021","Paris Saint-Germain","Joined","Everton"
"Alessandro Florenzi","€13.00m","End of loanJun 30, 2021","Paris Saint-Germain","Joined","Roma"
"Myron Boadu","€14.00m","€17.00m","AS Monaco","Left","AZ Alkmaar"
"Vanderson","€8.50m","€11.00m","AS Monaco","Left","Grêmio"
"Jean Lucas","€4.50m","€11.00m","AS Monaco","Left","Lyon"
"Ismail Jakobs","€7.00m","€7.30m","AS Monaco","Left","1.FC Köln"
"Alexander Nübel","€6.00m","loan transfer","AS Monaco","Left","Bayern Munich"
"Benjamin Henrichs","€12.00m","End of loanJun 30, 2021","AS Monaco","Left","Leipzig"
"Anthony Musaba","€2.20m","End of loanJun 30, 2021","AS Monaco","Left","Cercle Brugge"
"Wilson Isidor","€1.50m","End of loanJun 30, 2021","AS Monaco","Left","Bastia-Borgo"
"Adrien Bongiovanni","€550k","End of loanJun 30, 2021","AS Monaco","Left","FC Den Bosch"
"Jean Marcelin","€5.00m","End of loanJun 30, 2021","AS Monaco","Left","Cercle Brugge"
"Loïc Badiashile","€400k","End of loanJun 30, 2021","AS Monaco","Left","Las Rozas CF"
"Gil Dias","€3.00m","End of loanJun 30, 2021","AS Monaco","Left","Famalicão"
"Pietro Pellegri","€5.00m","End of loanJan 26, 2022","AS Monaco","Left","AC Milan"
"Pelé","€2.00m","End of loanJun 30, 2021","AS Monaco","Left","Rio Ave"
"Keita Baldé","€8.00m","End of loanJun 30, 2021","AS Monaco","Left","Sampdoria"
"Jean-Eudes Aholou","€4.00m","End of loanJun 30, 2021","AS Monaco","Left","R. Strasbourg"
"Jorge","€3.20m","End of loanJun 30, 2021","AS Monaco","Left","Basel"
"Antonio Barreca","€2.00m","End of loanJun 30, 2021","AS Monaco","Left","Fiorentina"
"Giulian Biancone","€1.30m","End of loanJun 30, 2021","AS Monaco","Left","Cercle Brugge"
"Arthur Zagré","€2.50m","End of loanJun 30, 2021","AS Monaco","Left","Dijon"
"Strahinja Pavlović","€8.00m","End of loanJun 30, 2021","AS Monaco","Left","Cercle Brugge"
"Henry Onyekuru","€7.00m","End of loanJun 30, 2021","AS Monaco","Left","Galatasaray"
"Benjamin Henrichs","€12.00m","€15.00m","AS Monaco","Joined","Leipzig"
"Fodé Ballo-Touré","€6.50m","€5.40m","AS Monaco","Joined","AC Milan"
"Henry Onyekuru","€7.00m","€4.50m","AS Monaco","Joined","Olympiacos"
"Wilson Isidor","€3.00m","€3.50m","AS Monaco","Joined","Loko Moscow"
"Giulian Biancone","€1.30m","€2.50m","AS Monaco","Joined","Troyes"
"Enzo Millot","€1.00m","€1.75m","AS Monaco","Joined","Stuttgart"
"Gil Dias","€3.00m","€1.50m","AS Monaco","Joined","Benfica"
"Pietro Pellegri","€6.00m","Loan fee:€493k","AS Monaco","Joined","AC Milan"
"Stevan Jovetić","€5.00m","free transfer","AS Monaco","Joined","Hertha BSC"
"Jorge","€3.20m","free transfer","AS Monaco","Joined","Palmeiras"
"Keita Baldé","€8.00m","free transfer","AS Monaco","Joined","Cagliari"
"Youssef Aït Bennasser","€2.00m","free transfer","AS Monaco","Joined","Adanaspor"
"Benjamin Lecomte","€10.00m","loan transfer","AS Monaco","Joined","Atlético"
"Strahinja Pavlović","€8.00m","loan transfer","AS Monaco","Joined","Basel"
"Antonio Barreca","€2.00m","loan transfer","AS Monaco","Joined","Lecce"
"Anthony Musaba","€2.20m","loan transfer","AS Monaco","Joined","Heerenveen"
"Willem Geubbels","€6.00m","loan transfer","AS Monaco","Joined","FC Nantes"
"Jean-Eudes Aholou","€4.00m","loan transfer","AS Monaco","Joined","R. Strasbourg"
"Pietro Pellegri","€5.00m","loan transfer","AS Monaco","Joined","Torino"
"Arthur Zagré","€2.50m","loan transfer","AS Monaco","Joined","Utrecht"
"Loïc Badiashile","€400k","-","AS Monaco","Joined","Without Club"
"Julien Serrano","€750k","-","AS Monaco","Joined","Without Club"
"Adrien Bongiovanni","€550k","-","AS Monaco","Joined","Without Club"
"Florentino","€10.00m","End of loanJun 30, 2021","AS Monaco","Joined","Benfica"
"Romain Faivre","€15.00m","€15.00m","Olympique Lyon","Left","Stade Brestois"
"Xherdan Shaqiri","€12.00m","€6.00m","Olympique Lyon","Left","Liverpool"
"Tanguy Ndombélé","€38.00m","Loan fee:€1.42m","Olympique Lyon","Left","Tottenham"
"Emerson","€14.00m","Loan fee:€500k","Olympique Lyon","Left","Chelsea"
"Henrique Silva","€950k","free transfer","Olympique Lyon","Left","Vasco da Gama"
"Damien Da Silva","€2.00m","free transfer","Olympique Lyon","Left","Stade Rennais"
"Jérôme Boateng","€8.50m","-","Olympique Lyon","Left","Without Club"
"Castello Lukeba","-","-","Olympique Lyon","Left","Olymp. Lyon B"
"Habib Keïta","-","-","Olympique Lyon","Left","Olymp. Lyon B"
"Malo Gusto","€500k","-","Olympique Lyon","Left","Olymp. Lyon B"
"Malcolm Barcola","€250k","-","Olympique Lyon","Left","Olymp. Lyon B"
"Florent Sanchez","€500k","-","Olympique Lyon","Left","Olymp. Lyon B"
"Bradley Barcola","-","-","Olympique Lyon","Left","Olymp. Lyon B"
"Tetê","€20.00m","loan transfer","Olympique Lyon","Left","Shakhtar D."
"Yahya Soumaré","€400k","End of loanDec 3, 2021","Olympique Lyon","Left","Dijon"
"Youssouf Koné","€1.60m","End of loanJun 30, 2021","Olympique Lyon","Left","Hatayspor"
"Moussa Dembélé","€20.00m","End of loanJun 30, 2021","Olympique Lyon","Left","Atlético"
"Jean Lucas","€4.50m","End of loanJun 30, 2021","Olympique Lyon","Left","Stade Brestois"
"Jeff Reine-Adélaïde","€22.00m","End of loanJun 30, 2021","Olympique Lyon","Left","Nice"
"Joachim Andersen","€22.00m","End of loanJun 30, 2021","Olympique Lyon","Left","Fulham"
"Lenny Pintor","€2.00m","End of loanJun 30, 2021","Olympique Lyon","Left","Troyes"
"Pape Cheikh","€2.50m","End of loanJun 30, 2021","Olympique Lyon","Left","Dijon"
"Bruno Guimarães","€30.00m","€42.10m","Olympique Lyon","Joined","Newcastle"
"Joachim Andersen","€22.00m","€17.50m","Olympique Lyon","Joined","Crystal Palace"
"Maxwel Cornet","€12.00m","€15.00m","Olympique Lyon","Joined","Burnley"
"Jean Lucas","€4.50m","€11.00m","Olympique Lyon","Joined","Monaco"
"Xherdan Shaqiri","€8.00m","€7.00m","Olympique Lyon","Joined","Chicago"
"Melvin Bard","€5.00m","€3.00m","Olympique Lyon","Joined","Nice"
"Islam Slimani","€2.50m","free transfer","Olympique Lyon","Joined","Sporting"
"Djamel Eddine Benlamri","€1.10m","free transfer","Olympique Lyon","Joined","Qatar SC"
"Marcelo","€1.50m","free transfer","Olympique Lyon","Joined","G. Bordeaux"
"Memphis Depay","€45.00m","free transfer","Olympique Lyon","Joined","Barcelona"
"Yahya Soumaré","€400k","loan transfer","Olympique Lyon","Joined","Dijon"
"Youssouf Koné","€1.60m","loan transfer","Olympique Lyon","Joined","Troyes"
"Cenk Özkacar","€1.20m","loan transfer","Olympique Lyon","Joined","OH Leuven"
"Florent Sanchez","€500k","loan transfer","Olympique Lyon","Joined","FC Villefranche"
"Yahya Soumaré","€400k","loan transfer","Olympique Lyon","Joined","FC Annecy"
"Mattia De Sciglio","€7.50m","End of loanJun 30, 2021","Olympique Lyon","Joined","Juventus"
"Gerson","€20.00m","€20.50m","Olympique Marseille","Left","Flamengo"
"Pol Lirola","€9.00m","€13.00m","Olympique Marseille","Left","Fiorentina"
"Leonardo Balerdi","€8.00m","€11.00m","Olympique Marseille","Left","Dortmund"
"Luan Peres","€2.00m","€4.50m","Olympique Marseille","Left","Santos"
"Konrad de la Fuente","€4.00m","€3.00m","Olympique Marseille","Left","Barcelona B"
"Pau López","€10.00m","Loan fee:€720k","Olympique Marseille","Left","Roma"
"Samuel Gigot","€11.00m","€500k","Olympique Marseille","Left","Spartak Moscow"
"Cengiz Ünder","€18.00m","Loan fee:€500k","Olympique Marseille","Left","Roma"
"Bamba Dieng","€700k","€400k","Olympique Marseille","Left","Diambars FC"
"Cédric Bakambu","€12.00m","free transfer","Olympique Marseille","Left","BJ Guoan"
"Sead Kolasinac","€3.00m","free transfer","Olympique Marseille","Left","Arsenal"
"Amine Harit","€10.00m","loan transfer","Olympique Marseille","Left","FC Schalke 04"
"William Saliba","€18.00m","loan transfer","Olympique Marseille","Left","Arsenal"
"Mattéo Guendouzi","€20.00m","loan transfer","Olympique Marseille","Left","Arsenal"
"Oussama Targhalline","€200k","-","Olympique Marseille","Left","Marseille B"
"Darío Benedetto","€3.50m","End of loanJan 20, 2022","Olympique Marseille","Left","Elche CF"
"Nemanja Radonjic","€6.00m","End of loanJun 30, 2021","Olympique Marseille","Left","Hertha BSC"
"Kevin Strootman","€5.00m","End of loanJun 30, 2021","Olympique Marseille","Left","Genoa"
"Ahmadou Dia","€200k","End of loanMar 23, 2021","Olympique Marseille","Left","FC Dordrecht"
"Maxime Lopez","€10.00m","End of loanJun 30, 2021","Olympique Marseille","Left","Sassuolo"
"Darío Benedetto","€3.50m","€3.00m","Olympique Marseille","Joined","Boca Juniors"
"Maxime Lopez","€10.00m","€2.50m","Olympique Marseille","Joined","Sassuolo"
"Hiroki Sakai","€4.00m","€1.50m","Olympique Marseille","Joined","Urawa Reds"
"Nemanja Radonjic","€6.00m","Loan fee:€1.00m","Olympique Marseille","Joined","Benfica"
"Christopher Rocchia","€1.00m","free transfer","Olympique Marseille","Joined","Dijon"
"Saîf-Eddine Khaoui","€1.80m","free transfer","Olympique Marseille","Joined","Clermont Foot"
"Valère Germain","€3.00m","free transfer","Olympique Marseille","Joined","Montpellier"
"Florian Thauvin","€17.00m","free transfer","Olympique Marseille","Joined","Tigres UANL"
"Darío Benedetto","€7.00m","loan transfer","Olympique Marseille","Joined","Elche CF"
"Samuel Gigot","€11.00m","loan transfer","Olympique Marseille","Joined","Spartak Moscow"
"Lucas Perrin","€1.80m","loan transfer","Olympique Marseille","Joined","R. Strasbourg"
"Jordan Amavi","€7.00m","loan transfer","Olympique Marseille","Joined","Nice"
"Kevin Strootman","€5.00m","loan transfer","Olympique Marseille","Joined","Cagliari"
"Ahmadou Dia","€200k","-","Olympique Marseille","Joined","Without Club"
"Yuto Nagatomo","€800k","-","Olympique Marseille","Joined","Without Club"
"Yohann Pelé","€250k","-","Olympique Marseille","Joined","Retired"
"Leonardo Balerdi","€8.00m","End of loanJun 30, 2021","Olympique Marseille","Joined","Dortmund"
"Olivier Ntcham","€3.00m","End of loanJun 30, 2021","Olympique Marseille","Joined","Celtic"
"Pol Lirola","€9.00m","End of loanJun 30, 2021","Olympique Marseille","Joined","Fiorentina"
"Michaël Cuisance","€7.00m","End of loanJun 30, 2021","Olympique Marseille","Joined","Bayern Munich"
"Loïc Badé","€12.00m","€17.00m","Stade Rennais FC","Left","Lens"
"Kamaldeen Sulemana","€9.00m","€17.00m","Stade Rennais FC","Left","Nordsjaelland"
"Gaëtan Laborde","€15.00m","€15.00m","Stade Rennais FC","Left","Montpellier"
"Baptiste Santamaria","€15.00m","€14.00m","Stade Rennais FC","Left","Freiburg"
"Lovro Majer","€13.00m","€12.00m","Stade Rennais FC","Left","Dinamo Zagreb"
"Doğan Alemdar","€2.40m","€3.74m","Stade Rennais FC","Left","Kayserispor"
"Birger Meling","€3.50m","€3.00m","Stade Rennais FC","Left","Nîmes Olympique"
"Andy Diouf","-","-","Stade Rennais FC","Left","Rennes B"
"Lesley Ugochukwu","€300k","-","Stade Rennais FC","Left","Rennes B"
"Loum Tchaouna","-","-","Stade Rennais FC","Left","Rennes B"
"Matthis Abline","-","-","Stade Rennais FC","Left","Rennes B"
"Franck Rivollier","-","-","Stade Rennais FC","Left","Rennes B"
"Lorenz Assignon","€500k","-","Stade Rennais FC","Left","Rennes B"
"Warmed Omari","€200k","-","Stade Rennais FC","Left","Rennes B"
"Mathys Tel","-","-","Stade Rennais FC","Left","Rennes U19"
"Metehan Güclü","€300k","End of loanJun 30, 2021","Stade Rennais FC","Left","Valenciennes FC"
"Rafik Guitane","€2.50m","End of loanJun 30, 2021","Stade Rennais FC","Left","Marítimo"
"Hakim El Mokeddem","€250k","End of loanJun 30, 2021","Stade Rennais FC","Left","FC Sète 34"
"Jordan","€5.00m","End of loanJun 30, 2021","Stade Rennais FC","Left","Young Boys"
"Lilian Brassier","€2.50m","End of loanJun 30, 2021","Stade Rennais FC","Left","Stade Brestois"
"Jérémy Gélin","€3.50m","End of loanJun 30, 2021","Stade Rennais FC","Left","Royal Antwerp"
"Sacha Boey","€2.50m","End of loanJun 30, 2021","Stade Rennais FC","Left","Dijon"
"M'Baye Niang","€4.50m","End of loanJun 30, 2021","Stade Rennais FC","Left","Al-Ahli"
"Eduardo Camavinga","€55.00m","€31.00m","Stade Rennais FC","Joined","Real Madrid"
"Sacha Boey","€2.50m","€5.65m","Stade Rennais FC","Joined","Galatasaray"
"Faitout Maouassa","€12.00m","€4.00m","Stade Rennais FC","Joined","Club Brugge"
"Jordan","€5.00m","€2.50m","Stade Rennais FC","Joined","Young Boys"
"Brandon Soppy","€7.00m","€2.00m","Stade Rennais FC","Joined","Udinese"
"Lilian Brassier","€2.50m","€1.75m","Stade Rennais FC","Joined","Stade Brestois"
"Romain Del Castillo","€4.50m","€1.50m","Stade Rennais FC","Joined","Stade Brestois"
"Gerzino Nyamsi","€3.50m","€1.50m","Stade Rennais FC","Joined","R. Strasbourg"
"Damien Da Silva","€2.00m","free transfer","Stade Rennais FC","Joined","Lyon"
"Rafik Guitane","€2.50m","free transfer","Stade Rennais FC","Joined","Stade Reims"
"M'Baye Niang","€4.50m","free transfer","Stade Rennais FC","Joined","G. Bordeaux"
"Franck Rivollier","-","loan transfer","Stade Rennais FC","Joined","Stade Briochin"
"Matthis Abline","€2.00m","loan transfer","Stade Rennais FC","Joined","Le Havre AC"
"James Léa Siliki","€4.00m","loan transfer","Stade Rennais FC","Joined","Middlesbrough"
"Metehan Güclü","€300k","loan transfer","Stade Rennais FC","Joined","FC Emmen"
"Yann Gboho","€4.50m","loan transfer","Stade Rennais FC","Joined","Vitesse"
"Clément Grenier","€4.00m","-","Stade Rennais FC","Joined","Without Club"
"Hakim El Mokeddem","€250k","-","Stade Rennais FC","Joined","Without Club"
"Steven Nzonzi","€8.00m","End of loanJun 30, 2021","Stade Rennais FC","Joined","Roma"
"Dalbert","€4.00m","End of loanJun 30, 2021","Stade Rennais FC","Joined","Inter"
"Daniele Rugani","€10.00m","End of loanJan 31, 2021","Stade Rennais FC","Joined","Juventus"
"Kevin Danso","€5.00m","€8.00m","RC Lens","Left","Augsburg"
"Gaël Kakuta","€8.00m","€5.00m","RC Lens","Left","Amiens SC"
"Patrick Berg","€1.60m","€4.50m","RC Lens","Left","Bodø/Glimt"
"Przemyslaw Frankowski","€2.00m","€2.30m","RC Lens","Left","Chicago"
"Deiver Machado","€900k","€1.80m","RC Lens","Left","Toulouse"
"Wuilker Fariñez","€2.50m","€1.50m","RC Lens","Left","Millonarios"
"Wesley Saïd","€1.50m","free transfer","RC Lens","Left","Toulouse"
"Christopher Wooh","€600k","free transfer","RC Lens","Left","AS Nancy"
"Mamadou Camara","-","?","RC Lens","Left","Sacré Cœur"
"Arnaud Kalimuendo","€10.00m","loan transfer","RC Lens","Left","PSG"
"Boubakar Camara","-","-","RC Lens","Left","RC Lens B"
"Jonathan Varane","-","-","RC Lens","Left","RC Lens B"
"Ibrahima Baldé","-","-","RC Lens","Left","RC Lens B"
"Valentin Belon","€150k","End of loanJun 30, 2021","RC Lens","Left","Stade Lavallois"
"Charles Boli","€500k","End of loanJun 30, 2021","RC Lens","Left","Paris FC"
"Jules Keita","€500k","End of loanJun 30, 2021","RC Lens","Left","CSKA Sofia"
"Thomas Vincensini","€400k","End of loanJun 30, 2021","RC Lens","Left","SC Bastia"
"Loïc Badé","€12.00m","€17.00m","RC Lens","Joined","Stade Rennais"
"Clément Michelin","€2.50m","€1.00m","RC Lens","Joined","AEK Athens"
"Zakaria Diallo","€300k","free transfer","RC Lens","Joined","Al-Shabab"
"Cheick Traoré","€800k","free transfer","RC Lens","Joined","Dijon"
"Thomas Vincensini","€400k","free transfer","RC Lens","Joined","SC Bastia"
"Boubakar Camara","-","loan transfer","RC Lens","Joined","Le Mans FC"
"Ismaël Boura","€1.50m","loan transfer","RC Lens","Joined","Le Havre AC"
"Jonathan Varane","€300k","loan transfer","RC Lens","Joined","Rodez AF"
"Tony Mauricio","€2.00m","?","RC Lens","Joined","FC Sochaux"
"Steven Fortes","€800k","loan transfer","RC Lens","Joined","KV Oostende"
"Simon Banza","€2.50m","loan transfer","RC Lens","Joined","Famalicão"
"Charles Boli","€500k","loan transfer","RC Lens","Joined","LR Vicenza"
"Jules Keita","€500k","-","RC Lens","Joined","Without Club"
"Valentin Belon","€150k","-","RC Lens","Joined","Retired"
"Arnaud Kalimuendo","€10.00m","End of loanJun 30, 2021","RC Lens","Joined","PSG"
"Gaël Kakuta","€8.00m","End of loanJun 30, 2021","RC Lens","Joined","Amiens SC"
"Issiaga Sylla","€2.00m","End of loanJun 30, 2021","RC Lens","Joined","Toulouse"
"Wuilker Fariñez","€2.50m","End of loanJun 30, 2021","RC Lens","Joined","Millonarios"
"Matheus Thuler","€500k","Loan fee:€200k","Montpellier HSC","Left","Flamengo"
"Rémy Cabella","€8.00m","free transfer","Montpellier HSC","Left","Krasnodar"
"Valère Germain","€3.00m","free transfer","Montpellier HSC","Left","Marseille"
"Mamadou Sakho","€6.00m","free transfer","Montpellier HSC","Left","Crystal Palace"
"Léo Leroy","€1.50m","free transfer","Montpellier HSC","Left","LB Châteauroux"
"Gabriel Barès","€800k","?","Montpellier HSC","Left","Lausanne-Sport"
"Nicholas Gioacchini","€1.50m","loan transfer","Montpellier HSC","Left","SM Caen"
"Sacha Delaye","-","-","Montpellier HSC","Left","Montpellier B"
"Maxime Estève","-","-","Montpellier HSC","Left","Montpellier B"
"Yanis Guermouche","-","-","Montpellier HSC","Left","Montpellier B"
"Thibaut Vargas","€400k","End of loanJun 30, 2021","Montpellier HSC","Left","LB Châteauroux"
"Kylian Kaïboue","€400k","End of loanJun 30, 2021","Montpellier HSC","Left","FC Sète 34"
"Gaëtan Laborde","€15.00m","€15.00m","Montpellier HSC","Joined","Stade Rennais"
"Andy Delort","€16.00m","€10.00m","Montpellier HSC","Joined","Nice"
"Petar Skuletic","€700k","free transfer","Montpellier HSC","Joined","Sabah FK"
"Damien Le Tallec","€1.80m","free transfer","Montpellier HSC","Joined","AEK Athens"
"Daniel Congré","€500k","free transfer","Montpellier HSC","Joined","Dijon"
"Yanis Ammour","€200k","free transfer","Montpellier HSC","Joined","AEK Athens B"
"Il-lok Yun","€1.00m","free transfer","Montpellier HSC","Joined","Ulsan Hyundai"
"Samy Benchamma","€300k","free transfer","Montpellier HSC","Joined","Chamois Niort"
"Keagan Dolly","€1.00m","free transfer","Montpellier HSC","Joined","Kaizer Chiefs"
"Kylian Kaïboue","€400k","free transfer","Montpellier HSC","Joined","SC Bastia"
"Clément Vidal","€450k","loan transfer","Montpellier HSC","Joined","AC Ajaccio"
"Thibaut Vargas","€400k","?","Montpellier HSC","Joined","LB Châteauroux"
"Mathías Suárez","€500k","loan transfer","Montpellier HSC","Joined","Mvd City Torque"
"Hilton","-","-","Montpellier HSC","Joined","Career break"
"Jean-Clair Todibo","€12.00m","€16.50m","OGC Nice","Left","Barcelona"
"Calvin Stengs","€14.00m","€15.00m","OGC Nice","Left","AZ Alkmaar"
"Andy Delort","€16.00m","€10.00m","OGC Nice","Left","Montpellier"
"Billal Brahimi","€1.20m","€7.00m","OGC Nice","Left","Angers SCO"
"Pablo Rosario","€6.00m","€6.00m","OGC Nice","Left","PSV"
"Mario Lemina","€10.00m","€5.50m","OGC Nice","Left","Southampton"
"Melvin Bard","€5.00m","€3.00m","OGC Nice","Left","Lyon"
"Jean N'Guessan","-","?","OGC Nice","Left","RC Abidjan"
"Jordan Amavi","€7.00m","loan transfer","OGC Nice","Left","Marseille"
"Marcin Bulka","€800k","loan transfer","OGC Nice","Left","PSG"
"Justin Kluivert","€14.00m","loan transfer","OGC Nice","Left","Roma"
"Hicham Mahou","€800k","End of loanJun 30, 2021","OGC Nice","Left","Lausanne-Sport"
"Danilo Barbosa","€6.00m","End of loanDec 31, 2021","OGC Nice","Left","Palmeiras"
"Racine Coly","€1.30m","End of loanJun 30, 2021","OGC Nice","Left","Amiens SC"
"Wylan Cyprien","€6.00m","End of loanJun 30, 2021","OGC Nice","Left","Parma"
"Armel Zohouri","€500k","End of loanJun 30, 2021","OGC Nice","Left","Lausanne-Sport"
"Trazié Thomas","€500k","End of loanJun 30, 2021","OGC Nice","Left","Lausanne-Sport"
"Evann Guessand","€2.00m","End of loanJun 30, 2021","OGC Nice","Left","Lausanne-Sport"
"Lucas Da Cunha","€3.00m","End of loanJun 30, 2021","OGC Nice","Left","Lausanne-Sport"
"Pedro Brazão","€1.20m","End of loanJun 30, 2021","OGC Nice","Left","Lausanne-Sport"
"Ihsan Sacko","€500k","End of loanJun 30, 2021","OGC Nice","Left","Cosenza"
"Ibrahim Cissé","€500k","End of loanJun 30, 2021","OGC Nice","Left","LB Châteauroux"
"Wylan Cyprien","€6.00m","€7.65m","OGC Nice","Joined","Parma"
"Stanley Nsoki","€5.00m","€6.50m","OGC Nice","Joined","Club Brugge"
"Myziane Maolida","€7.00m","€4.00m","OGC Nice","Joined","Hertha BSC"
"Hassane Kamara","€6.00m","€4.00m","OGC Nice","Joined","Watford"
"Pierre Lees-Melou","€7.00m","€3.90m","OGC Nice","Joined","Norwich"
"Hicham Mahou","€800k","free transfer","OGC Nice","Joined","Lausanne-Sport"
"Racine Coly","€1.30m","free transfer","OGC Nice","Joined","Estoril"
"Alexis Trouillet","€2.00m","loan transfer","OGC Nice","Joined","AJ Auxerre"
"Ibrahim Cissé","€500k","loan transfer","OGC Nice","Joined","Le Mans FC"
"Lucas Da Cunha","€3.00m","loan transfer","OGC Nice","Joined","Clermont Foot"
"Trazié Thomas","€500k","?","OGC Nice","Joined","Lausanne-Sport"
"Armel Zohouri","€500k","?","OGC Nice","Joined","Lausanne-Sport"
"Pedro Brazão","€1.20m","?","OGC Nice","Joined","Famalicão"
"Jean N'Guessan","-","loan transfer","OGC Nice","Joined","Lausanne-Sport"
"Dan Ndoye","€4.00m","loan transfer","OGC Nice","Joined","Basel"
"Robson Bambu","€3.00m","loan transfer","OGC Nice","Joined","Corinthians"
"Andy Pelmard","€4.00m","loan transfer","OGC Nice","Joined","Basel"
"Yoan Cardinale","€600k","-","OGC Nice","Joined","Without Club"
"Deji Sotona","€300k","loan transfer","OGC Nice","Joined","Brentford B"
"Jean-Clair Todibo","€12.00m","End of loanJun 30, 2021","OGC Nice","Joined","Barcelona"
"William Saliba","€18.00m","End of loanJun 30, 2021","OGC Nice","Joined","Arsenal"
"Jeff Reine-Adélaïde","€22.00m","End of loanJun 30, 2021","OGC Nice","Joined","Lyon"
"Rony Lopes","€7.00m","End of loanJun 30, 2021","OGC Nice","Joined","Sevilla FC"
"Fali Candé","€1.00m","€2.50m","FC Metz","Left","Portimonense"
"David Oberhauser","€325k","free transfer","FC Metz","Left","Le Puy Foot"
"Amine Bassi","€2.00m","free transfer","FC Metz","Left","AS Nancy"
"Nicolas de Préville","€3.00m","free transfer","FC Metz","Left","G. Bordeaux"
"Sofiane Alakouch","€2.00m","free transfer","FC Metz","Left","Nîmes Olympique"
"Ibrahim Amadou","€2.50m","free transfer","FC Metz","Left","Sevilla FC"
"Pape Matar Sarr","€10.00m","loan transfer","FC Metz","Left","Tottenham"
"Lenny Joseph","-","?","FC Metz","Left","Le Puy Foot"
"Louis Mafouta","€400k","loan transfer","FC Metz","Left","Neuchâtel Xamax"
"Sikou Niakaté","€2.20m","loan transfer","FC Metz","Left","Guingamp"
