Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Yehvann Diouf","snSEN","GK","Reims","frLigue 1","24","1999","34","34","3,060","34.0","47","1.38","179","131","76.0","8","9","17","7","20.6","5","4","1","0","20.0",
"Marko Dmitrović","rsSRB","GK","Leganés","esLa Liga","32","1992","32","32","2,880","32.0","49","1.53","150","103","72.0","8","11","13","10","31.3","8","7","0","1","0.0",
"Álex Domínguez","esESP","GK","Toulouse","frLigue 1","26","1998","1","0","19","0.2","0","0.00","0","0","","0","0","0","1","","0","0","0","0","",
"Gianluigi Donnarumma","itITA","GK","Paris S-G","frLigue 1","25","1999","24","24","2,091","23.2","25","1.08","74","49","67.6","18","5","1","4","16.7","1","1","0","0","0.0",
"Patrick Drewes","deGER","GK","Bochum","deBundesliga","31","1993","21","21","1,890","21.0","46","2.19","99","51","56.6","2","5","14","2","9.5","5","3","2","0","40.0",
"Martin Dúbravka","skSVK","GK","Newcastle Utd","engPremier League","35","1989","10","10","900","10.0","12","1.20","41","29","70.7","7","0","3","5","50.0","0","0","0","0","",
"Ederson","brBRA","GK","Manchester City","engPremier League","30","1993","26","26","2,320","25.8","26","1.01","78","53","69.2","16","4","6","10","38.5","2","2","0","0","0.0",
"Łukasz Fabiański","plPOL","GK","West Ham","engPremier League","39","1985","14","13","1,160","12.9","21","1.63","71","50","74.6","6","3","4","2","15.4","3","3","0","0","0.0",
"Wladimiro Falcone","itITA","GK","Lecce","itSerie A","29","1995","38","38","3,420","38.0","58","1.53","181","125","72.4","8","10","20","9","23.7","10","8","1","1","11.1",
"Frank Feller","deGER","GK","Heidenheim","deBundesliga","20","2004","2","1","121","1.3","0","0.00","2","2","100.0","1","0","0","2","200.0","0","0","0","0","",
"Aitor Fernández","esESP","GK","Osasuna","esLa Liga","33","1991","1","1","90","1.0","0","0.00","5","5","100.0","0","1","0","1","100.0","0","0","0","0","",
"Álvaro Fernández","esESP","GK","Sevilla","esLa Liga","26","1998","9","8","747","8.3","16","1.93","36","20","61.1","2","1","5","3","37.5","2","2","0","0","0.0",
"André Ferreira","ptPOR","GK","Valladolid","esLa Liga","28","1996","6","6","540","6.0","20","3.33","39","19","56.4","0","0","6","0","0.0","3","3","0","0","0.0",
"Mark Flekken","nlNED","GK","Brentford","engPremier League","31","1993","37","37","3,275","36.4","55","1.51","203","150","73.4","16","8","13","7","18.9","1","1","0","0","0.0",
"Yahia Fofana","ciCIV","GK","Angers","frLigue 1","23","2000","33","33","2,970","33.0","51","1.55","186","135","74.2","10","6","17","7","21.2","4","3","0","1","0.0",
"Fraser Forster","engENG","GK","Tottenham","engPremier League","36","1988","7","7","630","7.0","15","2.14","42","27","69.0","1","2","4","1","14.3","2","2","0","0","0.0",
"Fran","esESP","GK","Real Madrid","esLa Liga","19","2005","1","1","90","1.0","2","2.00","2","0","0.0","0","0","1","0","0.0","0","0","0","0","",
"Gauthier Gallon","frFRA","GK","Rennes","frLigue 1","31","1993","1","0","45","0.5","0","0.00","0","0","","0","0","0","0","","0","0","0","0","",
"Joan García","esESP","GK","Espanyol","esLa Liga","23","2001","38","38","3,420","38.0","51","1.34","192","140","75.5","11","9","18","8","21.1","6","4","2","0","33.3",
"Paulo Gazzaniga","arARG","GK","Girona","esLa Liga","32","1992","36","36","3,195","35.5","51","1.44","143","90","65.7","11","8","17","8","22.2","5","2","3","0","60.0",
"David de Gea","esESP","GK","Fiorentina","itSerie A","33","1990","35","35","3,150","35.0","38","1.09","135","96","72.6","19","5","11","11","31.4","3","1","2","0","66.7",
"Pierluigi Gollini","itITA","GK","Genoa","itSerie A","29","1995","7","7","630","7.0","15","2.14","32","16","62.5","1","2","4","1","14.3","4","3","1","0","25.0",
"Mathieu Gorgelin","frFRA","GK","Le Havre","frLigue 1","33","1990","16","16","1,440","16.0","33","2.06","82","50","63.4","5","4","7","1","6.3","3","3","0","0","0.0",
"Kamil Grabara","plPOL","GK","Wolfsburg","deBundesliga","25","1999","29","29","2,585","28.7","49","1.71","137","88","65.7","9","7","13","5","17.2","3","2","1","0","33.3",
"Dominik Greif","skSVK","GK","Mallorca","esLa Liga","27","1997","31","31","2,790","31.0","34","1.10","116","83","72.4","11","8","12","7","22.6","2","2","0","0","0.0",
"Vicente Guaita","esESP","GK","Celta Vigo","esLa Liga","37","1987","34","34","3,060","34.0","48","1.41","127","79","64.6","14","7","13","8","23.5","3","3","0","0","0.0",
"Péter Gulácsi","huHUN","GK","RB Leipzig","deBundesliga","34","1990","30","30","2,631","29.2","39","1.33","137","97","73.0","12","11","7","14","46.7","3","2","1","0","33.3",
"Kjetil Haug","noNOR","GK","Toulouse","frLigue 1","26","1998","6","5","498","5.5","7","1.27","16","9","56.3","2","2","1","1","20.0","0","0","0","0","",
"Dean Henderson","engENG","GK","Crystal Palace","engPremier League","27","1997","38","38","3,420","38.0","51","1.34","150","101","66.7","13","14","11","11","28.9","2","1","1","0","50.0",
"Mads Hermansen","dkDEN","GK","Leicester City","engPremier League","24","2000","27","27","2,385","26.5","58","2.19","155","99","64.5","3","6","18","1","3.7","4","3","1","0","25.0",
"Sergio Herrera","esESP","GK","Osasuna","esLa Liga","31","1993","37","37","3,330","37.0","52","1.41","182","131","75.3","12","15","10","8","21.6","7","7","0","0","0.0",
"Dinko Horkaš","hrCRO","GK","Las Palmas","esLa Liga","25","1999","13","11","1,085","12.1","19","1.58","54","35","66.7","2","0","9","1","9.1","2","1","1","0","50.0",
"Timo Horn","deGER","GK","Bochum","deBundesliga","31","1993","13","13","1,170","13.0","22","1.69","54","32","59.3","3","3","7","3","23.1","1","0","0","1","",
"Lukáš Hrádecký","fiFIN","GK","Leverkusen","deBundesliga","34","1989","29","29","2,610","29.0","38","1.31","118","83","71.2","16","11","2","6","20.7","4","4","0","0","0.0",
"Karl Jakob Hein","eeEST","GK","Valladolid","esLa Liga","22","2002","31","31","2,790","31.0","68","2.19","163","96","60.7","4","4","23","5","16.1","4","4","0","0","0.0",
"Vitezslav Jaros","czCZE","GK","Liverpool","engPremier League","23","2001","1","0","12","0.1","0","0.00","1","1","100.0","0","0","0","1","","0","0","0","0","",
"Karl-Johan Johnsson","seSWE","GK","Strasbourg","frLigue 1","34","1990","3","3","270","3.0","6","2.00","22","16","77.3","1","1","1","0","0.0","1","1","0","0","0.0",
"Sam Johnstone","engENG","GK","Wolves","engPremier League","31","1993","7","7","630","7.0","17","2.43","39","23","61.5","0","1","6","0","0.0","2","2","0","0","0.0",
"Jesse Joronen","fiFIN","GK","Venezia","itSerie A","31","1993","8","7","703","7.8","15","1.92","40","27","70.0","1","1","5","2","28.6","3","3","0","0","0.0",
"Luiz Lúcio Reis Júnior","brBRA","GK","Villarreal","esLa Liga","23","2001","17","16","1,458","16.2","18","1.11","66","48","78.8","9","4","3","5","31.3","4","4","0","0","0.0",
"Filip Jørgensen","dkDEN","GK","Chelsea","engPremier League","22","2002","6","6","540","6.0","9","1.50","28","19","71.4","3","0","3","1","16.7","1","1","0","0","0.0",
"Caoimhín Kelleher","ieIRL","GK","Liverpool","engPremier League","25","1998","10","10","900","10.0","12","1.20","37","24","67.6","7","2","1","4","40.0","1","0","1","0","100.0",
"Tom King","wlsWAL","GK","Wolves","engPremier League","29","1995","1","0","1","0.0","0","0.00","0","0","","0","0","0","0","","0","0","0","0","",
"Antonín Kinský","czCZE","GK","Tottenham","engPremier League","21","2003","6","6","540","6.0","11","1.83","32","23","65.6","1","0","5","1","16.7","0","0","0","0","",
"Gregor Kobel","chSUI","GK","Dortmund","deBundesliga","26","1997","32","32","2,880","32.0","47","1.47","129","82","66.7","16","6","10","7","21.9","4","4","0","0","0.0",
"Hervé Koffi","bfBFA","GK","Lens","frLigue 1","27","1996","5","5","450","5.0","8","1.60","26","18","76.9","1","0","4","0","0.0","2","2","0","0","0.0",
"Philipp Köhn","chSUI","GK","Monaco","frLigue 1","26","1998","19","19","1,710","19.0","19","1.00","63","44","71.4","11","5","3","8","42.1","1","1","0","0","0.0",
"Matej Kovar","czCZE","GK","Leverkusen","deBundesliga","24","2000","5","5","450","5.0","5","1.00","16","12","68.8","3","1","1","3","60.0","0","0","0","0","",
"Vladyslav Krapyvtsov","uaUKR","GK","Girona","esLa Liga","19","2005","2","2","180","2.0","7","3.50","18","11","66.7","0","0","2","0","0.0","1","1","0","0","0.0",
"Nediljko Labrović","hrCRO","GK","Augsburg","deBundesliga","24","1999","15","15","1,350","15.0","32","2.13","74","42","60.8","4","4","7","2","13.3","3","3","0","0","0.0",
"Alban Lafont","ciCIV","GK","Nantes","frLigue 1","25","1999","12","12","1,080","12.0","19","1.58","49","32","67.3","2","4","6","2","16.7","3","3","0","0","0.0",
"Gautier Larsonneur","frFRA","GK","Saint-Étienne","frLigue 1","27","1997","34","34","3,060","34.0","77","2.26","209","132","69.4","8","6","20","5","14.7","15","13","2","0","13.3",
"Nicola Leali","itITA","GK","Genoa","itSerie A","31","1993","29","29","2,610","29.0","31","1.07","111","82","74.8","8","10","11","10","34.5","4","3","1","0","25.0",
"Benjamin Lecomte","frFRA","GK","Montpellier","frLigue 1","33","1991","30","30","2,700","30.0","68","2.27","173","107","64.2","3","4","23","1","3.3","7","6","1","0","14.3",
"Bernd Leno","deGER","GK","Fulham","engPremier League","32","1992","38","38","3,420","38.0","54","1.42","159","106","67.9","15","9","14","5","13.2","4","3","1","0","25.0",
"Donovan Léon","gfGUF","GK","Auxerre","frLigue 1","31","1992","32","32","2,880","32.0","48","1.50","164","118","73.8","11","8","13","9","28.1","6","5","1","0","16.7",
"Anthony Lopes","ptPOR","GK","Nantes","frLigue 1","33","1990","18","18","1,563","17.4","26","1.50","71","46","69.0","5","6","7","3","16.7","5","4","0","1","0.0",
"Pau López","esESP","GK","Girona","esLa Liga","29","1994","1","0","45","0.5","2","4.00","3","1","33.3","0","0","0","0","","0","0","0","0","",
"Joe Lumley","engENG","GK","Southampton","engPremier League","29","1995","3","3","270","3.0","7","2.33","20","13","65.0","0","1","2","0","0.0","0","0","0","0","",
"Andriy Lunin","uaUKR","GK","Real Madrid","esLa Liga","25","1999","7","7","630","7.0","7","1.00","20","13","65.0","6","0","1","4","57.1","0","0","0","0","",
"Mike Maignan","frFRA","GK","Milan","itSerie A","29","1995","37","37","3,294","36.6","41","1.12","136","97","70.6","17","9","11","12","32.4","2","1","1","0","50.0",
"Radosław Majecki","plPOL","GK","Monaco","frLigue 1","24","1999","15","15","1,350","15.0","22","1.47","65","43","69.2","7","2","6","3","20.0","2","2","0","0","0.0",
"Giorgi Mamardashvili","geGEO","GK","Valencia","esLa Liga","23","2000","34","34","3,060","34.0","48","1.41","136","89","68.4","11","11","12","8","23.5","7","5","2","0","28.6",
"Steve Mandanda","frFRA","GK","Rennes","frLigue 1","39","1985","18","17","1,486","16.5","23","1.39","51","29","58.8","6","2","9","6","35.3","3","2","1","0","33.3",
"Christos Mandas","grGRE","GK","Lazio","itSerie A","22","2001","9","9","810","9.0","7","0.78","27","20","74.1","3","5","1","4","44.4","0","0","0","0","",
"Unai Marrero","esESP","GK","Real Sociedad","esLa Liga","22","2001","2","2","180","2.0","3","1.50","12","8","75.0","0","0","2","0","0.0","1","0","1","0","100.0",
"Emiliano Martínez","arARG","GK","Aston Villa","engPremier League","31","1992","37","37","3,194","35.5","45","1.27","142","96","69.0","18","9","10","8","21.6","2","1","1","0","50.0",
"Josep Martinez","esESP","GK","Inter","itSerie A","26","1998","5","5","450","5.0","3","0.60","14","11","78.6","4","1","0","3","60.0","0","0","0","0","",
"Andrea Mazza","itITA","GK","Monza","itSerie A","20","2004","1","0","8","0.1","0","0.00","0","0","","0","0","0","0","","0","0","0","0","",
"Alex McCarthy","engENG","GK","Southampton","engPremier League","34","1989","5","5","450","5.0","13","2.60","37","24","70.3","0","0","5","0","0.0","2","2","0","0","0.0",
"Alex Meret","itITA","GK","Napoli","itSerie A","27","1997","34","34","3,005","33.4","25","0.75","84","59","71.4","21","9","4","16","47.1","4","1","2","1","66.7",
"Alexander Meyer","deGER","GK","Dortmund","deBundesliga","33","1991","2","2","180","2.0","4","2.00","11","7","63.6","1","0","1","0","0.0","0","0","0","0","",
"Vanja Milinković-Savić","rsSRB","GK","Torino","itSerie A","27","1997","37","37","3,330","37.0","42","1.14","173","129","77.5","10","14","13","10","27.0","7","3","4","0","57.1",
"Lorenzo Montipò","itITA","GK","Hellas Verona","itSerie A","28","1996","36","36","3,240","36.0","64","1.78","161","97","61.5","9","7","20","8","22.2","4","2","1","1","33.3",
"Florian Müller","deGER","GK","Freiburg","deBundesliga","26","1997","9","8","753","8.4","16","1.91","30","15","53.3","4","1","3","1","12.5","2","2","0","0","0.0",
"Kevin Müller","deGER","GK","Heidenheim","deBundesliga","33","1991","33","33","2,939","32.7","64","1.96","169","105","65.7","7","5","21","7","21.2","6","6","0","0","0.0",
"Marius Müller","deGER","GK","Wolfsburg","deBundesliga","31","1993","6","5","475","5.3","5","0.95","23","18","78.3","2","3","0","1","20.0","0","0","0","0","",
"Arijanet Muric","xkKVX","GK","Ipswich Town","engPremier League","25","1998","18","18","1,620","18.0","33","1.83","100","67","70.0","2","6","10","1","5.6","3","3","0","0","0.0",
"Juan Musso","arARG","GK","Atalanta","itSerie A","30","1994","1","1","90","1.0","0","0.00","4","4","100.0","1","0","0","1","100.0","0","0","0","0","",
"Juan Musso","arARG","GK","Atlético Madrid","esLa Liga","30","1994","2","2","180","2.0","0","0.00","2","2","100.0","2","0","0","2","100.0","0","0","0","0","",
"Neto","brBRA","GK","Bournemouth","engPremier League","35","1989","2","2","180","2.0","2","1.00","13","11","84.6","0","2","0","0","0.0","0","0","0","0","",
"Manuel Neuer","deGER","GK","Bayern Munich","deBundesliga","38","1986","22","22","1,980","22.0","15","0.68","45","30","68.9","18","4","0","13","59.1","2","1","0","1","0.0",
"Moritz Nicolas","deGER","GK","Gladbach","deBundesliga","26","1997","19","19","1,639","18.2","25","1.37","92","69","78.3","9","4","6","4","21.1","5","5","0","0","0.0",
"Alexander Nübel","deGER","GK","Stuttgart","deBundesliga","27","1996","34","34","3,060","34.0","53","1.56","136","83","62.5","14","8","12","7","20.6","3","2","1","0","33.3",
"Ørjan Nyland","noNOR","GK","Sevilla","esLa Liga","33","1990","30","30","2,673","29.7","39","1.31","112","73","67.9","8","10","12","7","23.3","4","3","1","0","25.0",
"Jan Oblak","siSVN","GK","Atlético Madrid","esLa Liga","31","1993","36","36","3,240","36.0","30","0.83","114","86","78.1","20","10","6","15","41.7","5","5","0","0","0.0",
"Maduka Okoye","ngNGA","GK","Udinese","itSerie A","24","1999","25","25","2,250","25.0","40","1.60","110","73","67.3","6","4","15","4","16.0","5","4","0","1","0.0",
"Robin Olsen","seSWE","GK","Aston Villa","engPremier League","34","1990","4","1","226","2.5","6","2.39","14","8","64.3","1","0","0","1","100.0","1","1","0","0","0.0",
"Jonas Omlin","chSUI","GK","Gladbach","deBundesliga","30","1994","12","11","978","10.9","26","2.39","72","45","66.7","2","1","8","1","9.1","3","2","1","0","33.3",
"André Onana","cmCMR","GK","Manchester Utd","engPremier League","28","1996","34","34","3,060","34.0","44","1.29","132","88","68.9","10","9","15","9","26.5","4","3","1","0","25.0",
"Stefan Ortega","deGER","GK","Manchester City","engPremier League","31","1992","13","12","1,100","12.2","18","1.47","50","33","68.0","5","4","3","3","25.0","2","2","0","0","0.0",
"Jesús Owono","gqEQG","GK","Alavés","esLa Liga","23","2001","6","5","487","5.4","7","1.29","14","7","57.1","1","1","3","0","0.0","1","1","0","0","0.0",
"Daniele Padelli","itITA","GK","Udinese","itSerie A","38","1985","1","1","90","1.0","0","0.00","3","3","100.0","1","0","0","1","100.0","0","0","0","0","",
"Alex Padilla","esESP","GK","Athletic Club","esLa Liga","20","2003","5","3","321","3.6","6","1.68","17","12","70.6","0","1","2","0","0.0","1","1","0","0","0.0",
"Alberto Paleari","itITA","GK","Torino","itSerie A","31","1992","1","1","90","1.0","3","3.00","7","4","57.1","0","0","1","0","0.0","0","0","0","0","",
"Alex Palmer","engENG","GK","Ipswich Town","engPremier League","27","1996","13","13","1,170","13.0","30","2.31","71","43","59.2","1","3","9","0","0.0","1","1","0","0","0.0",
"Rui Patrício","ptPOR","GK","Atalanta","itSerie A","36","1988","3","3","270","3.0","3","1.00","14","11","78.6","2","1","0","1","33.3","0","0","0","0","",
"Iñaki Peña","esESP","GK","Barcelona","esLa Liga","25","1999","16","15","1,396","15.5","18","1.16","53","35","69.8","7","3","5","4","26.7","2","2","0","0","0.0",
"Daniel Peretz","ilISR","GK","Bayern Munich","deBundesliga","24","2000","3","3","270","3.0","5","1.67","7","2","28.6","2","0","1","0","0.0","0","0","0","0","",
"Simone Perilli","itITA","GK","Hellas Verona","itSerie A","29","1995","2","2","180","2.0","2","1.00","11","9","81.8","1","0","1","0","0.0","0","0","0","0","",
"Mattia Perin","itITA","GK","Juventus","itSerie A","31","1992","5","5","450","5.0","3","0.60","16","13","81.3","2","3","0","3","60.0","0","0","0","0","",
"Lucas Perri","brBRA","GK","Lyon","frLigue 1","26","1997","33","33","2,970","33.0","44","1.33","160","116","74.4","17","6","10","10","30.3","3","3","0","0","0.0",
"Đorđe Petrović","rsSRB","GK","Strasbourg","frLigue 1","24","1999","31","31","2,790","31.0","38","1.23","147","110","78.9","15","8","8","10","32.3","8","7","1","0","12.5",
"Luca Philipp","deGER","GK","Hoffenheim","deBundesliga","23","2000","6","6","540","6.0","15","2.50","35","21","60.0","1","3","2","0","0.0","1","1","0","0","0.0",
"Jordan Pickford","engENG","GK","Everton","engPremier League","30","1994","38","38","3,420","38.0","44","1.16","163","117","73.0","11","15","12","12","31.6","2","0","2","0","100.0",
"Semuel Pizzignacco","itITA","GK","Monza","itSerie A","22","2001","9","8","736","8.2","17","2.08","38","22","55.3","1","2","5","1","12.5","0","0","0","0","",
"Nick Pope","engENG","GK","Newcastle Utd","engPremier League","32","1992","28","28","2,520","28.0","35","1.25","120","86","71.7","13","6","9","8","28.6","2","1","1","0","50.0",
"Ivan Provedel","itITA","GK","Lazio","itSerie A","30","1994","29","29","2,610","29.0","42","1.45","92","52","58.7","15","6","8","5","17.2","4","4","0","0","0.0",
"Ionuț Radu","roROU","GK","Venezia","itSerie A","27","1997","15","15","1,350","15.0","18","1.20","65","47","76.9","2","7","6","4","26.7","3","3","0","0","0.0",
"Arnau Rafús","esESP","GK","Valladolid","esLa Liga","21","2003","1","1","90","1.0","2","2.00","2","0","0.0","0","0","1","0","0.0","0","0","0","0","",
"Aaron Ramsdale","engENG","GK","Southampton","engPremier League","26","1998","30","30","2,700","30.0","66","2.20","188","120","67.6","2","5","23","3","10.0","7","5","2","0","28.6",
"Federico Ravaglia","itITA","GK","Bologna","itSerie A","24","1999","12","11","1,056","11.7","14","1.19","24","10","45.8","5","2","4","4","36.4","1","1","0","0","0.0",
"David Raya","esESP","GK","Arsenal","engPremier League","28","1995","38","38","3,420","38.0","34","0.89","120","86","74.2","20","14","4","13","34.2","3","3","0","0","0.0",
"Pepe Reina","esESP","GK","Como","itSerie A","41","1982","12","12","1,034","11.5","14","1.22","41","27","68.3","3","4","5","2","16.7","1","1","0","0","0.0",
"Álex Remiro","esESP","GK","Real Sociedad","esLa Liga","29","1995","36","36","3,240","36.0","43","1.19","130","86","70.8","13","7","16","13","36.1","6","5","1","0","16.7",
"Guillaume Restes","frFRA","GK","Toulouse","frLigue 1","19","2005","29","29","2,543","28.3","36","1.27","92","58","62.0","9","7","13","8","27.6","2","1","1","0","50.0",
"Lasse Rieß","deGER","GK","Mainz 05","deBundesliga","23","2001","2","2","180","2.0","2","1.00","8","6","75.0","1","1","0","0","0.0","0","0","0","0","",
"Adrian Rodriguez","esESP","GK","Alavés","esLa Liga","23","2000","2","1","122","1.4","2","1.48","6","4","83.3","0","1","0","1","100.0","1","1","0","0","0.0",
"Leo Román","esESP","GK","Mallorca","esLa Liga","24","2000","7","7","630","7.0","10","1.43","49","39","81.6","2","1","4","2","28.6","1","1","0","0","0.0",
"Gerónimo Rulli","arARG","GK","Marseille","frLigue 1","32","1992","34","34","3,060","34.0","47","1.38","135","87","67.4","20","5","9","5","14.7","6","3","3","0","50.0",
"Mathew Ryan","auAUS","GK","Lens","frLigue 1","32","1992","14","14","1,260","14.0","17","1.21","62","44","75.8","8","1","5","6","42.9","3","2","1","0","33.3",
"Frederik Rønnow","dkDEN","GK","Union Berlin","deBundesliga","31","1992","28","28","2,520","28.0","37","1.32","111","71","67.6","8","11","9","8","28.6","5","1","4","0","80.0",
"José Sá","ptPOR","GK","Wolves","engPremier League","31","1993","29","29","2,609","29.0","48","1.66","117","69","63.2","11","5","13","7","24.1","7","5","2","0","28.6",
"Matvei Safonov","ruRUS","GK","Paris S-G","frLigue 1","25","1999","10","9","879","9.8","9","0.92","25","17","72.0","7","1","1","3","33.3","2","2","0","0","0.0",
"Brice Samba","frFRA","GK","Rennes","frLigue 1","30","1994","17","17","1,529","17.0","27","1.59","87","58","70.1","7","0","10","5","29.4","3","1","2","0","66.7",
