Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Brice Samba","frFRA","GK","Lens","frLigue 1","29","1994","33","33","2,970","33.0","35","1.06","136","101","78.7","14","8","11","14","42.4","8","6","1","1","14.3",
"Robert Sánchez","esESP","GK","Chelsea","engPremier League","25","1997","16","16","1,433","15.9","25","1.57","78","52","70.5","5","4","7","3","18.8","3","2","1","0","33.3",
"Marcel Schuhen","deGER","GK","Darmstadt 98","deBundesliga","30","1993","31","31","2,790","31.0","76","2.45","198","123","62.1","3","7","21","3","9.7","2","1","1","0","50.0",
"Marvin Schwäbe","deGER","GK","Köln","deBundesliga","28","1995","34","34","3,060","34.0","60","1.76","168","108","66.1","5","12","17","4","11.8","3","3","0","0","0.0",
"Alexander Schwolow","deGER","GK","Union Berlin","deBundesliga","31","1992","1","1","90","1.0","2","2.00","6","4","66.7","0","0","1","0","0.0","0","0","0","0","",
"Simone Scuffet","itITA","GK","Cagliari","itSerie A","27","1996","31","31","2,789","31.0","55","1.77","129","76","59.7","8","10","13","3","9.7","3","3","0","0","0.0",
"Matz Sels","beBEL","GK","Nott'ham Forest","engPremier League","31","1992","16","16","1,440","16.0","27","1.69","61","36","57.4","4","4","8","1","6.3","1","1","0","0","0.0",
"Matz Sels","beBEL","GK","Strasbourg","frLigue 1","31","1992","19","19","1,710","19.0","24","1.26","62","40","62.9","6","7","6","3","15.8","1","1","0","0","0.0",
"James Shea","engENG","GK","Luton Town","engPremier League","32","1991","1","0","15","0.2","0","0.00","2","2","100.0","0","0","0","0","","0","0","0","0","",
"Rui Silva","ptPOR","GK","Betis","esLa Liga","29","1994","28","28","2,475","27.5","36","1.31","120","85","75.8","10","9","9","9","32.1","8","7","1","0","12.5",
"Marco Silvestri","itITA","GK","Udinese","itSerie A","32","1991","17","17","1,530","17.0","28","1.65","68","40","67.6","1","11","5","4","23.5","6","6","0","0","0.0",
"Unai Simón","esESP","GK","Athletic Club","esLa Liga","26","1997","36","36","3,182","35.4","33","0.93","122","90","73.8","18","11","7","16","44.4","5","1","3","1","75.0",
"Antonio Sivera","esESP","GK","Alavés","esLa Liga","26","1996","34","34","3,060","34.0","38","1.12","123","87","75.6","11","8","15","10","29.4","8","8","0","0","0.0",
"Łukasz Skorupski","plPOL","GK","Bologna","itSerie A","32","1991","32","32","2,880","32.0","29","0.91","106","77","75.5","14","13","5","13","40.6","6","3","1","2","25.0",
"Daniele Sommariva","itITA","GK","Genoa","itSerie A","26","1997","1","0","5","0.1","0","0.00","0","0","","0","0","0","1","","0","0","0","0","",
"Yann Sommer","chSUI","GK","Inter","itSerie A","34","1988","34","34","3,060","34.0","19","0.56","98","78","82.7","27","6","1","19","55.9","4","2","1","1","33.3",
"David Soria","esESP","GK","Getafe","esLa Liga","30","1993","38","38","3,413","37.9","52","1.37","171","118","72.5","10","13","15","10","26.3","7","5","1","1","16.7",
"Alessandro Sorrentino","itITA","GK","Monza","itSerie A","21","2002","7","5","548","6.1","16","2.63","32","16","62.5","0","1","4","0","0.0","4","4","0","0","0.0",
"Marco Sportiello","itITA","GK","Milan","itSerie A","31","1992","7","7","630","7.0","11","1.57","33","23","69.7","3","3","1","2","28.6","1","1","0","0","0.0",
"Jason Steele","engENG","GK","Brighton","engPremier League","32","1990","17","17","1,530","17.0","34","2.00","74","42","58.1","5","4","8","2","11.8","3","3","0","0","0.0",
"Thomas Strakosha","alALB","GK","Brentford","engPremier League","28","1995","2","1","135","1.5","2","1.33","8","6","75.0","0","0","1","0","0.0","0","0","0","0","",
"Mile Svilar","rsSRB","GK","Roma","itSerie A","23","1999","15","15","1,350","15.0","19","1.27","77","58","76.6","7","4","4","5","33.3","2","1","1","0","50.0",
"Wojciech Szczęsny","plPOL","GK","Juventus","itSerie A","33","1990","35","35","3,150","35.0","30","0.86","108","79","74.1","17","13","5","15","42.9","3","2","1","0","33.3",
"Arnau Tenas","esESP","GK","Paris S-G","frLigue 1","22","2001","6","5","529","5.9","7","1.19","25","18","72.0","2","2","1","1","20.0","0","0","0","0","",
"Marc-André ter Stegen","deGER","GK","Barcelona","esLa Liga","31","1992","28","28","2,520","28.0","27","0.96","102","75","75.5","20","5","3","15","53.6","2","2","0","0","0.0",
"Pietro Terracciano","itITA","GK","Fiorentina","itSerie A","33","1990","33","33","2,970","33.0","35","1.06","126","90","77.0","15","8","10","8","24.2","7","6","1","0","14.3",
"James Trafford","engENG","GK","Burnley","engPremier League","20","2002","28","28","2,520","28.0","62","2.21","166","106","65.7","3","5","20","2","7.1","5","5","0","0","0.0",
"Kevin Trapp","deGER","GK","Eint Frankfurt","deBundesliga","33","1990","32","32","2,880","32.0","48","1.50","137","87","71.5","10","13","9","7","21.9","11","9","2","0","18.2",
"Mark Travers","ieIRL","GK","Bournemouth","engPremier League","24","1999","4","4","360","4.0","5","1.25","18","13","77.8","2","0","2","2","50.0","1","1","0","0","0.0",
"Stefano Turati","itITA","GK","Frosinone","itSerie A","21","2001","31","31","2,745","30.5","58","1.90","152","94","65.1","6","9","16","4","12.9","7","5","1","1","16.7",
"Matt Turner","usUSA","GK","Nott'ham Forest","engPremier League","29","1994","17","17","1,530","17.0","28","1.65","80","52","67.5","4","5","8","2","11.8","2","2","0","0","0.0",
"Sven Ulreich","deGER","GK","Bayern Munich","deBundesliga","34","1988","11","11","990","11.0","12","1.09","31","19","64.5","7","2","2","4","36.4","1","1","0","0","0.0",
"Álvaro Vallés","esESP","GK","Las Palmas","esLa Liga","26","1997","37","37","3,263","36.3","44","1.21","152","108","74.3","10","10","17","8","21.6","9","5","3","1","37.5",
"Bart Verbruggen","nlNED","GK","Brighton","engPremier League","20","2002","21","21","1,890","21.0","28","1.33","91","63","72.5","7","8","6","4","19.0","3","3","0","0","0.0",
"Guglielmo Vicario","itITA","GK","Tottenham","engPremier League","26","1996","38","38","3,420","38.0","61","1.61","167","109","67.7","20","6","12","7","18.4","7","7","0","0","0.0",
"Fran Vieites","esESP","GK","Betis","esLa Liga","24","1999","4","3","315","3.5","4","1.14","18","14","77.8","1","2","0","2","66.7","0","0","0","0","",
"Iván Villar","esESP","GK","Celta Vigo","esLa Liga","26","1997","12","12","1,014","11.3","18","1.60","44","26","63.6","2","4","6","0","0.0","3","2","1","0","33.3",
"Odysseas Vlachodimos","grGRE","GK","Nott'ham Forest","engPremier League","29","1994","5","5","450","5.0","12","2.40","22","10","50.0","1","0","4","1","20.0","1","1","0","0","0.0",
"Robin Zentner","deGER","GK","Mainz 05","deBundesliga","28","1994","30","30","2,700","30.0","48","1.60","128","81","64.8","7","12","11","7","23.3","4","3","0","1","0.0",
"Michael Zetterer","deGER","GK","Werder Bremen","deBundesliga","28","1995","27","27","2,430","27.0","37","1.37","128","92","74.2","9","9","9","6","22.2","4","4","0","0","0.0",
