Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Ibrahima Cissé","gnGUI","MF","Fulham","engPremier League","24","1994","1.0","0","0","0","0","0","0","1","0.0","1","0","0","0","3","3","4","0",
"Till Cissokho","frFRA","DF","Bordeaux","frLigue 1","18","2000","0.9","1","0","1","0","0","0","0","","0","0","0","0","2","3","3","0",
"Ciaran Clark","ieIRL","DF","Newcastle Utd","engPremier League","28","1989","9.5","20","17","15","5","0","9","12","75.0","3","11","7","4","12","32","58","0",
"Tom Cleverley","engENG","MF","Watford","engPremier League","28","1989","5.3","17","9","11","4","2","6","22","27.3","16","4","0","4","5","22","11","0",
"Nathaniel Clyne","engENG","DF","Bournemouth","engPremier League","27","1991","12.7","33","18","16","14","3","11","23","47.8","12","13","3","10","16","49","33","1",
"Nathaniel Clyne","engENG","DF","Liverpool","engPremier League","27","1991","1.2","4","3","2","2","0","2","4","50.0","2","1","0","1","2","6","1","0",
"Conor Coady","engENG","DF","Wolves","engPremier League","25","1993","38.0","31","19","26","5","0","17","32","53.1","15","35","27","8","30","61","133","3",
"Marcus Coco","frFRA","FW,MF","Guingamp","frLigue 1","22","1996","20.4","39","23","20","10","9","16","33","48.5","17","24","0","24","23","62","14","0",
"Coke","esESP","DF","Levante","esLa Liga","31","1987","20.2","44","27","24","17","3","26","56","46.4","30","18","8","10","40","84","54","1",
"Joel Coleman","engENG","GK","Huddersfield","engPremier League","22","1995","1.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Séamus Coleman","ieIRL","DF","Everton","engPremier League","29","1988","28.4","44","25","23","18","3","19","30","63.3","11","14","5","9","26","70","86","0",
"Álex Collado","esESP","FW","Barcelona","esLa Liga","19","1999","0.9","1","0","0","1","0","0","1","0.0","1","3","0","3","0","1","2","0",
"Omar Colley","gmGAM","DF","Sampdoria","itSerie A","25","1992","19.6","18","11","12","6","0","12","13","92.3","1","24","16","8","22","40","102","0",
"Racine Coly","snSEN","DF,MF","Nice","frLigue 1","22","1995","5.6","7","2","1","5","1","4","11","36.4","7","6","1","5","9","16","11","1",
"Kingsley Coman","frFRA","FW,MF","Bayern Munich","deBundesliga","22","1996","15.3","11","6","4","4","3","6","19","31.6","13","20","0","20","5","16","3","0",
"Santi Comesaña","esESP","MF","Rayo Vallecano","esLa Liga","21","1996","22.6","56","35","29","25","2","22","61","36.1","39","30","5","25","30","86","45","2",
"Daniel Congré","frFRA","DF","Montpellier","frLigue 1","33","1985","36.6","75","45","46","26","3","38","65","58.5","27","35","15","20","67","142","106","1",
"Andrea Consigli","itITA","GK","Sassuolo","itSerie A","31","1987","35.7","0","0","0","0","0","0","2","0.0","2","0","0","0","1","1","15","6",
"Andrea Conti","itITA","DF","Milan","itSerie A","24","1994","5.6","9","5","3","4","2","2","9","22.2","7","4","0","4","15","24","12","1",
"Lewis Cook","engENG","MF","Bournemouth","engPremier League","21","1997","8.0","13","6","6","7","0","8","19","42.1","11","8","2","6","8","21","7","1",
"Steve Cook","engENG","DF","Bournemouth","engPremier League","27","1991","31.0","36","19","31","5","0","20","27","74.1","7","36","21","15","50","86","202","1",
"Duje Čop","hrCRO","FW","Valladolid","esLa Liga","28","1990","7.6","5","4","1","2","2","0","8","0.0","8","8","3","5","3","8","3","0",
"Francis Coquelin","frFRA","MF","Valencia","esLa Liga","27","1991","19.6","46","31","25","14","7","17","35","48.6","18","21","5","16","49","95","29","1",
"Gabriele Corbo","itITA","DF","Bologna","itSerie A","18","2000","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Iñigo Córdoba","esESP","FW,MF","Athletic Club","esLa Liga","21","1997","14.7","37","23","15","17","5","14","47","29.8","33","27","0","27","17","54","13","0",
"Sergio Córdova","veVEN","FW","Augsburg","deBundesliga","20","1997","5.9","9","5","3","4","2","2","6","33.3","4","0","0","0","3","12","5","0",
"Benjamin Corgnet","frFRA","MF,FW","Strasbourg","frLigue 1","31","1987","7.5","21","12","7","9","5","4","11","36.4","7","1","0","1","6","27","9","0",
"Ante Ćorić","hrCRO","MF","Roma","itSerie A","21","1997","0.3","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Jack Cork","engENG","MF","Burnley","engPremier League","29","1989","36.8","51","27","12","34","5","18","46","39.1","28","39","16","23","29","80","82","2",
"Andreas Cornelius","dkDEN","FW","Bordeaux","frLigue 1","25","1993","8.8","4","1","1","3","0","1","4","25.0","3","4","1","3","1","5","21","0",
"Maxwel Cornet","ciCIV","FW","Lyon","frLigue 1","21","1996","14.2","14","11","4","7","3","1","11","9.1","10","10","0","10","5","19","8","0",
"Quentin Cornette","frFRA","FW,MF","Amiens","frLigue 1","24","1994","2.3","5","1","2","2","1","3","6","50.0","3","3","0","3","1","6","5","0",
"Ángel Correa","arARG","MF,FW","Atlético Madrid","esLa Liga","23","1995","21.3","38","19","19","12","7","10","53","18.9","43","28","5","23","17","55","20","0",
"Joaquín Correa","arARG","FW,MF","Lazio","itSerie A","23","1994","21.4","21","13","6","12","3","5","18","27.8","13","14","3","11","2","23","7","0",
"Danny da Costa","deGER","DF,FW","Eint Frankfurt","deBundesliga","25","1993","33.7","61","35","29","25","7","18","42","42.9","24","51","9","42","32","93","67","0",
"Diego Costa","esESP","FW","Atlético Madrid","esLa Liga","29","1988","12.4","4","1","0","4","0","1","8","12.5","7","5","0","5","2","6","6","0",
"Douglas Costa","brBRA","FW,MF","Juventus","itSerie A","27","1990","6.9","10","8","2","8","0","4","9","44.4","5","8","0","8","4","14","2","0",
"Filippo Costa","itITA","DF,FW","SPAL","itSerie A","23","1995","6.3","15","13","6","6","3","4","9","44.4","5","10","3","7","8","23","31","1",
"Hélder Costa","aoANG","FW,MF","Wolves","engPremier League","24","1994","14.9","18","14","7","7","4","7","23","30.4","16","15","0","15","9","27","6","0",
"Jaume Costa","esESP","DF","Villarreal","esLa Liga","30","1988","16.6","33","21","26","5","2","20","33","60.6","13","12","3","9","21","54","61","0",
"Nuno da Costa","cvCPV","FW","Strasbourg","frLigue 1","27","1991","22.8","39","27","10","19","10","10","38","26.3","28","24","1","23","14","53","9","0",
"David Costas","esESP","DF","Celta Vigo","esLa Liga","23","1995","13.0","25","13","21","4","0","10","15","66.7","5","12","6","6","18","43","58","1",
"Benoît Costil","frFRA","GK","Bordeaux","frLigue 1","31","1987","37.0","2","0","2","0","0","2","2","100.0","0","0","0","0","0","2","14","3",
"Kalifa Coulibaly","mlMLI","FW","Nantes","frLigue 1","26","1991","19.5","15","7","1","10","4","4","11","36.4","7","8","1","7","4","19","22","0",
"Senou Coulibaly","mlMLI","DF","Dijon","frLigue 1","23","1994","4.6","13","7","10","3","0","3","8","37.5","5","8","2","6","11","24","20","0",
