Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Julian Kristoffersen","noNOR","FW","Salernitana","itSerie A","24","1997","0.1","0","1","0","0.0","12.86","0.00","0.00","","12.6","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Toni Kroos","deGER","MF","Real Madrid","esLa Liga","31","1990","23.4","1","46","12","26.1","1.97","0.51","0.02","0.08","24.0","4","0","0","2.2","2.2","0.05","-1.2","-1.2",
"Florian Krüger","deGER","FW,MF","Arminia","deBundesliga","22","1999","12.5","1","18","5","27.8","1.43","0.40","0.06","0.20","18.7","1","0","0","1.2","1.2","0.07","-0.2","-0.2",
"Tim Krul","nlNED","GK","Norwich City","engPremier League","33","1988","29.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Rade Krunić","baBIH","MF,FW","Milan","itSerie A","27","1993","15.7","0","10","2","20.0","0.64","0.13","0.00","0.00","16.2","0","0","0","0.7","0.7","0.07","-0.7","-0.7",
"Max Kruse","deGER","MF,FW","Wolfsburg","deBundesliga","33","1988","12.5","7","19","9","47.4","1.52","0.72","0.26","0.56","17.0","0","2","2","6.1","4.6","0.24","+0.9","+0.4",
"Max Kruse","deGER","FW,MF","Union Berlin","deBundesliga","33","1988","14.1","5","26","8","30.8","1.84","0.57","0.08","0.25","20.7","3","3","3","4.6","2.2","0.08","+0.4","-0.2",
"Lukas Kübler","deGER","DF,MF","Freiburg","deBundesliga","28","1992","25.9","2","13","6","46.2","0.50","0.23","0.15","0.33","15.6","0","0","0","1.5","1.5","0.12","+0.5","+0.5",
"Takefusa Kubo","jpJPN","FW,MF","Mallorca","esLa Liga","20","2001","17.8","1","48","8","16.7","2.69","0.45","0.02","0.13","20.7","2","0","0","2.8","2.8","0.06","-1.8","-1.8",
"Juraj Kucka","skSVK","MF","Watford","engPremier League","34","1987","21.3","1","46","11","23.9","2.16","0.52","0.02","0.09","20.8","3","0","0","3.2","3.2","0.07","-2.2","-2.2",
