Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
"Manu Koné","frFRA","MF","Toulouse","frLigue 1","17","2001","0.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Youssouf Koné","mlMLI","DF","Lille","frLigue 1","23","1995","19.0","0","5","0","0.0","0.26","0.00","0.00","","29.2","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Terence Kongolo","nlNED","DF","Huddersfield","engPremier League","24","1994","30.2","1","14","4","28.6","0.46","0.13","0.07","0.25","14.9","0","0","0","1.3","1.3","0.09","-0.3","-0.3",
"Yevhen Konoplyanka","uaUKR","FW,MF","Schalke 04","deBundesliga","28","1989","7.3","1","17","5","29.4","2.33","0.69","0.06","0.20","23.6","1","0","0","1.5","1.5","0.09","-0.5","-0.5",
"Pascal Köpke","deGER","FW,MF","Hertha BSC","deBundesliga","22","1995","0.8","0","4","1","25.0","4.86","1.22","0.00","0.00","18.8","0","0","0","0.2","0.2","0.06","-0.2","-0.2",
"Julian Korb","deGER","DF","Hannover 96","deBundesliga","26","1992","11.2","0","2","0","0.0","0.18","0.00","0.00","","27.0","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Laurent Koscielny","frFRA","DF","Arsenal","engPremier League","32","1985","14.8","3","5","4","80.0","0.34","0.27","0.60","0.75","6.9","0","0","0","1.4","1.4","0.28","+1.6","+1.6",
"Filip Kostić","rsSRB","DF,FW","Eint Frankfurt","deBundesliga","25","1992","32.8","6","62","18","29.0","1.89","0.55","0.10","0.33","21.4","7","0","0","4.5","4.5","0.07","+1.5","+1.5",
"Christian Kouamé","ciCIV","FW","Genoa","itSerie A","20","1997","34.1","4","87","25","28.7","2.55","0.73","0.05","0.16","16.7","0","0","0","8.0","8.0","0.09","-4.0","-4.0",
"Tomáš Koubek","czCZE","GK","Rennes","frLigue 1","25","1992","32.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kalidou Koulibaly","snSEN","DF","Napoli","itSerie A","27","1991","34.8","2","19","7","36.8","0.55","0.20","0.11","0.29","11.2","0","0","0","2.4","2.4","0.12","-0.4","-0.4",
"Jules Koundé","frFRA","DF","Bordeaux","frLigue 1","19","1998","37.0","0","13","1","7.7","0.35","0.03","0.00","0.00","15.2","0","0","0","1.0","1.0","0.07","-1.0","-1.0",
"Cheikhou Kouyaté","snSEN","MF","Crystal Palace","engPremier League","28","1989","21.1","0","20","8","40.0","0.95","0.38","0.00","0.00","21.2","0","0","0","1.1","1.1","0.06","-1.1","-1.1",
"Mateo Kovačić","hrCRO","MF","Chelsea","engPremier League","24","1994","19.3","0","28","4","14.3","1.45","0.21","0.00","0.00","21.2","0","0","0","2.2","2.2","0.08","-2.2","-2.2",
"Dawid Kownacki","plPOL","FW","Sampdoria","itSerie A","21","1997","1.9","1","4","1","25.0","2.14","0.54","0.00","0.00","22.1","0","1","2","1.9","0.3","0.07","-0.9","-0.3",
"Dawid Kownacki","plPOL","MF,FW","Düsseldorf","deBundesliga","21","1997","6.4","4","13","5","38.5","2.03","0.78","0.31","0.80","14.9","0","0","0","1.6","1.6","0.12","+2.4","+2.4",
"Thomas Kraft","deGER","GK","Hertha BSC","deBundesliga","30","1988","3.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Emil Krafth","seSWE","DF","Amiens","frLigue 1","23","1994","33.0","1","10","5","50.0","0.30","0.15","0.10","0.20","22.5","0","0","0","0.7","0.7","0.07","+0.3","+0.3",
"Luka Krajnc","siSVN","DF","Frosinone","itSerie A","23","1994","8.8","0","3","1","33.3","0.34","0.11","0.00","0.00","12.9","0","0","0","0.2","0.2","0.07","-0.2","-0.2",
"Andrej Kramarić","hrCRO","MF,FW","Hoffenheim","deBundesliga","27","1991","26.6","17","104","38","36.5","3.91","1.43","0.12","0.32","18.6","8","5","6","21.0","16.3","0.16","-4.0","-4.3",
"Christoph Kramer","deGER","MF","Gladbach","deBundesliga","27","1991","12.6","2","8","3","37.5","0.63","0.24","0.25","0.67","17.6","0","0","0","1.0","1.0","0.13","+1.0","+1.0",
"Vasyl Kravets","uaUKR","DF,FW","Leganés","esLa Liga","20","1997","5.3","0","4","2","50.0","0.75","0.37","0.00","0.00","24.1","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Ladislav Krejčí","czCZE","DF,MF","Bologna","itSerie A","26","1992","11.8","0","9","4","44.4","0.76","0.34","0.00","0.00","20.8","1","0","0","0.5","0.5","0.05","-0.5","-0.5",
"Rene Krhin","siSVN","MF","Nantes","frLigue 1","28","1990","11.7","0","6","1","16.7","0.51","0.09","0.00","0.00","15.6","0","0","0","0.4","0.4","0.07","-0.4","-0.4",
"Toni Kroos","deGER","MF","Real Madrid","esLa Liga","28","1990","24.7","0","30","9","30.0","1.22","0.36","0.00","0.00","25.2","0","0","0","1.4","1.4","0.05","-1.4","-1.4",
"Rade Krunić","baBIH","MF","Empoli","itSerie A","24","1993","30.8","5","53","16","30.2","1.72","0.52","0.09","0.31","18.6","0","0","0","5.1","5.1","0.10","-0.1","-0.1",
"Max Kruse","deGER","FW,MF","Werder Bremen","deBundesliga","30","1988","31.5","11","88","37","42.0","2.80","1.18","0.09","0.22","19.9","2","3","3","10.3","8.0","0.09","+0.7","0.0",
"Lukas Kübler","deGER","DF,MF","Freiburg","deBundesliga","25","1992","13.2","0","6","2","33.3","0.46","0.15","0.00","0.00","22.6","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Yuya Kubo","jpJPN","FW,MF","Nürnberg","deBundesliga","24","1993","15.1","1","29","11","37.9","1.92","0.73","0.03","0.09","19.5","0","0","0","2.4","2.4","0.08","-1.4","-1.4",
"Juraj Kucka","skSVK","MF","Parma","itSerie A","31","1987","17.1","4","25","9","36.0","1.47","0.53","0.12","0.33","22.5","0","1","1","2.5","1.7","0.07","+1.5","+1.3",
"Dejan Kulusevski","seSWE","MF","Atalanta","itSerie A","18","2000","1.2","0","2","1","50.0","1.71","0.86","0.00","0.00","20.2","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Pierre Kunde","cmCMR","MF","Mainz 05","deBundesliga","23","1995","21.2","0","30","7","23.3","1.41","0.33","0.00","0.00","28.8","2","0","0","0.9","0.9","0.03","-0.9","-0.9",
"Jasmin Kurtić","siSVN","MF","SPAL","itSerie A","29","1989","28.4","6","64","12","18.8","2.25","0.42","0.09","0.50","22.0","9","0","0","3.9","3.9","0.06","+2.1","+2.1",
"Layvin Kurzawa","frFRA","DF,MF","Paris S-G","frLigue 1","25","1992","11.2","1","6","2","33.3","0.53","0.18","0.17","0.50","10.8","0","0","0","1.0","1.0","0.18","0.0","0.0",
"Rafał Kurzawa","plPOL","FW","Amiens","frLigue 1","25","1993","2.7","1","2","1","50.0","0.75","0.38","0.50","1.00","12.9","0","0","0","0.4","0.4","0.21","+0.6","+0.6",
"Ahmed Kutucu","trTUR","FW,MF","Schalke 04","deBundesliga","18","2000","4.7","2","13","7","53.8","2.75","1.48","0.15","0.29","20.8","1","0","0","1.4","1.4","0.11","+0.6","+0.6",
"Enock Kwateng","frFRA","DF","Nantes","frLigue 1","21","1997","22.7","0","5","0","0.0","0.22","0.00","0.00","","16.6","0","0","0","0.5","0.5","0.09","-0.5","-0.5",
"Grejohn Kyei","frFRA","FW","Reims","frLigue 1","22","1995","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Antonino La Gumina","itITA","FW,MF","Empoli","itSerie A","22","1996","12.1","2","26","9","34.6","2.15","0.74","0.08","0.22","12.4","0","0","0","4.3","4.3","0.17","-2.3","-2.3",
"Rajiv van La Parra","nlNED","FW,MF","Huddersfield","engPremier League","27","1991","4.5","0","5","0","0.0","1.11","0.00","0.00","","22.8","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Gaëtan Laborde","frFRA","FW","Bordeaux","frLigue 1","24","1994","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Gaëtan Laborde","frFRA","FW,MF","Montpellier","frLigue 1","24","1994","32.2","11","86","27","31.4","2.67","0.84","0.13","0.41","16.0","0","0","0","9.8","9.8","0.11","+1.2","+1.2",
"Alexandre Lacazette","frFRA","FW","Arsenal","engPremier League","27","1991","27.8","13","81","28","34.6","2.91","1.01","0.16","0.46","14.4","1","0","0","11.7","11.7","0.14","+1.3","+1.3",
"Alban Lafont","ciCIV","GK","Fiorentina","itSerie A","19","1999","33.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Víctor Laguardia","esESP","DF","Alavés","esLa Liga","28","1989","36.0","1","17","4","23.5","0.47","0.11","0.06","0.25","13.0","1","0","0","1.7","1.7","0.10","-0.7","-0.7",
"Abdou Lahat Diakhate","snSEN","MF","Parma","itSerie A","19","1998","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Konrad Laimer","atAUT","MF,DF","RB Leipzig","deBundesliga","21","1997","20.8","1","14","5","35.7","0.67","0.24","0.07","0.20","16.2","0","0","0","2.5","2.5","0.18","-1.5","-1.5",
"Diego Lainez","mxMEX","FW,MF","Betis","esLa Liga","18","2000","3.9","0","10","2","20.0","2.55","0.51","0.00","0.00","23.2","0","0","0","0.3","0.3","0.03","-0.3","-0.3",
"Kenny Lala","mgMAD","DF,FW","Strasbourg","frLigue 1","26","1991","34.0","5","21","8","38.1","0.62","0.24","0.19","0.50","24.5","3","1","2","3.1","1.3","0.06","+1.9","+2.7",
"Adam Lallana","engENG","MF,FW","Liverpool","engPremier League","30","1988","5.2","0","5","1","20.0","0.96","0.19","0.00","0.00","17.2","0","0","0","0.3","0.3","0.05","-0.3","-0.3",
"Érik Lamela","arARG","MF,FW","Tottenham","engPremier League","26","1992","10.8","4","29","11","37.9","2.68","1.02","0.14","0.36","16.9","1","0","0","3.3","3.3","0.11","+0.7","+0.7",
"Mohamed Lamine Diaby","frFRA","FW","Nice","frLigue 1","17","2001","1.8","0","2","0","0.0","1.11","0.00","0.00","","11.1","0","0","0","0.2","0.2","0.10","-0.2","-0.2",
"Loïck Landre","frFRA","DF","Nîmes","frLigue 1","26","1992","17.7","3","7","3","42.9","0.40","0.17","0.43","1.00","9.2","0","0","0","1.6","1.6","0.23","+1.4","+1.4",
"Michael Lang","chSUI","DF","Gladbach","deBundesliga","27","1991","13.9","1","11","3","27.3","0.79","0.22","0.09","0.33","10.5","0","0","0","1.9","1.9","0.17","-0.9","-0.9",
"Sebastian Langkamp","deGER","DF","Werder Bremen","deBundesliga","30","1988","15.7","0","10","2","20.0","0.64","0.13","0.00","0.00","10.0","0","0","0","1.2","1.2","0.12","-1.2","-1.2",
"Manuel Lanzini","arARG","MF","West Ham","engPremier League","25","1993","7.6","1","11","4","36.4","1.44","0.52","0.09","0.25","20.0","3","0","0","1.1","1.1","0.10","-0.1","-0.1",
"Gianluca Lapadula","pePER","FW","Genoa","itSerie A","28","1990","4.5","1","24","5","20.8","5.35","1.11","0.04","0.20","15.0","1","0","0","2.5","2.5","0.10","-1.5","-1.5",
"Aymeric Laporte","esESP","DF","Manchester City","engPremier League","24","1994","34.0","3","26","7","26.9","0.77","0.21","0.12","0.43","16.0","0","0","0","3.0","3.0","0.12","0.0","0.0",
"Danilo Larangeira","brBRA","DF","Bologna","itSerie A","34","1984","34.2","1","9","4","44.4","0.26","0.12","0.11","0.25","9.4","0","0","0","0.8","0.8","0.09","+0.2","+0.2",
"Johan Larsson","seSWE","DF","Guingamp","frLigue 1","28","1990","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kevin Lasagna","itITA","FW","Udinese","itSerie A","25","1992","27.3","6","63","20","31.7","2.31","0.73","0.10","0.30","15.5","1","0","1","8.5","7.6","0.12","-2.5","-1.6",
"Jamaal Lascelles","engENG","DF","Newcastle Utd","engPremier League","24","1993","30.5","0","11","1","9.1","0.36","0.03","0.00","0.00","11.2","0","0","0","0.6","0.6","0.06","-0.6","-0.6",
"Paul Lasne","frFRA","MF,DF","Montpellier","frLigue 1","29","1989","19.9","2","23","8","34.8","1.16","0.40","0.09","0.25","23.2","0","0","0","1.4","1.4","0.06","+0.6","+0.6",
"Toni Lato","esESP","DF","Valencia","esLa Liga","20","1997","3.0","0","2","0","0.0","0.67","0.00","0.00","","16.1","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Danny Latza","deGER","MF","Mainz 05","deBundesliga","28","1989","20.7","0","39","7","17.9","1.88","0.34","0.00","0.00","21.6","1","0","0","2.9","2.9","0.08","-2.9","-2.9",
"Alexandre Lauray","frFRA","DF","Bordeaux","frLigue 1","21","1997","2.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Armand Lauriente","frFRA","MF","Rennes","frLigue 1","19","1998","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Vincent Laurini","frFRA","DF","Fiorentina","itSerie A","29","1989","10.2","0","2","1","50.0","0.20","0.10","0.00","0.00","19.6","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Wesley Lautoa","ncNCL","DF,MF","Dijon","frLigue 1","30","1987","33.6","0","14","2","14.3","0.42","0.06","0.00","0.00","16.7","0","0","0","0.8","0.8","0.06","-0.8","-0.8",
"Diego Laxalt","uyURU","DF,MF","Milan","itSerie A","25","1993","7.2","0","6","3","50.0","0.83","0.41","0.00","0.00","8.8","0","0","0","1.2","1.2","0.25","-1.2","-1.2",
"Miguel Layún","mxMEX","MF,DF","Villarreal","esLa Liga","30","1988","5.6","0","12","2","16.7","2.13","0.36","0.00","0.00","24.3","2","0","0","0.5","0.4","0.03","-0.5","-0.4",
"Valentino Lazaro","atAUT","DF,FW","Hertha BSC","deBundesliga","22","1996","30.5","3","20","8","40.0","0.66","0.26","0.15","0.38","18.3","3","0","0","2.1","2.1","0.11","+0.9","+0.9",
"Darko Lazović","rsSRB","DF,FW","Genoa","itSerie A","27","1990","28.2","3","38","9","23.7","1.35","0.32","0.08","0.33","19.8","3","0","0","2.2","2.2","0.06","+0.8","+0.8",
"Manuel Lazzari","itITA","DF","SPAL","itSerie A","24","1993","31.5","0","34","5","14.7","1.08","0.16","0.00","0.00","20.2","0","0","0","1.4","1.4","0.04","-1.4","-1.4",
"Mickaël Le Bihan","frFRA","FW","Nice","frLigue 1","28","1990","2.3","1","4","2","50.0","1.76","0.88","0.00","0.00","18.9","0","1","1","1.3","0.5","0.12","-0.3","-0.5",
"Maxime Le Marchand","frFRA","DF","Fulham","engPremier League","28","1989","25.0","0","5","0","0.0","0.20","0.00","0.00","","13.2","0","0","0","0.3","0.3","0.06","-0.3","-0.3",
"Robin Le Normand","esESP","DF","Real Sociedad","esLa Liga","21","1996","3.2","0","2","0","0.0","0.63","0.00","0.00","","6.2","0","0","0","0.2","0.2","0.09","-0.2","-0.2",
"Damien Le Tallec","frFRA","MF","Montpellier","frLigue 1","28","1990","31.2","3","34","13","38.2","1.09","0.42","0.09","0.23","17.3","0","0","0","4.1","4.1","0.12","-1.1","-1.1",
"James Lea Siliki","cmCMR","MF,FW","Rennes","frLigue 1","22","1996","13.6","0","21","4","19.0","1.55","0.30","0.00","0.00","23.2","1","0","0","1.5","1.5","0.07","-1.5","-1.5",
"Rafael Leão","ptPOR","FW","Lille","frLigue 1","19","1999","14.3","8","37","20","54.1","2.59","1.40","0.22","0.40","14.7","0","0","0","4.3","4.3","0.12","+3.7","+3.7",
"Mathew Leckie","auAUS","FW,MF","Hertha BSC","deBundesliga","27","1991","10.5","2","22","9","40.9","2.10","0.86","0.09","0.22","12.9","0","0","0","2.7","2.7","0.12","-0.7","-0.7",
"Benjamin Lecomte","frFRA","GK","Montpellier","frLigue 1","27","1991","37.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Pierre Lees-Melou","frFRA","MF","Nice","frLigue 1","25","1993","26.6","2","39","11","28.2","1.47","0.41","0.05","0.18","19.8","0","0","0","3.3","3.3","0.08","-1.3","-1.3",
"Jordan Lefort","frFRA","DF","Amiens","frLigue 1","24","1993","20.0","0","11","1","9.1","0.55","0.05","0.00","0.00","22.4","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Wu Lei","cnCHN","FW,MF","Espanyol","esLa Liga","26","1991","11.8","3","31","8","25.8","2.63","0.68","0.10","0.38","13.0","0","0","0","5.1","5.1","0.16","-2.1","-2.1",
"Tim Leibold","deGER","DF","Nürnberg","deBundesliga","24","1993","30.7","0","27","5","18.5","0.88","0.16","0.00","0.00","22.8","3","0","1","2.0","1.2","0.04","-2.0","-1.2",
"Lucas Leiva","brBRA","MF","Lazio","itSerie A","31","1987","22.1","0","15","1","6.7","0.68","0.05","0.00","0.00","22.1","1","0","0","0.6","0.6","0.04","-0.6","-0.6",
"Florian Lejeune","frFRA","DF","Newcastle Utd","engPremier League","27","1991","11.7","0","7","2","28.6","0.60","0.17","0.00","0.00","15.9","0","0","0","0.4","0.4","0.06","-0.4","-0.4",
"Iñigo Lekue","esESP","DF","Athletic Club","esLa Liga","25","1993","2.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Thomas Lemar","frFRA","MF","Atlético Madrid","esLa Liga","22","1995","20.2","3","26","12","46.2","1.29","0.59","0.12","0.25","20.9","1","0","0","3.0","3.0","0.12","0.0","0.0",
"Mario Lemina","gaGAB","MF","Southampton","engPremier League","24","1993","17.9","1","25","5","20.0","1.39","0.28","0.04","0.20","22.2","0","0","0","1.1","1.1","0.04","-0.1","-0.1",
"Mauricio Lemos","uyURU","DF","Sassuolo","itSerie A","22","1995","2.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Clément Lenglet","frFRA","DF","Barcelona","esLa Liga","23","1995","21.5","1","6","2","33.3","0.28","0.09","0.17","0.50","8.5","0","0","0","0.9","0.9","0.16","+0.1","+0.1",
"Aaron Lennon","engENG","MF","Burnley","engPremier League","31","1987","13.5","1","4","2","50.0","0.30","0.15","0.25","0.50","13.4","0","0","0","0.8","0.8","0.20","+0.2","+0.2",
"Bernd Leno","deGER","GK","Arsenal","engPremier League","26","1992","31.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Pedro León","esESP","MF,FW","Eibar","esLa Liga","31","1986","4.7","1","7","2","28.6","1.48","0.42","0.14","0.50","20.6","0","0","0","1.0","1.0","0.14","0.0","0.0",
"Sergio León","esESP","FW,MF","Betis","esLa Liga","29","1989","7.1","0","13","2","15.4","1.83","0.28","0.00","0.00","18.6","0","0","0","0.6","0.6","0.04","-0.6","-0.6",
"Lukas Lerager","dkDEN","MF","Genoa","itSerie A","25","1993","12.5","1","16","5","31.3","1.28","0.40","0.06","0.20","16.2","0","0","0","1.3","1.3","0.08","-0.3","-0.3",
"Lukas Lerager","dkDEN","MF","Bordeaux","frLigue 1","25","1993","14.4","0","11","3","27.3","0.76","0.21","0.00","0.00","22.9","0","0","0","0.5","0.5","0.04","-0.5","-0.5",
"Mehdi Léris","dzALG","MF,DF","Chievo","itSerie A","20","1998","17.9","0","30","7","23.3","1.68","0.39","0.00","0.00","22.9","0","0","0","1.7","1.7","0.06","-1.7","-1.7",
"Jefferson Lerma","coCOL","MF","Bournemouth","engPremier League","23","1994","27.8","2","31","8","25.8","1.11","0.29","0.06","0.25","25.8","0","0","0","1.3","1.3","0.04","+0.7","+0.7",
"Robert Lewandowski","plPOL","FW","Bayern Munich","deBundesliga","29","1988","32.9","22","140","48","34.3","4.26","1.46","0.14","0.40","13.2","5","3","4","30.7","27.5","0.20","-8.7","-8.5",
"Igor Lewczuk","plPOL","DF","Bordeaux","frLigue 1","33","1985","5.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Aaron Leya Iseka","beBEL","FW","Toulouse","frLigue 1","20","1997","16.0","4","28","11","39.3","1.75","0.69","0.14","0.36","14.4","0","0","0","3.9","3.9","0.14","+0.1","+0.1",
"Stephan Lichtsteiner","chSUI","DF","Arsenal","engPremier League","34","1984","10.4","0","1","0","0.0","0.10","0.00","0.00","","29.8","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Dimitri Liénard","frFRA","MF,DF","Strasbourg","frLigue 1","30","1988","14.3","0","22","7","31.8","1.53","0.49","0.00","0.00","26.1","5","0","0","1.0","1.0","0.05","-1.0","-1.0",
"Philipp Lienhart","atAUT","DF","Freiburg","deBundesliga","22","1996","6.8","0","4","0","0.0","0.59","0.00","0.00","","11.8","0","0","0","0.5","0.5","0.12","-0.5","-0.5",
"Lucas Lima","brBRA","DF,FW","Nantes","frLigue 1","26","1991","27.7","0","21","4","19.0","0.76","0.14","0.00","0.00","23.5","5","0","0","1.0","1.0","0.05","-1.0","-1.0",
"Anthony Limbombe","beBEL","FW","Nantes","frLigue 1","24","1994","13.7","1","42","12","28.6","3.06","0.87","0.02","0.08","19.4","1","0","0","2.5","2.5","0.06","-1.5","-1.5",
"Victor Lindelöf","seSWE","DF","Manchester Utd","engPremier League","24","1994","28.9","1","8","1","12.5","0.28","0.03","0.13","1.00","9.3","0","0","0","0.7","0.7","0.09","+0.3","+0.3",
"Karol Linetty","plPOL","MF","Sampdoria","itSerie A","23","1995","27.9","3","34","13","38.2","1.22","0.47","0.09","0.23","22.6","0","0","0","2.1","2.1","0.06","+0.9","+0.9",
"Jesse Lingard","engENG","FW,MF","Manchester Utd","engPremier League","25","1992","18.5","4","31","13","41.9","1.68","0.70","0.10","0.23","17.6","0","1","1","4.7","3.9","0.13","-0.7","-0.9",
"Pol Lirola","esESP","DF,MF","Sassuolo","itSerie A","20","1997","33.1","2","17","3","17.6","0.51","0.09","0.12","0.67","21.0","0","0","0","1.6","1.6","0.09","+0.4","+0.4",
"Adem Ljajić","rsSRB","MF","Torino","itSerie A","26","1991","0.3","0","2","1","50.0","6.00","3.00","0.00","0.00","21.0","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Diego Llorente","esESP","DF","Real Sociedad","esLa Liga","24","1993","19.5","0","7","1","14.3","0.36","0.05","0.00","0.00","19.4","1","0","0","0.5","0.5","0.07","-0.5","-0.5",
"Fernando Llorente","esESP","FW","Tottenham","engPremier League","33","1985","7.7","1","24","5","20.8","3.11","0.65","0.04","0.20","10.6","0","0","0","3.4","3.4","0.14","-2.4","-2.4",
"Marcos Llorente","esESP","MF","Real Madrid","esLa Liga","23","1995","6.0","0","1","1","100.0","0.17","0.17","0.00","0.00","13.8","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Hugo Lloris","frFRA","GK","Tottenham","engPremier League","31","1986","33.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Giovani Lo Celso","arARG","MF,FW","Betis","esLa Liga","22","1996","26.6","9","60","25","41.7","2.25","0.94","0.12","0.28","20.3","2","2","4","8.2","5.0","0.08","+0.8","+2.0",
"Giovani Lo Celso","arARG","MF","Paris S-G","frLigue 1","22","1996","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Stanislav Lobotka","skSVK","MF","Celta Vigo","esLa Liga","23","1994","27.7","0","11","2","18.2","0.40","0.07","0.00","0.00","21.8","0","0","0","0.9","0.9","0.08","-0.9","-0.9",
"Jürgen Locadia","cwCUW","FW,MF","Brighton","engPremier League","24","1993","13.7","2","27","9","33.3","1.97","0.66","0.07","0.22","17.8","1","0","0","2.7","2.7","0.10","-0.7","-0.7",
"Manuel Locatelli","itITA","MF","Sassuolo","itSerie A","20","1998","20.5","2","31","6","19.4","1.51","0.29","0.06","0.33","23.1","0","0","0","2.5","2.5","0.08","-0.5","-0.5",
"Ruben Loftus-Cheek","engENG","MF,FW","Chelsea","engPremier League","22","1996","11.1","6","28","8","28.6","2.53","0.72","0.21","0.75","16.2","0","0","0","2.8","2.8","0.10","+3.2","+3.2",
"Enzo Loiodice","frFRA","MF","Dijon","frLigue 1","17","2000","9.4","0","5","2","40.0","0.53","0.21","0.00","0.00","27.5","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Kevin Long","ieIRL","DF","Burnley","engPremier League","27","1990","5.7","0","1","0","0.0","0.18","0.00","0.00","","10.1","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Shane Long","ieIRL","FW,MF","Southampton","engPremier League","31","1987","14.1","5","30","10","33.3","2.12","0.71","0.17","0.50","14.5","0","0","0","4.6","4.6","0.16","+0.4","+0.4",
"Samuele Longo","itITA","FW","Huesca","esLa Liga","26","1992","6.2","1","10","4","40.0","1.62","0.65","0.10","0.25","9.1","0","0","0","1.8","1.8","0.18","-0.8","-0.8",
"Sean Longstaff","engENG","MF","Newcastle Utd","engPremier League","20","1997","7.6","1","8","2","25.0","1.05","0.26","0.13","0.50","23.6","0","0","0","0.7","0.7","0.09","+0.3","+0.3",
"Ademola Lookman","ngNGA","FW,MF","Everton","engPremier League","20","1997","6.9","0","12","3","25.0","1.75","0.44","0.00","0.00","18.6","0","0","0","1.4","1.4","0.12","-1.4","-1.4",
"Anthony Lopes","ptPOR","GK","Lyon","frLigue 1","27","1990","34.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Rony Lopes","ptPOR","FW,MF","Monaco","frLigue 1","22","1995","20.5","2","51","24","47.1","2.48","1.17","0.04","0.08","19.7","6","0","0","4.0","4.0","0.08","-2.0","-2.0",
"Álex López","esESP","MF","Espanyol","esLa Liga","21","1997","1.2","0","1","0","0.0","0.80","0.00","0.00","","28.5","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Cristian López","esESP","FW","Angers","frLigue 1","29","1989","4.1","2","11","3","27.3","2.66","0.73","0.18","0.67","13.7","0","0","1","2.1","1.3","0.12","-0.1","+0.7",
"David López","esESP","DF","Espanyol","esLa Liga","28","1989","20.2","0","9","2","22.2","0.45","0.10","0.00","0.00","18.1","0","0","0","1.0","1.0","0.11","-1.0","-1.0",
"Diego López","esESP","GK","Espanyol","esLa Liga","36","1981","38.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Javi López","esESP","DF","Espanyol","esLa Liga","32","1986","21.6","0","7","1","14.3","0.32","0.05","0.00","0.00","19.2","0","0","0","0.7","0.7","0.10","-0.7","-0.7",
"Lluis López","esESP","DF","Espanyol","esLa Liga","21","1997","5.8","0","1","1","100.0","0.17","0.17","0.00","0.00","3.9","0","0","0","0.2","0.2","0.22","-0.2","-0.2",
"Maxime Lopez","frFRA","MF","Marseille","frLigue 1","20","1997","24.2","1","13","4","30.8","0.54","0.17","0.08","0.25","27.3","1","0","0","0.5","0.5","0.04","+0.5","+0.5",
"Pedro López Muñoz","esESP","DF","Levante","esLa Liga","34","1983","5.2","0","2","1","50.0","0.39","0.19","0.00","0.00","20.6","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Pau López","esESP","GK","Betis","esLa Liga","23","1994","33.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Roberto López","esESP","MF","Real Sociedad","esLa Liga","18","2000","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Unai López","esESP","MF","Athletic Club","esLa Liga","22","1995","3.6","0","4","1","25.0","1.10","0.27","0.00","0.00","22.5","0","0","0","0.2","0.2","0.05","-0.2","-0.2",
