Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
"Ander Barrenetxea","esESP","FW,MF","Real Sociedad","esLa Liga","16","2001","4.4","1","5","1","20.0","1.13","0.23","0.20","1.00","14.0","0","0","0","0.5","0.5","0.10","+0.5","+0.5",
"Édgar Barreto","pyPAR","MF","Sampdoria","itSerie A","34","1984","8.7","0","8","3","37.5","0.92","0.34","0.00","0.00","18.7","1","0","0","1.0","1.0","0.12","-1.0","-1.0",
"Musa Barrow","gmGAM","FW","Atalanta","itSerie A","19","1998","6.7","1","30","8","26.7","4.49","1.20","0.03","0.13","17.7","0","0","0","2.9","2.9","0.10","-1.9","-1.9",
"Fin Bartels","deGER","MF,FW","Werder Bremen","deBundesliga","31","1987","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marc Bartra","esESP","DF","Betis","esLa Liga","27","1991","32.5","1","10","4","40.0","0.31","0.12","0.10","0.25","24.9","1","0","0","0.7","0.7","0.07","+0.3","+0.3",
"Andrea Barzagli","itITA","DF","Juventus","itSerie A","37","1981","2.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Daniele Baselli","itITA","MF","Torino","itSerie A","26","1992","26.4","4","42","11","26.2","1.59","0.42","0.10","0.36","23.1","7","0","0","2.4","2.4","0.06","+1.6","+1.6",
"Toma Bašić","hrCRO","MF","Bordeaux","frLigue 1","21","1996","14.8","2","20","7","35.0","1.35","0.47","0.10","0.29","25.7","5","0","0","1.2","1.2","0.06","+0.8","+0.8",
"Thomas Basila","frFRA","DF","Nantes","frLigue 1","19","1999","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Borja Bastón","esESP","FW","Alavés","esLa Liga","25","1992","16.0","5","33","9","27.3","2.06","0.56","0.15","0.56","11.3","0","0","0","6.2","6.2","0.19","-1.2","-1.2",
"Alessandro Bastoni","itITA","DF","Parma","itSerie A","19","1999","18.8","1","3","2","66.7","0.16","0.11","0.33","0.50","12.1","0","0","0","0.6","0.6","0.19","+0.4","+0.4",
"Bastos","aoANG","DF","Lazio","itSerie A","27","1991","12.7","1","11","3","27.3","0.87","0.24","0.09","0.33","18.7","0","0","0","0.7","0.7","0.06","+0.3","+0.3",
"Michy Batshuayi","beBEL","FW","Crystal Palace","engPremier League","24","1993","8.3","5","27","10","37.0","3.24","1.20","0.19","0.50","16.7","0","0","0","4.0","4.0","0.15","+1.0","+1.0",
"Michy Batshuayi","beBEL","FW","Valencia","esLa Liga","24","1993","5.9","1","17","7","41.2","2.90","1.20","0.06","0.14","17.6","0","0","0","1.4","1.4","0.08","-0.4","-0.4",
"Robert Bauer","deGER","DF","Nürnberg","deBundesliga","23","1995","19.1","0","8","1","12.5","0.42","0.05","0.00","0.00","27.8","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","28","1990","33.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Timo Baumgartl","deGER","DF","Stuttgart","deBundesliga","22","1996","18.0","1","5","2","40.0","0.28","0.11","0.20","0.50","12.1","0","0","0","0.3","0.3","0.07","+0.7","+0.7",
"Julian Baumgartlinger","atAUT","MF","Leverkusen","deBundesliga","30","1988","17.3","0","11","0","0.0","0.64","0.00","0.00","","23.0","0","0","0","0.6","0.6","0.06","-0.6","-0.6",
"Christoph Baumgartner","atAUT","MF","Hoffenheim","deBundesliga","18","1999","0.9","0","2","0","0.0","2.12","0.00","0.00","","19.2","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Jon Bautista","esESP","FW","Real Sociedad","esLa Liga","23","1995","6.6","1","20","5","25.0","3.02","0.75","0.05","0.20","13.0","0","0","0","2.7","2.7","0.14","-1.7","-1.7",
"Paul Baysse","frFRA","DF","Bordeaux","frLigue 1","30","1988","0.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Paul Baysse","frFRA","DF","Caen","frLigue 1","30","1988","19.9","0","9","3","33.3","0.45","0.15","0.00","0.00","13.1","0","0","0","0.8","0.8","0.09","-0.8","-0.8",
"Noah Joel Sarenren Bazee","ngNGA","FW,MF","Hannover 96","deBundesliga","21","1996","1.7","0","5","0","0.0","2.90","0.00","0.00","","17.3","0","0","0","0.5","0.5","0.10","-0.5","-0.5",
"Claudio Beauvue","gpGLP","FW,MF","Caen","frLigue 1","30","1988","16.7","3","39","13","33.3","2.34","0.78","0.05","0.15","16.5","0","1","1","4.7","3.9","0.10","-1.7","-1.9",
"Bebé","cvCPV","FW,MF","Rayo Vallecano","esLa Liga","28","1990","14.5","1","59","12","20.3","4.08","0.83","0.02","0.08","27.5","4","0","0","2.2","2.2","0.04","-1.2","-1.2",
"Bebé","cvCPV","MF","Eibar","esLa Liga","28","1990","0.7","0","3","2","66.7","4.35","2.90","0.00","0.00","21.0","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Ihlas Bebou","tgTOG","MF,FW","Hannover 96","deBundesliga","24","1994","11.8","4","26","10","38.5","2.20","0.84","0.12","0.30","21.9","2","1","1","4.6","3.8","0.15","-0.6","-0.8",
"Uffe Bech","dkDEN","FW","Hannover 96","deBundesliga","25","1993","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Andreas Beck","deGER","DF","Stuttgart","deBundesliga","31","1987","19.7","0","12","2","16.7","0.61","0.10","0.00","0.00","20.6","0","0","0","0.7","0.7","0.06","-0.7","-0.7",
