Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Emanuel Emegha","nlNED","FW","Strasbourg","frLigue 1","21","2003","25.5","577","36","86","249","249","99","577","28","7","25.0","20","71.4","341","1850","860","37","20","32","59","30","423","104",
"Emerson","brBRA","DF","Milan","itSerie A","25","1999","15.3","1102","56","312","526","271","22","1102","18","7","38.9","9","50.0","584","2423","1228","23","19","3","18","10","710","71",
"Yunus Emre Konak","trTUR","FW,MF","Brentford","engPremier League","18","2006","0.5","53","0","9","27","17","0","53","2","0","0.0","2","100.0","17","67","41","1","1","1","3","3","28","2",
"Julio Enciso","pyPAR","MF,FW","Ipswich Town","engPremier League","20","2004","9.7","406","5","52","202","167","23","406","66","30","45.5","28","42.4","205","1537","793","23","25","9","24","30","262","44",
"Julio Enciso","pyPAR","MF,FW","Brighton","engPremier League","20","2004","3.3","202","2","17","72","116","20","202","21","10","47.6","8","38.1","114","678","386","11","10","4","7","9","141","17",
"Wataru Endo","jpJPN","MF,DF","Liverpool","engPremier League","31","1993","3.0","237","12","65","124","49","3","237","2","2","100.0","0","0.0","110","397","169","1","3","1","6","3","163","8",
"Endrick","brBRA","FW","Real Madrid","esLa Liga","18","2006","4.0","127","1","7","41","80","23","127","11","4","36.4","6","54.5","83","569","308","12","5","10","10","3","103","32",
"Yannik Engelhardt","deGER","MF,DF","Como","itSerie A","23","2001","12.9","836","42","204","510","130","16","836","15","9","60.0","3","20.0","525","2734","1250","18","13","2","22","7","553","18",
"Arne Engels","beBEL","MF,FW","Augsburg","deBundesliga","20","2003","0.9","32","1","1","14","17","2","32","1","0","0.0","1","100.0","17","75","38","1","3","0","0","0","24","5",
"Christian Eriksen","dkDEN","MF","Manchester Utd","engPremier League","32","1992","11.8","850","26","173","397","284","17","849","4","0","0.0","4","100.0","473","1784","851","13","14","1","13","5","566","29",
"Martin Erlic","hrCRO","DF","Bologna","itSerie A","26","1998","3.7","268","22","102","153","13","7","268","1","0","0.0","0","0.0","179","832","465","4","1","0","2","0","201","1",
"Patrick Erras","deGER","DF","Holstein Kiel","deBundesliga","29","1995","9.2","622","124","357","242","23","14","622","0","0","","0","","282","1063","596","3","1","0","3","0","413","1",
"Alfonso Espino","uyURU","DF","Rayo Vallecano","esLa Liga","32","1992","9.3","637","39","217","288","139","10","637","14","5","35.7","7","50.0","307","1262","675","10","13","4","10","9","333","29",
"Sebastiano Esposito","itITA","FW,MF","Empoli","itSerie A","22","2002","25.9","1081","11","85","532","480","95","1079","67","29","43.3","31","46.3","565","2356","1092","31","26","11","88","50","712","106",
"Romain Esse","engENG","MF","Crystal Palace","engPremier League","19","2005","1.5","73","1","14","30","29","9","73","6","2","33.3","4","66.7","38","121","49","1","1","2","6","2","43","14",
"Samuel Essende","cdCOD","FW","Augsburg","deBundesliga","26","1998","18.2","564","10","43","262","270","93","564","52","14","26.9","32","61.5","347","1652","699","33","19","20","86","37","433","118",
"Dario Essugo","ptPOR","MF","Las Palmas","esLa Liga","19","2005","21.5","1228","75","362","732","148","10","1228","18","12","66.7","5","27.8","582","2787","1382","18","21","2","35","21","763","8",
"Estanis","esESP","FW","Bologna","itSerie A","20","2003","0.1","13","0","0","1","12","6","13","3","2","66.7","1","33.3","5","39","20","1","0","1","0","0","6","1",
"Nahuel Estévez","arARG","MF","Parma","itSerie A","28","1995","7.3","379","33","107","208","66","2","379","3","3","100.0","0","0.0","148","463","188","3","0","0","3","4","199","4",
"Pervis Estupiñán","ecECU","DF","Brighton","engPremier League","26","1998","26.7","1915","89","493","936","506","35","1915","34","19","55.9","13","38.2","1023","5007","2689","59","61","9","34","27","1144","112",
"Etienne Eto'o","cmCMR","FW","Rayo Vallecano","esLa Liga","21","2002","0.4","13","1","1","5","7","2","13","2","0","0.0","2","100.0","4","9","0","0","0","0","2","0","9","1",
"Karl Etta Eyong","cmCMR","MF,FW","Villarreal","esLa Liga","20","2003","0.4","9","0","1","2","6","1","9","0","0","","0","","5","15","0","0","0","0","4","0","5","0",
"Evanilson","brBRA","FW","Bournemouth","engPremier League","24","1999","25.8","558","23","56","208","299","127","557","21","7","33.3","8","38.1","333","1822","861","29","18","15","38","24","400","99",
"Jake Evans","engENG","FW","Leicester City","engPremier League","15","2008","0.3","5","0","1","3","1","0","5","0","0","","0","","1","1","0","0","0","0","0","1","3","1",
"Jonny Evans","nirNIR","DF","Manchester Utd","engPremier League","36","1988","3.5","250","36","139","100","15","3","250","1","1","100.0","0","0.0","143","574","242","3","2","0","1","0","151","3",
"Edu Expósito","esESP","MF","Espanyol","esLa Liga","27","1996","11.6","630","22","105","308","230","26","630","28","15","53.6","13","46.4","340","1757","954","23","20","4","29","18","382","41",
"Eberechi Eze","engENG","MF,FW","Crystal Palace","engPremier League","26","1998","28.8","1414","17","193","661","597","95","1412","138","67","48.6","62","44.9","840","5063","2380","69","48","22","55","45","907","153",
"Abde Ezzalzouli","maMAR","FW,MF","Betis","esLa Liga","22","2001","22.0","1081","10","120","407","585","151","1080","103","46","44.7","37","35.9","706","5210","3025","117","75","58","64","50","797","215",
"Giovanni Fabbian","itITA","MF","Bologna","itSerie A","21","2003","11.4","328","5","41","153","142","47","328","16","2","12.5","9","56.3","198","1292","356","14","6","5","30","18","236","43",
"Łukasz Fabiański","plPOL","GK","West Ham","engPremier League","39","1985","12.9","530","414","525","5","0","0","530","3","3","100.0","0","0.0","285","1485","890","0","0","0","0","0","248","0",
"Alieu Fadera","gmGAM","FW,DF","Como","itSerie A","22","2001","18.3","844","16","148","326","391","60","844","68","26","38.2","34","50.0","544","3868","2239","74","34","32","41","33","533","160",
"Wout Faes","beBEL","DF","Leicester City","engPremier League","26","1998","31.3","1906","318","962","885","68","27","1906","6","5","83.3","1","16.7","1107","5050","2928","12","13","2","17","6","1268","1",
"Nicolò Fagioli","itITA","MF","Fiorentina","itSerie A","23","2001","10.7","713","22","146","391","185","8","713","22","10","45.5","9","40.9","480","2460","1004","15","27","0","17","12","527","19",
"Nicolò Fagioli","itITA","MF","Juventus","itSerie A","23","2001","6.3","470","11","77","283","112","10","470","3","2","66.7","1","33.3","311","2051","1035","19","22","2","11","2","387","18",
"Romain Faivre","frFRA","MF,FW","Brest","frLigue 1","26","1998","10.0","479","2","58","231","198","34","478","42","17","40.5","22","52.4","310","2050","928","24","23","9","13","7","355","49",
"Wladimiro Falcone","itITA","GK","Lecce","itSerie A","29","1995","38.0","1321","1174","1315","6","0","0","1321","0","0","","0","","727","3904","2291","0","0","0","1","0","585","0",
"Davide Faraoni","itITA","DF","Hellas Verona","itSerie A","32","1991","2.9","136","15","47","47","43","4","136","1","0","0.0","1","100.0","55","232","106","2","1","0","3","0","66","13",
"Abdul Fatawu Issahaku","ghGHA","FW","Leicester City","engPremier League","20","2004","6.4","326","19","73","114","157","26","326","69","29","42.0","28","40.6","217","1869","1055","42","24","15","18","12","216","60",
"Ansu Fati","esESP","FW","Barcelona","esLa Liga","21","2002","2.6","170","0","8","59","105","22","170","11","5","45.5","5","45.5","107","586","234","7","7","4","10","4","134","32",
"Khalil Fayad","frFRA","MF,FW","Montpellier","frLigue 1","20","2004","11.4","663","19","129","367","175","17","663","38","17","44.7","20","52.6","340","2150","923","25","15","7","18","13","426","42",
"Jacopo Fazzini","itITA","MF","Empoli","itSerie A","21","2003","15.4","639","14","93","298","260","43","639","48","23","47.9","19","39.6","364","2344","1117","34","25","15","39","33","426","88",
"Nabil Fekir","frFRA","MF","Betis","esLa Liga","31","1993","2.0","108","0","3","52","53","6","108","5","0","0.0","4","80.0","72","479","259","9","4","2","4","6","85","18",
"Mattia Felici","itITA","MF,FW","Cagliari","itSerie A","23","2001","10.3","422","13","76","151","202","37","422","57","19","33.3","30","52.6","259","1802","962","39","18","19","26","10","280","75",
"Luiz Felipe","itITA","DF","Marseille","frLigue 1","27","1997","1.4","86","7","36","46","5","0","86","2","1","50.0","1","50.0","47","197","95","0","0","0","1","0","55","0",
"João Félix","ptPOR","FW,MF","Chelsea","engPremier League","24","1999","4.1","272","2","26","128","125","30","272","31","10","32.3","14","45.2","193","1248","712","21","13","5","6","4","218","30",
"João Félix","ptPOR","MF","Milan","itSerie A","24","1999","8.4","408","8","52","191","169","43","408","35","15","42.9","15","42.9","275","1606","716","20","24","12","16","9","329","56",
"Frank Feller","deGER","GK","Heidenheim","deBundesliga","20","2004","1.3","70","53","70","0","0","0","70","0","0","","0","","34","104","37","0","0","0","0","0","37","0",
"Kiko Femenía","esESP","DF","Villarreal","esLa Liga","33","1991","24.7","1710","95","630","812","280","9","1710","24","17","70.8","6","25.0","902","4937","2602","52","30","0","22","10","1036","44",
"Evan Ferguson","ieIRL","FW","West Ham","engPremier League","19","2004","1.7","66","1","6","30","31","10","66","5","3","60.0","2","40.0","31","123","41","1","1","1","8","5","42","7",
"Evan Ferguson","ieIRL","FW","Brighton","engPremier League","19","2004","2.7","88","7","13","50","26","9","88","2","1","50.0","1","50.0","42","183","56","2","1","2","5","6","52","9",
"Lewis Ferguson","sctSCO","MF","Bologna","itSerie A","24","1999","10.9","748","13","91","469","193","18","747","9","5","55.6","2","22.2","471","2769","1173","20","21","2","13","10","527","26",
"Zinedine Ferhat","dzALG","FW,MF","Angers","frLigue 1","31","1993","9.4","550","11","67","257","231","19","550","22","10","45.5","10","45.5","292","1453","553","16","10","4","21","15","390","64",
"Bruno Fernandes","ptPOR","MF","Manchester Utd","engPremier League","29","1994","33.5","2649","62","428","1263","983","80","2646","67","28","41.8","33","49.3","1542","7244","3866","77","65","14","43","43","1853","129",
"Edimilson Fernandes","chSUI","MF,DF","Brest","frLigue 1","28","1996","12.3","684","61","231","384","76","7","684","4","3","75.0","1","25.0","399","2539","1052","7","9","0","17","9","458","3",
"Mateus Fernandes","ptPOR","MF","Southampton","engPremier League","20","2004","32.3","1760","72","385","867","547","49","1760","109","49","45.0","49","45.0","897","5736","3143","76","70","9","58","36","1077","108",
"Aitor Fernández","esESP","GK","Osasuna","esLa Liga","33","1991","1.0","50","45","50","0","0","0","50","0","0","","0","","27","146","105","0","0","0","0","0","17","0",
"Álvaro Fernández","esESP","GK","Sevilla","esLa Liga","26","1998","8.3","349","272","347","2","0","0","349","0","0","","0","","187","856","400","0","0","0","0","0","196","0",
"Enzo Fernández","arARG","MF","Chelsea","engPremier League","23","2001","32.7","2210","37","346","1129","751","81","2210","55","26","47.3","21","38.2","1211","5652","2735","60","55","9","29","28","1622","126",
"Pelayo Fernandez","esESP","DF","Rayo Vallecano","esLa Liga","21","2003","1.1","39","8","26","14","0","0","39","0","0","","0","","16","77","38","0","0","0","0","1","16","0",
"Roberto Férnandez","esESP","FW","Espanyol","esLa Liga","22","2002","16.6","436","26","70","222","151","37","436","27","11","40.7","16","59.3","227","877","283","7","10","3","55","16","292","50",
"Valery Fernández","esESP","MF,FW","Mallorca","esLa Liga","24","1999","3.4","133","5","22","69","44","8","133","6","1","16.7","5","83.3","75","411","126","2","3","1","5","3","90","14",
"Matias Fernandez-Pardo","beBEL","FW,MF","Lille","frLigue 1","19","2005","11.8","429","7","38","137","267","51","429","50","20","40.0","26","52.0","285","2428","1270","46","30","26","23","13","311","85",
"André Ferreira","ptPOR","GK","Valladolid","esLa Liga","28","1996","6.0","216","185","215","1","0","0","216","0","0","","0","","83","441","280","0","0","0","0","0","78","0",
"Jordan Ferri","frFRA","MF","Montpellier","frLigue 1","32","1992","19.7","1433","35","316","869","265","13","1433","28","9","32.1","16","57.1","802","3793","1663","19","16","2","16","27","1066","42",
"Daniel Fila","czCZE","FW","Venezia","itSerie A","21","2002","5.5","147","5","12","68","68","19","147","4","2","50.0","1","25.0","82","372","121","5","6","1","16","14","102","30",
"Karol Fila","plPOL","MF","Strasbourg","frLigue 1","26","1998","0.1","4","0","2","2","0","0","4","0","0","","0","","1","1","1","0","0","0","0","0","2","0",
"Kilian Fischer","deGER","DF","Wolfsburg","deBundesliga","23","2000","25.5","1529","87","527","666","348","20","1529","23","10","43.5","13","56.5","704","4025","2047","51","31","5","31","9","794","89",
"Mark Flekken","nlNED","GK","Brentford","engPremier League","31","1993","36.4","1824","1436","1777","52","0","0","1824","1","1","100.0","0","0.0","1122","5725","3253","0","0","0","3","0","1015","0",
"Alessandro Florenzi","itITA","FW","Milan","itSerie A","33","1991","0.1","4","0","1","1","2","0","4","0","0","","0","","4","8","2","0","0","0","0","0","4","0",
"Mateo Flores","esESP","MF","Betis","esLa Liga","20","2004","1.7","84","4","27","47","11","1","84","0","0","","0","","47","189","55","0","0","0","3","3","50","2",
"Phil Foden","engENG","MF,FW","Manchester City","engPremier League","24","2000","19.7","1139","13","85","382","681","83","1139","43","14","32.6","23","53.5","722","3720","1782","50","30","17","36","31","894","128",
"Malick Fofana","beBEL","FW","Lyon","frLigue 1","19","2005","17.7","828","7","79","284","487","95","828","59","24","40.7","31","52.5","587","4362","2643","112","57","39","36","18","645","205",
"Rayan Fofana","frFRA","FW,MF","Lens","frLigue 1","18","2006","0.3","14","0","3","7","5","0","14","1","0","0.0","1","100.0","7","36","3","0","0","0","1","0","6","2",
"Seko Fofana","ciCIV","MF","Rennes","frLigue 1","29","1995","9.4","640","11","80","360","204","25","640","24","12","50.0","11","45.8","394","2234","1132","32","18","5","9","6","514","38",
"Wesley Fofana","frFRA","DF","Chelsea","engPremier League","23","2000","13.0","933","81","370","523","55","10","933","15","8","53.3","3","20.0","557","3149","1614","19","12","1","16","5","665","4",
"Yahia Fofana","ciCIV","GK","Angers","frLigue 1","23","2000","33.0","1110","981","1104","6","0","0","1110","2","2","100.0","0","0.0","555","3389","2288","0","0","0","0","0","366","0",
"Youssouf Fofana","frFRA","MF","Milan","itSerie A","25","1999","27.8","1655","35","328","1093","258","21","1655","31","14","45.2","17","54.8","986","5773","3150","44","49","5","30","20","1221","32",
"Jonas Föhrenbach","deGER","DF","Heidenheim","deBundesliga","28","1996","20.4","1112","72","416","483","221","17","1112","17","7","41.2","9","52.9","521","2715","1474","36","11","4","16","3","584","50",
"Michael Folorunsho","itITA","FW,MF","Fiorentina","itSerie A","26","1998","7.2","342","6","71","164","113","16","342","18","9","50.0","6","33.3","190","1030","429","13","5","5","12","9","213","33",
"Michael Folorunsho","itITA","FW,MF","Napoli","itSerie A","26","1998","0.4","26","0","3","17","7","1","26","3","0","0.0","3","100.0","6","57","10","0","0","0","2","0","13","2",
"Lamine Fomba","frFRA","MF","Saint-Étienne","frLigue 1","26","1998","2.4","183","6","29","117","39","3","183","3","2","66.7","1","33.3","114","705","291","5","5","0","8","2","134","5",
"Carlos Forbs","ptPOR","MF,FW","Wolves","engPremier League","20","2004","2.7","121","3","23","39","60","13","121","12","7","58.3","5","41.7","75","468","321","10","3","8","7","4","85","28",
"Pablo Fornals","esESP","MF,FW","Betis","esLa Liga","28","1996","20.3","1272","20","171","684","428","36","1272","28","8","28.6","20","71.4","777","3245","1523","32","34","7","24","16","911","85",
"Omari Forson","engENG","MF,FW","Monza","itSerie A","20","2004","2.5","140","0","15","57","69","2","140","9","6","66.7","2","22.2","103","787","426","14","14","1","8","6","111","18",
"Fraser Forster","engENG","GK","Tottenham","engPremier League","36","1988","7.0","228","212","228","0","0","0","228","1","1","100.0","0","0.0","113","501","264","0","0","0","1","0","94","0",
"Héctor Fort","esESP","DF","Barcelona","esLa Liga","17","2006","6.5","573","18","111","300","166","17","573","9","2","22.2","7","77.8","308","1255","679","14","15","2","4","4","397","33",
"Dimitri Foulquier","frFRA","DF","Valencia","esLa Liga","31","1993","25.5","1530","64","451","770","319","26","1530","33","8","24.2","16","48.5","749","4153","2372","48","33","7","30","16","882","66",
"Juan Foyth","arARG","DF","Villarreal","esLa Liga","26","1998","16.9","1190","199","631","460","111","21","1190","9","4","44.4","4","44.4","607","3416","2328","13","14","0","11","2","727","11",
"Fran","esESP","GK","Real Madrid","esLa Liga","19","2005","1.0","22","20","22","0","0","0","22","0","0","","0","","12","40","23","0","0","0","0","0","13","0",
"Matheus França","brBRA","MF,FW","Crystal Palace","engPremier League","20","2004","0.6","33","2","5","11","17","7","33","0","0","","0","","20","130","85","4","1","3","2","0","22","4",
"Alejandro Francés","esESP","DF","Girona","esLa Liga","21","2002","13.0","969","66","343","503","130","7","969","14","7","50.0","6","42.9","496","2628","1469","18","9","1","8","1","632","21",
"Przemysław Frankowski","plPOL","DF","Lens","frLigue 1","29","1995","15.4","1230","42","240","546","454","38","1228","16","6","37.5","9","56.3","637","3033","1514","33","35","2","16","8","800","95",
"Enric Franquesa","esESP","DF,FW","Leganés","esLa Liga","27","1997","6.8","306","12","89","157","68","6","306","21","9","42.9","7","33.3","133","793","337","11","10","2","21","2","151","30",
"Ryan Fraser","sctSCO","FW,DF","Southampton","engPremier League","30","1994","3.4","131","12","45","50","37","3","131","3","2","66.7","1","33.3","74","492","252","10","5","2","4","2","94","18",
"Davide Frattesi","itITA","MF","Inter","itSerie A","24","1999","13.6","499","20","96","261","152","44","499","18","7","38.9","7","38.9","296","1650","858","23","15","7","20","4","345","50",
"Tyler Fredricson","engENG","DF","Manchester Utd","engPremier League","19","2005","1.8","141","11","64","68","9","1","141","1","1","100.0","0","0.0","86","279","114","2","1","0","2","0","95","0",
"Morten Frendrup","dkDEN","MF","Genoa","itSerie A","23","2001","34.5","1647","84","424","939","303","22","1647","24","10","41.7","11","45.8","737","3540","1548","24","20","5","41","24","876","29",
"Martin Frese","dkDEN","DF","Hellas Verona","itSerie A","26","1998","6.1","320","19","104","158","59","4","320","2","0","0.0","0","0.0","153","674","390","7","6","0","4","0","174","12",
"Remo Freuler","chSUI","MF","Bologna","itSerie A","32","1992","35.6","2245","67","394","1419","448","32","2245","13","5","38.5","7","53.8","1216","5508","2556","39","44","1","32","14","1506","56",
"Marco Friedl","atAUT","DF","Werder Bremen","deBundesliga","26","1998","24.0","1769","251","1025","715","35","5","1769","8","6","75.0","2","25.0","1069","4836","2108","4","5","0","12","7","1101","1",
"Marvin Friedrich","deGER","DF","Gladbach","deBundesliga","28","1995","11.0","822","90","426","370","27","17","822","2","2","100.0","0","0.0","502","2464","1284","11","3","0","5","3","583","3",
"Jeremie Frimpong","nlNED","DF,MF","Leverkusen","deBundesliga","23","2000","25.7","1205","20","144","394","677","112","1205","78","25","32.1","47","60.3","673","4175","2389","100","41","32","45","26","827","272",
"Jorge de Frutos","esESP","FW,MF","Rayo Vallecano","esLa Liga","27","1997","27.7","1010","25","165","328","544","107","1010","104","32","30.8","62","59.6","605","3941","2074","77","50","28","81","38","675","201",
"Darío Fuentes","esESP","DF","Sevilla","esLa Liga","21","2003","0.1","2","0","0","0","2","0","2","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Chris Führich","deGER","MF,FW","Stuttgart","deBundesliga","26","1998","22.0","1220","20","109","438","687","115","1220","85","40","47.1","42","49.4","782","6087","3161","114","68","54","37","26","905","202",
"Shiō Fukuda","jpJPN","FW","Gladbach","deBundesliga","20","2004","0.7","18","0","0","6","12","5","18","3","1","33.3","2","66.7","8","22","7","0","1","0","1","1","13","3",
"Angelo Fulgini","frFRA","MF,FW","Lens","frLigue 1","27","1996","11.6","801","8","87","340","381","50","801","38","11","28.9","24","63.2","494","2511","1283","29","26","8","28","24","613","113",
"Niclas Füllkrug","deGER","FW","West Ham","engPremier League","31","1993","8.8","277","19","27","142","110","40","277","8","1","12.5","6","75.0","123","435","215","7","4","2","18","7","205","31",
"Kyogo Furuhashi","jpJPN","FW","Rennes","frLigue 1","29","1995","1.4","20","0","4","8","8","2","20","0","0","","0","","10","24","18","0","0","0","3","1","12","3",
"Manuel Fuster","esESP","FW,MF","Las Palmas","esLa Liga","26","1997","11.1","742","19","93","364","288","23","742","17","5","29.4","9","52.9","410","2011","1016","23","15","3","20","16","533","75",
"Matteo Gabbia","itITA","DF","Milan","itSerie A","24","1999","23.9","1635","188","837","759","41","21","1635","1","1","100.0","0","0.0","1023","4706","2481","13","5","0","5","1","1214","2",
"Tommaso Gabellini","itITA","FW","Torino","itSerie A","17","2006","0.1","4","0","0","1","3","0","4","0","0","","0","","4","37","37","1","1","0","0","0","3","0",
"Tiago Gabriel","ptPOR","DF","Lecce","itSerie A","19","2004","1.1","56","9","33","23","0","0","56","0","0","","0","","31","121","56","0","0","0","0","0","32","0",
"Alessandro Gabrielloni","itITA","FW,MF","Como","itSerie A","30","1994","1.6","64","3","5","25","36","7","64","0","0","","0","","43","247","128","5","2","1","2","3","44","13",
"Gianluca Gaetano","itITA","MF,FW","Cagliari","itSerie A","24","2000","11.2","490","10","44","225","224","43","490","27","14","51.9","13","48.1","297","1318","435","11","15","7","31","16","356","82",
"Roberto Gagliardini","itITA","MF,DF","Monza","itSerie A","30","1994","2.0","141","7","30","102","10","1","141","2","1","50.0","1","50.0","101","567","280","5","1","0","4","4","106","3",
"Cody Gakpo","nlNED","FW","Liverpool","engPremier League","25","1999","21.5","888","28","91","258","557","110","888","61","31","50.8","21","34.4","605","4320","2208","59","34","28","45","24","677","278",
"Javi Galán","esESP","DF","Atlético Madrid","esLa Liga","29","1994","19.8","1270","51","406","529","344","16","1270","78","28","35.9","38","48.7","739","3917","2315","52","34","6","22","15","779","107",
"Iñigo Ruiz de Galarreta","esESP","MF","Athletic Club","esLa Liga","30","1993","16.4","978","21","153","618","222","8","978","23","16","69.6","5","21.7","524","2660","1266","27","14","3","17","16","672","39",
"Conor Gallagher","engENG","MF","Atlético Madrid","esLa Liga","24","2000","18.1","1062","35","232","555","287","38","1062","42","17","40.5","18","42.9","674","2788","1104","24","23","7","25","23","755","64",
"Antonino Gallo","itITA","DF","Lecce","itSerie A","24","2000","29.0","1587","116","577","638","386","15","1587","29","13","44.8","11","37.9","662","3630","1973","57","39","5","37","14","735","110",
"Gauthier Gallon","frFRA","GK","Rennes","frLigue 1","31","1993","0.5","19","12","18","1","0","0","19","0","0","","0","","12","75","45","0","0","0","0","0","13","0",
"Cristian Gamboa","crCRC","DF","Bochum","deBundesliga","34","1989","2.5","154","6","47","75","34","4","154","2","0","0.0","2","100.0","84","375","147","2","1","1","3","0","85","9",
"Idrissa Gana Gueye","snSEN","MF","Everton","engPremier League","34","1989","34.0","1801","72","432","1045","336","21","1801","39","18","46.2","19","48.7","861","4046","1752","27","27","4","32","38","1048","27",
"Ignatius Ganago","cmCMR","FW,MF","Nantes","frLigue 1","25","1999","2.7","112","3","16","48","49","15","112","11","5","45.5","5","45.5","73","413","153","5","5","4","8","3","84","26",
"Silvère Ganvoula M'Boussy","cgCGO","FW","Monza","itSerie A","28","1996","3.6","103","4","7","61","36","11","103","8","2","25.0","5","62.5","73","325","84","3","4","3","18","8","83","21",
"Facundo Garcés","myMAS","DF","Alavés","esLa Liga","24","1999","7.5","280","44","122","137","21","13","280","0","0","","0","","114","484","187","3","0","0","2","0","129","3",
"Aleix García","esESP","MF","Leverkusen","deBundesliga","27","1997","16.2","1503","45","225","831","452","11","1503","5","4","80.0","1","20.0","787","3463","1633","27","34","1","10","5","1169","47",
"Álvaro García","esESP","FW,MF","Rayo Vallecano","esLa Liga","31","1992","28.4","1164","31","204","357","611","127","1164","27","10","37.0","15","55.6","644","3004","1484","68","28","25","61","16","746","245",
"Andrés García","esESP","DF,MF","Aston Villa","engPremier League","21","2003","3.5","256","8","38","108","112","2","256","18","5","27.8","12","66.7","159","1262","673","26","13","2","10","6","168","28",
"Eric García","esESP","DF,MF","Barcelona","esLa Liga","23","2001","17.4","1517","66","369","927","225","25","1517","12","5","41.7","5","41.7","852","3500","1877","18","12","1","17","5","1125","22",
"Fran Garcia","esESP","DF","Real Madrid","esLa Liga","24","1999","24.1","1792","71","498","703","606","33","1792","23","8","34.8","15","65.2","1001","4606","2683","78","52","15","20","10","1162","177",
"Gonzalo García","esESP","FW,DF","Real Madrid","esLa Liga","20","2004","0.6","22","0","1","6","15","5","22","0","0","","0","","14","66","19","0","0","0","0","3","17","3",
"Joan García","esESP","GK","Espanyol","esLa Liga","23","2001","38.0","1348","1137","1341","7","1","1","1348","0","0","","0","","781","4759","3182","0","0","0","2","0","524","0",
"Pablo Garcia","esESP","FW","Betis","esLa Liga","18","2006","0.4","23","0","3","7","14","2","23","2","1","50.0","1","50.0","16","120","59","2","0","1","3","1","15","8",
"Rubén García","esESP","FW,MF","Osasuna","esLa Liga","31","1993","26.8","1467","31","205","649","629","64","1467","36","12","33.3","20","55.6","779","3542","1382","37","46","13","39","21","969","157",
"Ulisses Garcia","chSUI","DF","Marseille","frLigue 1","28","1996","10.3","712","24","152","357","206","21","712","18","7","38.9","11","61.1","386","1759","858","23","10","1","15","11","480","87",
"Unai García","esESP","DF","Osasuna","esLa Liga","32","1992","0.7","43","5","25","16","2","1","43","0","0","","0","","19","63","41","0","0","0","1","0","31","0",
"Alejandro Garnacho","arARG","MF,FW","Manchester Utd","engPremier League","20","2004","24.4","1159","13","130","364","683","176","1159","89","26","29.2","55","61.8","840","6365","3245","141","72","67","64","48","888","290",
"James Garner","engENG","MF,DF","Everton","engPremier League","23","2001","17.7","977","40","226","511","248","15","977","19","7","36.8","12","63.2","478","2187","842","15","19","2","16","9","550","30",
"Yarek Gasiorowski","esESP","DF","Valencia","esLa Liga","19","2005","10.5","620","73","295","309","22","6","620","0","0","","0","","276","1329","736","9","2","0","1","0","337","0",
"Federico Gatti","itITA","DF","Juventus","itSerie A","26","1998","24.4","1687","170","788","851","63","27","1687","13","7","53.8","5","38.5","1165","7650","4081","24","14","1","12","8","1290","6",
"Gavi","esESP","MF,FW","Barcelona","esLa Liga","19","2004","12.1","943","10","107","601","240","34","943","18","9","50.0","5","27.8","557","2274","1128","13","16","1","19","9","712","42",
"Paulo Gazzaniga","arARG","GK","Girona","esLa Liga","32","1992","35.5","1289","1118","1283","6","0","0","1289","4","3","75.0","1","25.0","775","3613","2167","0","0","0","1","0","749","0",
"Jean-Philippe Gbamin","ciCIV","MF","Nantes","frLigue 1","28","1995","2.4","143","4","26","97","21","4","143","2","1","50.0","1","50.0","83","287","124","2","2","0","5","1","90","1",
"Mory Gbane","ciCIV","DF,MF","Reims","frLigue 1","23","2000","12.5","694","108","339","302","59","7","694","7","5","71.4","2","28.6","363","2145","1025","3","12","0","8","4","410","9",
"Yann Gboho","frFRA","MF,FW","Toulouse","frLigue 1","23","2001","25.9","953","5","84","402","494","124","953","122","50","41.0","66","54.1","690","4979","2956","116","74","37","66","50","709","189",
"David de Gea","esESP","GK","Fiorentina","itSerie A","33","1990","35.0","1207","1055","1204","3","0","0","1207","0","0","","0","","675","3252","1943","0","0","0","0","0","583","0",
"Viggo Gebel","deGER","MF","RB Leipzig","deBundesliga","16","2007","0.2","6","0","0","3","3","1","6","1","0","0.0","1","100.0","5","18","4","0","0","0","1","0","5","3",
"Lutsharel Geertruida","nlNED","DF","RB Leipzig","deBundesliga","24","2000","17.3","1266","61","375","758","147","19","1266","14","7","50.0","7","50.0","642","2612","1357","21","15","3","14","4","839","34",
"Dennis Geiger","deGER","MF,FW","Hoffenheim","deBundesliga","26","1998","8.2","441","14","84","260","99","8","441","8","4","50.0","2","25.0","259","1326","605","12","15","2","9","8","303","21",
"Valentin Gendrey","frFRA","DF","Lecce","itSerie A","24","2000","2.0","69","3","16","38","15","3","69","0","0","","0","","32","254","144","7","4","0","1","0","39","4",
"Valentin Gendrey","frFRA","DF","Hoffenheim","deBundesliga","24","2000","15.7","874","61","241","337","302","28","874","11","3","27.3","8","72.7","363","1547","852","24","15","7","24","11","425","86",
