Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Ruslan Malinovskyi","uaUKR","MF","Genoa","itSerie A","32-207","1993","7.7","443","3","57","257","131","5","443","13","7","53.8","6","46.2","256","1374","554","10","11","2","14","11","309","18",
"Lennard Maloney","usUSA","DF,MF","Mainz 05","deBundesliga","26-050","1999","3.0","144","19","70","59","15","3","144","0","0","","0","","65","214","50","0","0","0","0","0","72","1",
"Pape Mamadou Sy","snSEN","GK","Metz","frLigue 1","28-209","1997","0.8","36","31","36","0","0","0","36","0","0","","0","","16","68","41","0","0","0","0","0","12","0",
"Giorgi Mamardashvili","geGEO","GK","Liverpool","engPremier League","25-059","2000","5.0","221","163","216","5","0","0","221","0","0","","0","","144","577","331","0","0","0","1","0","123","0",
"Felix Mambimbi","chSUI","FW,MF","Le Havre","frLigue 1","24-313","2001","2.9","88","4","17","33","40","10","88","6","2","33.3","4","66.7","48","245","93","3","2","3","5","2","47","14",
"Gianluca Mancini","itITA","DF","Roma","itSerie A","29-224","1996","11.9","746","65","308","383","62","16","746","3","2","66.7","0","0.0","387","1805","1097","9","4","0","9","2","469","12",
"Reinildo Mandava","mzMOZ","DF,MF","Sunderland","engPremier League","31-310","1994","8.4","476","33","150","249","80","7","476","11","4","36.4","4","36.4","262","1331","648","17","18","2","9","7","292","16",
"Aïssa Mandi","dzALG","DF","Lille","frLigue 1","34-036","1991","9.8","757","86","283","423","55","12","757","4","3","75.0","1","25.0","458","2544","1480","12","9","2","3","0","502","3",
"Rolando Mandragora","itITA","MF","Fiorentina","itSerie A","28-151","1997","9.6","458","13","106","240","115","9","458","5","2","40.0","3","60.0","194","593","273","4","3","0","8","6","268","16",
"Filippo Mane","itITA","DF","Dortmund","deBundesliga","20-264","2005","0.9","77","1","28","48","1","0","77","1","0","0.0","1","100.0","55","171","56","0","0","0","1","2","58","0",
"Mateus Mane","ptPOR","FW","Wolves","engPremier League","18-072","2007","0.2","11","0","0","7","4","0","11","0","0","","0","","6","31","13","1","0","0","2","1","9","0",
"Johan Manzambi","chSUI","MF","Freiburg","deBundesliga","20-044","2005","7.7","470","18","79","276","127","23","470","26","14","53.8","10","38.5","279","1929","859","21","21","6","26","10","322","30",
"Sekou Mara","frFRA","FW","Auxerre","frLigue 1","23-120","2002","5.2","150","2","6","81","67","14","150","14","7","50.0","5","35.7","87","435","141","6","5","3","15","6","114","17",
"Alessandro Marcandalli","itITA","DF","Genoa","itSerie A","23-033","2002","4.6","185","19","94","86","7","1","185","2","1","50.0","1","50.0","97","485","191","2","1","0","3","2","107","2",
"Marcão","brBRA","DF","Sevilla","esLa Liga","29-175","1996","9.2","504","56","266","218","22","16","504","2","1","50.0","0","0.0","293","1768","1060","9","4","0","6","0","325","0",
"Vincent Marchetti","frFRA","MF","Paris FC","frLigue 1","28-146","1997","4.6","239","13","73","117","53","8","239","7","6","85.7","0","0.0","127","661","350","5","6","1","8","7","171","6",
"Pablo Marí","esESP","DF","Fiorentina","itSerie A","32-088","1993","7.1","410","68","231","170","9","3","410","1","0","0.0","1","100.0","215","777","330","0","2","1","0","0","236","1",
"José María Giménez","uyURU","DF","Atlético Madrid","esLa Liga","30-311","1995","5.0","364","41","177","179","10","7","364","0","0","","0","","202","637","397","0","0","0","1","0","237","0",
"Mariano","doDOM","FW","Alavés","esLa Liga","32-118","1993","3.1","72","3","5","22","45","6","72","2","1","50.0","1","50.0","33","188","107","2","3","1","11","5","52","11",
"Luca Marianucci","itITA","DF","Napoli","itSerie A","21-127","2004","1.0","107","6","18","83","6","0","107","0","0","","0","","62","193","128","0","0","0","0","0","91","1",
"Rafa Marín","esESP","DF","Villarreal","esLa Liga","23-192","2002","9.9","724","102","361","340","25","6","724","0","0","","0","","440","1783","1093","7","4","0","4","0","499","0",
"Marius Marin","roROU","MF","Pisa","itSerie A","27-089","1998","6.2","231","17","67","129","40","2","231","4","1","25.0","2","50.0","84","341","145","2","4","0","4","4","105","9",
"Pablo Marín","esESP","MF","Real Sociedad","esLa Liga","22-147","2003","6.2","247","11","38","122","88","10","247","19","7","36.8","11","57.9","153","691","387","13","15","2","14","5","169","21",
"João Mário Lopes","ptPOR","DF","Juventus","itSerie A","25-328","2000","2.7","161","6","40","63","63","13","161","13","5","38.5","7","53.8","95","698","433","11","12","4","5","0","101","27",
"Guillermo Maripán","clCHI","DF","Torino","itSerie A","31-205","1994","10.2","534","95","290","216","30","16","534","1","1","100.0","0","0.0","212","911","384","4","2","0","3","5","269","4",
"Omar Marmoush","egEGY","FW,MF","Manchester City","engPremier League","26-293","1999","2.1","91","3","12","36","44","17","91","10","5","50.0","2","20.0","54","302","136","7","0","6","7","6","65","18",
"Marquinhos","brBRA","DF","Paris S-G","frLigue 1","31-197","1994","3.5","354","15","77","244","35","2","354","1","1","100.0","0","0.0","218","1153","714","0","9","0","0","1","283","2",
"Callum Marshall","nirNIR","FW","West Ham","engPremier League","20-364","2004","0.7","12","0","1","7","5","1","12","2","1","50.0","1","50.0","4","31","12","0","0","0","3","2","4","0",
"Eric Martel","deGER","MF,DF","Köln","deBundesliga","23-212","2002","10.6","672","83","245","368","62","9","672","2","1","50.0","1","50.0","349","1475","605","2","5","0","5","7","419","9",
"Aarón Martín","esESP","DF","Genoa","itSerie A","28-219","1997","8.4","508","15","129","240","143","4","508","12","7","58.3","5","41.7","247","1298","506","9","7","0","9","7","273","31",
"Gerard Martín","esESP","DF","Barcelona","esLa Liga","23-330","2002","5.4","498","25","159","222","122","4","498","8","4","50.0","3","37.5","262","1102","494","8","15","1","3","1","330","37",
"Iván Martín","esESP","MF","Girona","esLa Liga","26-286","1999","9.8","603","22","157","350","102","3","603","21","12","57.1","8","38.1","392","2186","878","15","13","0","9","15","437","18",
"Jon Martin","esESP","DF","Real Sociedad","esLa Liga","19-218","2006","5.0","290","31","131","149","10","3","290","2","1","50.0","1","50.0","184","1169","733","7","5","0","5","1","180","0",
"Mario Martín","esESP","MF","Getafe","esLa Liga","21-267","2004","9.2","351","18","67","179","111","19","351","18","6","33.3","10","55.6","169","975","375","14","9","2","17","13","218","31",
"Gabriel Martinelli","brBRA","FW,MF","Arsenal","engPremier League","24-162","2001","2.4","73","4","14","23","40","14","73","3","1","33.3","2","66.7","35","332","187","7","4","3","12","3","35","10",
"Arnau Martinez","esESP","DF,MF","Girona","esLa Liga","22-216","2003","8.6","605","52","273","251","86","17","605","8","4","50.0","4","50.0","315","1564","791","15","7","4","7","7","367","25",
"Emiliano Martínez","arARG","GK","Aston Villa","engPremier League","33-086","1992","10.0","438","352","434","4","0","0","438","0","0","","0","","269","1073","687","0","0","0","0","0","243","0",
"Josep Martinez","esESP","GK","Inter","itSerie A","27-184","1998","2.0","73","49","71","2","0","0","73","0","0","","0","","26","162","82","0","0","0","0","0","44","0",
"Lautaro Martínez","arARG","FW","Inter","itSerie A","28-097","1997","9.8","340","5","18","125","199","58","340","16","5","31.3","9","56.3","172","603","226","11","8","4","17","9","261","70",
"Pablo Martínez","esESP","MF","Levante","esLa Liga","27-278","1998","5.8","261","22","66","123","76","9","261","9","6","66.7","3","33.3","124","666","369","8","8","4","3","8","144","12",
"Ramón Martínez","esESP","DF","Sevilla","esLa Liga","23-036","2002","1.1","70","7","39","31","0","0","70","0","0","","0","","52","183","86","1","0","0","1","1","53","0",
"Toni Martínez","esESP","FW","Alavés","esLa Liga","28-150","1997","9.8","319","14","35","160","126","35","319","18","7","38.9","6","33.3","154","534","206","8","5","3","19","12","228","39",
"Adam Marušić","meMNE","DF","Lazio","itSerie A","33-041","1992","9.6","636","21","191","332","116","10","636","4","1","25.0","3","75.0","324","1081","569","12","9","2","4","2","420","35",
"Omar Mascarell","gqEQG","MF","Mallorca","esLa Liga","32-298","1993","4.1","188","18","64","108","18","1","188","1","0","0.0","1","100.0","83","413","108","2","1","0","6","0","96","1",
"Adam Masina","maMAR","DF","Torino","itSerie A","31-329","1994","2.2","109","24","75","32","2","1","109","2","0","0.0","2","100.0","57","313","134","0","1","1","1","3","64","0",
"Patrizio Masini","itITA","MF","Genoa","itSerie A","24-304","2001","9.3","536","31","153","286","100","8","536","7","1","14.3","3","42.9","224","1158","527","11","9","0","15","10","249","12",
"Han-Noah Massengo","frFRA","MF","Augsburg","deBundesliga","24-143","2001","10.3","560","24","117","334","113","10","560","19","10","52.6","7","36.8","304","1633","772","19","12","4","14","9","354","10",
"Franco Mastantuono","arARG","FW,DF","Real Madrid","esLa Liga","18-105","2007","6.1","416","1","24","171","226","29","416","38","13","34.2","20","52.6","265","1628","485","7","9","4","24","13","323","69",
"Arthur Masuaku","cdCOD","DF,MF","Sunderland","engPremier League","32-020","1993","1.4","83","4","25","42","19","2","83","4","2","50.0","2","50.0","46","214","100","2","3","0","2","1","51","5",
"Clinton Mata","aoANG","DF","Lyon","frLigue 1","33-020","1992","12.5","918","127","464","425","34","1","918","4","1","25.0","3","75.0","566","2570","1205","4","5","0","9","2","655","3",
"Igor Matanovic","hrCRO","FW","Freiburg","deBundesliga","22-241","2003","2.5","96","6","21","51","26","6","95","11","5","45.5","5","45.5","42","194","72","1","1","0","14","2","55","9",
"Pape Matar Sarr","snSEN","MF","Tottenham","engPremier League","23-074","2002","6.6","341","19","81","176","88","13","341","8","4","50.0","3","37.5","183","1191","542","11","11","2","9","7","217","23",
"Jean-Philippe Mateta","frFRA","FW","Crystal Palace","engPremier League","28-152","1997","11.3","270","20","25","131","119","43","268","12","7","58.3","5","41.7","131","531","239","7","10","5","25","13","183","52",
"Nemanja Matić","rsSRB","MF","Sassuolo","itSerie A","37-118","1988","10.9","724","40","191","434","102","13","724","12","4","33.3","6","50.0","395","2006","1024","10","13","4","16","11","494","14",
"Rudy Matondo","frFRA","MF","Auxerre","frLigue 1","17-259","2008","3.0","145","3","29","93","24","4","145","2","1","50.0","1","50.0","76","371","150","2","2","0","3","2","94","4",
"Chrislain Matsima","frFRA","DF","Augsburg","deBundesliga","23-196","2002","11.0","704","74","286","385","37","12","704","3","1","33.3","2","66.7","343","1421","645","2","1","0","8","2","418","3",
"Jean Mattéo Bahoya","frFRA","FW,MF","Eint Frankfurt","deBundesliga","20-204","2005","5.0","248","11","48","88","120","24","248","19","12","63.2","6","31.6","157","1141","663","25","11","9","19","8","165","49",
"Alan Matturro","uyURU","DF","Levante","esLa Liga","21-047","2004","0.2","9","0","5","4","0","0","9","1","0","0.0","1","100.0","9","21","3","0","0","0","0","0","7","0",
"Neal Maupay","frFRA","FW","Marseille","frLigue 1","29-105","1996","0.0","1","0","0","1","0","0","1","0","0","","0","","1","3","0","0","0","0","0","0","1","0",
"Konstantinos Mavropanos","grGRE","DF","West Ham","engPremier League","27-351","1997","5.5","329","55","190","131","9","7","329","0","0","","0","","178","979","644","2","1","0","3","0","198","0",
"Christian Mawissa","frFRA","DF","Monaco","frLigue 1","20-223","2005","5.8","499","52","187","300","16","2","499","7","4","57.1","3","42.9","294","1500","785","4","5","0","4","2","355","2",
"Eliezer Mayenda","esESP","FW","Sunderland","engPremier League","20-203","2005","2.9","48","2","9","20","23","8","48","7","3","42.9","4","57.1","27","194","92","3","4","2","5","9","33","8",
"Borja Mayoral","esESP","FW","Getafe","esLa Liga","28-236","1997","8.2","243","7","17","122","104","19","243","7","4","57.1","1","14.3","125","452","93","0","1","0","16","13","190","23",
"Senny Mayulu","frFRA","MF,FW","Paris S-G","frLigue 1","19-194","2006","7.0","383","1","34","155","198","32","383","18","7","38.9","9","50.0","242","1364","598","17","15","4","18","8","292","42",
"Ibrahim Maza","dzALG","MF,DF","Leverkusen","deBundesliga","20-003","2005","4.9","343","1","38","182","128","18","343","30","15","50.0","12","40.0","202","1104","553","15","10","5","13","4","271","26",
"Noussair Mazraoui","maMAR","DF","Manchester Utd","engPremier League","28-013","1997","2.7","202","11","52","103","48","5","202","8","4","50.0","2","25.0","99","442","288","8","3","1","4","1","117","21",
"Luca Mazzitelli","itITA","MF","Cagliari","itSerie A","30-012","1995","0.7","45","1","8","34","4","0","45","0","0","","0","","25","94","45","1","0","0","1","1","30","0",
"Pasquale Mazzocchi","itITA","MF","Napoli","itSerie A","30-123","1995","0.2","10","3","7","2","1","0","10","0","0","","0","","5","40","2","0","0","0","1","0","5","0",
"Samuel Mbangula","beBEL","FW","Werder Bremen","deBundesliga","21-315","2004","6.7","311","6","59","153","106","13","311","25","12","48.0","12","48.0","187","1287","581","17","16","4","15","13","221","27",
"Ethan Mbappé","frFRA","FW","Lille","frLigue 1","18-333","2006","0.5","41","0","1","18","22","7","41","4","0","0.0","4","100.0","28","93","47","2","1","1","0","1","34","6",
"Kylian Mbappé","frFRA","FW","Real Madrid","esLa Liga","26-342","1998","12.6","630","0","8","186","444","92","626","71","36","50.7","26","36.6","412","2692","1557","55","37","25","22","12","530","116",
"Ibrahim Mbaye","snSEN","FW","Paris S-G","frLigue 1","17-307","2008","6.0","431","3","19","162","256","34","431","30","11","36.7","17","56.7","307","1938","891","34","18","17","26","11","362","94",
"Chancel Mbemba","cdCOD","DF","Lille","frLigue 1","31-111","1994","5.5","396","28","172","209","16","5","396","3","1","33.3","2","66.7","230","1216","788","3","0","1","4","3","270","1",
"Bryan Mbeumo","cmCMR","MF","Manchester Utd","engPremier League","26-112","1999","11.6","555","2","36","208","316","53","555","27","9","33.3","15","55.6","310","1755","878","33","23","13","41","15","385","108",
"Michel Mboula","gaGAB","DF","Metz","frLigue 1","22-211","2003","1.9","114","7","46","56","13","0","114","5","2","40.0","2","40.0","62","288","132","1","0","0","1","0","76","3",
"Pathé Mboup","snSEN","FW","Brest","frLigue 1","22-093","2003","5.5","198","4","50","68","89","21","198","25","10","40.0","12","48.0","135","830","349","13","6","5","30","12","132","30",
"Moustapha Mbow","snSEN","DF","Paris FC","frLigue 1","25-264","2000","12.0","806","92","420","370","21","10","806","3","2","66.7","0","0.0","474","2295","1265","1","4","0","6","2","558","3",
"James Mcatee","engENG","MF,FW","Nott'ham Forest","engPremier League","23-040","2002","1.4","77","1","10","35","34","2","77","3","2","66.7","1","33.3","45","324","202","4","5","1","1","3","56","8",
"John McGinn","sctSCO","MF,FW","Aston Villa","engPremier League","31-040","1994","10.0","472","17","70","231","174","12","472","21","6","28.6","9","42.9","257","1243","459","11","11","3","19","15","323","30",
"Weston McKennie","usUSA","MF,DF","Juventus","itSerie A","27-091","1998","7.2","386","10","61","185","142","31","386","6","2","33.3","4","66.7","160","876","490","13","10","3","7","5","249","38",
"Mark McKenzie","usUSA","DF","Toulouse","frLigue 1","26-275","1999","11.1","655","58","229","358","73","7","655","1","1","100.0","0","0.0","287","1065","640","7","2","0","3","1","355","11",
"Dwight McNeil","engENG","FW,MF","Everton","engPremier League","26-005","1999","0.6","27","2","4","14","9","2","27","1","0","0.0","1","100.0","16","48","15","0","1","0","3","1","17","2",
"Scott McTominay","sctSCO","MF","Napoli","itSerie A","28-354","1996","10.0","402","19","74","198","136","31","402","18","8","44.4","9","50.0","237","1065","479","11","14","4","16","26","296","52",
"Facundo Medina","arARG","DF","Marseille","frLigue 1","26-183","1999","1.6","148","4","30","86","33","1","148","0","0","","0","","120","359","195","3","5","0","3","1","125","3",
"Jonas Meffert","deGER","MF","Hamburger SV","deBundesliga","31-084","1994","0.9","53","3","25","17","11","0","53","0","0","","0","","26","87","37","0","0","0","0","0","35","1",
"Henrik Meister","dkDEN","FW","Pisa","itSerie A","22-010","2003","5.8","104","2","7","57","43","14","104","16","7","43.8","9","56.3","58","417","150","7","7","3","19","11","77","23",
"Bamo Meïté","ciCIV","DF","Lorient","frLigue 1","23-359","2001","6.5","425","26","168","226","33","4","425","8","5","62.5","2","25.0","241","1052","498","8","7","0","8","1","283","6",
"Mohamed Meité","frFRA","FW","Rennes","frLigue 1","18-047","2007","4.3","122","9","11","47","65","25","122","7","4","57.1","3","42.9","64","355","152","6","5","1","13","6","94","28",
"Hannibal Mejbri","tnTUN","MF","Burnley","engPremier League","22-310","2003","3.5","154","3","15","75","68","5","154","13","7","53.8","4","30.8","87","463","261","9","5","1","7","10","94","11",
"Cléo Melieres","frFRA","DF","Metz","frLigue 1","20-228","2005","0.3","20","2","7","6","7","0","20","0","0","","0","","13","50","17","0","0","0","0","0","13","3",
"Nuno Mendes","ptPOR","DF","Paris S-G","frLigue 1","23-161","2002","6.4","611","16","107","288","227","21","611","27","9","33.3","17","63.0","345","1884","1066","25","17","3","17","7","437","53",
"Brais Méndez","esESP","MF","Real Sociedad","esLa Liga","28-324","1997","8.1","467","2","35","275","161","20","467","21","9","42.9","11","52.4","258","1026","468","15","11","6","22","7","323","36",
"Rodrigo Mendoza","esESP","MF,FW","Elche","esLa Liga","20-257","2005","6.0","361","7","43","179","146","17","361","21","11","52.4","10","47.6","227","1116","527","16","14","5","16","11","283","38",
"Antoine Mendy","snSEN","DF","Nice","frLigue 1","21-184","2004","10.7","735","96","332","355","51","3","735","5","3","60.0","2","40.0","398","2013","1241","9","8","3","6","4","434","10",
"Batista Mendy","frFRA","MF","Sevilla","esLa Liga","25-319","2000","7.3","310","18","87","177","46","6","310","5","2","40.0","1","20.0","159","732","325","9","2","1","8","10","181","5",
"Formose Mendy","snSEN","DF","Lorient","frLigue 1","24-329","2001","1.5","120","9","43","75","2","1","120","1","0","0.0","0","0.0","59","273","185","2","1","0","2","0","72","0",
"Nobel Mendy","frFRA","DF","Rayo Vallecano","esLa Liga","21-085","2004","4.5","296","65","188","104","5","2","296","3","2","66.7","1","33.3","147","574","253","0","1","0","1","1","170","1",
"Gideon Mensah","ghGHA","DF","Auxerre","frLigue 1","27-132","1998","10.5","649","30","187","315","156","2","649","12","9","75.0","3","25.0","347","1462","610","14","12","1","13","7","360","25",
"Khalis Merah","frFRA","MF,FW","Lyon","frLigue 1","18-276","2007","4.9","203","4","32","103","70","10","203","6","4","66.7","1","16.7","134","833","426","11","10","0","13","3","162","15",
"Alex Meret","itITA","GK","Napoli","itSerie A","28-250","1997","4.0","115","94","113","2","0","0","115","0","0","","0","","62","266","154","0","0","0","0","0","58","0",
"Mikel Merino","esESP","MF,FW","Arsenal","engPremier League","29-158","1996","5.6","250","10","42","125","87","13","250","9","4","44.4","4","44.4","136","553","250","8","6","0","13","10","166","24",
"Quentin Merlin","frFRA","DF","Rennes","frLigue 1","23-195","2002","10.1","716","34","180","292","254","20","716","16","7","43.8","9","56.3","349","1947","1010","24","12","8","10","12","457","79",
"Rafik Messali","frFRA","MF,DF","Toulouse","frLigue 1","22-213","2003","0.6","31","3","12","13","6","0","31","2","0","0.0","1","50.0","13","19","5","0","0","0","2","0","15","3",
"Junior Messias","brBRA","FW,MF","Genoa","itSerie A","34-198","1991","1.1","56","0","12","20","26","4","56","13","7","53.8","6","46.2","35","186","44","0","3","0","5","1","36","8",
"Connor Metcalfe","auAUS","MF,FW","St. Pauli","deBundesliga","26-022","1999","2.7","168","2","15","60","95","9","168","8","5","62.5","3","37.5","92","472","244","8","12","0","10","5","119","29",
"Dayann Methalie","frFRA","DF,MF","Toulouse","frLigue 1","19-285","2006","10.3","458","24","126","205","139","27","458","43","17","39.5","26","60.5","233","1437","683","24","16","13","28","18","225","59",
"Karol Mets","eeEST","DF","St. Pauli","deBundesliga","32-195","1993","4.0","331","33","143","165","24","0","331","0","0","","0","","176","880","518","7","5","0","1","0","230","2",
"Thomas Meunier","beBEL","DF","Lille","frLigue 1","34-076","1991","8.8","577","28","107","286","191","18","577","7","3","42.9","4","57.1","322","1703","925","20","20","2","8","5","366","46",
"Lucas Michal","frFRA","FW","Monaco","frLigue 1","20-159","2005","0.5","28","1","4","11","13","1","28","1","1","100.0","0","0.0","13","47","9","0","0","0","1","0","18","4",
"Georges Mikautadze","geGEO","FW","Villarreal","esLa Liga","25-027","2000","5.1","141","1","16","45","83","33","141","14","5","35.7","8","57.1","79","444","215","9","2","8","15","7","104","31",
"Georges Mikautadze","geGEO","FW","Lyon","frLigue 1","25-027","2000","2.0","50","0","6","22","22","10","50","7","5","71.4","2","28.6","35","265","157","7","0","3","3","3","38","8",
"Wisdom Mike","deGER","FW","Bayern Munich","deBundesliga","17-064","2008","0.2","12","0","2","6","4","1","12","0","0","","0","","8","51","42","0","0","0","0","1","9","2",
"William Mikelbrencis","frFRA","MF,DF","Hamburger SV","deBundesliga","21-275","2004","4.1","244","6","58","90","97","7","244","3","2","66.7","1","33.3","108","701","387","16","9","2","10","4","124","28",
"Antoni Milambo","nlNED","MF","Brentford","engPremier League","20-238","2005","0.5","19","1","6","10","4","0","19","0","0","","0","","5","32","30","1","2","0","1","0","8","1",
"Nikola Milenković","rsSRB","DF","Nott'ham Forest","engPremier League","28-046","1997","12.0","696","104","364","301","33","11","696","1","1","100.0","0","0.0","382","1677","933","5","4","0","4","1","460","0",
"Lewis Miley","engENG","MF","Newcastle Utd","engPremier League","19-210","2006","3.1","188","6","42","109","38","4","188","1","1","100.0","0","0.0","125","449","185","2","2","0","2","2","132","9",
"Vanja Milinković-Savić","rsSRB","GK","Napoli","itSerie A","28-280","1997","8.0","348","256","344","5","0","0","348","0","0","","0","","212","1086","644","0","0","0","0","0","209","0",
"Éder Militão","brBRA","DF","Real Madrid","esLa Liga","27-313","1998","9.0","633","64","228","369","36","18","633","3","0","0.0","2","66.7","352","1678","906","3","1","0","5","1","435","1",
"Luis Milla","esESP","MF","Getafe","esLa Liga","31-051","1994","13.0","735","24","115","416","213","4","735","17","7","41.2","9","52.9","272","1375","640","14","11","1","8","11","374","21",
"Pere Milla","esESP","MF,FW","Espanyol","esLa Liga","33-065","1992","8.4","346","5","41","147","162","39","346","8","3","37.5","5","62.5","161","803","423","16","8","1","18","11","215","39",
"Lennon Miller","sctSCO","MF","Udinese","itSerie A","19-094","2006","0.9","28","0","2","12","14","3","28","3","1","33.3","1","33.3","14","48","15","0","0","0","1","1","15","2",
"James Milner","engENG","MF","Brighton","engPremier League","39-327","1986","2.1","129","7","40","68","21","1","128","1","0","0.0","1","100.0","62","224","110","2","2","0","2","2","77","5",
"Veljko Milosavljević","rsSRB","DF","Bournemouth","engPremier League","18-152","2007","3.1","168","19","93","69","7","3","168","0","0","","0","","102","634","320","0","0","0","3","1","99","0",
"Kim Min-jae","krKOR","DF","Bayern Munich","deBundesliga","29-012","1996","3.2","292","30","104","162","28","2","292","0","0","","0","","207","995","563","5","9","1","1","0","209","1",
"Yerry Mina","coCOL","DF","Cagliari","itSerie A","31-065","1994","9.0","520","85","335","171","15","7","520","3","2","66.7","1","33.3","321","1284","683","6","2","0","4","2","327","0",
"Takumi Minamino","jpJPN","MF,FW","Monaco","frLigue 1","30-315","1995","7.8","314","6","34","153","128","29","314","9","4","44.4","5","55.6","183","891","381","16","10","5","14","6","220","37",
"Tyrone Mings","engENG","DF","Aston Villa","engPremier League","32-259","1993","5.5","403","70","177","203","26","7","403","3","2","66.7","1","33.3","250","1377","748","1","5","0","1","1","260","3",
"Óscar Mingueza","esESP","MF,DF","Celta Vigo","esLa Liga","26-198","1999","7.7","620","22","149","238","235","13","620","11","5","45.5","5","45.5","326","1378","750","10","14","3","8","4","426","47",
"Yankuba Minteh","gmGAM","FW","Brighton","engPremier League","21-128","2004","11.5","469","5","47","150","284","71","469","55","30","54.5","22","40.0","302","2406","1412","59","19","40","31","16","308","114",
"Bojan Miovski","mkMKD","FW","Girona","esLa Liga","26-156","1999","0.5","4","0","0","2","2","1","4","1","0","0.0","1","100.0","0","0","0","0","0","0","0","0","0","0",
"Rafa Mir","esESP","FW,MF","Elche","esLa Liga","28-162","1997","10.5","354","9","41","147","169","41","353","14","5","35.7","9","64.3","213","1000","409","14","15","8","19","15","290","54",
"Juan Miranda","esESP","DF","Bologna","itSerie A","25-312","2000","8.1","567","13","146","247","182","5","567","9","3","33.3","4","44.4","259","1069","578","14","9","1","7","3","333","39",
"Fabio Miretti","itITA","MF","Juventus","itSerie A","22-116","2003","0.3","29","1","5","10","14","4","29","0","0","","0","","14","79","39","1","0","0","2","0","19","3",
"Tyrick Mitchell","engENG","DF,MF","Crystal Palace","engPremier League","26-087","1999","12.0","680","40","232","285","173","22","680","19","2","10.5","11","57.9","298","1542","855","25","18","2","22","12","327","70",
"Kaoru Mitoma","jpJPN","FW","Brighton","engPremier League","28-191","1997","5.6","198","8","24","65","109","13","198","21","8","38.1","11","52.4","123","722","430","13","10","3","12","10","129","37",
"Maximilian Mittelstädt","deGER","DF","Stuttgart","deBundesliga","28-254","1997","8.3","667","24","158","350","163","12","666","7","3","42.9","3","42.9","369","1599","739","13","14","1","5","5","423","29",
"Henrikh Mkhitaryan","amARM","MF","Inter","itSerie A","36-310","1989","5.4","345","5","57","156","137","17","345","10","7","70.0","2","20.0","167","882","507","15","15","3","10","5","235","30",
"Tadjidine Mmadi","frFRA","FW","Marseille","frLigue 1","18-269","2007","0.1","5","1","2","1","2","0","5","0","0","","0","","1","2","0","0","0","0","0","0","1","0",
"Rui Modesto","aoANG","MF,DF","Udinese","itSerie A","26-051","1999","0.5","16","1","1","2","13","2","16","1","0","0.0","1","100.0","11","69","20","1","1","0","0","0","10","1",
"Luka Modrić","hrCRO","MF","Milan","itSerie A","40-079","1985","11.7","960","41","211","575","188","4","960","18","7","38.9","8","44.4","581","2952","1392","16","18","2","5","5","672","12",
"Max Moerstedt","deGER","FW,DF","Hoffenheim","deBundesliga","19-316","2006","1.5","68","5","13","26","30","7","68","2","2","100.0","0","0.0","25","111","49","1","1","1","5","3","42","12",
"Terem Moffi","ngNGA","FW","Nice","frLigue 1","26-186","1999","4.4","108","1","6","43","60","24","108","8","2","25.0","5","62.5","61","341","119","3","3","2","11","5","77","20",
"Mostafa Mohamed","egEGY","FW","Nantes","frLigue 1","27-364","1997","7.3","184","8","35","87","63","22","184","12","3","25.0","8","66.7","88","420","126","5","6","1","20","12","108","15",
"Johan Mojica","coCOL","DF","Mallorca","esLa Liga","33-098","1992","10.6","746","53","248","311","190","7","746","20","9","45.0","8","40.0","378","1687","767","23","16","3","19","13","409","45",
"Enzo Molebe","frFRA","FW","Lyon","frLigue 1","18-070","2007","0.1","5","0","0","3","2","0","5","0","0","","0","","4","36","3","1","0","0","0","0","5","0",
"Alberto Moleiro","esESP","MF,FW","Villarreal","esLa Liga","22-058","2003","8.3","311","4","39","152","127","29","311","26","14","53.8","9","34.6","203","1211","775","29","15","4","21","9","230","48",
"Nahuel Molina","arARG","DF","Atlético Madrid","esLa Liga","27-235","1998","2.5","186","9","71","73","42","3","186","7","2","28.6","5","71.4","88","380","210","4","3","0","5","1","104","17",
"Jon Moncayola","esESP","MF,DF","Osasuna","esLa Liga","27-198","1998","12.5","813","25","182","424","217","4","813","7","4","57.1","2","28.6","404","1549","799","11","23","2","16","5","491","32",
"Lorenzo Montipò","itITA","GK","Hellas Verona","itSerie A","29-280","1996","12.0","381","296","375","6","0","0","381","1","1","100.0","0","0.0","206","1358","770","0","0","0","0","0","139","0",
"Álvaro Morata","esESP","FW","Como","itSerie A","33-035","1992","6.7","241","4","13","125","106","30","240","6","2","33.3","2","33.3","114","484","175","5","1","2","12","9","182","41",
"Morato","brBRA","DF","Nott'ham Forest","engPremier League","24-150","2001","4.9","350","71","202","142","9","1","350","2","2","100.0","0","0.0","193","739","417","1","2","0","4","0","232","0",
"Diego Morcillo","esESP","FW,MF","Alavés","esLa Liga","22-162","2003","0.1","7","0","0","3","4","3","7","0","0","","0","","3","6","3","0","0","0","1","0","5","2",
