Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Jesús Areso","esESP","DF","Athletic Club","esLa Liga","26-148","1999","8.2","497","23","121","209","172","12","497","20","11","55.0","6","30.0","200","1229","614","23","12","4","16","3","275","52",
"Iñigo Arguibide","esESP","DF","Osasuna","esLa Liga","20-222","2005","0.2","8","2","3","1","4","0","8","0","0","","0","","4","5","0","0","0","0","1","0","4","2",
"Jhon Arias","coCOL","FW","Wolves","engPremier League","28-067","1997","6.3","320","9","46","149","132","24","320","10","5","50.0","4","40.0","151","790","345","10","10","3","14","9","176","30",
"Harrison Armstrong","engENG","FW","Everton","engPremier League","18-312","2007","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Hákon Arnar Haraldsson","isISL","MF,FW","Lille","frLigue 1","22-231","2003","10.4","596","6","61","259","279","52","596","26","9","34.6","16","61.5","364","2097","1050","32","23","11","17","7","407","65",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","31-184","1994","10.0","614","56","201","316","99","2","614","1","1","100.0","0","0.0","343","1216","531","0","1","0","6","4","406","8",
"Tolu Arokodare","ngNGA","FW","Wolves","engPremier League","25-004","2000","3.1","105","12","17","40","48","13","105","8","4","50.0","4","50.0","46","209","61","3","3","2","20","6","71","12",
"Kervin Arriaga","hnHON","MF","Levante","esLa Liga","27-326","1998","6.5","359","29","110","218","38","6","359","13","4","30.8","7","53.8","179","869","327","6","5","0","2","7","189","3",
"Arthur","brBRA","DF","Leverkusen","deBundesliga","22-255","2003","4.5","245","11","58","87","103","11","245","11","5","45.5","5","45.5","109","683","336","5","3","3","11","7","149","44",
"Takuma Asano","jpJPN","FW","Mallorca","esLa Liga","31-017","1994","3.3","84","1","11","27","48","10","84","4","0","0.0","4","100.0","51","322","149","6","4","0","6","1","60","15",
"Raúl Asencio","esESP","DF","Real Madrid","esLa Liga","22-287","2003","5.5","376","40","145","205","27","12","376","1","0","0.0","1","100.0","202","888","466","5","3","2","4","1","262","4",
"Fisnik Asllani","xkKVX","FW,MF","Hoffenheim","deBundesliga","23-111","2002","8.4","305","4","35","133","139","47","305","16","5","31.3","10","62.5","150","558","237","7","4","3","17","13","220","60",
"Kristjan Asllani","alALB","MF","Torino","itSerie A","23-263","2002","7.8","459","10","112","270","78","3","459","3","2","66.7","0","0.0","251","929","290","2","7","1","7","2","287","7",
"Joel Asoro","seSWE","FW","Metz","frLigue 1","26-214","1999","1.0","22","0","2","12","8","2","22","3","1","33.3","2","66.7","12","64","21","0","1","0","1","0","14","0",
"Iago Aspas","esESP","FW,MF","Celta Vigo","esLa Liga","38-118","1987","5.3","356","0","22","160","179","24","355","11","5","45.5","3","27.3","217","950","472","14","11","4","9","7","294","38",
"Yaser Asprilla","coCOL","FW,MF","Girona","esLa Liga","22-008","2003","5.0","195","5","25","68","106","18","195","13","7","53.8","5","38.5","122","784","330","15","7","6","13","5","121","43",
"Lorenz Assignon","tgTOG","DF","Stuttgart","deBundesliga","25-158","2000","5.5","360","15","85","158","119","13","360","10","4","40.0","6","60.0","157","637","315","10","8","6","11","7","207","36",
"Dehmaine Assoumani","frFRA","MF","Nantes","frLigue 1","20-224","2005","6.8","312","15","73","139","106","8","312","18","10","55.6","7","38.9","159","827","386","11","7","1","10","7","179","26",
"Otavio Ataide","brBRA","DF","Paris FC","frLigue 1","23-220","2002","9.4","753","138","442","291","26","5","753","5","5","100.0","0","0.0","429","2128","1217","6","3","0","4","6","540","3",
"Zachary Athekame","chSUI","DF,FW","Milan","itSerie A","20-349","2004","1.2","73","1","11","31","31","3","73","3","0","0.0","1","33.3","41","207","91","4","5","0","1","1","50","17",
"Arthur Atta","frFRA","MF","Udinese","itSerie A","22-317","2003","11.5","601","15","84","263","268","35","601","57","33","57.9","21","36.8","369","2444","1205","38","29","10","41","24","424","68",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","23-186","2002","11.0","506","339","493","13","0","0","506","0","0","","0","","272","1579","801","0","0","0","0","0","273","0",
