Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","22","1997","4.2","231","10","57","156","19","0","231","4","3","75.0","1","25.0","122","716","338","4","4","0","3","2","143","1",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","27","1992","11.7","522","20","116","289","132","21","522","26","15","57.7","11","42.3","270","1381","603","11","11","3","26","13","282","31",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","25","1995","13.2","863","77","370","453","45","5","863","10","6","60.0","4","40.0","517","2441","1247","10","4","1","10","1","579","14",
"David Alaba","atAUT","DF,MF","Bayern Munich","deBundesliga","28","1992","29.7","2539","146","836","1396","329","24","2539","19","16","84.2","3","15.8","1654","9691","5512","56","38","2","20","12","1856","70",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","22","1998","16.7","1127","46","376","530","228","9","1127","36","18","50.0","18","50.0","545","2292","1350","35","22","4","26","17","605","47",
"Jony Álamo","esESP","MF","Elche","esLa Liga","18","2001","0.8","25","0","11","10","4","1","25","4","4","100.0","0","0.0","13","78","31","1","0","0","1","1","13","1",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","27","1992","13.8","462","14","40","194","233","74","460","21","16","76.2","5","23.8","226","921","284","7","5","4","46","16","361","75",
"Jordi Alba","esESP","DF,FW","Barcelona","esLa Liga","31","1989","33.6","3199","77","636","1277","1300","118","3199","32","17","53.1","15","46.9","1973","7344","3553","48","44","14","32","14","2390","354",
"Luis Alberto","esESP","MF","Lazio","itSerie A","27","1992","29.1","2254","14","240","1244","817","63","2254","95","51","53.7","44","46.3","1344","8588","5655","143","124","19","46","39","1577","132",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","34","1985","34.6","2327","286","1186","1098","55","11","2327","6","4","66.7","2","33.3","1420","8867","5461","19","13","1","10","6","1634","2",
"Marc Albrighton","engENG","DF,FW","Leicester City","engPremier League","30","1989","19.4","1163","37","246","462","476","37","1163","66","37","56.1","29","43.9","615","3494","1576","46","33","7","33","29","725","139",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","26","1993","17.2","381","9","33","167","182","69","379","11","8","72.7","3","27.3","194","624","267","12","3","8","31","9","267","77",
"Pedro Alcalá","esESP","DF","Cádiz","esLa Liga","31","1989","10.1","389","75","228","158","5","4","389","1","1","100.0","0","0.0","175","836","433","1","4","0","0","0","183","0",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","29","1991","20.6","1946","31","296","1226","438","16","1946","48","33","68.8","15","31.3","1252","5861","2930","27","58","4","23","18","1475","25",
