Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Pablo Hernández","esESP","MF","Leeds United","engPremier League","35","1985","4.7","445","3","67","236","146","16","445","11","10","90.9","1","9.1","257","1708","996","33","19","3","9","1","348","34",
"Theo Hernández","frFRA","DF","Milan","itSerie A","22","1997","32.6","2287","107","548","1107","673","84","2287","119","73","61.3","46","38.7","1352","10146","6510","146","101","28","62","27","1485","189",
"Hernani","brBRA","MF","Parma","itSerie A","26","1994","24.3","1384","54","284","757","356","26","1383","53","36","67.9","17","32.1","711","3947","1924","51","38","4","39","27","884","85",
"Ander Herrera","esESP","MF","Paris S-G","frLigue 1","30","1989","20.6","1975","55","311","1250","424","30","1975","23","12","52.2","11","47.8","1205","5119","2693","27","31","1","25","10","1579","57",
"Héctor Herrera","mxMEX","MF","Atlético Madrid","esLa Liga","30","1990","7.6","735","16","152","482","102","5","735","6","4","66.7","2","33.3","422","1929","795","4","9","1","5","4","545","7",
"Sergio Herrera","esESP","GK","Osasuna","esLa Liga","27","1993","32.9","1257","963","1244","13","0","0","1257","1","1","100.0","0","0.0","587","3908","2446","0","0","0","5","0","383","0",
"Yangel Herrera","veVEN","MF","Granada","esLa Liga","22","1998","25.7","1189","63","248","678","274","47","1189","37","21","56.8","16","43.2","519","1960","832","13","16","2","40","20","674","36",
"Patrick Herrmann","deGER","FW,MF","Gladbach","deBundesliga","29","1991","9.7","436","11","66","176","204","42","436","16","10","62.5","6","37.5","224","1146","662","23","9","12","15","11","271","80",
"Pablo Hervías","esESP","DF,MF","Valladolid","esLa Liga","27","1993","13.4","839","23","198","339","322","16","839","34","21","61.8","13","38.2","484","3948","1885","73","46","7","20","15","508","66",
"Përparim Hetemaj","fiFIN","MF","Benevento","itSerie A","33","1986","24.6","1122","27","271","610","258","22","1122","34","18","52.9","16","47.1","605","3061","1300","27","23","1","35","28","701","52",
"Son Heung-min","krKOR","FW","Tottenham","engPremier League","28","1992","34.6","1506","15","157","603","757","129","1505","72","39","54.2","33","45.8","882","5297","2414","88","46","37","59","50","1091","266",
"Aaron Hickey","sctSCO","DF","Bologna","itSerie A","18","2002","8.4","495","26","149","235","115","8","495","16","7","43.8","9","56.3","282","1610","739","21","17","4","16","8","268","28",
"Vitorino Hilton","brBRA","DF","Montpellier","frLigue 1","42","1977","23.5","1300","183","743","531","33","19","1300","1","1","100.0","0","0.0","708","3300","1838","3","3","0","11","1","760","4",
"Martin Hinteregger","atAUT","DF","Eint Frankfurt","deBundesliga","27","1992","28.1","2252","224","994","1162","114","33","2252","15","5","33.3","10","66.7","1224","6384","3057","23","18","0","23","8","1371","18",
"Marwin Hitz","chSUI","GK","Dortmund","deBundesliga","32","1987","15.5","576","498","576","0","0","0","576","0","0","","0","","304","1494","892","0","0","0","0","0","305","0",
"Wesley Hoedt","nlNED","DF","Lazio","itSerie A","26","1994","10.6","796","108","386","403","12","4","796","4","3","75.0","1","25.0","488","2502","1225","2","2","1","4","1","530","1",
"Ki-Jana Hoever","nlNED","DF,MF","Wolves","engPremier League","18","2002","6.4","440","31","142","177","126","10","440","22","13","59.1","9","40.9","239","1313","852","17","11","4","12","6","261","38",
"Nicolas Höfler","deGER","MF","Freiburg","deBundesliga","30","1990","30.3","1686","79","451","1024","230","27","1686","49","34","69.4","15","30.6","893","4515","2235","26","20","3","29","15","985","14",
"Jonas Hofmann","deGER","FW,MF","Gladbach","deBundesliga","28","1992","20.2","1227","22","201","614","436","69","1224","35","16","45.7","19","54.3","679","3629","1652","46","31","24","32","19","759","106",
"Marco Höger","deGER","DF,MF","Köln","deBundesliga","30","1989","0.6","43","0","17","16","10","0","43","2","2","100.0","0","0.0","19","122","81","1","1","0","1","0","19","3",
"Rob Holding","engENG","DF","Arsenal","engPremier League","24","1995","28.4","2093","283","1051","980","68","22","2093","11","8","72.7","3","27.3","1350","6434","3872","10","10","0","12","6","1486","1",
"Lucas Höler","deGER","FW,MF","Freiburg","deBundesliga","26","1994","23.2","973","18","128","430","429","100","973","48","27","56.3","21","43.8","555","3091","1405","57","33","17","87","31","725","148",
"Mason Holgate","jmJAM","DF","Everton","engPremier League","23","1996","25.4","1517","164","709","663","155","8","1517","11","8","72.7","3","27.3","756","3816","2160","21","9","0","14","6","871","36",
"Jordan Holsgrove","sctSCO","MF","Celta Vigo","esLa Liga","20","1999","1.6","121","1","21","73","29","1","121","2","1","50.0","1","50.0","92","378","110","1","3","0","5","3","97","4",
"Franck Honorat","frFRA","MF,FW","Brest","frLigue 1","23","1996","27.3","1299","32","197","413","710","79","1299","60","25","41.7","35","58.3","721","4332","2345","83","58","23","41","27","857","227",
"Matthew Hoppe","usUSA","FW","Schalke 04","deBundesliga","19","2001","14.5","378","21","52","191","140","43","378","25","13","52.0","12","48.0","190","1043","388","17","4","10","40","10","258","69",
"Jannes Horn","deGER","DF","Köln","deBundesliga","23","1997","19.6","1092","74","422","511","175","3","1092","15","8","53.3","7","46.7","545","3471","1934","34","24","0","14","4","612","37",
"Timo Horn","deGER","GK","Köln","deBundesliga","27","1993","33.4","1423","1221","1416","8","0","0","1423","2","2","100.0","0","0.0","783","3550","2349","0","0","0","1","0","738","0",
"Fraser Hornby","sctSCO","FW,MF","Reims","frLigue 1","20","1999","0.4","13","0","1","5","7","2","13","0","0","","0","","9","20","5","0","0","0","1","0","11","1",
"Conor Hourihane","ieIRL","MF","Aston Villa","engPremier League","29","1991","2.5","177","2","22","73","83","4","177","0","0","","0","","82","214","108","1","0","0","1","0","116","11",
"Lukáš Hrádecký","fiFIN","GK","Leverkusen","deBundesliga","30","1989","28.5","1449","1114","1433","16","0","0","1449","0","0","","0","","859","4270","2383","0","0","0","1","0","896","0",
"Ajdin Hrustic","auAUS","MF,DF","Eint Frankfurt","deBundesliga","24","1996","3.0","275","3","25","158","98","7","275","6","4","66.7","2","33.3","170","799","446","9","12","0","9","3","197","9",
"Florian Hübner","deGER","DF","Union Berlin","deBundesliga","29","1991","5.8","324","39","171","135","19","4","324","1","1","100.0","0","0.0","139","483","274","2","2","0","6","1","165","2",
"Callum Hudson-Odoi","engENG","FW,DF","Chelsea","engPremier League","19","2000","11.8","775","8","85","226","473","58","775","29","15","51.7","14","48.3","477","3474","2076","89","39","30","14","15","604","155",
"Niall Huggins","wlsWAL","DF","Leeds United","engPremier League","19","2000","0.4","21","1","7","10","4","1","21","0","0","","0","","13","67","31","1","0","1","0","0","12","1",
"Mats Hummels","deGER","DF","Dortmund","deBundesliga","31","1988","31.3","2993","265","1286","1632","93","45","2993","10","7","70.0","3","30.0","1823","9383","5362","17","18","1","9","2","2093","7",
"Adrien Hunou","frFRA","FW,MF","Rennes","frLigue 1","26","1994","6.5","260","3","14","95","152","37","260","3","1","33.3","2","66.7","131","650","191","8","5","5","17","4","201","60",
"Klaas-Jan Huntelaar","nlNED","FW","Schalke 04","deBundesliga","36","1983","6.5","182","5","10","125","47","16","181","3","1","33.3","2","66.7","94","403","89","1","1","0","11","3","129","21",
"Elseid Hysaj","alALB","DF","Napoli","itSerie A","26","1994","19.6","1407","77","429","751","242","14","1407","33","22","66.7","11","33.3","834","4316","2451","49","37","7","24","6","910","49",
"Pierre Højbjerg","dkDEN","MF","Tottenham","engPremier League","24","1995","38.0","3116","120","712","2126","308","20","3116","32","23","71.9","9","28.1","1794","8521","4176","36","33","2","37","20","2224","26",
"Simone Iacoponi","itITA","DF","Parma","itSerie A","33","1987","13.3","853","91","386","392","81","6","853","4","3","75.0","1","25.0","510","2613","1527","7","7","0","8","0","562","18",
"Iago","brBRA","DF","Augsburg","deBundesliga","23","1997","17.3","1013","68","390","409","221","17","1013","17","8","47.1","9","52.9","511","3096","1571","39","24","4","15","13","545","67",
"Roger Ibanez","brBRA","DF","Roma","itSerie A","21","1998","26.6","1960","175","801","1094","87","20","1960","23","16","69.6","7","30.4","1130","6858","3963","40","26","5","21","8","1290","9",
"Vedad Ibišević","baBIH","FW","Schalke 04","deBundesliga","35","1984","1.7","43","1","3","24","16","5","43","0","0","","0","","20","80","19","1","1","0","5","2","37","9",
"Vicente Iborra","esESP","MF","Villarreal","esLa Liga","32","1988","10.3","687","45","206","417","67","5","687","5","4","80.0","1","20.0","365","1501","707","3","4","0","4","4","496","4",
"Didier Ibrahim Ndong","gaGAB","MF","Dijon","frLigue 1","26","1994","29.0","1776","60","418","1227","154","5","1776","31","22","71.0","9","29.0","1096","5713","2551","39","24","0","38","16","1236","28",
"Zlatan Ibrahimović","seSWE","FW","Milan","itSerie A","38","1981","16.6","742","33","38","297","413","144","736","22","11","50.0","10","45.5","356","1642","859","31","27","11","32","11","584","116",
"Mauro Icardi","arARG","FW","Paris S-G","frLigue 1","27","1993","12.0","263","7","15","111","137","66","262","5","3","60.0","2","40.0","116","411","180","3","3","1","13","7","178","46",
"Oussama Idrissi","maMAR","FW,MF","Sevilla","esLa Liga","24","1996","0.3","19","1","4","2","13","5","19","0","0","","0","","11","80","62","4","0","2","2","2","10","4",
"Blendi Idrizi","xkKVX","MF","Schalke 04","deBundesliga","22","1998","2.6","104","3","36","46","25","1","104","6","4","66.7","2","33.3","49","278","125","6","2","0","7","4","51","2",
"Odion Ighalo","ngNGA","FW","Manchester Utd","engPremier League","31","1989","0.1","4","0","0","2","2","0","4","0","0","","0","","3","12","0","0","0","0","1","2","4","1",
"Iglesias","esESP","DF,MF","Getafe","esLa Liga","22","1998","6.7","317","17","96","134","87","5","317","10","5","50.0","5","50.0","126","620","239","5","8","1","7","5","123","14",
"Borja Iglesias","esESP","FW","Betis","esLa Liga","27","1993","15.7","421","13","29","195","201","72","416","21","10","47.6","11","52.4","220","834","221","7","8","7","49","19","312","72",
"Igor","brBRA","DF","Fiorentina","itSerie A","22","1998","13.0","924","61","307","552","73","4","924","8","7","87.5","1","12.5","595","3471","2371","27","13","0","6","6","645","12",
"Kelechi Iheanacho","ngNGA","FW","Leicester City","engPremier League","23","1996","16.2","719","1","37","293","398","79","718","44","32","72.7","12","27.3","452","2224","920","31","25","9","57","34","580","124",
"Jonathan Ikone","frFRA","MF,FW","Lille","frLigue 1","22","1998","24.2","1012","14","82","506","448","55","1011","87","53","60.9","34","39.1","712","4495","2322","65","54","24","61","56","796","117",
"Yun Il-lok","krKOR","MF,FW","Montpellier","frLigue 1","28","1992","3.5","139","1","16","76","48","5","139","7","4","57.1","3","42.9","67","464","216","8","3","2","5","4","88","11",
"Ivan Ilić","rsSRB","MF","Hellas Verona","itSerie A","19","2001","20.4","1327","37","216","873","255","13","1327","40","30","75.0","10","25.0","747","4152","2215","38","29","1","26","13","877","31",
"Josip Iličić","siSVN","MF,FW","Atalanta","itSerie A","32","1988","17.0","1269","1","56","471","750","99","1267","100","57","57.0","42","42.0","932","5554","2551","88","75","37","74","45","1076","194",
"Asier Illarramendi","esESP","MF","Real Sociedad","esLa Liga","30","1990","3.7","301","6","61","208","33","1","301","0","0","","0","","173","962","590","5","2","0","0","0","218","3",
"Stefan Ilsanker","atAUT","MF,DF","Eint Frankfurt","deBundesliga","31","1989","17.5","1075","118","412","581","92","12","1075","12","9","75.0","3","25.0","490","2330","1163","14","10","1","13","4","594","13",
"Ciro Immobile","itITA","FW","Lazio","itSerie A","30","1990","31.7","1218","10","94","443","692","207","1210","47","27","57.4","20","42.6","700","3687","1815","74","43","38","71","34","968","250",
"Riccardo Improta","itITA","DF,MF","Benevento","itSerie A","26","1993","25.9","1205","70","297","499","423","53","1205","38","24","63.2","14","36.8","665","4020","2200","58","50","10","35","19","788","139",
"Roberto Inglese","itITA","FW","Parma","itSerie A","28","1991","6.4","197","4","19","111","71","13","197","15","8","53.3","7","46.7","111","451","83","1","2","2","39","12","144","31",
"Danny Ings","engENG","FW","Southampton","engPremier League","28","1992","24.1","817","27","78","353","391","116","815","59","30","50.8","29","49.2","459","2139","827","37","25","13","66","18","574","134",
"Marcus Ingvartsen","dkDEN","MF,FW","Union Berlin","deBundesliga","24","1996","21.8","915","20","154","468","306","40","914","40","16","40.0","24","60.0","487","2239","915","29","20","3","71","35","616","107",
"Lorenzo Insigne","itITA","FW","Napoli","itSerie A","29","1991","31.8","2280","22","250","1028","1040","143","2272","105","65","61.9","40","38.1","1469","9303","4826","138","95","54","63","34","1710","270",
"Roberto Insigne","itITA","MF,FW","Benevento","itSerie A","26","1994","17.8","775","12","96","332","361","62","775","29","19","65.5","10","34.5","496","3476","1353","43","31","16","37","14","561","117",
"Pablo Insua","esESP","DF","Huesca","esLa Liga","26","1993","17.6","905","138","598","291","24","8","905","3","3","100.0","0","0.0","481","2008","1046","3","3","0","4","1","580","3",
"Takashi Inui","jpJPN","MF,FW","Eibar","esLa Liga","32","1988","20.2","757","10","71","265","429","48","757","63","26","41.3","37","58.7","473","3001","1375","59","22","17","53","22","532","119",
"Artur Ioniță","mdMDA","MF","Benevento","itSerie A","29","1990","31.5","1017","45","217","577","239","28","1017","25","17","68.0","8","32.0","465","2359","1132","30","24","1","27","22","562","54",
"Alexander Isak","seSWE","FW","Real Sociedad","esLa Liga","20","1999","26.0","704","8","25","303","390","141","703","67","38","56.7","29","43.3","403","2549","1218","44","33","25","54","28","522","153",
"Isco","esESP","MF","Real Madrid","esLa Liga","28","1992","10.1","838","10","94","461","296","39","838","44","31","70.5","13","29.5","602","3596","1843","36","31","7","22","17","715","52",
"Ardian Ismajli","alALB","DF","Spezia","itSerie A","23","1996","14.4","855","67","418","425","13","6","855","0","0","","0","","524","2872","1528","4","3","0","2","2","542","0",
"Abass Issah","ghGHA","DF,FW","Mainz 05","deBundesliga","21","1998","0.2","16","0","5","4","7","1","16","1","1","100.0","0","0.0","11","50","37","1","1","0","0","0","8","1",
"Branislav Ivanović","rsSRB","DF","West Brom","engPremier League","36","1984","8.5","394","51","196","189","11","5","394","0","0","","0","","150","679","377","0","1","0","1","0","207","1",
"Alex Iwobi","ngNGA","FW,MF","Everton","engPremier League","24","1996","17.1","883","23","178","388","337","42","883","71","45","63.4","26","36.6","576","4340","2345","72","49","13","41","26","617","99",
"Jairo Izquierdo","esESP","MF,DF","Cádiz","esLa Liga","26","1993","14.2","569","28","147","242","197","10","569","23","14","60.9","9","39.1","324","2274","1266","33","26","3","24","18","317","57",
"José Izquierdo","coCOL","DF","Brighton","engPremier League","28","1992","0.1","13","0","0","1","12","0","13","1","0","0.0","1","100.0","8","77","54","1","1","0","1","0","8","2",
"Armando Izzo","itITA","DF","Torino","itSerie A","28","1992","22.3","1429","98","543","746","151","33","1429","18","12","66.7","6","33.3","808","4484","2350","35","22","1","17","8","896","20",
"Phil Jagielka","engENG","DF","Sheffield Utd","engPremier League","37","1982","5.8","266","42","150","112","8","1","266","0","0","","0","","121","368","101","1","0","0","3","0","122","2",
"Alireza Jahanbakhsh","irIRN","FW,MF","Brighton","engPremier League","26","1993","5.9","331","4","23","113","199","29","331","17","11","64.7","6","35.3","219","991","552","18","13","6","12","7","254","53",
"Mato Jajalo","baBIH","MF","Udinese","itSerie A","32","1988","0.4","35","2","11","20","4","0","35","0","0","","0","","15","64","34","0","2","0","0","0","20","0",
"Ismail Jakobs","snSEN","MF,FW","Köln","deBundesliga","20","1999","19.2","911","38","228","338","351","49","911","22","9","40.9","13","59.1","449","2288","934","34","20","15","48","9","538","134",
"Daniel James","wlsWAL","FW","Manchester Utd","engPremier League","22","1997","10.1","426","8","55","160","220","36","426","23","11","47.8","12","52.2","245","1810","1059","36","23","7","21","9","304","84",
"Reece James","engENG","DF","Chelsea","engPremier League","20","1999","26.4","2297","78","557","1019","739","49","2297","51","34","66.7","17","33.3","1292","5900","3052","80","54","20","27","23","1601","204",
"Alexandre Jankewitz","chSUI","MF","Southampton","engPremier League","18","2001","0.0","6","0","4","0","2","0","6","0","0","","0","","3","7","1","0","0","0","1","0","4","0",
"Saidy Janko","gmGAM","DF","Valladolid","esLa Liga","24","1995","13.6","746","50","231","334","189","15","746","27","20","74.1","7","25.9","345","2042","1085","30","24","5","17","11","376","64",
"Jakub Jankto","czCZE","MF","Sampdoria","itSerie A","24","1996","26.8","1175","37","225","525","438","76","1175","26","10","38.5","16","61.5","645","3659","1755","52","36","19","39","34","795","158",
"Tony Jantschke","deGER","DF","Gladbach","deBundesliga","30","1990","3.0","286","11","100","176","10","3","286","0","0","","0","","189","663","331","0","0","0","1","0","218","1",
"Adnan Januzaj","beBEL","FW,MF","Real Sociedad","esLa Liga","25","1995","11.3","718","4","44","303","387","38","715","67","45","67.2","22","32.8","484","3075","1574","45","39","10","36","22","557","116",
"Rune Jarstein","noNOR","GK","Hertha BSC","deBundesliga","35","1984","8.0","311","271","310","1","0","0","311","0","0","","0","","157","925","551","0","0","0","0","0","129","0",
"Jason","esESP","MF,DF","Valencia","esLa Liga","26","1994","4.9","215","8","53","77","91","7","215","20","8","40.0","12","60.0","131","962","488","17","14","2","15","6","134","23",
"Luis Javier Suárez","coCOL","FW,MF","Granada","esLa Liga","22","1997","18.5","503","10","59","182","274","73","503","43","28","65.1","15","34.9","286","2049","916","33","24","18","48","26","324","90",
"Corentin Jean","frFRA","FW,MF","Lens","frLigue 1","25","1995","6.4","248","4","23","99","130","25","248","17","8","47.1","9","52.9","168","863","351","9","6","1","19","13","187","55",
"Daniel Jebbison","caCAN","FW","Sheffield Utd","engPremier League","16","2003","3.2","73","1","8","31","34","5","73","4","2","50.0","2","50.0","33","137","51","2","1","1","8","5","39","6",
"Tin Jedvaj","hrCRO","DF","Leverkusen","deBundesliga","24","1995","1.7","160","9","57","91","12","1","160","0","0","","0","","69","248","115","0","0","0","2","1","100","0",
"Fredrik Jensen","fiFIN","FW,MF","Augsburg","deBundesliga","22","1997","4.2","150","8","31","58","64","13","150","11","6","54.5","5","45.5","91","396","137","4","7","0","13","10","98","26",
"Jesé","esESP","FW","Paris S-G","frLigue 1","27","1993","0.3","11","0","1","3","7","5","11","1","0","0.0","1","100.0","6","11","0","0","0","0","1","0","9","4",
"Gabriel Jesus","brBRA","FW","Manchester City","engPremier League","23","1997","22.9","1004","7","54","397","568","127","1004","70","48","68.6","22","31.4","635","3677","1619","54","38","28","59","38","799","202",
"Juan Jesus","brBRA","DF","Roma","itSerie A","29","1991","1.7","143","16","66","76","1","0","143","1","1","100.0","0","0.0","86","410","218","1","2","0","0","0","112","0",
"Raúl Jiménez","mxMEX","FW","Wolves","engPremier League","29","1991","9.1","375","14","31","198","150","38","375","21","10","47.6","11","52.4","233","1335","657","23","12","7","32","18","303","46",
"Joaquín","esESP","FW,MF","Betis","esLa Liga","39","1981","14.3","868","8","77","337","461","35","868","29","20","69.0","9","31.0","513","2916","1515","46","43","7","29","15","650","121",
"John Joe","ieIRL","MF,FW","Getafe","esLa Liga","16","2003","0.7","35","0","1","12","22","6","35","0","0","","0","","20","44","11","1","0","0","6","4","26","10",
"Joelinton","brBRA","FW,MF","Newcastle Utd","engPremier League","23","1996","22.0","934","33","124","502","324","74","933","67","37","55.2","30","44.8","513","2672","1033","34","21","13","80","42","650","104",
"Marco John","deGER","DF","Hoffenheim","deBundesliga","18","2002","11.1","683","40","167","290","231","17","683","36","15","41.7","21","58.3","339","1491","724","21","11","7","18","9","378","63",
"Ben Johnson","engENG","DF,FW","West Ham","engPremier League","20","2000","5.8","275","15","76","123","82","2","275","6","4","66.7","2","33.3","155","905","477","11","12","0","4","6","163","24",
"Sam Johnstone","engENG","GK","West Brom","engPremier League","27","1993","37.0","1416","1106","1388","29","0","0","1416","0","0","","0","","659","4839","2994","0","0","0","0","0","465","0",
"Curtis Jones","engENG","MF","Liverpool","engPremier League","19","2001","13.1","1133","15","128","643","373","26","1133","34","22","64.7","12","35.3","798","4177","1964","42","43","8","22","32","910","79",
"Frenkie de Jong","nlNED","MF,DF","Barcelona","esLa Liga","23","1997","35.0","3052","90","617","1742","726","87","3052","67","58","86.6","9","13.4","2147","12665","7334","95","103","11","35","25","2519","129",
"Luuk de Jong","nlNED","FW","Sevilla","esLa Liga","29","1990","14.1","486","19","44","266","180","61","486","14","9","64.3","5","35.7","227","787","283","6","8","1","34","14","379","66",
"Jony","esESP","MF,FW","Osasuna","esLa Liga","29","1991","9.7","510","4","40","191","282","22","510","41","17","41.5","24","58.5","310","1726","784","24","24","5","32","15","357","84",
"Joan Jordán","esESP","MF","Sevilla","esLa Liga","26","1994","26.7","2256","58","441","1325","509","29","2256","42","30","71.4","12","28.6","1289","5886","2607","40","43","3","33","21","1736","59",
"Jorginho","itITA","MF","Chelsea","engPremier League","28","1991","22.3","2015","59","520","1212","292","16","2006","25","17","68.0","8","32.0","1144","4669","2408","16","30","0","19","14","1535","14",
"Josan","esESP","MF,DF","Elche","esLa Liga","30","1989","21.4","1022","39","329","404","304","24","1022","75","40","53.3","35","46.7","605","4104","1928","65","38","10","38","23","669","92",
"Willian José","brBRA","FW","Wolves","engPremier League","28","1991","12.3","389","14","36","223","133","33","389","11","8","72.7","3","27.3","205","790","297","12","7","0","29","13","291","55",
"Willian José","brBRA","FW","Real Sociedad","esLa Liga","28","1991","7.7","296","7","28","141","133","27","295","5","2","40.0","3","60.0","165","736","175","3","8","0","12","8","230","29",
"Joselu","esESP","FW","Alavés","esLa Liga","30","1990","33.6","1450","61","163","736","558","134","1446","55","28","50.9","27","49.1","691","2182","702","25","16","11","87","36","1121","137",
"Josema","esESP","DF","Elche","esLa Liga","24","1996","21.8","1238","120","624","488","134","6","1238","10","9","90.0","1","10.0","622","2982","1745","29","22","1","10","7","720","30",
"Jota","ptPOR","MF,FW","Valladolid","esLa Liga","21","1999","7.4","284","3","42","114","137","18","284","23","16","69.6","7","30.4","179","1358","636","20","18","6","11","5","197","50",
"Jota","esESP","MF","Alavés","esLa Liga","29","1991","15.5","636","14","107","340","204","12","636","36","17","47.2","19","52.8","396","2292","1135","28","35","2","29","14","401","39",
"Diogo Jota","ptPOR","FW","Liverpool","engPremier League","23","1996","12.4","626","6","54","251","330","91","626","43","21","48.8","22","51.2","425","2724","1510","54","42","23","39","20","492","125",
"Stevan Jovetić","meMNE","FW,MF","Monaco","frLigue 1","30","1989","8.9","498","4","21","230","250","58","497","25","15","60.0","10","40.0","289","1719","908","30","23","9","22","12","370","80",
"Luka Jović","rsSRB","FW","Real Madrid","esLa Liga","22","1997","1.7","52","0","3","20","30","13","52","2","2","100.0","0","0.0","24","98","61","2","2","1","2","1","41","4",
"Luka Jović","rsSRB","FW","Eint Frankfurt","deBundesliga","22","1997","9.9","389","7","22","222","150","46","389","26","14","53.8","12","46.2","243","1252","445","15","13","7","27","19","325","62",
"Juanmi","esESP","FW,MF","Betis","esLa Liga","27","1993","6.7","220","4","23","115","84","24","220","11","5","45.5","6","54.5","122","594","249","6","6","3","17","9","149","34",
"Hamed Junior Traorè","ciCIV","MF,FW","Sassuolo","itSerie A","20","2000","19.9","1100","18","149","450","517","61","1100","76","52","68.4","24","31.6","616","3625","1876","45","45","12","55","26","781","120",
"Vinicius Júnior","brBRA","FW","Real Madrid","esLa Liga","20","2000","21.9","1108","7","127","327","676","125","1108","81","44","54.3","36","44.4","817","6149","3837","127","89","48","67","42","888","283",
"James Justin","engENG","DF","Leicester City","engPremier League","22","1998","23.0","1551","60","461","669","431","32","1551","32","18","56.3","14","43.8","739","4027","2195","64","51","4","29","14","944","135",
"Musa Juwara","gmGAM","MF,DF","Bologna","itSerie A","18","2001","0.5","41","0","5","19","17","3","41","3","2","66.7","1","33.3","25","198","101","3","4","0","3","2","31","8",
"Jens Jønsson","dkDEN","MF","Cádiz","esLa Liga","27","1993","29.1","972","71","307","521","153","15","972","21","15","71.4","6","28.6","385","2063","803","12","14","3","22","10","411","13",
"Ozan Kabak","trTUR","DF","Liverpool","engPremier League","20","2000","8.9","669","75","316","346","14","7","669","5","3","60.0","2","40.0","443","2250","1005","3","1","0","4","3","477","1",
"Ozan Kabak","trTUR","DF","Schalke 04","deBundesliga","20","2000","13.8","851","115","405","417","40","18","851","28","18","64.3","10","35.7","538","3060","1682","9","10","0","8","9","551","1",
"Abdoul Kader Bamba","frFRA","FW,MF","Nantes","frLigue 1","26","1994","10.2","619","3","70","284","276","32","618","48","27","56.3","21","43.8","389","2483","1171","41","21","20","27","17","450","96",
"Pavel Kadeřábek","czCZE","DF,FW","Hoffenheim","deBundesliga","28","1992","17.6","1109","39","242","504","368","36","1109","20","5","25.0","15","75.0","528","2408","1224","38","28","2","13","6","713","149",
"Tino Kadewere","zwZIM","FW","Lyon","frLigue 1","24","1996","22.3","913","35","124","349","453","120","913","55","29","52.7","26","47.3","555","2389","1056","36","24","18","53","33","644","186",
"Damian Kądzior","plPOL","FW,MF","Eibar","esLa Liga","28","1992","2.2","91","0","7","21","63","4","91","4","3","75.0","1","25.0","42","169","66","1","1","0","3","2","51","16",
"Florian Kainz","atAUT","MF,FW","Köln","deBundesliga","27","1992","5.0","245","3","24","133","91","8","245","12","5","41.7","7","58.3","150","839","377","10","7","0","10","6","172","27",
"Gaël Kakuta","cdCOD","MF,FW","Lens","frLigue 1","29","1991","26.6","1458","5","110","740","621","57","1449","102","52","51.0","50","49.0","852","4234","1720","48","46","12","76","54","1075","123",
"Sasa Kalajdzic","atAUT","FW","Stuttgart","deBundesliga","23","1997","23.7","936","24","51","469","423","118","936","31","15","48.4","16","51.6","454","1779","538","18","16","9","79","30","731","166",
"Arnaud Kalimuendo","frFRA","FW","Paris S-G","frLigue 1","18","2002","0.8","26","0","0","7","20","1","26","4","3","75.0","1","25.0","18","106","38","1","2","0","2","3","27","11",
"Arnaud Kalimuendo","frFRA","FW,MF","Lens","frLigue 1","18","2002","13.5","446","3","17","184","255","53","446","45","23","51.1","22","48.9","315","1938","981","41","24","18","50","31","374","121",
"Nikola Kalinić","hrCRO","FW","Hellas Verona","itSerie A","32","1988","11.8","332","7","15","149","173","43","332","9","5","55.6","4","44.4","212","936","233","7","5","3","35","13","277","77",
"Yayah Kallon","slSLE","FW","Genoa","itSerie A","19","2001","0.5","15","0","1","7","8","3","15","3","1","33.3","2","66.7","11","100","45","3","2","2","0","4","12","2",
"Samuel Kalu","ngNGA","FW,MF","Bordeaux","frLigue 1","22","1997","10.7","497","3","61","216","230","43","497","76","36","47.4","40","52.6","330","2521","969","34","19","16","49","26","370","80",
"Pierre Kalulu","frFRA","DF","Milan","itSerie A","20","2000","8.1","579","45","241","276","71","7","579","4","3","75.0","1","25.0","352","1928","1051","18","12","1","4","1","368","28",
"Daichi Kamada","jpJPN","MF","Eint Frankfurt","deBundesliga","23","1996","26.2","1291","30","134","575","595","82","1291","62","33","53.2","29","46.8","662","3684","1848","63","41","20","60","41","868","210",
"Aboubakar Kamara","mrMTN","FW,MF","Fulham","engPremier League","25","1995","3.5","171","0","14","72","88","4","171","9","4","44.4","5","55.6","107","576","271","11","7","0","13","8","128","30",
"Aboubakar Kamara","mrMTN","FW,MF","Dijon","frLigue 1","25","1995","6.2","212","2","15","100","100","15","212","15","8","53.3","7","46.7","140","684","234","10","8","3","18","16","180","37",
"Bingourou Kamara","snSEN","GK","Strasbourg","frLigue 1","23","1996","8.0","262","222","260","2","0","0","262","0","0","","0","","126","597","314","0","0","0","0","0","113","0",
"Boubacar Kamara","frFRA","MF","Marseille","frLigue 1","20","1999","32.2","2377","96","598","1544","256","24","2377","54","34","63.0","20","37.0","1419","5778","2963","41","33","7","40","25","1679","44",
