Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Alejandro Balde","esESP","DF,FW","Barcelona","esLa Liga","17","2003","2.1","3","1.44","2","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Ibrahima Baldé","frFRA","FW,MF","Lens","frLigue 1","18","2003","0.6","1","1.58","0","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Keita Baldé","snSEN","FW","Cagliari","itSerie A","26","1995","13.7","23","1.68","14","0","1","4","3","1","2","0.15","1","0","0","0","1","0",
"Gareth Bale","wlsWAL","FW","Real Madrid","esLa Liga","32","1989","3.1","2","0.64","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Mikel Balenziaga","esESP","DF","Athletic Club","esLa Liga","33","1988","22.5","23","1.02","19","2","0","1","1","0","1","0.04","0","0","0","0","1","0",
"Leonardo Balerdi","arARG","DF","Marseille","frLigue 1","22","1999","10.6","6","0.57","3","1","1","1","0","0","2","0.19","1","1","0","0","0","0",
"Iván Balliu","alALB","DF","Rayo Vallecano","esLa Liga","29","1992","35.0","94","2.69","68","13","6","2","3","2","5","0.14","4","0","1","0","0","0",
"Fodé Ballo-Touré","snSEN","DF","Milan","itSerie A","24","1997","5.0","13","2.62","11","0","1","0","1","0","2","0.40","2","0","0","0","0","0",
"Folarin Balogun","usUSA","FW","Arsenal","engPremier League","20","2001","0.8","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Abdoulaye Bamba","ciCIV","DF,FW","Angers","frLigue 1","31","1990","5.1","7","1.38","7","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jonathan Bamba","ciCIV","MF,FW","Lille","frLigue 1","25","1996","27.0","89","3.30","47","25","9","3","4","1","7","0.26","5","0","1","1","0","0",
"Patrick Bamford","engENG","FW","Leeds United","engPremier League","27","1993","6.2","13","2.09","9","0","1","2","1","0","3","0.48","2","0","1","0","0","0",
"Filippo Bandinelli","itITA","MF","Empoli","itSerie A","26","1995","21.7","58","2.67","46","4","3","3","1","1","4","0.18","4","0","0","0","0","0",
"Mattia Bani","itITA","DF","Genoa","itSerie A","27","1993","13.5","5","0.37","4","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Simon Banza","cdCOD","FW","Lens","frLigue 1","24","1996","1.4","4","2.90","3","0","0","0","0","1","2","1.45","1","0","0","0","0","1",
"Shandon Baptiste","gdGRN","MF","Brentford","engPremier League","23","1998","10.1","21","2.07","16","0","4","1","0","0","1","0.10","1","0","0","0","0","0",
"Antonín Barák","czCZE","MF,FW","Hellas Verona","itSerie A","26","1994","26.0","70","2.69","57","1","4","6","2","0","9","0.35","6","0","1","1","1","0",
"Barbero","esESP","FW,MF","Osasuna","esLa Liga","22","1998","0.2","1","4.29","0","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Danilo Barbosa","brBRA","DF","Nice","frLigue 1","25","1996","1.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Barcia","esESP","DF","Granada","esLa Liga","20","2000","0.8","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
