Name,Value,Fee,From,Direction
"Marcel Hartel","€300k","€250k","Union Berlin","Joined"
"Artjoms Rudnevs","-","-","Retired","Joined"
"Neven Subotic","€5.00m","End of loanJun 30, 2017","Dortmund","Joined"
"Davie Selke","€6.00m","€8.00m","Leipzig","Left"
"Mathew Leckie","€2.50m","€3.00m","FC Ingolstadt","Left"
"Karim Rekik","€2.50m","€2.50m","Marseille","Left"
"Valentino Lazaro","€3.00m","Loan fee:€500k","Salzburg","Left"
"Jonathan Klinsmann","-","free transfer","UC Berkeley","Left"
"Julius Kade","-","-","Hertha BSC U19","Left"
"Florian Baak","-","-","Hertha BSC U19","Left"
"Arne Maier","-","-","Hertha BSC U19","Left"
"Palkó Dárdai","-","-","Hertha BSC U19","Left"
"Sidney Friede","€150k","-","Hertha BSC II","Left"
"John Brooks","€14.00m","€17.00m","Wolfsburg","Joined"
"Sebastian Langkamp","€3.00m","€1.00m","Werder Bremen","Joined"
"Alexander Baumjohann","€400k","free transfer","Coritiba FC","Joined"
"Florian Kohls","€150k","free transfer","Würzb. Kickers","Joined"
"Sami Allagui","€400k","free transfer","St. Pauli","Joined"
"Valentin Stocker","€2.00m","free transfer","Basel","Joined"
"Nils Körber","€150k","loan transfer","Pr. Münster","Joined"
"Genki Haraguchi","€1.75m","loan transfer","F. Düsseldorf","Joined"
"Allan","€1.50m","End of loanJun 30, 2017","Liverpool U23","Joined"
"Pascal Stenzel","€3.00m","€4.00m","Dortmund","Left"
"Yoric Ravet","€3.75m","€3.50m","Young Boys","Left"
"Robin Koch","€800k","€3.50m","1.FC K'lautern","Left"
"Marco Terrazzino","€1.50m","€2.50m","Hoffenheim","Left"
"Florian Niederlechner","€5.50m","€2.30m","Mainz","Left"
"Lucas Höler","€900k","€2.00m","SV Sandhausen","Left"
"Ryan Kent","€500k","Loan fee:€500k","Liverpool U23","Left"
"Bartosz Kapustka","€6.00m","Loan fee:€500k","Leicester","Left"
"Philipp Lienhart","€800k","Loan fee:€500k","Real Madrid","Left"
"Patrick Kammerbauer","€700k","€350k","1.FC Nuremberg","Left"
"Gaëtan Bussmann","€1.00m","loan transfer","Mainz","Left"
"Jonas Meffert","€800k","End of loanJun 30, 2017","Karlsruher SC","Left"
"Sebastian Kerk","€750k","End of loanJun 30, 2017","1.FC K'lautern","Left"
"Fabian Menig","€300k","End of loanJun 30, 2017","VfR Aalen","Left"
"Caleb Stanko","€400k","End of loanJun 30, 2017","FC Vaduz","Left"
"Fabian Schleusener","€300k","End of loanJun 30, 2017","FSV Frankfurt","Left"
"Florian Kath","€275k","End of loanJun 30, 2017","1.FC Magdeburg","Left"
"Tim Kleindienst","€800k","End of loanJun 30, 2017","Heidenheim","Left"
"Maximilian Philipp","€15.00m","€20.00m","Dortmund","Joined"
"Vincenzo Grifo","€10.00m","€6.00m","Mönchengladbach","Joined"
"Onur Bulut","€1.00m","€900k","E. Braunschweig","Joined"
"Sebastian Kerk","€750k","€500k","1.FC Nuremberg","Joined"
"Havard Nielsen","€800k","€400k","F. Düsseldorf","Joined"
"Marc Torrejón","€1.00m","free transfer","Union Berlin","Joined"
"Fabian Menig","€300k","free transfer","Pr. Münster","Joined"
"Amir Falahen","€100k","-","Without Club","Joined"
"Fabian Schleusener","€300k","loan transfer","Karlsruher SC","Joined"
"Jonas Föhrenbach","€300k","loan transfer","Karlsruher SC","Joined"
"Ryan Kent","€1.50m","End of loanJan 8, 2018","Liverpool U23","Joined"
"Florian Niederlechner","€5.50m","End of loanJun 30, 2017","Mainz","Joined"
"Pascal Stenzel","€3.00m","End of loanJun 30, 2017","Dortmund","Joined"
"Milot Rashica","€5.00m","€8.10m","Vitesse","Left"
"Ludwig Augustinsson","€4.00m","€4.50m","Copenhagen","Left"
"Jiri Pavlenka","€1.50m","€3.00m","Slavia Praha","Left"
"Jérôme Gondorf","€2.00m","€1.20m","Darmstadt 98","Left"
"Sebastian Langkamp","€3.00m","€1.00m","Hertha BSC","Left"
"Ishak Belfodil","€6.00m","Loan fee:€500k","Standard Liège","Left"
"Yuning Zhang","€700k","Loan fee:€300k","West Brom","Left"
"Marco Friedl","€750k","loan transfer","Bayern Munich","Left"
"Niklas Schmidt","€300k","-","W. Bremen II","Left"
"Ole Käuper","€275k","-","W. Bremen II","Left"
"Thanos Petsos","€800k","End of loanJun 30, 2017","Fulham","Left"
"László Kleinheisler","€750k","End of loanJun 18, 2017","Ferencváros","Left"
"Lennart Thy","€750k","End of loanJun 30, 2017","St. Pauli","Left"
"Leon Guwara","€500k","End of loanJun 30, 2017","Darmstadt 98","Left"
"Marnon Busch","€300k","End of loanJun 30, 2017","1860 Munich","Left"
