Name,Value,Fee,From,Direction
"Enzo Crivelli","€4.00m","loan transfer","Angers SCO","Left"
"Yoël Armougom","-","-","SM Caen B","Left"
"Jessy Deminguet","-","-","SM Caen B","Left"
"Durel Avounou","-","-","SM Caen B","Left"
"Jordan N'Kololo","€600k","End of loanJun 30, 2017","Stade Lavallois","Left"
"Christian Kouakou","€1.00m","End of loanJun 30, 2017","Nîmes Olympique","Left"
"Florian Le Joncour","€250k","End of loanJun 30, 2017","US Avranches","Left"
"Jean-Victor Makengo","€900k","€6.00m","Nice","Joined"
"Alaeddine Yahia","€250k","free transfer","AS Nancy","Joined"
"Syam Ben Youssef","€1.25m","free transfer","Kasimpasa","Joined"
"Jordan Adéoti","€2.00m","free transfer","AJ Auxerre","Joined"
"Louis Deschateaux","€150k","free transfer","US Alençon","Joined"
"Pape Sané","€1.00m","loan transfer","AJ Auxerre","Joined"
"Chaker Alhadhur","€600k","loan transfer","LB Châteauroux","Joined"
"Yann Karamoh","€3.00m","loan transfer","Inter","Joined"
"Emmanuel Imorou","€1.50m","loan transfer","Cercle Brugge","Joined"
"Paul Reulet","€300k","loan transfer","US Boulogne","Joined"
"Valentin Voisin","€150k","loan transfer","US Avranches","Joined"
"Jonathan Delaplace","€1.00m","?","FC Lorient","Joined"
"Jeff Louis","€500k","loan transfer","Quevilly Rouen","Joined"
"Steed Malbranque","-","-","Career break","Joined"
"Nicolas Seube","-","-","Retired","Joined"
"Frédéric Guilbert","€2.50m","End of loanJun 30, 2017","G. Bordeaux","Joined"
"Benjamin Jeannot","€2.00m","€2.00m","FC Lorient","Left"
"Wesley Lautoa","€2.00m","€1.50m","FC Lorient","Left"
"Wesley Saïd","€1.50m","€1.50m","Stade Rennais","Left"
"Cédric Yambéré","€2.00m","€500k","G. Bordeaux","Left"
"Eden Massouema","€150k","free transfer","Paris FC","Left"
"Xeka","€1.25m","loan transfer","Lille","Left"
"Naïm Sliti","€1.75m","loan transfer","Lille","Left"
"Papy Djilobodji","€5.00m","loan transfer","Sunderland","Left"
"Erwan Maury","€200k","End of loanJun 30, 2017","Quevilly Rouen","Left"
"Enzo Basilio","€100k","End of loanJun 30, 2017","Quevilly Rouen","Left"
"Jessy Benet","€300k","End of loanJun 30, 2017","US Avranches","Left"
"Mamadou Thiam","€800k","End of loanJun 30, 2017","Clermont Foot","Left"
"Loïs Diony","€3.00m","€10.00m","Saint-Étienne","Joined"
"Pierre Lees-Melou","€2.50m","€4.00m","Nice","Joined"
"Mamadou Thiam","€800k","€1.00m","Barnsley","Joined"
"Yohann Rivière","€250k","free transfer","US Créteil-L","Joined"
"Jordan Lotiès","€500k","free transfer","KAS Eupen","Joined"
"Anthony Belmonte","€400k","free transfer","Levski Sofia","Joined"
"Jérémie Bela","€1.25m","free transfer","Albacete","Joined"
"Enzo Basilio","€100k","loan transfer","Rodez AF","Joined"
"Jessy Benet","€300k","loan transfer","Grenoble","Joined"
"Ádám Lang","€1.25m","loan transfer","AS Nancy","Joined"
"Yunis Abdelhamid","€1.00m","?","Stade Reims","Joined"
"Dylan Bahamboula","€800k","loan transfer","G. Ajaccio","Joined"
"Marvin Martin","€500k","End of loanJun 30, 2017","Lille","Joined"
"Marcus Thuram","€600k","€600k","FC Sochaux","Left"
"Pedro Rebocho","€1.50m","€550k","Benfica","Left"
"Lebogang Phiri","€1.50m","€225k","Bröndby IF","Left"
"Clément Grenier","€2.00m","free transfer","Lyon","Left"
"Franck Tabanou","€2.00m","free transfer","Swansea","Left"
"Abdoul Camara","€1.00m","free transfer","Derby","Left"
"Félix Eboa Eboa","-","free transfer","Paris SG B","Left"
"Denis Petric","€1.00m","free transfer","Angers SCO","Left"
"Cheick Traoré","€250k","?","LB Châteauroux","Left"
"Marc-Aurèle Caillard","€400k","?","Clermont Foot","Left"
"Nathaël Julan","€400k","?","Le Havre AC","Left"
"Yeni Ngbakoto","€2.00m","?","QPR","Left"
"Karim Achahbar","€250k","End of loanJun 30, 2017","Quevilly Rouen","Left"
"Benjamin Angoua","€1.00m","End of loanDec 31, 2017","New England","Left"
"Franck Héry","€200k","End of loanJun 30, 2017","Les Herbiers","Left"
"Alexandre Mendy","€1.25m","€600k","G. Bordeaux","Joined"
"Baissama Sankoh","€800k","€500k","SM Caen","Joined"
"Nill De Pauw","€1.75m","€350k","Zulte Waregem","Joined"
"Franck Héry","€200k","free transfer","Les Herbiers","Joined"
"Dorian Lévêque","€800k","free transfer","PAOK","Joined"
"Sloan Privat","€1.50m","free transfer","Valenciennes FC","Joined"
"Mathieu Bodmer","€1.00m","free transfer","Amiens SC","Joined"
"Johny Placide","€800k","free transfer","Oldham Athletic","Joined"
"Romain Salin","€500k","free transfer","Sporting","Joined"
"Jérémy Livolant","€150k","loan transfer","US Boulogne","Joined"
"Cheick Traoré","€250k","loan transfer","LB Châteauroux","Joined"
"Karim Achahbar","€250k","loan transfer","AFC Tubize","Joined"
"Théo Guivarch","€150k","loan transfer","Concarneau","Joined"
"Reynald Lemaître","€250k","-","Without Club","Joined"
"Marçal","€3.50m","End of loanJun 30, 2017","Benfica","Joined"
"Nicolas Pépé","€3.00m","€18.00m","Angers SCO","Left"
"Thiago Maia","€4.50m","€14.00m","Santos","Left"
"Luiz Araújo","€500k","€10.50m","São Paulo","Left"
"Thiago Mendes","€4.00m","€9.00m","São Paulo","Left"
"Kévin Malcuit","€3.00m","€9.00m","Saint-Étienne","Left"
"Xeka","€1.25m","€5.00m","Braga","Left"
"Nicolas de Préville","€5.50m","€4.50m","KV Oostende","Left"
"Edgar Ié","€500k","€3.50m","Belenenses","Left"
"Naïm Sliti","€1.75m","€2.00m","Red Star FC","Left"
"Adam Jakubech","€450k","€1.00m","Spartak Trnava","Left"
"Boubakary Soumaré","-","free transfer","Paris SG B","Left"
"Fodé Ballo-Touré","-","free transfer","Paris SG B","Left"
"Ezequiel Ponce","€2.50m","loan transfer","Roma","Left"
"Hervé Koffi","€100k","?","ASEC Mimosas","Left"
"Lebo Mothiba","€250k","-","LOSC Lille B","Left"
"Imad Faraj","-","-","LOSC Lille B","Left"
"Rominigue Kouamé","€35k","-","LOSC Lille B","Left"
"Valère Pollet","-","-","LOSC Lille B","Left"
"Hamza Mendyl","€250k","-","LOSC Lille B","Left"
"Kouadio-Yves Dabila","-","-","LOSC Lille B","Left"
"Lenny Nangis","€1.75m","End of loanJun 30, 2017","SC Bastia","Left"
"Youssouf Koné","€150k","End of loanJan 4, 2018","Stade Reims","Left"
"Gabriel Magalhães","€600k","End of loanJun 30, 2018","Din. Zagreb II","Left"
"Soualiho Meïté","€7.00m","End of loanJun 30, 2017","Zulte Waregem","Left"
"Baptiste Guillaume","€2.00m","End of loanJun 30, 2017","R. Strasbourg","Left"
"Marvin Martin","€500k","End of loanJun 30, 2017","Dijon","Left"
"Martin Terrier","€12.00m","End of loanJan 25, 2018","R. Strasbourg","Left"
"Alexis Araújo","€250k","End of loanJun 30, 2017","USL Dunkerque","Left"
"Junior Tallo","€1.00m","End of loanJun 30, 2017","Amiens SC","Left"
"Alexis Araújo","€250k","End of loanNov 29, 2017","G. Ajaccio","Left"
"Gabriel Magalhães","€600k","End of loanFeb 14, 2018","Troyes","Left"
"Martin Terrier","€12.00m","€11.00m","Lyon","Joined"
"Nicolas de Préville","€5.50m","€8.00m","G. Bordeaux","Joined"
"Soualiho Meïté","€7.00m","€5.10m","Zulte Waregem","Joined"
"Sébastien Corchia","€7.50m","€5.00m","Sevilla FC","Joined"
"Baptiste Guillaume","€2.00m","€2.00m","Angers SCO","Joined"
"Rio Mavuba","€1.00m","free transfer","Sparta Prague","Joined"
"Marvin Martin","€500k","free transfer","Stade Reims","Joined"
"Lenny Nangis","€1.75m","free transfer","Valenciennes FC","Joined"
"Eric Bauthéac","€2.00m","free transfer","Brisbane Roar","Joined"
"Alexis Araújo","€250k","free transfer","G. Ajaccio","Joined"
"Xeka","€1.25m","loan transfer","Dijon","Joined"
"Jean Butez","€150k","loan transfer","Mouscron","Joined"
"Naïm Sliti","€1.75m","loan transfer","Dijon","Joined"
"Martin Terrier","€400k","loan transfer","R. Strasbourg","Joined"
"Youssouf Koné","€150k","loan transfer","Stade Reims","Joined"
"Alexis Araújo","€250k","loan transfer","G. Ajaccio","Joined"
"Éder","€5.00m","loan transfer","Loko Moscow","Joined"
"Gabriel Magalhães","€600k","loan transfer","Din. Zagreb II","Joined"
"Gabriel Magalhães","€600k","loan transfer","Troyes","Joined"
"Julian Palmieri","€2.00m","-","Without Club","Joined"
"Junior Tallo","€1.00m","-","Without Club","Joined"
"Vincent Enyeama","€1.00m","-","LOSC Lille B","Joined"
"Marko Basa","€1.00m","-","Retired","Joined"
"Franck Béria","-","-","Retired","Joined"
"Rony Lopes","€8.00m","End of loanJun 30, 2017","Monaco","Joined"
"Stoppila Sunzu","€1.50m","End of loanJun 30, 2016","SH Shenhua","Joined"
"Nicolas de Préville","€5.50m","End of loanJun 30, 2017","KV Oostende","Joined"
"Naïm Sliti","€1.75m","End of loanJun 30, 2017","Red Star FC","Joined"
"Ricardo Kishna","€3.00m","End of loanJun 30, 2017","Lazio","Joined"
"Xeka","€1.25m","End of loanJun 30, 2017","Braga","Joined"
"Martin Terrier","€12.00m","€11.00m","Lille","Left"
"Pape Cheikh","€800k","€10.00m","Celta de Vigo","Left"
"Bertrand Traoré","€8.00m","€10.00m","Chelsea","Left"
"Mariano Díaz","€5.00m","€8.00m","Real Madrid","Left"
"Marcelo","€6.50m","€7.50m","Besiktas","Left"
"Ferland Mendy","€1.25m","€5.00m","Le Havre AC","Left"
"Marçal","€3.50m","€4.50m","Benfica","Left"
"Kenny Tete","€5.50m","€4.00m","Ajax","Left"
"Tanguy Ndombélé","€1.00m","Loan fee:€2.00m","Amiens SC","Left"
"Oumar Solet","-","Loan fee:€550k","Stade Lavallois","Left"
"Willem Geubbels","-","-","Olymp. Lyon U19","Left"
"Houssem Aouar","€300k","-","Olymp. Lyon B","Left"
"Myziane Maolida","-","-","Olymp. Lyon U19","Left"
"Christopher Martins","€100k","-","Olymp. Lyon B","Left"
"Amine Gouiri","-","-","Olymp. Lyon B","Left"
"Romain Del Castillo","€800k","End of loanJun 30, 2017","Bourg-en-Bresse","Left"
"Gaëtan Perrin","€300k","End of loanJan 20, 2018","US Orléans","Left"
"Clément Grenier","€3.50m","End of loanJun 30, 2017","Roma","Left"
"Olivier Kemen","€1.25m","End of loanJun 30, 2017","G. Ajaccio","Left"
"Aldo Kalulu","€1.00m","End of loanJun 30, 2017","Stade Rennais","Left"
"Louis Nganioni","€1.25m","End of loanJun 30, 2017","Stade Brestois","Left"
"Alexandre Lacazette","€40.00m","€53.00m","Arsenal","Joined"
"Corentin Tolisso","€22.00m","€41.50m","Bayern Munich","Joined"
"Emanuel Mammana","€7.00m","€16.00m","Zenit S-Pb","Joined"
"Maxime Gonalons","€14.00m","€5.00m","Roma","Joined"
"Maciej Rybus","€3.50m","€1.75m","Loko Moscow","Joined"
"Mathieu Valbuena","€3.00m","€1.50m","Fenerbahçe","Joined"
"Nicolas N'Koulou","€7.50m","Loan fee:€500k","Torino","Joined"
"Sergi Darder","€11.00m","Loan fee:€300k","Espanyol","Joined"
"Rachid Ghezzal","€8.00m","free transfer","Monaco","Joined"
"Jordy Gaspar","€400k","free transfer","Monaco","Joined"
"Clément Grenier","€2.00m","free transfer","Guingamp","Joined"
"Christophe Jallet","€1.00m","free transfer","Nice","Joined"
"Gaëtan Perrin","€300k","free transfer","US Orléans","Joined"
"Christopher Martins","€400k","loan transfer","Bourg-en-Bresse","Joined"
"Romain Del Castillo","€800k","loan transfer","Nîmes Olympique","Joined"
"Aldo Kalulu","€1.00m","loan transfer","FC Sochaux","Joined"
"Olivier Kemen","€1.25m","loan transfer","G. Ajaccio","Joined"
"Jean-Philippe Mateta","€2.00m","loan transfer","Le Havre AC","Joined"
"Gaëtan Perrin","€300k","loan transfer","US Orléans","Joined"
"Martin Terrier","€12.00m","loan transfer","R. Strasbourg","Joined"
"Konstantinos Mitroglou","€12.00m","€15.00m","Benfica","Left"
"Florian Thauvin","€18.00m","€11.00m","Newcastle","Left"
"Luiz Gustavo","€12.00m","€10.00m","Wolfsburg","Left"
"Valère Germain","€10.00m","€8.00m","Monaco","Left"
"Clinton N'Jie","€7.00m","€7.00m","Tottenham","Left"
"Adil Rami","€5.00m","€6.00m","Sevilla FC","Left"
"Steve Mandanda","€8.00m","€3.00m","Crystal Palace","Left"
"Jordan Amavi","€10.00m","Loan fee:€2.00m","Aston Villa","Left"
"Aymen Abdennour","€6.00m","loan transfer","Valencia","Left"
"Boubacar Kamara","-","-","Marseille B","Left"
"Yusuf Sarı","-","-","Marseille B","Left"
"Romain Cagnon","-","-","Without Club","Left"
"Julien Fabri","€600k","End of loanJun 30, 2017","Bourg-en-Bresse","Left"
"Lucas Ocampos","€5.50m","End of loanJun 30, 2017","AC Milan","Left"
"Stéphane Sparagna","€1.00m","End of loanJun 30, 2017","AJ Auxerre","Left"
"Baptiste Aloé","€900k","End of loanJun 30, 2017","Valenciennes FC","Left"
"Gaël Andonian","€250k","End of loanJun 30, 2017","PAE Veria","Left"
"Karim Rekik","€2.50m","€2.50m","Hertha BSC","Joined"
"Tomas Hubocan","€1.50m","Loan fee:€250k","Trabzonspor","Joined"
"Rod Fanni","€250k","free transfer","Montreal","Joined"
"Bill Tuiloma","€150k","free transfer","Portland","Joined"
"Antoine Rabillard","€150k","free transfer","AS Béziers","Joined"
"Baptiste Aloé","€900k","free transfer","Valenciennes FC","Joined"
"Julien Fabri","€600k","free transfer","Stade Brestois","Joined"
"Stéphane Sparagna","€1.00m","free transfer","Boavista","Joined"
"Brice Samba","€400k","free transfer","SM Caen","Joined"
"Saîf-Eddine Khaoui","€800k","loan transfer","Troyes","Joined"
"Matheus Dória","€2.50m","loan transfer","Y. Malatyaspor","Joined"
"Rémy Cabella","€7.50m","loan transfer","Saint-Étienne","Joined"
"Abou Diaby","-","-","Without Club","Joined"
"Gaël Andonian","€250k","-","Marseille B","Joined"
"Patrice Evra","€1.00m","-","Without Club","Joined"
"Aaron Leya Iseka","€1.25m","End of loanJun 30, 2017","RSC Anderlecht","Joined"
