Name,Value,Fee,From,Direction
"Marlos Moreno","€500k","loan transfer","Flamengo","Joined"
"Jack Harrison","€1.75m","loan transfer","Middlesbrough","Joined"
"Eliaquim Mangala","€15.00m","loan transfer","Everton","Joined"
"Olarenwaju Kayode","€3.00m","loan transfer","Shakhtar D.","Joined"
"Bacary Sagna","€4.00m","-","Without Club","Joined"
"Virgil van Dijk","€30.00m","€84.65m","Southampton","Left"
"Mohamed Salah","€35.00m","€42.00m","Roma","Left"
"Alex Oxlade-Chamberlain","€22.00m","€38.00m","Arsenal","Left"
"Andrew Robertson","€7.00m","€9.00m","Hull City","Left"
"Dominic Solanke","€2.00m","free transfer","Chelsea U23","Left"
"Jon Flanagan","€2.50m","End of loanMay 31, 2018","Bolton","Left"
"Ovie Ejaria","€1.00m","End of loanMay 31, 2018","Sunderland","Left"
"Taiwo Awoniyi","€400k","End of loanJun 30, 2017","NEC Nijmegen","Left"
"Daniel Sturridge","€15.00m","End of loanMay 31, 2018","West Brom","Left"
"Marko Grujić","€5.00m","End of loanMay 31, 2018","Cardiff","Left"
"Sheyi Ojo","€2.50m","End of loanMay 31, 2018","Fulham","Left"
"Connor Randall","€500k","End of loanMay 14, 2018","Heart of Midl.","Left"
"Andre Wisdom","€2.75m","End of loanJun 30, 2017","Salzburg","Left"
"Philippe Coutinho","€90.00m","€135.00m","Barcelona","Joined"
"Mamadou Sakho","€15.00m","€28.20m","Crystal Palace","Joined"
"Divock Origi","€12.00m","Loan fee:€6.50m","Wolfsburg","Joined"
"Lucas Leiva","€7.00m","€5.70m","Lazio","Joined"
"Kevin Stewart","€1.00m","€4.50m","Hull City","Joined"
"Andre Wisdom","€2.75m","€2.30m","Derby","Joined"
"Daniel Sturridge","€20.00m","Loan fee:€2.30m","West Brom","Joined"
"Lazar Markovic","€10.00m","loan transfer","RSC Anderlecht","Joined"
"Taiwo Awoniyi","€400k","loan transfer","Mouscron","Joined"
"Ovie Ejaria","€500k","loan transfer","Sunderland","Joined"
"Marko Grujić","€5.00m","loan transfer","Cardiff","Joined"
"Sheyi Ojo","€2.00m","loan transfer","Fulham","Joined"
"Jon Flanagan","€3.00m","loan transfer","Bolton","Joined"
"Connor Randall","€500k","loan transfer","Heart of Midl.","Joined"
"Alexander Manninger","€200k","-","Retired","Joined"
"Pierre-Emerick Aubameyang","€65.00m","€63.75m","Dortmund","Left"
"Alexandre Lacazette","€40.00m","€53.00m","Lyon","Left"
"Henrikh Mkhitaryan","€35.00m","€34.00m","Man Utd","Left"
"Konstantinos Mavropanos","€450k","€2.10m","PAS Giannina","Left"
"Sead Kolasinac","€15.00m","free transfer","FC Schalke 04","Left"
"Ainsley Maitland-Niles","€750k","-","Arsenal U23","Left"
"Krystian Bielik","€2.00m","End of loanMay 31, 2018","Walsall","Left"
"Wojciech Szczesny","€17.00m","End of loanJun 30, 2017","Roma","Left"
"Carl Jenkinson","€3.50m","End of loanMay 31, 2018","Birmingham","Left"
"Joel Campbell","€6.00m","End of loanJun 30, 2017","Sporting","Left"
"Alex Oxlade-Chamberlain","€22.00m","€38.00m","Liverpool","Joined"
"Alexis Sánchez","€70.00m","€34.00m","Man Utd","Joined"
"Theo Walcott","€20.00m","€22.50m","Everton","Joined"
"Wojciech Szczesny","€17.00m","€18.40m","Juventus","Joined"
"Olivier Giroud","€20.00m","€17.00m","Chelsea","Joined"
"Francis Coquelin","€12.00m","€14.00m","Valencia","Joined"
"Gabriel Paulista","€13.00m","€11.00m","Valencia","Joined"
"Kieran Gibbs","€10.00m","€7.50m","West Brom","Joined"
"Yaya Sanogo","€1.00m","free transfer","Toulouse","Joined"
"Mathieu Debuchy","€2.50m","free transfer","Saint-Étienne","Joined"
"Krystian Bielik","€2.00m","loan transfer","Walsall","Joined"
"Lucas Pérez","€15.00m","loan transfer","Dep. La Coruña","Joined"
"Chuba Akpom","€1.00m","loan transfer","Sint-Truiden","Joined"
"Joel Campbell","€6.00m","loan transfer","Real Betis","Joined"
"Carl Jenkinson","€5.00m","loan transfer","Birmingham","Joined"
"Emiliano Martínez","€1.00m","loan transfer","Getafe","Joined"
"Romelu Lukaku","€50.00m","€84.70m","Everton","Left"
"Nemanja Matić","€35.00m","€44.70m","Chelsea","Left"
"Victor Lindelöf","€22.00m","€35.00m","Benfica","Left"
