Name,Value,Fee,From,Direction
"Matías Nahuel","€1.00m","loan transfer","Barcelona B","Joined"
"Alfonso Pedraza","€1.00m","loan transfer","Alavés","Joined"
"Akram Afif","€600k","loan transfer","KAS Eupen","Joined"
"Alfred N'Diaye","€5.00m","loan transfer","Wolves","Joined"
"Cristian Espinoza","€2.50m","loan transfer","Boca Juniors","Joined"
"Akram Afif","€700k","loan transfer","Al-Sadd","Joined"
"Adrián López","€3.50m","End of loanJun 30, 2017","Porto","Joined"
"Rafael Borré","€2.00m","End of loanJun 30, 2017","Atlético","Joined"
"Cote","€1.50m","End of loanJun 30, 2017","Porto","Joined"
"Andrés Fernández","€1.50m","End of loanJun 30, 2017","Porto","Joined"
"Diego Llorente","€7.50m","€11.00m","Real Madrid","Left"
"Adnan Januzaj","€7.00m","€8.50m","Man Utd","Left"
"Héctor Moreno","€5.00m","€6.00m","Roma","Left"
"Miguel Ángel Moyá","€2.00m","free transfer","Atlético","Left"
"Igor Zubeldia","€350k","-","Real Sociedad B","Left"
"Jon Guridi","€300k","-","Real Sociedad B","Left"
"Kévin Rodrigues","€300k","-","Real Sociedad B","Left"
"Héctor Hernández","€600k","End of loanJun 30, 2017","Granada CF","Left"
"David Concha","€800k","End of loanJan 31, 2018","Barcelona B","Left"
"Rubén Pardo","€4.00m","End of loanJun 30, 2017","Real Betis","Left"
"Alain Oyarzun","€200k","End of loanJun 30, 2017","CD Mirandés","Left"
"Srdjan Babic","€600k","End of loanJun 30, 2017","Reus Deportiu","Left"
"Pablo Hervías","€500k","End of loanJun 30, 2017","Elche CF","Left"
"Alberto de la Bella","€1.25m","End of loanJul 27, 2017","Olympiacos","Left"
"Iñigo Martínez","€25.00m","€32.00m","Athletic Club","Joined"
"Yuri Berchiche","€10.00m","€16.00m","PSG","Joined"
"Carlos Vela","€10.00m","€5.00m","LAFC","Joined"
"Esteban Granero","€2.00m","free transfer","Espanyol","Joined"
"Jon Gaztañaga","€500k","free transfer","Gimnàstic","Joined"
"Ander Bardají","€200k","free transfer","SD Huesca","Joined"
"Alain Oyarzun","€200k","free transfer","Real Zaragoza","Joined"
"Mikel González","€1.00m","free transfer","Real Zaragoza","Joined"
"Pablo Hervías","€500k","free transfer","SD Eibar","Joined"
"Srdjan Babic","€600k","loan transfer","Red Star","Joined"
"Joseba Zaldua","€1.50m","loan transfer","CD Leganés","Joined"
"David Concha","€800k","loan transfer","Barcelona B","Joined"
"Héctor Hernández","€600k","loan transfer","Alavés","Joined"
"Markel Bergara","€1.50m","loan transfer","Getafe","Joined"
"Iñigo Martínez","€25.00m","€32.00m","Real Sociedad","Left"
"Iñigo Córdoba","€300k","-","Bilbao Athletic","Left"
"Unai Núñez","€300k","-","Bilbao Athletic","Left"
