Name,Value,Fee,From,Direction
"Emanuele Gatto","€250k","€100k","Alessandria","Joined"
"Amedeo Benedetti","€400k","€10k","Cittadella","Joined"
"Alessandro Bassoli","€200k","€1k","Pordenone","Joined"
"Fabio Daprelà","€350k","free transfer","FC Lugano","Joined"
"Sérgio Cruz","€150k","free transfer","Picerno","Joined"
"Nicola Bellomo","€1.00m","free transfer","Alessandria","Joined"
"Mariano Izco","€500k","free transfer","Crotone","Joined"
"Mario Gargiulo","€100k","free transfer","Pontedera","Joined"
"Nicolás Spolli","€400k","free transfer","Genoa","Joined"
"N'Diaye Djiby","€50k","free transfer","Grumellese","Joined"
"Tomasz Kupisz","€700k","free transfer","Cesena","Joined"
"Osazuwa Ede Edeobi","€25k","free transfer","Vigasio","Joined"
"Alejandro Rodríguez","€600k","loan transfer","Salernitana","Joined"
"Matteo Solini","€175k","loan transfer","Robur Siena","Joined"
"Alejandro Rodríguez","€500k","loan transfer","FC Empoli","Joined"
"Gianni Manfrin","€225k","loan transfer","Reggiana","Joined"
"Luca Baldassin","€250k","loan transfer","Viterbese","Joined"
"Andrea Magrini","€50k","loan transfer","Ravenna","Joined"
"Filippo Damian","€225k","loan transfer","Robur Siena","Joined"
"Yusupha Bobb","€125k","loan transfer","Reggiana","Joined"
"Matteo Solini","€175k","loan transfer","Carpi","Joined"
"Massimiliano Gatto","€250k","?","Pro Vercelli","Joined"
"Pietro Bertasini","€25k","?","Sona","Joined"
"Michele Rigione","€300k","loan transfer","Ternana U.","Joined"
"Martin Valjent","€1.20m","loan transfer","Ternana U.","Joined"
"Sofian Kiyine","€400k","loan transfer","Salernitana","Joined"
"Kevin Yamga","€325k","loan transfer","Carpi","Joined"
"Davide Mansi","€25k","loan transfer","Mosta FC","Joined"
"Lamin Jallow","€500k","loan transfer","Cesena","Joined"
"Radoslav Kirilov","€300k","loan transfer","Pirin","Joined"
"Kevin Yamga","€300k","loan transfer","Pescara","Joined"
"Nicolas Frey","€200k","loan transfer","Venezia","Joined"
"Damir Bartulovic","€100k","loan transfer","Mosta FC","Joined"
"Luca Garritano","€1.30m","loan transfer","Carpi","Joined"
"Luca Di Minico","€50k","loan transfer","Nocerina","Joined"
"Ansoumana Sané","€250k","loan transfer","Viterbese","Joined"
"Alessandro Roma","€75k","loan transfer","Fermana","Joined"
"Ali Sowe","€325k","loan transfer","KF Skënderbeu","Joined"
"Victor","€200k","loan transfer","Fermana","Joined"
"Matteo Brunelli","€150k","loan transfer","Carpi","Joined"
"Michele Troiani","€200k","loan transfer","Triestina","Joined"
"Damir Bartulovic","€100k","loan transfer","NK Aluminij","Joined"
"Fabrizio Danese","€25k","loan transfer","Akragas","Joined"
"Alessandro Roma","€75k","loan transfer","Südtirol","Joined"
"Michele Rigione","€300k","loan transfer","Cesena","Joined"
"Antonio Cinelli","€600k","loan transfer","Cremonese","Joined"
"Federico Alonzi","€50k","-","Without Club","Joined"
"Gennaro Sardo","€100k","-","Retired","Joined"
"Walter Bressan","-","-","Retired","Joined"
"Dejan Lazarevic","€1.00m","-","Without Club","Joined"
"Serge Gakpé","€900k","End of loanJun 30, 2017","Genoa","Joined"
"Jonathan de Guzmán","€2.00m","End of loanJun 30, 2017","Napoli","Joined"
"Aristóteles Romero","€275k","€1.50m","Mineros","Left"
"Oliver Kragl","€900k","€400k","Frosinone","Left"
"Giovanni Crociata","€400k","€300k","AC Milan","Left"
"Ahmad Benali","€2.50m","Loan fee:€300k","Pescara","Left"
"Ante Budimir","€1.50m","Loan fee:€300k","Sampdoria","Left"
"Daniel Pavlovic","€800k","Loan fee:€200k","Sampdoria","Left"
"Mariano Izco","€500k","free transfer","Chievo Verona","Left"
"Leandro Cabrera","€800k","free transfer","Real Zaragoza","Left"
"Davide Faraoni","€1.00m","free transfer","Udinese","Left"
"Luka Markovic","€50k","free transfer","Čukarički U19","Left"
"Marco Capuano","€700k","loan transfer","Cagliari","Left"
"Stefan Simic","€700k","loan transfer","AC Milan","Left"
"Arlind Ajeti","€1.50m","loan transfer","Torino","Left"
"Rolando Mandragora","€3.00m","loan transfer","Juventus","Left"
"Marco Tumminello","€350k","loan transfer","Roma U19","Left"
"Federico Ricci","€3.00m","loan transfer","Sassuolo","Left"
"Niccolò Zanellato","€400k","loan transfer","AC Milan","Left"
"Moussa Diaby","-","loan transfer","Paris SG B","Left"
"Djamel Mesbah","€300k","free transfer","Lausanne-Sport","Joined"
"Giovanni Foresta","€150k","free transfer","Carrarese","Joined"
"Pietro De Giorgio","€100k","free transfer","Vicenza","Joined"
"Claiton","€400k","free transfer","Cremonese","Joined"
"Nunzio Di Roberto","€300k","free transfer","Salernitana","Joined"
"Giuseppe Faiello","€50k","free transfer","Roccella","Joined"
"Iacopo Galli","€225k","free transfer","Casertana","Joined"
"Aleksandar Tonev","€700k","free transfer","Botev Plovdiv","Joined"
"Luca Bruno","€100k","loan transfer","Pro Vercelli","Joined"
"Oliver Kragl","€800k","loan transfer","Foggia","Joined"
"Mirko Esposito","€225k","loan transfer","Catania","Joined"
"Cristian Riggio","€125k","loan transfer","Catanzaro","Joined"
"Marco Firenze","€250k","loan transfer","Pro Vercelli","Joined"
"Luca Bruno","€100k","loan transfer","Siracusa","Joined"
"Cazim Suljic","€150k","loan transfer","NK Ankaran","Joined"
"Andrea Scicchitano","€25k","?","Trastevere","Joined"
"Luca Maniero","€50k","?","US Palermo","Joined"
"Armando Cistaro","€25k","?","Savona","Joined"
"Leandro Cabrera","€600k","loan transfer","Getafe","Joined"
"Noë Dussenne","€1.00m","loan transfer","KAA Gent","Joined"
"Giuseppe Cuomo","€175k","loan transfer","Rende","Joined"
"Marco Firenze","€500k","loan transfer","Venezia","Joined"
"Aristóteles Romero","€800k","loan transfer","NK Ankaran","Joined"
"Andrea Tripicchio","€75k","loan transfer","Casertana","Joined"
"Maxwell Acosty","€800k","loan transfer","HNK Rijeka","Joined"
"Manuel Nicoletti","€175k","loan transfer","Catanzaro","Joined"
"Ravy Tsouka","€125k","-","Without Club","Joined"
"Aleandro Rosi","€1.00m","End of loanJun 30, 2017","Genoa","Joined"
"Andrej Kotnik","€150k","End of loanJan 6, 2018","ND Gorica","Joined"
"Lorenzo Crisetig","€3.00m","End of loanJun 30, 2017","Bologna","Joined"
"Gian Marco Ferrari","€4.00m","End of loanJun 30, 2017","Sassuolo","Joined"
"Diego Falcinelli","€5.00m","End of loanJun 30, 2017","Sassuolo","Joined"
"Valentin Cojocaru","€350k","End of loanJun 30, 2017","FCSB","Joined"
"Leonardo Capezzi","€1.80m","End of loanJun 30, 2017","Sampdoria","Joined"
"Giovanni Simeone","€10.00m","€17.00m","Genoa","Left"
"Marco Benassi","€9.50m","€12.00m","Torino","Left"
"Vitor Hugo","€6.00m","€8.00m","Palmeiras","Left"
"Jordan Veretout","€9.00m","€7.00m","Aston Villa","Left"
"Nikola Milenković","€5.00m","€5.50m","Partizan","Left"
"Bruno Gaspar","€3.00m","€4.00m","Vit. Guimarães","Left"
"Valentin Eysseric","€7.00m","€3.50m","Nice","Left"
"Cyril Théréau","€1.50m","€3.20m","Udinese","Left"
"Bryan Dabo","€4.00m","€3.00m","Saint-Étienne","Left"
"Carlos Sánchez","€3.00m","€3.00m","Aston Villa","Left"
"Maximiliano Olivera","€1.50m","€2.50m","Peñarol","Left"
"Sebastián Cristóforo","€2.70m","€2.50m","Sevilla FC","Left"
"Gaetano Castrovilli","€700k","€1.90m","Bari","Left"
"Petko Hristov","€75k","€1.70m","Slavia Sofia","Left"
"Martin Graiciar","€150k","€1.50m","Slovan Liberec","Left"
"Rafik Zekhnini","€1.00m","€1.50m","Odd","Left"
"Germán Pezzella","€6.00m","Loan fee:€500k","Real Betis","Left"
"Cristiano Biraghi","€2.50m","Loan fee:€500k","Pescara","Left"
"Vincent Laurini","€1.30m","Loan fee:€400k","FC Empoli","Left"
"Simone Lo Faso","€500k","Loan fee:€300k","US Palermo","Left"
"Diego Falcinelli","€4.00m","loan transfer","Sassuolo","Left"
"Gil Dias","€2.00m","loan transfer","Monaco","Left"
"Michele Cerofolini","€75k","-","Fiorentina U19","Left"
"Federico Bernardeschi","€30.00m","€40.00m","Juventus","Joined"
"Matías Vecino","€13.00m","€24.00m","Inter","Joined"
"Borja Valero","€9.00m","€6.50m","Inter","Joined"
"Josip Ilicic","€10.00m","€6.40m","Atalanta","Joined"
"Nikola Kalinić","€20.00m","Loan fee:€5.00m","AC Milan","Joined"
"Khouma Babacar","€9.00m","Loan fee:€3.00m","Sassuolo","Joined"
"Ianis Hagi","€750k","€2.80m","FC Viitorul","Joined"
"Ciprian Tătărușanu","€4.00m","€2.50m","FC Nantes","Joined"
"Hrvoje Milic","€1.00m","€1.50m","Olympiacos","Joined"
"Jan Mlakar","€500k","€1.20m","NK Maribor","Joined"
"Jacopo Petriccione","€300k","€1.00m","Bari","Joined"
"Luca Lezzerini","€400k","€450k","Avellino","Joined"
"Nenad Tomovic","€3.30m","Loan fee:€300k","Chievo Verona","Joined"
"Carlos Sánchez","€2.50m","Loan fee:€200k","Espanyol","Joined"
"Rafik Zekhnini","€1.00m","Loan fee:€120k","Rosenborg","Joined"
"Gilberto","€1.25m","Loan fee:€60k","Fluminense","Joined"
"Giacomo Satalino","€125k","free transfer","Sassuolo U20","Joined"
"Matías Fernández","€4.50m","free transfer","Necaxa","Joined"
"Gonzalo Rodríguez","€3.00m","free transfer","San Lorenzo","Joined"
"Steve Beleck","€250k","free transfer","Balikesirspor","Joined"
"Giuseppe Pandolfi","€25k","free transfer","Pontedera","Joined"
"Nicolò Gigli","€75k","free transfer","Ternana U.","Joined"
"Amidu Salifu","€350k","loan transfer","Vicenza","Joined"
