Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses
"Mehdi Bourabia","maMAR","MF","Spezia","itSerie A","30","1991","30.8","981","1282","76.5","15009","4832","509","595","85.5","365","446","81.8","64","133","48.1","3","4.4","3.4","-1.4","37","94","32","10","113",
"Benjamin Bourigeaud","frFRA","MF,FW","Rennes","frLigue 1","28","1994","34.1","1505","2007","75.0","28664","9729","576","692","83.2","682","843","80.9","207","382","54.2","10","11.6","10.3","-1.6","98","183","96","19","264",
"Edoardo Bove","itITA","MF","Roma","itSerie A","20","2002","11.0","309","406","76.1","4427","1026","168","201","83.6","110","139","79.1","13","30","43.3","0","0.9","0.7","-0.9","7","20","6","0","33",
"Jarrod Bowen","engENG","FW,MF","West Ham","engPremier League","25","1996","35.9","552","881","62.7","8725","2552","312","385","81.0","170","225","75.6","52","164","31.7","5","7.4","6.0","-2.4","48","39","24","9","72",
"Lucas Boyé","arARG","FW","Elche","esLa Liga","26","1996","27.4","510","650","78.5","7080","1364","292","338","86.4","140","169","82.8","32","39","82.1","2","2.9","1.6","-0.9","29","35","22","5","63",
"Jayden Braaf","nlNED","MF,FW","Hellas Verona","itSerie A","19","2002","3.2","60","78","76.9","849","192","41","44","93.2","13","17","76.5","4","6","66.7","0","0.1","0.1","-0.1","2","5","0","0","5",
"Domagoj Bradarić","hrCRO","DF","Salernitana","itSerie A","22","1999","25.0","857","1155","74.2","13414","4480","462","535","86.4","315","414","76.1","55","144","38.2","3","2.3","1.5","+0.7","17","40","17","9","52",
"Bilal Brahimi","dzALG","FW,MF","Nice","frLigue 1","22","2000","8.9","280","389","72.0","4139","916","145","169","85.8","95","127","74.8","17","46","37.0","2","1.7","1.5","+0.3","17","11","15","12","16",
"Martin Braithwaite","dkDEN","FW,MF","Espanyol","esLa Liga","31","1991","27.3","294","446","65.9","4173","986","183","242","75.6","74","112","66.1","19","30","63.3","2","1.4","1.1","+0.6","12","26","13","2","54",
"Julian Brandt","deGER","MF,FW","Dortmund","deBundesliga","26","1996","26.6","1053","1368","77.0","16552","4185","583","662","88.1","284","368","77.2","120","204","58.8","8","9.2","7.8","-1.2","73","60","40","9","119",
"Darko Brašanac","rsSRB","MF","Osasuna","esLa Liga","30","1992","11.6","306","376","81.4","4620","1215","162","179","90.5","118","143","82.5","11","19","57.9","1","0.6","0.6","+0.4","7","40","7","2","49",
"Lilian Brassier","frFRA","DF","Brest","frLigue 1","22","1999","34.4","1257","1634","76.9","26597","11728","399","457","87.3","637","741","86.0","203","382","53.1","0","0.9","1.4","-0.9","7","98","15","7","111",
"Claudio Bravo","clCHI","GK","Betis","esLa Liga","39","1983","12.0","232","392","59.2","7419","5674","44","44","100.0","89","91","97.8","96","251","38.2","0","0.0","0.0","0.0","0","5","1","0","1",
"Fabian Bredlow","deGER","GK","Stuttgart","deBundesliga","27","1995","15.0","510","595","85.7","12242","7412","114","114","100.0","278","280","99.3","117","199","58.8","0","0.0","0.0","0.0","0","6","0","0","0",
"James Bree","engENG","DF","Southampton","engPremier League","24","1997","4.1","133","178","74.7","1971","741","75","92","81.5","43","56","76.8","8","16","50.0","0","0.2","0.2","-0.2","4","5","5","4","5",
"Josip Brekalo","hrCRO","FW,MF","Fiorentina","itSerie A","24","1998","2.5","76","100","76.0","1424","365","28","33","84.8","33","41","80.5","13","18","72.2","0","0.5","0.5","-0.5","8","7","11","3","18",
"Josip Brekalo","hrCRO","MF,FW","Wolfsburg","deBundesliga","24","1998","3.0","103","148","69.6","1684","475","57","65","87.7","31","41","75.6","11","20","55.0","1","0.4","0.4","+0.6","5","10","4","0","13",
"Gleison Bremer","brBRA","DF","Juventus","itSerie A","25","1997","29.3","1503","1668","90.1","29183","9314","501","541","92.6","832","880","94.5","160","217","73.7","1","1.7","0.6","-0.7","9","38","1","0","54",
"Armando Broja","alALB","FW","Chelsea","engPremier League","20","2001","3.3","33","53","62.3","466","54","21","33","63.6","9","15","60.0","2","3","66.7","0","0.1","0.1","-0.1","1","1","1","0","4",
"Dylan Bronn","tnTUN","DF","Salernitana","itSerie A","27","1995","18.7","855","1007","84.9","15486","6081","355","387","91.7","407","443","91.9","82","137","59.9","0","0.4","0.8","-0.4","5","62","4","1","70",
"David Brooks","wlsWAL","FW,MF","Bournemouth","engPremier League","25","1997","1.9","46","63","73.0","640","140","30","32","93.8","13","16","81.3","2","9","22.2","0","0.2","0.2","-0.2","2","4","1","0","11",
"John Brooks","usUSA","DF","Hoffenheim","deBundesliga","29","1993","15.0","624","773","80.7","12417","4919","217","241","90.0","323","370","87.3","78","141","55.3","0","0.0","0.1","0.0","0","25","1","0","40",
"Moritz Broschinski","deGER","FW,MF","Bochum","deBundesliga","21","2000","2.4","29","50","58.0","423","74","20","30","66.7","7","11","63.6","2","3","66.7","0","0.0","0.1","0.0","1","2","0","0","3",
"Marcelo Brozović","hrCRO","MF","Inter","itSerie A","29","1992","19.7","1318","1502","87.7","23163","6319","585","621","94.2","591","648","91.2","114","176","64.8","5","2.8","1.8","+2.2","23","102","18","5","114",
"Cédric Brunner","chSUI","DF","Schalke 04","deBundesliga","28","1994","25.7","779","1158","67.3","14299","6288","317","373","85.0","368","510","72.2","86","221","38.9","0","1.5","2.2","-1.5","20","46","26","18","77",
"Lewis Brunt","engENG","DF","Leicester City","engPremier League","21","2000","0.3","17","21","81.0","283","57","7","8","87.5","10","11","90.9","0","1","0.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Jacob Bruun Larsen","dkDEN","FW","Hoffenheim","deBundesliga","23","1998","3.6","62","88","70.5","807","152","42","55","76.4","16","20","80.0","1","5","20.0","0","0.4","0.4","-0.4","7","5","2","0","4",
"Andreas Bruus","dkDEN","DF,FW","Troyes","frLigue 1","23","1999","18.1","445","637","69.9","7410","2626","219","277","79.1","171","236","72.5","40","88","45.5","2","1.7","1.8","+0.3","21","24","18","10","41",
"Joe Bryan","engENG","MF,DF","Nice","frLigue 1","28","1993","2.0","80","101","79.2","1121","455","52","59","88.1","25","29","86.2","2","6","33.3","0","0.0","0.1","0.0","1","2","3","0","8",
"Lee Buchanan","engENG","DF,FW","Werder Bremen","deBundesliga","21","2001","5.2","179","267","67.0","3373","1351","74","93","79.6","77","107","72.0","26","61","42.6","0","0.8","0.6","-0.8","5","16","5","2","21",
"Ante Budimir","hrCRO","FW","Osasuna","esLa Liga","31","1991","20.0","194","315","61.6","2324","372","123","172","71.5","55","97","56.7","1","7","14.3","0","0.7","0.6","-0.7","10","13","3","0","23",
"Emi Buendía","arARG","MF,FW","Aston Villa","engPremier League","25","1996","26.8","787","1020","77.2","12082","3091","434","513","84.6","255","323","78.9","63","90","70.0","2","5.7","4.2","-3.7","41","84","41","0","138",
"Hugo Bueno","esESP","DF","Wolves","engPremier League","19","2002","14.6","547","679","80.6","7697","2227","340","369","92.1","174","214","81.3","19","54","35.2","1","1.3","1.0","-0.3","16","24","10","6","39",
"Manu Bueno","esESP","MF","Sevilla","esLa Liga","18","2004","1.7","52","66","78.8","952","253","16","19","84.2","28","29","96.6","5","11","45.5","0","0.1","0.0","-0.1","2","5","0","0","4",
"Santiago Bueno","uyURU","DF","Girona","esLa Liga","23","1998","33.4","1576","1823","86.5","31141","10648","509","557","91.4","875","940","93.1","173","279","62.0","1","1.0","0.7","0.0","9","148","5","1","148",
"Adam Buksa","plPOL","FW,MF","Lens","frLigue 1","26","1996","1.1","15","24","62.5","245","53","7","11","63.6","7","9","77.8","0","1","0.0","0","0.0","0.0","0.0","1","3","0","0","3",
"Marius Bülter","deGER","FW,MF","Schalke 04","deBundesliga","29","1993","28.9","439","762","57.6","6844","2502","258","332","77.7","127","230","55.2","37","94","39.4","1","4.6","4.6","-3.6","39","42","44","23","86",
"Cristian Buonaiuto","itITA","MF,FW","Cremonese","itSerie A","29","1992","10.9","304","465","65.4","4751","1632","159","191","83.2","100","148","67.6","27","84","32.1","0","1.8","1.7","-1.8","17","31","15","4","39",
"Facundo Buonanotte","arARG","FW,MF","Brighton","engPremier League","17","2004","6.3","157","194","80.9","2407","525","101","114","88.6","36","46","78.3","17","21","81.0","1","0.5","0.4","+0.5","6","9","10","2","13",
"Alessandro Buongiorno","itITA","DF","Torino","itSerie A","23","1999","30.2","1332","1573","84.7","22243","6857","578","643","89.9","671","750","89.5","57","113","50.4","2","1.3","1.0","+0.7","8","70","5","3","81",
"Delano Burgzorg","srSUR","FW,MF","Mainz 05","deBundesliga","23","1998","2.7","40","55","72.7","473","76","28","34","82.4","7","7","100.0","1","2","50.0","1","0.1","0.2","+0.9","1","1","2","0","4",
"Jonathan Burkardt","deGER","MF,FW","Mainz 05","deBundesliga","22","2000","5.9","71","109","65.1","1119","317","37","46","80.4","23","32","71.9","8","14","57.1","2","1.1","1.6","+0.9","7","3","9","2","14",
"Oliver Burke","sctSCO","FW,MF","Werder Bremen","deBundesliga","25","1997","3.0","53","81","65.4","655","185","32","50","64.0","15","18","83.3","1","4","25.0","0","0.3","0.1","-0.3","4","4","3","0","7",
"Dan Burn","engENG","DF","Newcastle Utd","engPremier League","30","1992","34.6","1361","1715","79.4","22235","8853","673","765","88.0","566","682","83.0","94","183","51.4","0","1.3","1.3","-1.3","16","102","11","2","118",
"Maxime Busi","beBEL","DF","Reims","frLigue 1","22","1999","11.6","464","614","75.6","8573","2893","197","242","81.4","200","249","80.3","58","98","59.2","1","0.7","0.7","+0.3","7","39","13","7","57",
"Sergio Busquets","esESP","MF","Barcelona","esLa Liga","34","1988","26.0","1722","1949","88.4","30610","9017","756","825","91.6","745","822","90.6","183","222","82.4","4","2.8","3.7","+1.2","25","230","33","3","254",
"Aurélio Buta","ptPOR","DF","Eint Frankfurt","deBundesliga","25","1997","14.6","576","764","75.4","8658","2874","333","391","85.2","201","264","76.1","29","62","46.8","2","3.3","2.3","-1.3","18","35","20","12","47",
"Leonardo Buta","ptPOR","DF","Udinese","itSerie A","20","2002","0.2","10","13","76.9","166","54","6","6","100.0","3","5","60.0","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","1",
"Marcin Bułka","plPOL","GK","Nice","frLigue 1","22","1999","2.0","54","67","80.6","1465","1156","9","9","100.0","32","33","97.0","13","25","52.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Rémy Cabella","frFRA","MF,FW","Lille","frLigue 1","32","1990","28.1","1397","1764","79.2","20670","6850","753","851","88.5","464","583","79.6","88","171","51.5","10","10.7","12.1","-0.7","100","153","76","12","230",
"Jimmy Cabot","frFRA","DF,MF","Lens","frLigue 1","28","1994","5.7","261","346","75.4","4629","1527","123","137","89.8","102","130","78.5","32","68","47.1","1","2.1","2.0","-1.1","17","19","13","4","29",
"Arthur Cabral","brBRA","FW","Fiorentina","itSerie A","24","1998","15.9","183","271","67.5","2376","416","118","155","76.1","41","52","78.8","9","14","64.3","1","0.8","0.9","+0.2","14","3","7","0","21",
"Leandro Cabrera","uyURU","DF","Espanyol","esLa Liga","31","1991","29.7","959","1343","71.4","19673","9222","307","368","83.4","502","614","81.8","137","314","43.6","1","1.5","1.3","-0.5","14","87","12","4","95",
"Liberato Cacace","nzNZL","DF","Empoli","itSerie A","21","2000","6.5","338","424","79.7","5441","1880","169","188","89.9","143","173","82.7","20","42","47.6","0","0.6","0.7","-0.6","8","24","1","1","41",
"Anthony Caci","frFRA","DF","Mainz 05","deBundesliga","25","1997","22.6","815","1140","71.5","16732","7645","304","360","84.4","341","461","74.0","150","262","57.3","1","2.6","2.3","-1.6","21","85","29","15","90",
"Cafú","ptPOR","MF","Nott'ham Forest","engPremier League","29","1993","0.1","2","2","100.0","45","41","0","0","","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","1","0","0","1",
"Moisés Caicedo","ecECU","MF","Brighton","engPremier League","20","2001","34.9","1993","2251","88.5","30177","8036","1112","1202","92.5","683","755","90.5","126","159","79.2","1","2.7","2.5","-1.7","43","181","35","7","219",
"Tom Cairney","sctSCO","MF","Fulham","engPremier League","31","1991","11.0","632","750","84.3","10133","2428","326","352","92.6","230","264","87.1","51","84","60.7","0","1.4","1.5","-1.4","12","70","19","5","92",
"Jens Cajuste","seSWE","MF","Reims","frLigue 1","22","1999","17.0","606","739","82.0","11081","3065","251","297","84.5","266","312","85.3","72","98","73.5","1","1.2","0.9","-0.2","16","66","15","0","109",
"Cala","esESP","DF","Cádiz","esLa Liga","32","1989","1.5","30","38","78.9","792","274","4","5","80.0","14","17","82.4","12","16","75.0","0","0.0","0.0","0.0","0","0","0","0","2",
"Davide Calabria","itITA","DF","Milan","itSerie A","25","1996","18.8","1040","1276","81.5","17672","5902","484","518","93.4","452","524","86.3","88","187","47.1","4","1.7","1.6","+2.3","19","71","19","12","108",
"Mattia Caldara","itITA","DF","Spezia","itSerie A","28","1994","13.9","461","600","76.8","8308","3214","183","220","83.2","223","270","82.6","45","93","48.4","0","0.0","0.1","0.0","1","23","1","0","35",
"Luca Caldirola","itITA","DF","Monza","itSerie A","31","1991","26.1","1262","1435","87.9","22342","8287","534","555","96.2","592","653","90.7","109","179","60.9","0","0.5","0.3","-0.5","4","55","4","1","63",
"Fernando Calero","esESP","DF,MF","Espanyol","esLa Liga","26","1995","17.9","617","765","80.7","11710","4547","245","275","89.1","289","335","86.3","78","139","56.1","1","0.6","0.4","+0.4","4","58","3","0","64",
"Duje Ćaleta-Car","hrCRO","DF","Southampton","engPremier League","25","1996","10.5","480","568","84.5","9398","3504","155","173","89.6","268","289","92.7","53","93","57.0","0","0.0","0.2","0.0","1","26","0","0","33",
"Duje Ćaleta-Car","hrCRO","DF","Marseille","frLigue 1","25","1996","0.1","2","2","100.0","46","16","0","0","","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Hakan Çalhanoğlu","trTUR","MF","Inter","itSerie A","28","1994","26.3","1396","1677","83.2","25576","7831","637","690","92.3","546","630","86.7","180","288","62.5","6","5.0","6.0","+1.0","70","149","37","11","172",
"Kerim Calhanoglu","deGER","DF","Schalke 04","deBundesliga","19","2002","0.7","30","42","71.4","574","388","14","16","87.5","10","15","66.7","6","8","75.0","0","0.2","0.2","-0.2","3","0","2","1","3",
"Daniel Caligiuri","itITA","DF,MF","Augsburg","deBundesliga","34","1988","3.2","107","166","64.5","1897","934","47","57","82.5","42","71","59.2","13","29","44.8","0","0.4","0.3","-0.4","4","10","4","0","16",
"Alexander Callens","pePER","DF","Girona","esLa Liga","30","1992","1.3","78","93","83.9","1206","505","35","40","87.5","38","47","80.9","1","2","50.0","0","0.0","0.0","0.0","0","5","1","0","6",
"Dominic Calvert-Lewin","engENG","FW","Everton","engPremier League","25","1997","12.9","131","221","59.3","1575","318","83","125","66.4","29","54","53.7","5","8","62.5","1","0.8","0.8","+0.2","9","13","4","0","15",
"Mahdi Camara","frFRA","MF","Brest","frLigue 1","24","1998","20.2","578","703","82.2","8665","2082","289","331","87.3","227","272","83.5","23","35","65.7","0","0.4","0.5","-0.4","9","53","7","1","80",
"Mohamed Camara","gnGUI","MF","Roma","itSerie A","25","1997","7.7","252","323","78.0","4178","844","125","143","87.4","105","129","81.4","18","31","58.1","0","0.4","0.5","-0.4","3","27","3","1","30",
"Mohamed Camara","mlMLI","MF","Monaco","frLigue 1","22","2000","24.4","1119","1284","87.1","21268","5952","435","484","89.9","501","549","91.3","153","203","75.4","3","2.2","1.5","+0.8","18","121","15","2","135",
"Ousmane Camara","gnGUI","FW,MF","Auxerre","frLigue 1","20","2001","0.3","7","8","87.5","157","60","1","1","100.0","5","5","100.0","1","2","50.0","0","0.2","0.1","-0.2","1","1","1","1","2",
"Ousmane Camara","mlMLI","DF","Angers","frLigue 1","19","2003","5.8","330","363","90.9","6431","2134","105","112","93.8","179","190","94.2","39","49","79.6","0","0.0","0.0","0.0","0","12","0","0","16",
"Eduardo Camavinga","frFRA","MF,DF","Real Madrid","esLa Liga","19","2002","22.3","1364","1504","90.7","21221","5654","711","763","93.2","517","548","94.3","89","112","79.5","1","1.5","2.2","-0.5","24","138","17","1","165",
"Nicolò Cambiaghi","itITA","FW,MF","Empoli","itSerie A","21","2000","14.3","321","432","74.3","4556","930","194","219","88.6","86","119","72.3","19","34","55.9","1","1.1","1.6","-0.1","15","19","18","5","42",
"Andrea Cambiaso","itITA","DF","Bologna","itSerie A","22","2000","24.1","1277","1521","84.0","19674","6031","686","753","91.1","472","541","87.2","83","144","57.6","3","2.4","1.6","+0.6","28","48","24","7","83",
"Axel Camblan","frFRA","FW,MF","Brest","frLigue 1","18","2003","0.8","19","27","70.4","196","46","13","15","86.7","3","5","60.0","0","2","0.0","0","0.1","0.1","-0.1","2","0","0","0","4",
"Sergio Camello","esESP","FW","Rayo Vallecano","esLa Liga","21","2001","26.7","408","523","78.0","5782","733","235","285","82.5","126","156","80.8","20","28","71.4","5","2.4","1.7","+2.6","28","15","13","0","42",
"Chem Campbell","wlsWAL","FW,MF","Wolves","engPremier League","19","2002","0.8","23","32","71.9","344","64","10","11","90.9","13","14","92.9","0","5","0.0","0","0.0","0.0","0.0","0","2","0","0","4",
"Emre Can","deGER","MF","Dortmund","deBundesliga","28","1994","21.1","1153","1288","89.5","20793","5986","446","483","92.3","545","586","93.0","122","158","77.2","1","1.3","1.4","-0.3","20","111","7","1","99",
"Sergio Canales","esESP","FW,MF","Betis","esLa Liga","31","1991","26.7","1116","1474","75.7","16689","4491","623","697","89.4","319","407","78.4","99","211","46.9","3","5.6","5.1","-2.6","56","94","51","14","143",
"Matteo Cancellieri","itITA","FW","Lazio","itSerie A","20","2002","2.8","61","87","70.1","757","98","44","50","88.0","15","25","60.0","0","5","0.0","0","0.4","0.3","-0.4","3","1","1","1","2",
"João Cancelo","ptPOR","DF","Manchester City","engPremier League","28","1994","14.2","1036","1220","84.9","16674","4147","578","621","93.1","363","430","84.4","81","123","65.9","1","0.9","1.5","+0.1","12","80","36","9","106",
"João Cancelo","ptPOR","DF,FW","Bayern Munich","deBundesliga","28","1994","11.2","713","861","82.8","11505","3272","401","430","93.3","254","308","82.5","49","87","56.3","4","2.3","2.8","+1.7","13","55","21","6","61",
"Antonio Candreva","itITA","MF,DF","Salernitana","itSerie A","35","1987","30.3","1165","1597","72.9","19672","6882","604","660","91.5","393","536","73.3","124","285","43.5","4","4.7","4.9","-0.7","57","98","55","30","135",
"Thomas Cannon","ieIRL","FW","Everton","engPremier League","19","2002","0.3","4","5","80.0","37","0","3","4","75.0","1","1","100.0","0","0","","0","0.5","0.0","-0.5","1","0","0","0","0",
"Sergi Canós","esESP","FW,DF","Brentford","engPremier League","25","1997","0.9","23","43","53.5","268","76","14","18","77.8","4","15","26.7","1","2","50.0","0","0.0","0.0","0.0","1","2","1","0","2",
"Ander Capa","esESP","DF","Athletic Club","esLa Liga","30","1992","1.2","74","91","81.3","1275","441","31","35","88.6","30","37","81.1","8","12","66.7","0","0.0","0.1","0.0","1","5","2","1","12",
"Pierrick Capelle","frFRA","MF,DF","Angers","frLigue 1","35","1987","15.9","590","714","82.6","10044","2766","287","321","89.4","236","274","86.1","49","88","55.7","3","1.2","1.2","+1.8","13","58","7","5","66",
"Étienne Capoue","frFRA","MF","Villarreal","esLa Liga","34","1988","21.7","915","1043","87.7","14387","3476","469","516","90.9","362","393","92.1","52","78","66.7","0","1.2","1.0","-1.2","10","115","8","1","98",
"Gianluca Caprari","itITA","MF,FW","Monza","itSerie A","29","1993","27.1","853","1082","78.8","13026","2612","495","561","88.2","250","322","77.6","70","100","70.0","2","2.5","2.8","-0.5","29","56","30","4","92",
"Francesco Caputo","itITA","FW","Sampdoria","itSerie A","34","1987","12.2","168","237","70.9","2130","315","96","130","73.8","43","60","71.7","8","10","80.0","0","0.5","0.6","-0.5","9","11","4","0","11",
"Francesco Caputo","itITA","FW","Empoli","itSerie A","34","1987","19.0","235","332","70.8","2741","539","160","206","77.7","52","69","75.4","1","5","20.0","4","2.2","1.1","+1.8","20","9","3","0","21",
"Maxence Caqueret","frFRA","MF","Lyon","frLigue 1","22","2000","30.7","1480","1785","82.9","23941","7380","725","828","87.6","585","653","89.6","112","189","59.3","7","5.1","6.1","+1.9","60","196","29","8","183",
"Andrea Carboni","itITA","DF","Monza","itSerie A","21","2001","1.9","69","87","79.3","1170","558","33","38","86.8","29","31","93.5","7","14","50.0","0","0.1","0.3","-0.1","1","3","2","2","9",
"Franco Carboni","itITA","DF,FW","Monza","itSerie A","19","2003","0.7","33","50","66.0","529","140","19","20","95.0","12","15","80.0","2","5","40.0","0","0.0","0.0","0.0","1","3","2","1","2",
"Valentin Carboni","arARG","MF,DF","Inter","itSerie A","17","2005","0.3","12","17","70.6","192","12","5","7","71.4","4","6","66.7","2","2","100.0","0","0.0","0.0","0.0","1","0","0","0","1",
"Isaac Carcelen","esESP","DF","Cádiz","esLa Liga","29","1993","24.4","747","961","77.7","12672","4769","358","396","90.4","308","394","78.2","64","124","51.6","1","1.3","1.8","-0.3","16","65","17","12","85",
"Irvin Cardona","mtMLT","FW,MF","Brest","frLigue 1","24","1997","2.6","34","58","58.6","468","79","21","32","65.6","10","17","58.8","1","4","25.0","0","0.3","0.0","-0.3","3","2","0","0","4",
"Irvin Cardona","mtMLT","MF,FW","Augsburg","deBundesliga","24","1997","3.5","36","74","48.6","452","108","22","32","68.8","8","21","38.1","2","10","20.0","0","0.1","0.1","-0.1","3","4","1","0","3",
"Igor Carioca","brBRA","DF","Lorient","frLigue 1","25","1996","5.1","224","274","81.8","3429","1228","119","133","89.5","86","102","84.3","12","23","52.2","0","0.5","0.3","-0.5","2","17","5","1","22",
"Diego Carlos","brBRA","DF","Aston Villa","engPremier League","29","1993","2.3","112","142","78.9","2338","881","35","41","85.4","60","71","84.5","17","28","60.7","0","0.0","0.1","0.0","1","9","1","0","11",
"Juan Carlos","esESP","GK","Girona","esLa Liga","34","1988","10.0","288","340","84.7","7160","4635","52","53","98.1","170","176","96.6","66","111","59.5","0","0.0","0.0","0.0","0","1","0","0","0",
"José Carlos Lazo","esESP","MF,FW","Almería","esLa Liga","26","1996","0.2","3","4","75.0","49","2","2","3","66.7","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"José Carlos Lazo","esESP","MF,FW","Espanyol","esLa Liga","26","1996","1.8","25","35","71.4","335","55","11","14","78.6","10","11","90.9","2","5","40.0","1","0.2","0.1","+0.8","2","0","3","1","4",
"Carmona","esESP","MF,DF","Elche","esLa Liga","20","2002","6.5","129","186","69.4","1917","729","81","100","81.0","37","54","68.5","8","16","50.0","0","0.1","0.2","-0.1","4","6","2","0","10",
"Carmona","esESP","DF","Sevilla","esLa Liga","20","2002","5.9","269","330","81.5","4412","1380","131","142","92.3","118","147","80.3","17","32","53.1","1","0.4","0.2","+0.6","2","24","3","2","11",
"Marco Carnesecchi","itITA","GK","Cremonese","itSerie A","22","2000","27.0","565","954","59.2","18072","14248","99","100","99.0","231","237","97.5","229","605","37.9","1","0.2","0.1","+0.8","2","33","1","0","0",
"Yannick Carrasco","beBEL","DF,MF","Atlético Madrid","esLa Liga","28","1993","25.7","863","1091","79.1","11833","3379","565","612","92.3","210","277","75.8","42","97","43.3","3","4.1","4.1","-1.1","47","35","36","7","84",
"Dani Carvajal","esESP","DF","Real Madrid","esLa Liga","30","1992","19.8","1133","1333","85.0","18356","4041","607","664","91.4","416","483","86.1","86","123","69.9","2","2.0","2.0","0.0","22","57","21","8","58",
"Fabio Carvalho","ptPOR","MF,FW","Liverpool","engPremier League","19","2002","3.9","117","143","81.8","1555","281","72","84","85.7","30","37","81.1","5","6","83.3","0","0.1","0.3","-0.1","1","7","2","0","12",
"Matis Carvalho","ptPOR","GK","Montpellier","frLigue 1","23","1999","1.5","21","53","39.6","924","794","1","1","100.0","5","5","100.0","15","46","32.6","0","0.0","0.0","0.0","0","1","0","0","0",
"William Carvalho","ptPOR","MF","Betis","esLa Liga","30","1992","27.1","1510","1745","86.5","24743","7482","786","859","91.5","525","599","87.6","148","194","76.3","1","1.6","2.1","-0.6","22","170","23","1","203",
"Nicolò Casale","itITA","DF","Lazio","itSerie A","24","1998","27.1","1485","1616","91.9","26275","9500","591","633","93.4","701","741","94.6","142","169","84.0","1","0.3","0.6","+0.7","4","55","1","0","70",
"Casemiro","brBRA","MF","Manchester Utd","engPremier League","30","1992","23.6","1114","1439","77.4","19801","7351","515","614","83.9","446","545","81.8","126","204","61.8","3","3.1","3.9","-0.1","28","136","23","4","152",
"Casemiro","brBRA","MF","Real Madrid","esLa Liga","30","1992","0.1","7","8","87.5","134","50","6","6","100.0","0","0","","1","2","50.0","0","0.0","0.0","0.0","0","1","0","0","0",
"Matty Cash","plPOL","DF","Aston Villa","engPremier League","24","1997","20.2","777","1006","77.2","13672","4595","345","384","89.8","361","441","81.9","61","139","43.9","1","0.7","0.9","+0.3","8","57","15","9","75",
"Tommaso Cassandro","itITA","DF","Lecce","itSerie A","22","2000","0.1","6","6","100.0","125","104","3","3","100.0","2","2","100.0","1","1","100.0","0","0.0","0.0","0.0","0","1","1","0","0",
"Timothy Castagne","beBEL","DF","Leicester City","engPremier League","26","1995","36.2","1470","1836","80.1","21125","8419","895","998","89.7","470","586","80.2","60","132","45.5","3","2.6","2.2","+0.4","22","89","20","10","106",
"Michele Castagnetti","itITA","MF","Cremonese","itSerie A","32","1989","15.7","624","807","77.3","10942","4257","284","331","85.8","263","328","80.2","62","113","54.9","1","1.8","1.9","-0.8","26","95","16","3","120",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","30","1992","34.0","1220","1585","77.0","36421","25230","171","172","99.4","544","552","98.6","503","858","58.6","1","0.7","0.1","+0.3","1","40","0","0","2",
"Valentín Castellanos","arARG","FW","Girona","esLa Liga","23","1998","28.9","244","397","61.5","3345","704","144","200","72.0","74","125","59.2","12","17","70.6","0","1.7","2.3","-1.7","15","17","16","1","34",
"Jean-Charles Castelletto","cmCMR","DF","Nantes","frLigue 1","27","1995","28.5","1130","1373","82.3","21032","8232","417","484","86.2","567","638","88.9","113","199","56.8","0","0.4","1.1","-0.4","5","103","9","4","120",
"Samu Castillejo","esESP","FW,MF","Valencia","esLa Liga","27","1995","15.1","474","622","76.2","7687","2158","251","284","88.4","159","197","80.7","44","90","48.9","0","3.0","2.7","-3.0","30","49","21","6","76",
"Jonny Castro","esESP","DF","Wolves","engPremier League","28","1994","14.0","701","832","84.3","11101","3638","382","419","91.2","264","305","86.6","44","62","71.0","0","1.0","0.8","-1.0","5","60","10","2","70",
"Gaetano Castrovilli","itITA","MF","Fiorentina","itSerie A","25","1997","8.0","188","241","78.0","2876","559","103","116","88.8","58","69","84.1","17","38","44.7","1","1.1","1.0","-0.1","8","10","4","1","14",
"Danilo Cataldi","itITA","MF","Lazio","itSerie A","27","1994","21.3","1147","1325","86.6","17538","6173","658","708","92.9","354","410","86.3","94","142","66.2","1","1.1","1.5","-0.1","16","99","9","0","83",
"Catena","esESP","DF","Rayo Vallecano","esLa Liga","27","1994","34.5","1505","1825","82.5","36676","15330","299","340","87.9","841","914","92.0","361","538","67.1","1","1.4","0.6","-0.4","7","134","3","0","119",
"Yoann Cathline","frFRA","FW,MF","Lorient","frLigue 1","20","2002","12.1","241","361","66.8","3681","1269","134","170","78.8","82","129","63.6","17","37","45.9","1","0.7","0.7","+0.3","6","14","13","6","29",
"Maximiliano Caufriez","beBEL","DF","Clermont Foot","frLigue 1","25","1997","24.7","996","1126","88.5","17670","6475","421","459","91.7","446","487","91.6","102","140","72.9","0","0.0","0.3","0.0","0","67","4","0","92",
