Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses
"Sergio Agüero","arARG","FW","Barcelona","esLa Liga","33","1988","1.7","30","42","71.4","396","45","14","20","70.0","12","15","80.0","0","0","","0","0.1","0.2","-0.1","1","3","0","0","3",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","28","1993","23.8","1435","1728","83.0","23194","8766","745","806","92.4","559","658","85.0","93","178","52.2","2","0.9","2.9","+1.1","12","124","32","5","157",
"Álvaro Aguirre","esESP","FW","Rayo Vallecano","esLa Liga","21","2000","0.1","3","3","100.0","35","0","3","3","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Naouirou Ahamada","frFRA","MF,DF","Stuttgart","deBundesliga","19","2002","0.7","28","32","87.5","501","62","14","15","93.3","10","11","90.9","4","6","66.7","0","0.0","0.0","0.0","0","1","0","0","3",
"Anel Ahmedhodžić","baBIH","DF","Bordeaux","frLigue 1","22","1999","15.0","766","858","89.3","14146","4562","310","333","93.1","353","381","92.7","89","120","74.2","1","0.9","0.4","+0.1","11","39","5","1","63",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","27","1994","11.2","339","412","82.3","5149","1077","164","191","85.9","131","147","89.1","21","37","56.8","1","0.8","1.0","+0.2","6","23","9","1","38",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","25","1995","29.3","1270","1567","81.0","26020","8332","359","420","85.5","740","830","89.2","159","278","57.2","0","0.3","0.5","-0.3","6","101","5","1","110",
"Ola Aina","ngNGA","DF","Torino","itSerie A","24","1996","16.0","535","755","70.9","8693","3540","272","316","86.1","202","280","72.1","44","93","47.3","0","1.8","1.4","-1.8","16","43","20","4","68",
"Rayan Aït-Nouri","dzALG","DF,MF","Wolves","engPremier League","20","2001","20.3","763","1025","74.4","12151","4064","418","472","88.6","273","361","75.6","54","141","38.3","2","1.6","1.1","+0.4","17","28","14","10","49",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","23","1998","22.2","627","892","70.3","10133","4740","303","372","81.5","255","342","74.6","47","105","44.8","3","1.7","1.8","+1.3","8","41","13","2","82",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","27","1994","30.4","653","906","72.1","9171","1389","386","506","76.3","172","239","72.0","43","61","70.5","8","7.0","4.0","+1.0","46","30","23","4","69",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","26","1995","25.1","1819","2013","90.4","36320","13836","585","629","93.0","973","1018","95.6","235","314","74.8","0","0.1","0.7","-0.1","2","122","2","0","115",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","28","1993","20.5","611","832","73.4","10222","3920","291","341","85.3","246","322","76.4","52","109","47.7","0","0.3","1.1","-0.3","7","38","14","11","51",
"Marley Aké","frFRA","FW,MF","Juventus","itSerie A","20","2001","0.9","12","16","75.0","184","58","7","8","87.5","1","2","50.0","2","2","100.0","0","0.0","0.0","0.0","0","2","1","1","1",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","26","1995","10.3","796","878","90.7","13200","4534","373","399","93.5","384","416","92.3","29","42","69.0","0","0.6","0.5","-0.6","2","63","3","0","57",
"Ilias Akhomach","maMAR","FW","Barcelona","esLa Liga","17","2004","1.4","45","55","81.8","581","186","29","32","90.6","13","15","86.7","1","2","50.0","0","0.6","0.8","-0.6","4","4","7","2","11",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","19","2002","0.6","20","22","90.9","254","86","15","15","100.0","4","6","66.7","1","1","100.0","0","0.0","0.1","0.0","1","3","3","0","5",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","23","1997","5.7","284","325","87.4","4724","1363","142","156","91.0","121","136","89.0","17","24","70.8","0","0.1","0.3","-0.1","3","32","2","1","30",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","28","1992","3.5","89","106","84.0","1077","154","61","68","89.7","24","25","96.0","1","1","100.0","0","0.0","0.1","0.0","2","6","1","0","3",
"Kevin Akpoguma","ngNGA","DF,FW","Hoffenheim","deBundesliga","26","1995","17.0","691","917","75.4","11479","4667","332","384","86.5","289","358","80.7","52","111","46.8","2","2.6","2.0","-0.6","11","57","11","2","87",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","29","1992","29.4","1788","1968","90.9","29585","10903","831","870","95.5","804","859","93.6","102","161","63.4","3","2.2","3.0","+0.8","21","143","15","3","154",
"Sofiane Alakouch","maMAR","DF,MF","Metz","frLigue 1","23","1998","1.8","83","103","80.6","1154","309","52","56","92.9","27","33","81.8","2","5","40.0","0","0.0","0.0","0.0","1","6","0","0","5",
"Tomás Alarcón","clCHI","MF","Cádiz","esLa Liga","22","1999","15.8","398","572","69.6","7977","2385","159","193","82.4","139","185","75.1","82","143","57.3","1","1.1","1.4","-0.1","14","41","7","4","55",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","28","1992","7.3","115","171","67.3","1392","257","68","92","73.9","30","44","68.2","3","6","50.0","0","1.0","1.5","-1.0","7","5","5","0","10",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","32","1989","29.4","2334","2795","83.5","36392","12699","1218","1329","91.6","868","995","87.2","154","273","56.4","10","7.1","5.8","+2.9","58","212","60","18","291",
"Josué Albert","gfGUF","DF","Clermont Foot","frLigue 1","29","1992","0.2","5","6","83.3","62","35","3","3","100.0","2","3","66.7","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Luis Alberto","esESP","MF","Lazio","itSerie A","28","1992","26.1","1626","1970","82.5","25002","8252","896","986","90.9","553","631","87.6","115","235","48.9","9","7.8","6.7","+1.2","65","235","44","5","223",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","35","1985","27.4","1339","1560","85.8","28053","9682","355","392","90.6","780","850","91.8","186","277","67.1","0","0.1","0.2","-0.1","4","63","1","0","90",
"Marc Albrighton","engENG","FW,DF","Leicester City","engPremier League","31","1989","12.6","347","558","62.2","5152","2040","220","258","85.3","86","145","59.3","26","94","27.7","2","2.0","1.0","0.0","11","23","8","6","26",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","27","1993","8.7","123","175","70.3","1444","197","73","99","73.7","25","33","75.8","5","8","62.5","3","1.6","1.2","+1.4","7","4","5","0","10",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","30","1991","17.0","1340","1508","88.9","24737","7150","573","624","91.8","594","640","92.8","150","190","78.9","4","2.3","1.7","+1.7","29","211","26","1","214",
"Rubén Alcaraz","esESP","MF","Cádiz","esLa Liga","30","1991","12.3","556","667","83.4","10541","3267","247","267","92.5","201","226","88.9","91","138","65.9","0","0.9","1.2","-0.9","14","85","12","3","87",
"Omar Alderete","pyPAR","DF","Valencia","esLa Liga","24","1996","26.7","580","961","60.4","13798","6805","153","200","76.5","276","378","73.0","141","350","40.3","0","0.1","0.5","-0.1","4","78","7","0","89",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","26","1995","11.8","193","329","58.7","3129","1194","103","129","79.8","54","85","63.5","23","76","30.3","2","1.8","2.1","+0.2","20","19","23","23","25",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","18","2002","12.0","287","391","73.4","7942","5718","48","48","100.0","149","151","98.7","89","191","46.6","0","0.0","0.0","0.0","0","2","0","0","1",
"Carles Aleñá","esESP","MF","Getafe","esLa Liga","23","1998","25.8","683","869","78.6","11604","2454","330","382","86.4","266","309","86.1","62","106","58.5","2","1.3","1.4","+0.7","20","66","14","5","81",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","22","1998","31.7","2039","2757","74.0","40112","15683","841","964","87.2","811","1048","77.4","344","636","54.1","12","12.0","13.0","0.0","90","245","85","25","267",
"Mohamed Ali Cho","frFRA","FW","Angers","frLigue 1","17","2004","20.4","220","314","70.1","2951","510","132","159","83.0","63","92","68.5","9","21","42.9","1","2.7","2.4","-1.7","14","17","10","2","22",
"Alisson","brBRA","GK","Liverpool","engPremier League","28","1992","36.0","1214","1388","87.5","28439","18286","275","276","99.6","686","699","98.1","249","409","60.9","1","0.2","0.0","+0.8","1","16","1","0","1",
"Allan","brBRA","MF","Everton","engPremier League","30","1991","24.3","778","982","79.2","12868","4192","356","405","87.9","337","402","83.8","57","102","55.9","2","0.8","1.0","+1.2","15","103","20","3","130",
"Jim Allevinah","gaGAB","FW","Clermont Foot","frLigue 1","26","1995","16.5","416","545","76.3","6103","1306","245","287","85.4","123","164","75.0","29","44","65.9","2","1.9","1.4","+0.1","15","44","10","2","56",
"Dele Alli","engENG","MF","Tottenham","engPremier League","25","1996","7.3","177","228","77.6","2353","563","105","124","84.7","45","53","84.9","10","20","50.0","0","0.3","0.4","-0.3","2","14","4","1","18",
"Dele Alli","engENG","MF,FW","Everton","engPremier League","25","1996","3.8","114","157","72.6","1696","434","63","81","77.8","34","45","75.6","9","12","75.0","0","0.4","0.4","-0.4","7","10","3","1","13",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","27","1994","19.1","402","511","78.7","5720","1254","229","264","86.7","118","149","79.2","23","38","60.5","0","0.9","0.6","-0.9","16","26","5","0","46",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","30","1990","24.1","1142","1486","76.9","17781","5763","624","709","88.0","387","478","81.0","84","194","43.3","4","4.5","3.4","-0.5","43","67","34","15","93",
"Giorgio Altare","itITA","DF","Cagliari","itSerie A","22","1998","16.3","531","799","66.5","10947","4885","175","221","79.2","250","330","75.8","100","208","48.1","0","0.6","0.6","-0.6","8","50","6","3","71",
"Hugo Álvarez","esESP","FW","Celta Vigo","esLa Liga","18","2003","0.1","1","3","33.3","12","0","1","3","33.3","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","26","1995","20.7","832","1019","81.6","16426","6655","290","322","90.1","436","484","90.1","98","180","54.4","0","0.1","0.3","-0.1","4","49","2","0","64",
"Dani Alves","brBRA","DF","Barcelona","esLa Liga","38","1983","12.2","915","1089","84.0","13852","4399","545","580","94.0","264","313","84.3","75","141","53.2","3","2.3","3.1","+0.7","22","85","27","15","72",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","22","1998","4.5","204","233","87.6","3213","865","105","116","90.5","72","78","92.3","17","24","70.8","0","0.2","0.2","-0.2","2","18","1","0","21",
"Ibrahim Amadou","frFRA","DF,MF","Metz","frLigue 1","28","1993","9.0","384","439","87.5","7290","2224","127","138","92.0","203","224","90.6","43","60","71.7","0","0.1","0.0","-0.1","3","10","0","0","21",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","19","2001","0.9","26","39","66.7","425","161","11","15","73.3","12","18","66.7","2","4","50.0","1","0.1","0.0","+0.9","1","1","0","0","4",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","26","1994","23.6","1399","1546","90.5","25246","8400","508","550","92.4","769","810","94.9","103","140","73.6","0","0.2","0.4","-0.2","4","71","1","0","62",
"Amath","snSEN","FW,MF","Mallorca","esLa Liga","25","1996","9.8","159","202","78.7","2044","508","89","107","83.2","44","54","81.5","7","8","87.5","1","0.9","0.5","+0.1","6","11","5","1","19",
"Jordan Amavi","frFRA","DF","Nice","frLigue 1","27","1994","4.6","269","319","84.3","4444","1417","144","156","92.3","96","113","85.0","26","39","66.7","0","0.1","0.1","-0.1","1","27","2","0","28",
"Jordan Amavi","frFRA","DF,FW","Marseille","frLigue 1","27","1994","1.4","74","86","86.0","1244","321","38","43","88.4","29","31","93.5","6","9","66.7","0","0.0","0.1","0.0","1","7","3","1","9",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","15","2005","0.8","20","29","69.0","419","59","8","9","88.9","7","10","70.0","4","8","50.0","0","0.0","0.0","0.0","0","0","0","0","1",
"Kelvin Amian","frFRA","DF","Spezia","itSerie A","23","1998","29.4","887","1133","78.3","13080","5926","525","593","88.5","286","367","77.9","53","97","54.6","1","1.3","1.5","-0.3","12","53","7","2","64",
"Nadiem Amiri","deGER","MF,FW","Genoa","itSerie A","24","1996","7.6","222","299","74.2","3236","970","122","144","84.7","74","93","79.6","10","33","30.3","1","2.1","1.4","-1.1","20","16","9","1","33",
"Nadiem Amiri","deGER","MF,FW","Leverkusen","deBundesliga","24","1996","4.1","183","222","82.4","2857","576","97","105","92.4","59","72","81.9","18","28","64.3","0","0.3","0.4","-0.3","3","10","8","0","21",
"Ethan Ampadu","wlsWAL","MF,DF","Venezia","itSerie A","20","2000","25.4","867","1165","74.4","15853","6627","385","445","86.5","359","443","81.0","103","209","49.3","3","1.6","1.5","+1.4","15","96","12","7","112",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","24","1996","10.5","645","716","90.1","12507","3260","238","264","90.2","321","336","95.5","78","95","82.1","0","0.2","0.7","-0.2","8","74","9","1","63",
"Joachim Andersen","dkDEN","DF","Crystal Palace","engPremier League","25","1996","32.4","1911","2351","81.3","44144","15836","410","480","85.4","1138","1224","93.0","349","604","57.8","3","1.7","1.9","+1.3","20","151","11","2","100",
"Felipe Anderson","brBRA","FW","Lazio","itSerie A","28","1993","32.1","1118","1436","77.9","16074","3918","652","765","85.2","341","420","81.2","60","106","56.6","8","6.5","5.2","+1.5","50","60","61","13","123",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","30","1991","14.0","147","234","62.8","1595","243","108","149","72.5","22","38","57.9","2","4","50.0","1","1.0","0.9","0.0","12","5","7","1","14",
"Florin Andone","roROU","FW","Cádiz","esLa Liga","28","1993","2.0","25","38","65.8","283","21","14","19","73.7","7","11","63.6","0","1","0.0","0","0.1","0.0","-0.1","3","2","0","0","2",
"Andrés Andrade Cedeño","paPAN","DF","Arminia","deBundesliga","22","1998","11.6","350","535","65.4","5920","2921","164","214","76.6","144","212","67.9","32","69","46.4","0","0.1","0.5","-0.1","4","32","2","1","44",
"Benjamin André","frFRA","MF","Lille","frLigue 1","30","1990","30.6","1404","1766","79.5","22765","6915","691","804","85.9","524","623","84.1","113","187","60.4","1","1.3","1.3","-0.3","15","145","12","2","178",
"Fredrik André Bjørkan","noNOR","DF","Hertha BSC","deBundesliga","22","1998","3.9","133","166","80.1","1794","844","81","86","94.2","46","59","78.0","1","8","12.5","0","0.0","0.2","0.0","2","7","5","2","18",
"Marcos André","brBRA","FW,MF","Valencia","esLa Liga","24","1996","10.8","122","184","66.3","1764","430","63","81","77.8","46","65","70.8","6","14","42.9","3","2.6","1.2","+0.4","13","12","6","0","20",
"Robert Andrich","deGER","MF","Leverkusen","deBundesliga","26","1994","20.2","811","1011","80.2","13041","4189","384","444","86.5","331","400","82.8","54","91","59.3","2","1.5","1.7","+0.5","12","88","9","0","100",
"José Ángel","esESP","DF","Osasuna","esLa Liga","31","1989","12.0","590","785","75.2","12280","5279","242","278","87.1","228","298","76.5","117","191","61.3","1","1.5","1.8","-0.5","8","72","23","13","98",
"Angeliño","esESP","DF","RB Leipzig","deBundesliga","24","1997","25.5","1082","1516","71.4","17957","6443","546","608","89.8","381","519","73.4","109","291","37.5","5","5.2","8.4","-0.2","52","68","54","36","73",
"Ebenezer Annan","ghGHA","DF","Bologna","itSerie A","18","2002","0.3","4","11","36.4","51","17","3","4","75.0","1","5","20.0","0","2","0.0","0","0.0","0.0","0.0","0","1","0","0","0",
"Cristian Ansaldi","arARG","DF","Torino","itSerie A","34","1986","7.7","285","407","70.0","5390","2749","121","140","86.4","107","143","74.8","46","100","46.0","3","2.1","2.1","+0.9","17","40","16","12","41",
"Janis Antiste","frFRA","FW","Spezia","itSerie A","18","2002","8.8","136","215","63.3","1856","397","79","112","70.5","40","64","62.5","6","11","54.5","0","0.2","0.5","-0.2","6","6","6","3","7",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","25","1996","28.8","1541","1826","84.4","30310","12113","509","559","91.1","853","941","90.6","165","283","58.3","1","1.4","1.7","-0.4","7","90","7","1","108",
"Josep Antoni Gayá","esESP","DF","Mallorca","esLa Liga","21","2000","0.6","23","28","82.1","347","131","8","11","72.7","9","10","90.0","2","2","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","31","1990","33.0","438","702","62.4","6545","1294","252","324","77.8","121","192","63.0","37","63","58.7","8","6.0","5.0","+2.0","45","24","27","12","46",
"Christopher Antwi-Adjei","ghGHA","FW,MF","Bochum","deBundesliga","27","1994","12.6","153","253","60.5","2315","735","87","111","78.4","56","85","65.9","7","23","30.4","1","1.0","0.8","0.0","6","7","10","2","22",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","23","1998","27.8","1243","1446","86.0","18236","4604","718","783","91.7","393","453","86.8","75","100","75.0","4","4.5","5.2","-0.5","38","128","34","1","165",
"Adil Aouchiche","frFRA","MF,FW","Saint-Étienne","frLigue 1","19","2002","12.0","457","614","74.4","7867","2112","220","255","86.3","148","183","80.9","55","107","51.4","4","1.6","1.3","+2.4","17","48","9","3","75",
"Dennis Appiah","frFRA","DF","Nantes","frLigue 1","29","1992","23.3","756","1001","75.5","13014","5913","348","399","87.2","319","404","79.0","71","139","51.1","0","0.3","1.0","-0.3","3","43","12","7","69",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","25","1995","29.6","933","1266","73.7","19318","5465","347","418","83.0","364","456","79.8","200","325","61.5","5","2.2","2.7","+2.8","45","87","8","5","79",
"Mattia Aramu","itITA","MF,FW","Venezia","itSerie A","26","1995","23.3","524","795","65.9","8928","2978","255","303","84.2","190","267","71.2","57","151","37.7","5","4.5","4.9","+0.5","35","39","28","13","79",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","32","1989","17.5","916","1094","83.7","15636","5157","437","476","91.8","349","397","87.9","91","134","67.9","4","0.9","1.7","+3.1","17","92","14","2","96",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","29","1991","29.1","1326","1555","85.3","26401","6871","399","443","90.1","752","814","92.4","156","253","61.7","0","0.2","0.4","-0.2","2","57","3","1","83",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","22","1999","25.2","1491","1662","89.7","28250","8838","511","544","93.9","828","876","94.5","133","209","63.6","0","1.2","0.8","-1.2","8","74","4","3","91",
"Cameron Archer","engENG","FW,MF","Aston Villa","engPremier League","20","2001","0.3","4","4","100.0","62","29","3","3","100.0","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","28","1993","1.0","21","40","52.5","785","656","2","2","100.0","8","8","100.0","11","30","36.7","0","0.0","0.0","0.0","0","0","0","0","0",
"Jesús Areso","esESP","DF","Osasuna","esLa Liga","22","1999","2.1","49","73","67.1","904","504","21","24","87.5","23","34","67.6","5","15","33.3","0","0.0","0.0","0.0","1","4","0","0","3",
"Matias Arezo","uyURU","FW,MF","Granada","esLa Liga","18","2002","1.8","18","38","47.4","187","69","13","20","65.0","4","11","36.4","0","1","0.0","0","0.3","0.1","-0.3","6","3","1","0","3",
"Santiago Arias","coCOL","DF","Granada","esLa Liga","29","1992","4.9","153","218","70.2","2480","1038","75","92","81.5","64","91","70.3","12","23","52.2","0","0.4","0.2","-0.4","5","10","3","3","11",
"Adam Armstrong","engENG","FW","Southampton","engPremier League","24","1997","15.7","229","324","70.7","3453","610","111","142","78.2","93","126","73.8","12","22","54.5","2","1.6","1.4","+0.4","13","11","13","0","30",
"Stuart Armstrong","sctSCO","MF","Southampton","engPremier League","29","1992","16.4","590","744","79.3","8618","2144","321","386","83.2","217","250","86.8","25","42","59.5","0","1.5","1.4","-1.5","25","46","23","4","83",
"Marko Arnautović","atAUT","FW","Bologna","itSerie A","32","1989","29.9","659","908","72.6","8749","1621","400","514","77.8","189","246","76.8","23","37","62.2","1","3.8","2.1","-2.8","44","30","19","0","68",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","27","1994","33.3","1453","1869","77.7","30069","10473","487","550","88.5","662","753","87.9","263","468","56.2","2","4.7","6.7","-2.7","57","151","29","10","171",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","26","1994","4.0","115","138","83.3","2398","1340","36","36","100.0","55","55","100.0","21","44","47.7","0","0.0","0.0","0.0","0","1","0","0","0",
"Tolgay Arslan","deGER","MF","Udinese","itSerie A","30","1990","18.4","532","677","78.6","8981","2491","221","267","82.8","242","290","83.4","43","69","62.3","0","1.5","1.1","-1.5","15","79","9","2","86",
"Santiago Arzamendia","pyPAR","MF","Cádiz","esLa Liga","23","1998","5.2","105","170","61.8","1588","457","59","71","83.1","32","43","74.4","8","38","21.1","0","0.0","0.2","0.0","1","4","4","3","3",
"Takuma Asano","jpJPN","FW,MF","Bochum","deBundesliga","26","1994","17.9","244","378","64.6","3408","1080","135","173","78.0","82","116","70.7","9","26","34.6","4","1.9","2.1","+2.1","20","22","19","6","40",
"Santiago Ascacíbar","arARG","MF","Hertha BSC","deBundesliga","24","1997","26.4","959","1168","82.1","14340","4485","546","623","87.6","313","366","85.5","58","85","68.2","1","0.5","0.6","+0.5","11","70","4","0","86",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","32","1989","6.0","185","228","81.1","4206","2778","43","43","100.0","103","104","99.0","37","76","48.7","0","0.0","0.0","0.0","0","1","0","0","0",
"Alejandro Asensio","esESP","FW","Rayo Vallecano","esLa Liga","20","2000","0.1","7","8","87.5","156","37","5","6","83.3","0","0","","2","2","100.0","0","0.0","0.0","0.0","1","1","1","1","1",
