Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Ridle Baku","deGER","MF","Mainz 05","deBundesliga","19","1998","2.6","67","85","78.8","879","266","37","41","90.2","24","33","72.7","1","4","25.0","0","0.1","0.1","-0.1","1","3","1","0","6",
"Keita Baldé","snSEN","FW,MF","Monaco","frLigue 1","22","1995","16.4","278","392","70.9","3730","777","168","214","78.5","84","110","76.4","9","23","39.1","5","2.3","1.3","+2.7","15","16","13","6","32",
"Sam Baldock","engENG","FW","Brighton","engPremier League","28","1989","0.4","4","7","57.1","41","7","3","5","60.0","1","2","50.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Gareth Bale","wlsWAL","FW,MF","Real Madrid","esLa Liga","28","1989","20.0","603","779","77.4","9329","2213","360","408","88.2","162","210","77.1","56","89","62.9","2","5.0","4.1","-3.0","41","32","44","11","87",
"Mikel Balenziaga","esESP","DF","Athletic Club","esLa Liga","29","1988","17.2","599","791","75.7","9534","2681","304","340","89.4","239","315","75.9","35","85","41.2","2","1.0","1.1","+1.0","7","34","16","12","48",
"Andrija Balić","hrCRO","MF","Udinese","itSerie A","19","1997","12.0","446","561","79.5","8362","2123","179","210","85.2","196","226","86.7","57","88","64.8","1","0.6","1.1","+0.4","14","40","6","2","51",
"Iván Balliu","alALB","DF","Metz","frLigue 1","25","1992","21.7","918","1205","76.2","16923","8007","409","459","89.1","409","513","79.7","95","194","49.0","1","1.0","1.5","0.0","10","120","24","5","137",
"Fodé Ballo-Touré","snSEN","DF","Lille","frLigue 1","20","1997","22.8","1017","1228","82.8","13958","4654","618","679","91.0","306","372","82.3","37","68","54.4","0","0.7","0.5","-0.7","7","52","11","5","72",
"Florent Balmont","frFRA","MF","Dijon","frLigue 1","37","1980","9.6","430","525","81.9","6716","2036","220","238","92.4","160","191","83.8","30","65","46.2","3","1.7","1.7","+1.3","7","39","8","3","75",
"Leon Balogun","ngNGA","DF","Mainz 05","deBundesliga","29","1988","13.0","360","485","74.2","7322","2848","110","149","73.8","198","232","85.3","47","84","56.0","0","0.0","0.2","0.0","1","19","1","0","24",
