Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Gorka Iraizoz","esESP","GK","Girona","esLa Liga","36","1981","8.5","145","249","58.2","5497","4596","9","10","90.0","45","46","97.8","90","191","47.1","0","0.0","0.0","0.0","0","16","0","0","1",
"Stephen Ireland","ieIRL","MF,FW","Stoke City","engPremier League","30","1986","1.5","57","70","81.4","788","200","37","40","92.5","13","14","92.9","3","7","42.9","0","0.0","0.0","0.0","1","5","0","0","7",
"Carlos Isaac","esESP","DF","Atlético Madrid","esLa Liga","19","1998","0.7","36","44","81.8","512","135","21","24","87.5","13","14","92.9","1","3","33.3","0","0.0","0.0","0.0","0","1","1","0","1",
"Alexander Isak","seSWE","FW,MF","Dortmund","deBundesliga","17","1999","1.3","19","26","73.1","220","46","11","14","78.6","6","7","85.7","0","0","","0","0.2","0.0","-0.2","2","0","1","0","4",
"Isco","esESP","MF","Real Madrid","esLa Liga","25","1992","19.7","1387","1636","84.8","20955","5838","826","889","92.9","415","483","85.9","106","169","62.7","7","6.3","7.0","+0.7","48","159","63","13","220",
"Tatsuya Ito","jpJPN","MF,FW","Hamburger SV","deBundesliga","20","1997","11.2","296","389","76.1","4219","1331","170","193","88.1","92","131","70.2","18","36","50.0","2","1.2","2.6","+0.8","13","21","27","5","45",
"Gian-Luca Itter","deGER","DF","Wolfsburg","deBundesliga","18","1999","4.6","137","183","74.9","2244","890","64","78","82.1","58","68","85.3","11","31","35.5","0","0.1","0.3","-0.1","2","10","3","2","13",
"Manuel Iturra","clCHI","MF","Málaga","esLa Liga","33","1984","17.6","478","606","78.9","8850","2515","202","242","83.5","194","227","85.5","69","110","62.7","0","0.7","0.7","-0.7","7","54","8","2","56",
"Ander Iturraspe","esESP","MF","Athletic Club","esLa Liga","28","1989","21.2","1013","1275","79.5","19925","5809","425","494","86.0","388","467","83.1","181","263","68.8","0","2.0","2.4","-2.0","22","113","13","5","124",
"Ivi","esESP","MF,FW","Levante","esLa Liga","23","1994","19.6","442","674","65.6","7581","2112","223","286","78.0","128","190","67.4","62","134","46.3","3","2.6","2.7","+0.4","23","41","28","8","82",
"Alex Iwobi","ngNGA","MF,FW","Arsenal","engPremier League","21","1996","20.3","997","1171","85.1","14645","3786","587","636","92.3","321","379","84.7","53","78","67.9","5","3.5","3.6","+1.5","36","93","31","0","138",
"José Izquierdo","coCOL","MF,FW","Brighton","engPremier League","25","1992","22.0","415","550","75.5","5081","1389","259","317","81.7","104","142","73.2","9","24","37.5","3","2.2","1.7","+0.8","21","21","15","5","36",
"Armando Izzo","itITA","DF","Genoa","itSerie A","25","1992","15.4","650","869","74.8","13251","5057","214","251","85.3","335","399","84.0","97","201","48.3","0","0.2","0.3","-0.2","3","61","8","1","57",
"Koo Ja-cheol","krKOR","MF","Augsburg","deBundesliga","28","1989","22.7","627","794","79.0","7926","2174","337","396","85.1","139","171","81.3","39","63","61.9","0","1.0","0.9","-1.0","11","61","8","0","68",
"Paul Jaeckel","deGER","DF","Wolfsburg","deBundesliga","19","1998","3.0","113","149","75.8","2519","793","23","32","71.9","70","78","89.7","18","35","51.4","0","0.3","0.2","-0.3","2","6","3","3","6",
"Phil Jagielka","engENG","DF","Everton","engPremier League","34","1982","22.9","737","983","75.0","16406","5143","219","246","89.0","362","430","84.2","150","285","52.6","0","0.0","0.3","0.0","1","62","6","0","53",
"Kilian Jakob","deGER","FW","Augsburg","deBundesliga","19","1998","0.6","6","12","50.0","98","43","3","3","100.0","3","5","60.0","0","0","","0","0.0","0.2","0.0","0","1","2","1","3",
"Eldin Jakupović","chSUI","GK","Leicester City","engPremier League","32","1984","2.0","35","56","62.5","1424","1247","0","0","","13","13","100.0","22","42","52.4","0","0.0","0.0","0.0","0","1","0","0","0",
"Christophe Jallet","frFRA","DF","Nice","frLigue 1","33","1983","13.0","703","835","84.2","10874","3733","394","428","92.1","256","309","82.8","37","57","64.9","0","0.7","0.4","-0.7","9","51","7","2","78",
"Ablie Jallow","gmGAM","FW","Metz","frLigue 1","18","1998","1.4","36","45","80.0","703","168","9","13","69.2","24","26","92.3","2","4","50.0","0","0.9","0.8","-0.9","2","1","2","1","2",
"Matty James","engENG","MF","Leicester City","engPremier League","26","1991","11.0","363","448","81.0","5314","1297","188","218","86.2","134","160","83.8","17","32","53.1","0","0.1","0.3","-0.1","2","27","2","0","28",
"Vasilije Janjicic","chSUI","MF","Hamburger SV","deBundesliga","18","1998","3.6","121","150","80.7","1894","653","54","60","90.0","58","70","82.9","3","10","30.0","0","0.1","0.1","-0.1","3","12","2","0","20",
"Christoph Janker","deGER","DF,MF","Augsburg","deBundesliga","32","1985","0.9","8","14","57.1","135","50","2","2","100.0","6","7","85.7","0","2","0.0","0","0.0","0.0","0.0","0","1","0","0","2",
"Saidy Janko","gmGAM","DF","Saint-Étienne","frLigue 1","21","1995","15.8","623","813","76.6","9228","3076","384","434","88.5","198","265","74.7","29","66","43.9","0","0.8","0.9","-0.8","4","54","11","7","61",
"Jakub Jankto","czCZE","MF,FW","Udinese","itSerie A","21","1996","29.5","827","1162","71.2","14390","4330","376","453","83.0","354","462","76.6","79","193","40.9","4","5.9","4.8","-1.9","60","80","43","12","140",
"Daryl Janmaat","nlNED","DF","Watford","engPremier League","28","1989","20.2","750","1041","72.0","12214","5462","416","470","88.5","237","355","66.8","79","173","45.7","0","1.0","1.3","-1.0","12","83","29","15","107",
"Vincent Janssen","nlNED","DF","Tottenham","engPremier League","23","1994","0.0","0","0","","0","0","0","0","","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Tony Jantschke","deGER","DF","Gladbach","deBundesliga","27","1990","8.1","309","434","71.2","5585","2412","127","162","78.4","151","198","76.3","28","52","53.8","1","0.1","0.2","+0.9","2","35","2","1","33",
"Adnan Januzaj","beBEL","FW","Real Sociedad","esLa Liga","22","1995","17.5","407","552","73.7","6423","2055","237","263","90.1","113","144","78.5","35","84","41.7","5","5.5","3.6","-0.5","35","38","23","4","68",
"Nicolas Janvier","frFRA","MF","Rennes","frLigue 1","18","1998","0.8","37","46","80.4","584","124","20","22","90.9","8","14","57.1","5","6","83.3","0","0.0","0.0","0.0","0","5","0","0","2",
"Paweł Jaroszyński","plPOL","DF","Chievo","itSerie A","22","1994","9.0","243","409","59.4","4526","1821","110","140","78.6","95","144","66.0","33","95","34.7","0","0.3","0.6","-0.3","5","19","7","7","24",
"Rune Jarstein","noNOR","GK","Hertha BSC","deBundesliga","32","1984","31.0","634","1134","55.9","24272","20476","39","39","100.0","214","216","99.1","381","876","43.5","0","0.0","0.1","0.0","0","32","0","0","0",
"Jason","esESP","FW,MF","Levante","esLa Liga","23","1994","19.8","370","576","64.2","5332","1449","216","273","79.1","108","166","65.1","27","58","46.6","2","2.7","2.6","-0.7","26","21","28","12","55",
"Bakery Jatta","gmGAM","MF,FW","Hamburger SV","deBundesliga","19","1998","3.3","65","104","62.5","881","291","39","58","67.2","18","23","78.3","3","9","33.3","1","0.1","0.4","+0.9","3","5","3","1","5",
"Corentin Jean","frFRA","FW,MF","Toulouse","frLigue 1","22","1995","18.8","343","523","65.6","5464","1682","190","238","79.8","99","155","63.9","38","83","45.8","2","2.8","3.1","-0.8","26","25","20","12","41",
"Benjamin Jeannot","frFRA","FW","Dijon","frLigue 1","25","1992","15.6","250","354","70.6","3384","617","153","201","76.1","68","93","73.1","11","25","44.0","1","1.5","1.2","-0.5","12","17","4","0","34",
"Tin Jedvaj","hrCRO","DF","Leverkusen","deBundesliga","21","1995","6.7","283","365","77.5","5282","2162","116","131","88.5","127","153","83.0","35","57","61.4","0","0.1","0.2","-0.1","2","37","5","1","40",
"Jemerson","brBRA","DF","Monaco","frLigue 1","24","1992","31.7","1182","1360","86.9","24391","8411","348","375","92.8","666","714","93.3","161","247","65.2","0","0.2","0.1","-0.2","2","28","1","0","59",
"Jesé","esESP","FW,MF","Stoke City","engPremier League","24","1993","6.8","118","162","72.8","1739","363","68","80","85.0","32","45","71.1","9","14","64.3","1","0.7","0.7","+0.3","9","7","6","0","14",
"Gabriel Jesus","brBRA","FW","Manchester City","engPremier League","20","1997","18.5","474","596","79.5","5662","806","302","364","83.0","100","126","79.4","12","16","75.0","3","2.1","2.2","+0.9","18","17","19","0","49",
"Juan Jesus","brBRA","DF","Roma","itSerie A","26","1991","18.4","1037","1196","86.7","19349","7557","403","423","95.3","501","547","91.6","116","187","62.0","0","0.2","0.3","-0.2","3","60","5","1","73",
"Álvaro Jiménez","esESP","MF,FW","Getafe","esLa Liga","22","1995","5.9","82","146","56.2","1236","419","45","62","72.6","26","50","52.0","6","18","33.3","1","0.7","0.4","+0.3","7","11","4","1","17",
"Joaquín","esESP","MF,FW","Betis","esLa Liga","36","1981","27.5","1114","1348","82.6","18012","4232","616","678","90.9","348","420","82.9","116","176","65.9","7","6.2","5.5","+0.8","51","83","40","11","138",
"Aron Jóhannsson","usUSA","MF,FW","Werder Bremen","deBundesliga","26","1990","3.1","80","102","78.4","1306","456","41","47","87.2","29","38","76.3","8","11","72.7","0","1.0","0.5","-1.0","7","7","4","2","13",
"Fabian Johnson","usUSA","MF,DF","Gladbach","deBundesliga","29","1987","5.2","81","127","63.8","1119","539","48","67","71.6","30","46","65.2","1","4","25.0","0","0.7","0.6","-0.7","3","6","3","1","8",
"Glen Johnson","engENG","DF","Stoke City","engPremier League","32","1984","6.1","159","242","65.7","3160","1662","67","77","87.0","63","91","69.2","25","59","42.4","0","0.2","0.5","-0.2","4","18","9","2","23",
"Karl-Johan Johnsson","seSWE","GK","Guingamp","frLigue 1","27","1990","38.0","749","1178","63.6","28129","22176","49","49","100.0","264","267","98.9","433","856","50.6","0","0.1","0.1","-0.1","2","22","2","0","0",
"Miloš Jojić","rsSRB","MF","Köln","deBundesliga","25","1992","16.2","494","699","70.7","8270","2379","226","283","79.9","182","240","75.8","57","118","48.3","5","6.2","3.8","-1.2","31","42","22","5","72",
"Jonathas","brBRA","FW","Hannover 96","deBundesliga","28","1989","7.0","102","164","62.2","1592","344","58","93","62.4","33","49","67.3","9","13","69.2","3","1.6","0.7","+1.4","12","8","7","1","11",
"Phil Jones","engENG","DF","Manchester Utd","engPremier League","25","1992","21.9","991","1090","90.9","18639","5304","313","336","93.2","546","576","94.8","99","135","73.3","0","0.1","0.1","-0.1","2","37","1","0","45",
"Nigel de Jong","nlNED","MF","Mainz 05","deBundesliga","32","1984","8.2","300","360","83.3","5365","1886","132","155","85.2","132","151","87.4","30","41","73.2","0","0.2","0.2","-0.2","4","28","1","0","32",
"Jony","esESP","FW,MF","Málaga","esLa Liga","26","1991","2.4","53","107","49.5","909","372","29","39","74.4","14","31","45.2","9","26","34.6","0","0.3","0.4","-0.3","5","6","5","2","10",
"Joan Jordán","esESP","MF","Eibar","esLa Liga","23","1994","27.0","1013","1301","77.9","18719","4160","460","526","87.5","358","449","79.7","159","254","62.6","4","3.1","3.6","+0.9","39","93","24","7","130",
"Jorge","brBRA","DF","Monaco","frLigue 1","21","1996","21.3","734","990","74.1","11874","4286","393","447","87.9","276","379","72.8","59","115","51.3","2","1.9","1.4","+0.1","13","54","19","13","84",
"Jorginho","itITA","MF","Napoli","itSerie A","25","1991","29.4","2863","3229","88.7","39648","13882","1801","1913","94.1","830","960","86.5","123","192","64.1","3","4.1","3.7","-1.1","49","450","46","0","398",
"Willian José","brBRA","FW","Real Sociedad","esLa Liga","25","1991","30.8","638","864","73.8","9308","1503","352","423","83.2","153","223","68.6","58","95","61.1","4","4.6","2.5","-0.6","40","34","14","3","59",
"Joselu","esESP","FW","Newcastle Utd","engPremier League","27","1990","19.0","374","605","61.8","4732","1099","259","377","68.7","82","153","53.6","13","23","56.5","1","1.2","0.5","-0.2","16","34","6","1","41",
"Yann Jouffre","frFRA","FW,MF","Metz","frLigue 1","33","1984","3.1","158","190","83.2","3162","1107","66","75","88.0","62","70","88.6","30","43","69.8","0","0.5","0.5","-0.5","6","28","3","2","18",
"Vukašin Jovanović","rsSRB","DF","Bordeaux","frLigue 1","21","1996","16.0","654","735","89.0","13196","3738","201","215","93.5","343","372","92.2","93","124","75.0","0","0.1","0.9","-0.1","2","33","3","0","51",
"Stevan Jovetić","meMNE","FW","Monaco","frLigue 1","27","1989","8.4","172","257","66.9","2499","641","102","141","72.3","50","74","67.6","9","17","52.9","1","0.4","0.6","+0.6","8","16","8","0","32",
"Luka Jović","rsSRB","FW","Eint Frankfurt","deBundesliga","19","1997","10.4","179","249","71.9","2610","384","97","128","75.8","54","75","72.0","11","18","61.1","1","1.3","1.1","-0.3","8","15","4","1","13",
"Jozabed","esESP","MF","Celta Vigo","esLa Liga","26","1991","16.4","763","888","85.9","13360","3475","348","382","91.1","298","331","90.0","89","114","78.1","4","2.4","1.3","+1.6","21","90","11","1","111",
"Juanfran","esESP","DF","La Coruña","esLa Liga","28","1988","34.0","1335","1869","71.4","22134","10014","682","785","86.9","478","644","74.2","129","312","41.3","1","3.9","3.4","-2.9","31","130","41","27","157",
"Juanfran","esESP","DF","Atlético Madrid","esLa Liga","32","1985","14.5","536","681","78.7","7751","3154","323","363","89.0","175","228","76.8","21","48","43.8","1","1.8","1.5","-0.8","7","28","13","3","44",
"Juankar","esESP","DF","Málaga","esLa Liga","27","1990","8.7","309","420","73.6","5344","2496","151","188","80.3","118","157","75.2","33","61","54.1","0","0.6","0.7","-0.6","11","27","11","7","32",
"Juanmi","esESP","FW,MF","Real Sociedad","esLa Liga","24","1993","16.5","286","356","80.3","3729","508","188","218","86.2","62","76","81.6","15","19","78.9","2","0.8","0.8","+1.2","9","7","8","1","15",
"Juanpe","esESP","DF","Girona","esLa Liga","26","1991","34.1","1029","1348","76.3","23202","9993","290","332","87.3","520","602","86.4","202","376","53.7","1","0.9","0.8","+0.1","7","86","3","0","103",
"Juanpi","veVEN","MF,FW","Málaga","esLa Liga","23","1994","6.8","177","225","78.7","2646","719","108","120","90.0","45","58","77.6","14","27","51.9","2","1.4","0.9","+0.6","12","18","6","1","26",
"Mariano Julio Izco","arARG","MF","Crotone","itSerie A","34","1983","2.0","59","75","78.7","896","312","31","36","86.1","24","28","85.7","3","5","60.0","0","0.0","0.1","0.0","0","11","1","0","8",
"Christopher Jullien","frFRA","DF","Toulouse","frLigue 1","24","1993","28.9","983","1248","78.8","22850","10072","240","275","87.3","519","595","87.2","220","354","62.1","2","0.7","0.7","+1.3","9","88","5","1","103",
"David Juncà","esESP","DF","Eibar","esLa Liga","23","1993","10.0","447","643","69.5","8720","3244","163","196","83.2","207","280","73.9","70","142","49.3","2","1.6","1.1","+0.4","15","60","18","12","61",
"Gideon Jung","deGER","MF,DF","Hamburger SV","deBundesliga","22","1994","28.6","815","1048","77.8","15924","5964","269","311","86.5","441","527","83.7","95","173","54.9","1","1.1","1.0","-0.1","9","81","11","1","110",
"Sebastian Jung","deGER","DF","Wolfsburg","deBundesliga","27","1990","0.9","17","29","58.6","284","192","9","11","81.8","4","7","57.1","3","7","42.9","0","0.0","0.0","0.0","0","2","1","0","2",
"Zlatko Junuzović","atAUT","MF,FW","Werder Bremen","deBundesliga","29","1987","18.1","544","781","69.7","9039","3253","285","343","83.1","195","270","72.2","50","116","43.1","4","3.5","3.1","+0.5","40","73","30","8","118",
"Mathias Jørgensen","dkDEN","DF","Huddersfield","engPremier League","27","1990","38.0","1206","1576","76.5","23654","9558","407","472","86.2","607","725","83.7","162","317","51.1","2","0.9","1.1","+1.1","9","95","2","0","120",
"Christian Kabasele","beBEL","DF","Watford","engPremier League","26","1991","25.9","677","910","74.4","13472","6282","227","278","81.7","352","425","82.8","88","180","48.9","0","0.1","0.3","-0.1","3","46","5","0","74",
"Younès Kaboul","frFRA","DF","Watford","engPremier League","31","1986","1.7","52","76","68.4","1247","528","14","19","73.7","25","31","80.6","13","24","54.2","0","0.0","0.0","0.0","0","9","0","0","7",
"Alexander Kačaniklić","seSWE","MF,FW","Nantes","frLigue 1","25","1991","3.5","64","94","68.1","786","272","32","42","76.2","18","34","52.9","2","4","50.0","1","0.2","0.7","+0.8","3","5","4","2","7",
"Gojko Kačar","rsSRB","DF","Augsburg","deBundesliga","30","1987","2.5","56","75","74.7","1022","366","19","23","82.6","33","40","82.5","4","11","36.4","0","0.0","0.0","0.0","0","0","0","0","1",
"Elias Kachunga","cdCOD","FW,MF","Huddersfield","engPremier League","25","1992","14.8","231","368","62.8","2834","483","163","212","76.9","54","89","60.7","5","17","29.4","1","0.6","0.5","+0.4","10","6","6","1","24",
"Pavel Kadeřábek","czCZE","FW,DF","Hoffenheim","deBundesliga","25","1992","24.4","799","1104","72.4","13158","4851","394","483","81.6","336","440","76.4","51","121","42.1","3","2.7","3.8","+0.3","23","54","24","14","65",
"Shinji Kagawa","jpJPN","MF","Dortmund","deBundesliga","28","1989","13.0","650","771","84.3","10389","2703","332","353","94.1","225","269","83.6","54","87","62.1","2","2.9","2.4","-0.9","22","77","25","1","109",
"Sullay Kaikai","slSLE","MF","Crystal Palace","engPremier League","21","1995","0.2","4","8","50.0","60","18","3","4","75.0","0","3","0.0","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","1",
"Florian Kainz","atAUT","MF,FW","Werder Bremen","deBundesliga","24","1992","19.0","543","784","69.3","9925","3570","246","302","81.5","213","286","74.5","70","144","48.6","3","3.5","2.8","-0.5","37","69","25","10","114",
"Dominik Kaiser","deGER","MF,FW","RB Leipzig","deBundesliga","28","1988","3.1","114","163","69.9","1728","664","63","75","84.0","35","49","71.4","8","24","33.3","0","0.2","0.3","-0.2","3","6","6","2","12",
"Gaël Kakuta","cdCOD","MF,FW","Amiens","frLigue 1","26","1991","34.3","895","1420","63.0","13653","5230","484","618","78.3","254","384","66.1","89","229","38.9","6","6.1","7.0","-0.1","64","112","37","13","151",
"Nikola Kalinić","hrCRO","FW","Milan","itSerie A","29","1988","20.1","301","378","79.6","4041","480","178","209","85.2","92","111","82.9","9","15","60.0","3","2.1","1.4","+0.9","38","15","12","0","26",
"Salomon Kalou","ciCIV","FW,MF","Hertha BSC","deBundesliga","31","1985","24.5","431","625","69.0","6330","1913","241","317","76.0","144","213","67.6","23","34","67.6","3","2.3","2.0","+0.7","15","50","17","1","73",
"Daichi Kamada","jpJPN","MF,FW","Eint Frankfurt","deBundesliga","20","1996","1.6","27","32","84.4","401","118","15","15","100.0","7","8","87.5","2","4","50.0","0","0.0","0.0","0.0","1","1","0","0","3",
"François Kamano","gnGUI","FW","Bordeaux","frLigue 1","21","1996","22.4","529","686","77.1","7079","1297","326","382","85.3","146","181","80.7","20","45","44.4","4","2.6","2.7","+1.4","27","19","19","5","52",
"Bingourou Kamara","snSEN","GK","Strasbourg","frLigue 1","20","1996","18.8","389","619","62.8","13453","10666","30","32","93.8","162","165","98.2","197","421","46.8","0","0.0","0.0","0.0","0","5","0","0","0",
"Boubacar Kamara","frFRA","DF,MF","Marseille","frLigue 1","17","1999","5.1","252","288","87.5","3763","1279","137","148","92.6","87","94","92.6","15","25","60.0","1","0.3","0.1","+0.7","1","6","2","0","9",
"Marcin Kamiński","plPOL","DF","Stuttgart","deBundesliga","25","1992","12.6","690","820","84.1","13816","5295","217","247","87.9","389","430","90.5","77","127","60.6","0","0.5","0.4","-0.5","4","52","6","4","53",
"Kevin Kampl","siSVN","MF","RB Leipzig","deBundesliga","26","1990","22.4","1033","1250","82.6","16321","5228","526","584","90.1","393","455","86.4","77","139","55.4","3","3.9","4.2","-0.9","51","111","26","5","152",
"Kevin Kampl","siSVN","MF","Leverkusen","deBundesliga","26","1990","0.3","30","34","88.2","630","204","12","13","92.3","10","11","90.9","7","7","100.0","0","0.0","0.0","0.0","1","7","0","0","5",
"Harry Kane","engENG","FW","Tottenham","engPremier League","24","1993","34.2","477","696","68.5","8715","2185","231","301","76.7","153","216","70.8","71","109","65.1","2","2.7","2.4","-0.7","32","53","24","2","94",
"Wilfried Kanga","ciCIV","FW,MF","Angers","frLigue 1","19","1998","1.9","26","34","76.5","325","42","14","17","82.4","8","11","72.7","1","1","100.0","0","0.0","0.1","0.0","0","1","0","0","2",
"Mamadou Kanouté","snSEN","FW,MF","Benevento","itSerie A","23","1993","0.4","17","19","89.5","232","32","12","14","85.7","5","5","100.0","0","0","","0","0.0","0.0","0.0","0","0","1","0","2",
"N'Golo Kanté","frFRA","MF","Chelsea","engPremier League","26","1991","33.3","1924","2174","88.5","30572","8032","975","1041","93.7","737","798","92.4","132","187","70.6","1","2.9","3.2","-1.9","40","195","35","2","274",
"Bartosz Kapustka","plPOL","FW,MF","Freiburg","deBundesliga","20","1996","2.6","37","74","50.0","529","124","21","32","65.6","12","24","50.0","1","7","14.3","0","0.0","0.0","0.0","0","4","0","0","3",
"Kenan Karaman","trTUR","MF,FW","Hannover 96","deBundesliga","23","1994","9.5","197","269","73.2","3094","847","99","125","79.2","73","92","79.3","13","23","56.5","0","0.6","1.1","-0.6","7","12","7","3","31",
"Yann Karamoh","frFRA","FW,MF","Inter","itSerie A","19","1998","5.4","194","251","77.3","2772","537","113","132","85.6","59","76","77.6","11","23","47.8","0","0.1","0.6","-0.1","2","17","8","1","21",
"Loris Karius","deGER","GK","Liverpool","engPremier League","24","1993","19.0","455","630","72.2","11925","9119","68","68","100.0","264","265","99.6","123","293","42.0","0","0.0","0.0","0.0","0","3","0","0","0",
"Orestis Karnezis","grGRE","GK","Watford","engPremier League","32","1985","14.4","198","404","49.0","8667","7762","5","5","100.0","50","51","98.0","143","348","41.1","0","0.0","0.0","0.0","0","8","0","0","0",
"Rick Karsdorp","nlNED","DF","Roma","itSerie A","22","1995","0.9","48","63","76.2","791","139","24","27","88.9","18","23","78.3","4","8","50.0","0","0.0","0.0","0.0","0","3","1","0","4",
"Aleksandar Katai","rsSRB","MF,DF","Alavés","esLa Liga","26","1991","0.6","8","10","80.0","96","42","2","2","100.0","4","5","80.0","0","0","","0","0.0","0.0","0.0","0","2","0","0","2",
"Florian Kath","deGER","FW,MF","Freiburg","deBundesliga","22","1994","7.5","135","209","64.6","2281","620","67","87","77.0","47","65","72.3","16","33","48.5","0","0.3","0.4","-0.3","6","14","5","0","26",
"Ole Käuper","deGER","MF","Werder Bremen","deBundesliga","20","1997","0.8","22","32","68.8","425","76","7","11","63.6","14","17","82.4","1","4","25.0","0","0.0","0.0","0.0","0","1","0","0","2",
"Eiji Kawashima","jpJPN","GK","Metz","frLigue 1","34","1983","28.5","503","893","56.3","19623","16915","20","20","100.0","176","181","97.2","307","689","44.6","0","0.0","0.1","0.0","1","9","2","0","0",
"Beram Kayal","ilISR","MF","Brighton","engPremier League","29","1988","8.3","182","235","77.4","2904","800","89","103","86.4","72","88","81.8","13","26","50.0","0","0.5","0.6","-0.5","11","16","4","2","27",
"Joris Kayembe","cdCOD","FW,MF","Nantes","frLigue 1","22","1994","1.0","17","23","73.9","195","58","11","11","100.0","0","3","0.0","2","2","100.0","0","0.1","0.5","-0.1","1","0","1","0","1",
"Olarenwaju Kayode","ngNGA","FW,MF","Girona","esLa Liga","24","1993","4.3","36","58","62.1","574","50","19","29","65.5","7","14","50.0","6","6","100.0","0","1.0","0.4","-1.0","5","0","1","0","2",
"Moise Kean","itITA","FW","Hellas Verona","itSerie A","17","2000","12.6","149","207","72.0","2076","327","85","105","81.0","41","51","80.4","8","15","53.3","0","0.5","0.4","-0.5","8","7","2","1","13",
"Michael Keane","engENG","DF","Everton","engPremier League","24","1993","28.4","905","1170","77.4","19215","7605","270","330","81.8","481","552","87.1","149","258","57.8","1","0.5","0.4","+0.5","4","76","4","0","83",
"Thilo Kehrer","deGER","DF","Schalke 04","deBundesliga","20","1996","26.3","1018","1230","82.8","20010","7355","329","370","88.9","575","657","87.5","108","181","59.7","0","0.4","0.4","-0.4","11","65","0","0","96",
"Cheick Keita","mlMLI","DF","Bologna","itSerie A","21","1996","1.4","29","33","87.9","353","86","23","25","92.0","6","7","85.7","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Naby Keïta","gnGUI","MF","RB Leipzig","deBundesliga","22","1995","21.8","995","1242","80.1","14152","4723","572","659","86.8","295","364","81.0","63","97","64.9","5","4.2","3.4","+0.8","38","101","39","5","148",
"Keko","esESP","MF,FW","Málaga","esLa Liga","25","1991","13.4","271","395","68.6","4039","1025","164","197","83.2","74","113","65.5","20","42","47.6","2","1.8","1.1","+0.2","14","18","11","7","29",
"Martin Kelly","engENG","DF","Crystal Palace","engPremier League","27","1990","13.3","284","394","72.1","5365","2459","124","142","87.3","121","151","80.1","35","87","40.2","0","0.1","0.2","-0.1","2","19","0","0","16",
"Marc-Oliver Kempf","deGER","DF","Freiburg","deBundesliga","22","1995","10.0","412","516","79.8","8957","3502","101","112","90.2","240","273","87.9","68","123","55.3","1","1.0","0.4","0.0","4","28","2","0","35",
"Kenedy","brBRA","MF,DF","Newcastle Utd","engPremier League","21","1996","11.4","297","408","72.8","4218","1296","174","208","83.7","84","119","70.6","20","41","48.8","2","1.7","1.8","+0.3","13","14","12","6","21",
"Jonjoe Kenny","engENG","DF","Everton","engPremier League","20","1997","17.7","576","849","67.8","9944","4622","306","352","86.9","187","272","68.8","71","168","42.3","1","1.5","1.3","-0.5","10","54","12","10","48",
"Ryan Kent","engENG","FW,MF","Freiburg","deBundesliga","20","1996","2.7","42","63","66.7","631","147","24","32","75.0","13","24","54.2","4","5","80.0","0","0.1","0.1","-0.1","1","8","0","0","6",
"Christophe Kerbrat","frFRA","DF","Guingamp","frLigue 1","30","1986","36.9","1370","1658","82.6","28582","12444","447","480","93.1","643","730","88.1","244","388","62.9","0","0.1","0.7","-0.1","4","114","2","0","136",
"Franck Kessié","ciCIV","MF","Milan","itSerie A","20","1996","36.3","1479","1802","82.1","24095","6159","736","843","87.3","594","695","85.5","111","166","66.9","1","3.8","4.7","-2.8","44","159","37","9","209",
"Billy Ketkeophomphone","laLAO","MF","Angers","frLigue 1","27","1990","4.9","132","182","72.5","1691","461","85","102","83.3","35","45","77.8","4","16","25.0","0","0.4","0.5","-0.4","4","12","5","0","18",
"Driss Khalid","maMAR","FW","Toulouse","frLigue 1","18","1999","0.3","5","8","62.5","48","11","4","4","100.0","1","3","33.3","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Saîf-Eddine Khaoui","tnTUN","MF,FW","Troyes","frLigue 1","22","1995","21.7","483","746","64.7","7098","3108","273","346","78.9","128","197","65.0","40","106","37.7","2","2.6","2.6","-0.6","31","53","16","1","72",
"Wahbi Khazri","tnTUN","FW,MF","Rennes","frLigue 1","26","1991","21.3","528","729","72.4","8742","1994","270","320","84.4","130","185","70.3","77","126","61.1","2","3.8","3.1","-1.8","33","51","12","4","64",
"Rani Khedira","deGER","MF,DF","Augsburg","deBundesliga","23","1994","25.3","641","860","74.5","11202","4074","237","305","77.7","318","379","83.9","51","103","49.5","1","0.8","1.1","+0.2","10","48","11","2","84",
"Sami Khedira","deGER","MF","Juventus","itSerie A","30","1987","21.2","842","978","86.1","13319","2868","430","478","90.0","327","360","90.8","54","67","80.6","2","1.2","1.3","+0.8","16","58","3","0","83",
"Stefan Kießling","deGER","DF,MF","Leverkusen","deBundesliga","33","1984","0.9","15","27","55.6","180","31","10","18","55.6","4","6","66.7","0","1","0.0","0","0.2","0.1","-0.2","2","1","0","0","0",
"Kiké","esESP","FW","Eibar","esLa Liga","27","1989","27.3","501","709","70.7","6144","781","317","401","79.1","120","174","69.0","14","35","40.0","1","0.6","0.8","+0.4","14","20","6","1","41",
