Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"José Sá","ptPOR","GK","Wolves","engPremier League","32-314","1993","4.0","11","0","1","1","0","7.1","0.44","-3.9","-0.99","23","60","38.3","108","14","41.7","37.0","23","65.2","53.5","46","4","8.7","4","1.00","14.2",
"Brice Samba","frFRA","GK","Rennes","frLigue 1","31-216","1994","13.0","18","3","0","1","0","17.7","0.30","-0.3","-0.02","46","157","29.3","471","55","28.5","31.5","73","31.5","32.3","190","9","4.7","14","1.08","17.0",
"Robert Sánchez","esESP","GK","Chelsea","engPremier League","28-009","1997","11.0","9","0","0","1","0","8.1","0.29","-0.9","-0.08","45","174","25.9","415","54","34.7","34.0","43","69.8","55.0","119","19","16.0","9","0.81","12.5",
"Kauã Santos","brBRA","GK","Eint Frankfurt","deBundesliga","22-230","2003","4.0","13","0","1","2","0","9.2","0.45","-3.8","-0.94","7","53","13.2","142","19","31.0","31.9","20","45.0","39.9","38","3","7.9","5","1.25","15.3",
"Razvan Sava","roROU","GK","Udinese","itSerie A","23-159","2002","6.0","9","0","0","1","0","6.9","0.33","-2.1","-0.35","14","47","29.8","141","20","24.8","29.4","31","38.7","37.2","71","1","1.4","6","1.00","18.2",
"Marvin Schwäbe","deGER","GK","Köln","deBundesliga","30-216","1995","11.0","19","3","2","5","0","20.4","0.32","+1.4","+0.13","102","251","40.6","426","33","40.8","36.4","95","81.1","58.2","195","4","2.1","9","0.82","14.5",
"Matz Sels","beBEL","GK","Nott'ham Forest","engPremier League","33-274","1992","12.0","20","3","1","5","0","19.7","0.29","-0.3","-0.02","53","181","29.3","266","42","54.9","40.6","78","44.9","38.7","172","8","4.7","11","0.92","13.8",
"Adrian Šemper","hrCRO","GK","Pisa","itSerie A","27-319","1998","12.0","16","0","1","2","0","14.9","0.26","-1.1","-0.09","92","220","41.8","337","41","51.0","39.2","68","70.6","51.7","182","12","6.6","2","0.17","8.3",
"Marco Silvestri","itITA","GK","Cremonese","itSerie A","34-270","1991","4.0","7","0","0","1","0","7.0","0.32","0.0","+0.01","21","72","29.2","113","17","44.2","36.9","44","50.0","43.5","70","2","2.9","3","0.75","12.5",
"Unai Simón","esESP","GK","Athletic Club","esLa Liga","28-169","1997","13.0","17","0","0","2","1","15.7","0.34","-0.3","-0.02","52","185","28.1","367","57","37.6","34.3","62","75.8","57.0","148","11","7.4","30","2.31","18.4",
