Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","32","1988","31.3","9","1","1","31","24","2","32","76","32","0","0","0","227","62","25","71.3",
"Ragnar Ache","deGER","FW,DF","Eint Frankfurt","deBundesliga","22","1998","1.1","1","0","0","5","1","1","1","1","0","0","0","0","3","9","7","56.3",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","28","1991","25.9","5","0","0","45","32","2","119","23","42","0","2","0","160","20","33","37.7",
"Che Adams","sctSCO","FW","Southampton","engPremier League","24","1996","29.6","1","0","0","30","55","19","6","4","16","0","0","0","84","53","133","28.5",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","21","1999","20.6","3","0","0","29","29","2","19","29","24","0","0","0","169","21","13","61.8",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","27","1993","5.3","2","0","0","5","8","3","10","6","4","0","0","0","20","11","11","50.0",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","22","1997","32.8","1","0","0","16","6","2","2","42","19","0","1","1","143","82","38","68.3",
"Bobby Adekanye","nlNED","FW,MF","Cádiz","esLa Liga","21","1999","0.4","0","0","0","1","0","0","2","0","0","0","0","0","2","0","0","",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","20","2000","26.9","6","0","0","39","37","0","53","39","37","0","0","0","172","27","27","50.0",
"Andrea Adorante","itITA","FW","Parma","itSerie A","20","2000","0.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.0",
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3.0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","100.0",
"Martin Agirregabiria","esESP","DF,MF","Alavés","esLa Liga","24","1996","17.3","1","0","0","23","23","1","32","27","18","0","0","0","81","19","22","46.3",
"Lucien Agoume","frFRA","MF","Spezia","itSerie A","18","2002","8.9","2","0","0","17","8","0","1","15","10","0","0","0","75","12","2","85.7",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","20","1999","7.8","0","0","0","5","26","1","12","12","9","0","0","0","45","13","11","54.2",
"Kevin Agudelo","coCOL","FW","Spezia","itSerie A","21","1998","15.1","4","0","0","20","32","2","11","10","28","0","0","0","60","16","34","32.0",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","24","1996","35.0","6","0","0","22","29","2","1","47","30","0","1","0","197","121","71","63.0",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","32","1988","6.2","0","0","0","2","7","1","1","2","1","0","0","0","12","2","4","33.3",
"Ruben Aguilar","frFRA","DF,MF","Monaco","frLigue 1","27","1993","24.7","6","0","0","39","36","1","118","47","37","1","0","0","139","46","38","54.8",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","18","2002","2.8","2","1","0","6","9","0","0","1","1","0","1","0","16","0","1","0.0",
"Matteo Ahlinvi","bjBEN","MF","Nîmes","frLigue 1","21","1999","10.0","0","0","0","17","15","1","6","2","20","0","1","0","57","8","13","38.1",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","26","1994","23.8","9","0","0","50","32","0","8","53","25","0","0","0","165","40","30","57.1",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","26","1994","0.4","0","0","0","0","1","0","0","1","0","0","0","0","2","1","0","100.0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","24","1995","14.3","3","0","0","13","13","1","1","25","17","0","0","0","89","42","40","51.2",
"Ola Aina","ngNGA","DF","Fulham","engPremier League","23","1996","29.6","3","0","0","32","25","2","52","45","20","0","0","0","147","31","36","46.3",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","19","2001","15.6","1","0","0","15","19","1","61","15","16","0","1","0","86","5","23","17.9",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","19","2001","2.1","0","0","0","2","3","0","4","4","2","0","0","0","8","1","3","25.0",
"Semi Ajayi","ngNGA","DF","West Brom","engPremier League","26","1993","30.9","3","1","0","28","4","1","7","42","14","0","2","0","161","74","54","57.8",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","26","1994","33.0","5","0","0","38","46","12","27","11","18","2","0","0","67","166","133","55.5",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","25","1995","26.1","4","0","0","22","18","0","2","49","22","1","1","0","148","46","30","60.5",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","27","1993","9.6","3","1","1","10","4","0","18","19","14","0","0","0","49","14","3","82.4",
"Marley Aké","frFRA","FW","Marseille","frLigue 1","19","2001","1.6","0","0","0","6","5","0","2","0","3","0","0","0","7","4","6","40.0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","25","1995","8.9","4","0","0","8","4","0","1","9","5","0","1","0","30","24","17","58.5",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","22","1997","4.2","5","1","1","11","2","0","2","6","8","0","0","0","29","10","8","55.6",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","27","1992","11.7","9","0","0","31","12","0","4","18","25","0","0","0","70","9","9","50.0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","25","1995","13.2","1","0","0","15","16","0","8","13","12","0","0","0","69","21","28","42.9",
"David Alaba","atAUT","DF,MF","Bayern Munich","deBundesliga","28","1992","29.7","4","0","0","19","10","0","37","43","21","0","0","0","189","19","18","51.4",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","22","1998","16.7","4","0","0","25","26","1","19","21","33","1","1","0","106","7","13","35.0",
"Jony Álamo","esESP","MF","Elche","esLa Liga","18","2001","0.8","0","0","0","0","2","0","0","1","1","0","0","0","7","0","1","0.0",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","27","1992","13.8","2","0","0","17","17","11","0","2","2","0","0","0","29","38","69","35.5",
"Jordi Alba","esESP","DF,FW","Barcelona","esLa Liga","31","1989","33.6","9","0","0","20","15","10","119","49","30","0","0","1","218","4","8","33.3",
"Luis Alberto","esESP","MF","Lazio","itSerie A","27","1992","29.1","5","0","0","19","36","2","150","13","24","0","0","0","209","10","12","45.5",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","34","1985","34.6","7","0","0","13","16","1","6","22","15","0","0","0","175","65","42","60.7",
"Marc Albrighton","engENG","DF,FW","Leicester City","engPremier League","30","1989","19.4","2","0","0","9","19","4","118","17","19","0","0","0","138","10","36","21.7",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","26","1993","17.2","0","0","0","7","8","17","3","9","3","0","0","0","31","13","44","22.8",
"Pedro Alcalá","esESP","DF","Cádiz","esLa Liga","31","1989","10.1","2","0","0","12","4","1","0","16","4","0","0","1","34","17","26","39.5",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","29","1991","20.6","4","0","0","48","25","0","7","30","36","0","1","0","153","31","31","50.0",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","29","1991","24.1","10","0","0","47","44","0","10","31","29","0","0","0","153","52","46","53.1",
"Omar Alderete","pyPAR","DF","Hertha BSC","deBundesliga","23","1996","14.4","2","0","0","22","5","0","2","21","10","0","0","0","68","32","29","52.5",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","31","1989","24.9","2","0","0","17","3","0","1","10","22","0","1","1","117","45","35","56.3",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","25","1995","9.2","5","0","0","29","22","4","63","3","10","0","0","0","42","13","9","59.1",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","22","1998","0.5","1","0","0","4","0","0","0","0","0","0","0","0","1","1","1","50.0",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","22","1998","15.2","1","0","0","20","26","0","60","2","10","0","0","0","75","14","34","29.2",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","21","1998","33.7","2","0","0","21","9","5","297","49","33","0","1","0","258","8","23","25.8",
"Alfon","esESP","MF","Celta Vigo","esLa Liga","21","1999","0.4","0","0","0","0","4","0","0","0","0","0","0","0","2","0","2","0.0",
"Mohamed Ali Cho","frFRA","FW,MF","Angers","frLigue 1","16","2004","3.9","1","0","0","8","8","0","11","3","7","0","0","0","20","7","9","43.8",
"Ezgjan Alioski","mkMKD","DF,MF","Leeds United","engPremier League","28","1992","27.3","7","0","0","39","44","6","62","23","31","0","2","0","146","39","44","47.0",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","28","1992","0.2","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33.0","1","0","0","1","6","0","0","2","2","0","1","0","74","12","1","92.3",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12.0","2","0","0","2","1","0","0","0","0","0","1","0","14","3","1","75.0",
"Allan","brBRA","MF","Everton","engPremier League","29","1991","22.8","6","0","0","37","30","0","4","19","45","0","0","0","187","4","11","26.7",
"Dele Alli","engENG","MF","Tottenham","engPremier League","24","1996","6.9","0","0","0","10","12","1","10","7","11","0","0","0","50","8","11","42.1",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","26","1994","27.0","3","0","0","18","39","6","39","25","29","0","0","0","163","8","17","32.0",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","29","1990","10.7","2","0","0","13","12","2","24","12","3","0","0","0","59","23","15","60.5",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","28","1992","17.4","3","0","0","38","16","0","9","22","25","0","0","0","103","45","45","50.0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","25","1995","21.6","6","0","0","20","15","1","5","53","12","0","0","0","126","58","45","56.3",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","38","1981","18.1","3","0","0","20","9","1","8","26","10","0","0","0","74","43","5","89.6",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","21","1998","10.0","2","0","0","20","6","1","3","8","8","0","0","0","46","7","12","36.8",
"Ibrahim Amadou","frFRA","MF","Angers","frLigue 1","27","1993","16.7","6","0","0","34","5","0","4","23","26","0","0","0","98","19","17","52.8",
"Romain Amalfitano","frFRA","FW,DF","Dijon","frLigue 1","30","1989","1.3","0","0","0","2","1","0","5","1","2","0","0","0","6","1","1","50.0",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","18","2001","0.5","0","0","0","0","0","0","1","2","0","0","0","0","2","0","0","",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","25","1994","8.0","3","0","0","3","1","0","1","12","7","0","0","0","60","19","16","54.3",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","26","1994","9.0","3","1","0","13","14","0","10","27","9","1","0","0","46","23","11","67.6",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","23","1997","8.4","4","0","0","22","9","3","19","2","4","0","0","0","33","21","29","42.0",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","14","2005","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","23","1996","21.0","5","0","0","21","26","4","68","12","7","0","0","0","109","4","21","16.0",
"Ethan Ampadu","wlsWAL","DF,MF","Sheffield Utd","engPremier League","19","2000","23.2","3","0","0","25","25","1","19","49","36","0","1","1","114","52","29","64.2",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","23","1996","27.1","7","0","0","59","44","0","16","23","22","0","0","0","188","18","26","40.9",
"Jon Ander Garrido","esESP","MF","Cádiz","esLa Liga","30","1989","8.9","1","0","0","13","6","0","2","14","10","1","0","0","45","22","26","45.8",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","24","1996","30.3","7","1","0","39","15","1","12","44","19","0","2","0","172","98","44","69.0",
"Joachim Andersen","dkDEN","DF","Lyon","frLigue 1","24","1996","2.1","1","0","0","5","2","0","0","2","1","0","0","0","10","4","0","100.0",
"Djavan Anderson","srSUR","DF","Lazio","itSerie A","25","1995","0.8","0","0","0","1","1","0","2","1","0","0","0","0","4","0","0","",
"Elliot Anderson","engENG","MF","Newcastle Utd","engPremier League","17","2002","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Felipe Anderson","brBRA","FW,MF","West Ham","engPremier League","27","1993","0.0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","29","1991","12.5","1","0","0","21","7","7","2","2","2","1","0","0","23","79","63","55.6",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2.0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","",
"Benjamin André","frFRA","MF","Lille","frLigue 1","29","1990","32.1","10","0","0","70","53","0","14","76","68","0","0","0","276","84","83","50.3",
"Marcos André","brBRA","FW","Valladolid","esLa Liga","23","1996","13.1","3","0","0","25","26","7","9","2","2","1","0","0","29","40","84","32.3",
"Robert Andrich","deGER","MF","Union Berlin","deBundesliga","25","1994","28.1","5","1","0","50","34","2","17","51","24","0","0","1","176","46","25","64.8",
"Victorien Angban","ciCIV","MF","Metz","frLigue 1","23","1996","18.6","5","0","0","27","27","0","9","19","24","0","0","0","132","13","18","41.9",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1.0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","100.0",
"José Ángel","esESP","DF","Eibar","esLa Liga","30","1989","10.0","3","0","0","8","4","0","59","13","8","0","0","0","81","17","12","58.6",
"Miguel Ángel Rubio","esESP","DF","Valladolid","esLa Liga","22","1998","1.5","0","0","0","2","1","1","0","3","0","0","0","0","10","9","8","52.9",
"Angeliño","esESP","DF,FW","RB Leipzig","deBundesliga","23","1997","24.0","2","0","0","22","27","7","184","30","19","0","0","0","110","12","22","35.3",
"Davide Angelo Ghislandi","itITA","DF","Atalanta","itSerie A","19","2001","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0",
"Philip Ankhrah","ghGHA","MF","Hellas Verona","itSerie A","17","2002","0.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","",
"Cristian Ansaldi","arARG","DF,FW","Torino","itSerie A","33","1986","21.6","1","0","0","24","22","0","177","16","33","0","1","0","99","7","14","33.3",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","24","1996","30.1","3","0","0","24","34","1","11","47","20","0","1","0","228","50","34","59.5",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","30","1990","21.9","3","0","0","29","40","15","31","7","4","1","0","0","51","71","88","44.7",
"José Antonio Miranda","gqEQG","MF,DF","Getafe","esLa Liga","22","1998","0.3","1","0","0","2","2","0","2","0","0","0","0","0","1","2","0","100.0",
"Valentin Antov","bgBUL","DF","Bologna","itSerie A","19","2000","2.6","1","0","0","2","2","0","0","4","2","0","0","0","11","3","5","37.5",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","22","1998","19.8","3","1","0","20","23","3","19","17","12","0","0","0","90","4","17","19.0",
"Adil Aouchiche","frFRA","MF,FW","Saint-Étienne","frLigue 1","18","2002","19.2","2","0","0","20","31","0","130","10","20","0","0","0","100","13","28","31.7",
"Dennis Appiah","frFRA","DF","Nantes","frLigue 1","28","1992","17.3","3","0","0","16","3","1","46","25","34","0","1","0","99","30","23","56.6",
"Aritz Arambarri","esESP","DF","Real Sociedad","esLa Liga","22","1998","0.3","0","0","0","0","0","0","0","0","1","0","0","0","2","1","1","50.0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","24","1995","33.1","11","0","0","58","73","1","123","42","39","0","0","0","204","54","53","50.5",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","31","1989","18.5","4","0","0","31","25","0","4","33","23","0","0","0","122","10","16","38.5",
"Luiz Araújo","brBRA","MF","Lille","frLigue 1","24","1996","16.6","5","0","0","24","18","0","27","11","25","0","0","0","88","10","20","33.3",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","28","1991","27.0","5","0","0","30","4","0","2","43","16","0","0","0","134","61","46","57.0",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","21","1999","16.8","3","0","0","12","17","2","0","20","11","1","1","0","104","51","22","69.9",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","33","1987","31.2","8","0","0","36","13","0","43","69","26","0","2","0","245","68","53","56.2",
"Alphonse Areola","frFRA","GK","Fulham","engPremier League","27","1993","36.0","2","0","0","0","5","0","0","1","0","0","0","0","36","13","1","92.9",
"Santiago Arias","coCOL","DF","Leverkusen","deBundesliga","28","1992","1.0","0","0","0","1","0","0","2","1","1","0","0","0","6","0","3","0.0",
"Karim Aribi","dzALG","FW","Nîmes","frLigue 1","26","1994","3.3","0","0","0","2","2","0","2","0","2","1","0","0","7","12","39","23.5",
"Unai Arietaleanizbeaskoa","esESP","FW,MF","Eibar","esLa Liga","21","1999","0.5","1","0","0","3","1","1","0","0","0","0","0","0","1","0","3","0.0",
"Nicolò Armini","itITA","DF","Lazio","itSerie A","19","2001","0.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0.0",
"Stuart Armstrong","sctSCO","MF","Southampton","engPremier League","28","1992","30.7","3","0","0","34","35","4","40","24","41","0","0","0","175","8","17","32.0",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","26","1994","28.7","7","1","0","39","62","0","139","49","32","0","1","0","240","39","27","59.1",
"Tolu Arokodare","ngNGA","FW,MF","Köln","deBundesliga","19","2000","1.2","0","0","0","1","1","2","1","1","1","0","0","0","9","9","13","40.9",
"Sergio Arribas","esESP","MF,FW","Real Madrid","esLa Liga","18","2001","1.5","1","0","0","1","2","2","1","4","1","0","0","0","11","2","2","50.0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","25","1994","6.5","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","",
"Tolgay Arslan","deGER","MF","Udinese","itSerie A","29","1990","20.2","9","0","0","38","45","0","13","22","32","0","1","0","139","11","9","55.0",
"Kwadwo Asamoah","ghGHA","DF,MF","Cagliari","itSerie A","31","1988","2.5","0","0","0","0","4","0","7","4","3","0","0","0","20","2","1","66.7",
"Santiago Ascacíbar","arARG","MF","Hertha BSC","deBundesliga","23","1997","8.5","2","0","0","10","4","0","4","13","15","0","0","0","64","9","8","52.9",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","31","1989","36.0","2","0","0","1","2","0","0","0","0","0","1","0","40","7","0","100.0",
"Marco Asensio","esESP","FW,MF","Real Madrid","esLa Liga","24","1996","20.8","1","0","0","6","28","6","97","11","6","0","0","0","84","10","7","58.8",
"Kristoffer Askildsen","noNOR","MF","Sampdoria","itSerie A","19","2001","1.1","2","0","0","3","1","0","1","3","0","0","0","0","5","1","1","50.0",
"Iago Aspas","esESP","FW","Celta Vigo","esLa Liga","32","1987","31.8","9","0","0","24","53","13","28","16","3","0","1","0","113","16","45","26.2",
"Roger Assalé","ciCIV","FW,MF","Dijon","frLigue 1","26","1993","9.2","0","1","0","12","27","6","6","2","8","1","0","0","24","5","16","23.8",
"Youcef Atal","dzALG","DF,FW","Nice","frLigue 1","24","1996","10.6","1","0","0","18","27","7","51","26","12","0","0","0","63","8","20","28.6",
"Miguel Atienza","esESP","MF","Eibar","esLa Liga","21","1999","9.3","1","0","0","10","2","0","4","9","9","0","0","0","57","25","16","61.0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Arsenal","engPremier League","31","1989","25.9","2","0","0","13","18","17","38","7","8","0","0","1","65","34","58","37.0",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","23","1997","37.0","0","0","0","0","6","0","0","1","1","0","0","0","61","6","0","100.0",
"Tommaso Augello","itITA","DF","Sampdoria","itSerie A","25","1994","35.7","2","1","0","13","25","2","148","32","30","0","0","0","214","41","30","57.7",
"Jean-Kévin Augustin","frFRA","FW","Nantes","frLigue 1","23","1997","0.4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0.0",
"Ludwig Augustinsson","seSWE","DF,FW","Werder Bremen","deBundesliga","26","1994","21.7","4","0","0","15","25","3","193","20","20","0","1","1","78","46","24","65.7",
"Serge Aurier","ciCIV","DF","Tottenham","engPremier League","27","1992","17.8","0","0","0","23","15","1","35","19","33","0","1","0","111","36","40","47.4",
"Charlie Austin","engENG","FW,MF","West Brom","engPremier League","31","1989","1.5","0","0","0","0","2","1","0","3","2","0","0","0","4","6","13","31.6",
"Ezequiel Ávila","arARG","FW,MF","Osasuna","esLa Liga","26","1994","2.2","0","0","0","4","5","2","2","1","2","0","0","0","9","3","6","33.3",
"Taiwo Awoniyi","ngNGA","FW","Union Berlin","deBundesliga","22","1997","15.1","0","0","0","22","20","15","4","3","3","1","0","0","44","33","76","30.3",
"Mehmet Aydin","deGER","DF","Schalke 04","deBundesliga","18","2002","5.6","0","0","0","9","6","1","10","6","7","0","0","0","22","13","13","50.0",
"Jordan Ayew","ghGHA","FW,MF","Crystal Palace","engPremier League","28","1991","23.3","4","0","0","45","63","5","31","16","26","0","0","0","108","29","94","23.6",
"Kaan Ayhan","trTUR","DF","Sassuolo","itSerie A","25","1994","8.8","3","0","0","8","2","0","3","16","9","0","0","0","37","12","22","35.3",
"Luke Ayling","engENG","DF","Leeds United","engPremier League","28","1991","37.8","7","0","0","29","54","2","82","36","61","0","1","0","279","65","65","50.0",
"Ramon Azeez","ngNGA","MF","Granada","esLa Liga","27","1992","1.1","0","0","0","1","1","0","1","1","1","0","0","0","4","4","0","100.0",
"César Azpilicueta","esESP","DF","Chelsea","engPremier League","30","1989","24.3","5","1","0","32","14","5","37","28","28","0","0","0","131","55","44","55.6",
"Ludovic Baal","gfGUF","DF,MF","Brest","frLigue 1","34","1986","3.3","0","0","0","3","7","0","2","5","5","0","0","0","24","8","7","53.3",
"Carlos Bacca","coCOL","FW","Villarreal","esLa Liga","33","1986","8.7","1","0","0","10","6","6","7","3","5","0","0","0","19","9","13","40.9",
"Loïc Bade","frFRA","DF","Lens","frLigue 1","20","2000","29.0","11","1","1","44","16","1","5","74","34","0","1","0","212","112","62","64.4",
"Milan Badelj","hrCRO","MF","Genoa","itSerie A","31","1989","26.8","7","0","0","34","33","1","15","87","27","1","0","0","228","16","12","57.1",
"Édgar Badía","esESP","GK","Elche","esLa Liga","28","1992","30.0","0","0","0","0","3","0","0","0","0","0","0","0","50","6","2","75.0",
"Benoît Badiashile","frFRA","DF","Monaco","frLigue 1","19","2001","31.9","5","0","0","32","15","2","3","58","17","0","0","0","193","108","40","73.0",
"Alex Baena","esESP","MF","Villarreal","esLa Liga","19","2001","1.5","0","0","0","2","4","0","4","1","3","0","0","0","3","0","2","0.0",
"Miguel Baeza","esESP","MF,FW","Celta Vigo","esLa Liga","20","2000","6.0","0","0","0","5","8","2","12","3","6","0","0","0","21","8","10","44.4",
"Stéphane Bahoken","cmCMR","FW","Angers","frLigue 1","28","1992","18.0","4","0","0","31","29","17","20","9","6","0","0","0","40","26","55","32.1",
"Leon Bailey","jmJAM","FW,MF","Leverkusen","deBundesliga","22","1997","23.8","6","0","0","24","43","15","155","9","8","0","0","0","107","18","29","38.3",
"Eric Bailly","ciCIV","DF","Manchester Utd","engPremier League","26","1994","10.2","3","0","0","10","4","0","0","13","5","0","0","0","73","24","17","58.5",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","18","2001","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Tiemoué Bakayoko","frFRA","MF","Napoli","itSerie A","25","1994","21.8","6","1","1","36","52","1","2","36","41","1","0","0","129","44","34","56.4",
"Mitchel Bakker","nlNED","DF","Paris S-G","frLigue 1","20","2000","18.8","1","0","0","16","9","3","51","22","30","0","0","0","124","23","13","63.9",
"Ridle Baku","deGER","FW,DF","Wolfsburg","deBundesliga","22","1998","29.8","1","0","0","33","39","10","102","40","31","0","0","0","173","16","48","25.0",
"Ridle Baku","deGER","DF","Mainz 05","deBundesliga","22","1998","2.0","0","0","0","1","5","0","6","3","2","0","0","0","14","1","1","50.0",
"Dilane Bakwa","frFRA","FW,MF","Bordeaux","frLigue 1","17","2002","0.6","0","0","0","1","6","0","0","1","2","0","0","0","6","1","2","33.3",
"Fabián Balbuena","pyPAR","DF","West Ham","engPremier League","28","1991","13.3","1","1","0","12","3","0","3","25","12","0","0","0","73","21","17","55.3",
"Keita Baldé","snSEN","FW","Sampdoria","itSerie A","25","1995","13.3","4","1","0","32","35","4","8","0","6","1","1","0","25","20","41","32.8",
"George Baldock","grGRE","DF","Sheffield Utd","engPremier League","27","1993","31.0","7","0","0","46","21","10","62","25","34","0","0","0","127","26","28","48.1",
"Gareth Bale","wlsWAL","FW","Tottenham","engPremier League","31","1989","10.2","1","0","0","9","9","5","40","8","10","0","0","0","38","23","11","67.6",
"Mikel Balenziaga","esESP","DF","Athletic Club","esLa Liga","32","1988","18.8","0","0","0","17","15","1","44","7","15","0","0","0","84","14","16","46.7",
"Leonardo Balerdi","arARG","DF","Marseille","frLigue 1","21","1999","18.2","6","1","0","31","27","2","1","28","18","0","0","0","129","35","42","45.5",
