Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","17","2006","0.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","31","1991","14.4","7","0","0","18","17","1","82","4","21","0","0","0","99","13","11","54.2",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","23","2000","25.0","2","0","0","39","22","26","12","5","4","0","0","0","55","54","69","43.9",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","24","1999","1.3","0","0","0","0","3","0","1","4","3","0","0","0","7","2","3","40.0",
"Junior Adamu","atAUT","FW,MF","Freiburg","deBundesliga","22","2001","1.2","0","0","0","7","4","2","1","0","1","0","0","0","10","5","6","45.5",
"Sargis Adamyan","amARM","FW,MF","Köln","deBundesliga","30","1993","8.9","2","0","0","18","13","8","4","5","9","1","0","0","30","14","37","27.5",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","25","1997","18.0","2","0","0","10","5","0","1","25","11","0","0","0","43","56","28","66.7",
"Elijah Adebayo","engENG","FW","Luton Town","engPremier League","25","1998","15.8","1","0","0","27","16","13","5","6","1","0","0","0","34","43","43","50.0",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","21","2002","10.1","6","1","1","20","19","1","25","3","14","0","0","0","60","14","9","60.9",
"Simon Adingra","ciCIV","FW","Brighton","engPremier League","21","2002","24.7","3","0","0","29","19","17","76","19","20","1","0","0","118","8","12","40.0",
"Nathaniel Adjei","ghGHA","DF","Lorient","frLigue 1","20","2002","13.8","2","0","0","10","12","2","2","18","9","0","0","0","60","30","22","57.7",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","23","2000","10.0","5","0","0","14","28","7","23","6","7","0","0","0","36","21","22","48.8",
"Yacine Adli","frFRA","MF","Milan","itSerie A","23","2000","15.6","3","0","0","26","9","1","50","20","17","0","1","0","94","15","10","60.0",
"Adryelson","brBRA","DF,FW","Lyon","frLigue 1","25","1998","0.1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","",
"Adson","brBRA","MF,FW","Nantes","frLigue 1","22","2000","2.6","0","0","0","4","4","0","2","2","6","0","0","0","11","0","2","0.0",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","26","1997","24.8","8","0","0","37","30","0","12","12","20","0","0","0","135","11","16","40.7",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","26","1997","28.8","1","0","0","31","10","2","6","55","41","0","3","0","217","45","32","58.4",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","22","2000","2.6","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","100.0",
"Lucien Agoume","frFRA","MF","Inter","itSerie A","21","2002","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","21","2002","8.6","3","0","0","19","2","0","2","7","18","0","0","0","48","9","7","56.3",
"Felix Agu","ngNGA","DF,MF","Werder Bremen","deBundesliga","23","1999","17.9","2","0","0","15","44","2","46","13","29","3","0","0","71","15","24","38.5",
"Nayef Aguerd","maMAR","DF","West Ham","engPremier League","27","1996","20.6","3","1","1","10","6","0","5","17","14","0","1","0","102","48","32","60.0",
"Ruben Aguilar","frFRA","DF","Lens","frLigue 1","30","1993","21.4","3","0","0","20","24","3","75","26","31","0","1","0","106","24","23","51.1",
"Brandon Aguilera","crCRC","FW","Nott'ham Forest","engPremier League","20","2003","0.1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","",
"Naouirou Ahamada","frFRA","MF,FW","Crystal Palace","engPremier League","21","2002","3.9","4","1","1","9","6","1","6","2","9","0","0","0","30","3","3","50.0",
"Anel Ahmedhodžić","baBIH","DF","Sheffield Utd","engPremier League","24","1999","29.4","11","1","1","34","13","2","6","34","36","0","0","0","106","52","36","59.1",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","27","1995","4.5","0","0","0","4","0","0","0","4","3","0","0","0","22","14","9","60.9",
"Ola Aina","ngNGA","DF","Nott'ham Forest","engPremier League","26","1996","18.8","3","0","0","18","25","2","28","18","31","0","1","0","97","17","12","58.6",
"Rayan Aït-Nouri","dzALG","DF,MF","Wolves","engPremier League","22","2001","25.9","7","0","0","25","53","8","41","15","44","1","1","0","136","21","25","45.7",
"Tosin Aiyegun","bjBEN","MF,FW","Lorient","frLigue 1","25","1998","10.0","0","1","0","13","16","3","8","2","4","1","0","0","33","6","10","37.5",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","25","1998","20.4","5","0","0","25","10","1","22","25","21","0","0","0","60","63","23","73.3",
"Ludovic Ajorque","frFRA","FW","Mainz 05","deBundesliga","29","1994","15.1","4","0","0","28","15","5","3","4","2","0","0","0","49","78","91","46.2",
"Manuel Akanji","chSUI","DF,MF","Manchester City","engPremier League","28","1995","27.9","4","1","1","17","19","0","9","23","28","0","0","0","142","27","27","50.0",
"Marley Aké","frFRA","FW","Udinese","itSerie A","22","2001","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","28","1995","22.7","0","0","0","10","18","0","11","14","16","0","0","0","119","46","28","62.2",
"Ilias Akhomach","maMAR","MF,FW","Villarreal","esLa Liga","19","2004","16.8","4","0","0","41","35","4","29","13","21","0","0","0","70","3","7","30.0",
"Sergio Akieme","esESP","DF","Almería","esLa Liga","25","1997","18.6","2","0","0","18","17","1","57","10","15","0","2","0","99","10","15","40.0",
"Sergio Akieme","esESP","DF","Reims","frLigue 1","25","1997","9.1","2","0","0","17","10","0","21","10","5","0","0","0","40","6","4","60.0",
"Ebenezer Akinsanmiro","ngNGA","MF","Inter","itSerie A","18","2004","0.2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","21","2002","17.9","5","0","0","33","31","1","54","9","23","0","0","0","110","4","19","17.4",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","25","1997","0.3","0","0","0","1","1","0","0","1","3","0","0","0","0","0","0","",
"Paul Akouokou","ciCIV","MF","Lyon","frLigue 1","25","1997","3.4","1","0","0","9","3","0","0","6","9","0","0","0","25","8","5","61.5",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Monza","itSerie A","30","1992","7.8","5","0","0","15","5","0","1","12","11","0","1","0","29","5","7","41.7",
"David Akpan Ankeye","ngNGA","FW","Genoa","itSerie A","21","2002","0.6","0","0","0","2","1","0","1","0","0","0","0","0","4","0","1","0.0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","28","1995","12.2","7","0","0","15","14","0","4","18","18","0","1","0","60","25","21","54.3",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","31","1992","12.8","2","0","0","4","0","0","17","15","9","0","0","1","63","10","9","52.6",
"Luis Alberto","esESP","MF","Lazio","itSerie A","30","1992","25.7","7","0","0","16","23","6","150","7","20","0","0","0","140","10","19","34.5",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","37","1985","22.6","6","0","0","21","8","1","0","16","14","0","0","0","75","46","29","61.3",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","32","1991","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Carlos Alcaraz","arARG","MF","Juventus","itSerie A","20","2002","4.2","0","0","0","5","5","0","1","5","6","0","0","0","17","2","9","18.2",
"Rubén Alcaraz","esESP","MF","Cádiz","esLa Liga","32","1991","34.8","14","0","0","84","71","1","36","33","59","0","0","0","234","47","49","49.0",
"Omar Alderete","pyPAR","DF","Getafe","esLa Liga","26","1996","24.4","8","1","0","34","11","2","5","13","21","0","0","0","107","55","45","55.0",
"Iván Alejo","esESP","MF","Cádiz","esLa Liga","28","1995","18.8","17","0","0","49","49","9","151","7","23","0","1","0","87","15","18","45.5",
"Carles Aleñá","esESP","MF","Getafe","esLa Liga","25","1998","11.3","6","0","0","22","18","3","33","4","8","0","0","0","53","11","19","36.7",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","24","1998","23.9","6","0","0","9","9","2","168","31","26","0","0","0","176","8","6","57.1",
"Aboubacar Ali","kmCOM","MF,FW","Strasbourg","frLigue 1","17","2006","1.4","0","0","0","4","1","0","6","1","0","0","0","0","5","1","5","16.7",
"Mohamed Ali Cho","frFRA","FW,MF","Real Sociedad","esLa Liga","19","2004","2.8","0","0","0","5","6","3","11","1","3","0","0","0","16","3","6","33.3",
"Mohamed Ali Cho","frFRA","FW","Nice","frLigue 1","19","2004","9.6","2","0","0","17","22","3","44","3","9","1","1","0","30","5","12","29.4",
"Faride Alidou","deGER","FW,MF","Köln","deBundesliga","22","2001","14.2","4","0","0","21","23","3","39","8","4","1","1","0","57","18","28","39.1",
"Nabil Alioui","frFRA","MF,FW","Le Havre","frLigue 1","24","1999","11.2","1","0","0","10","20","5","54","3","2","0","0","0","36","10","10","50.0",
"Alisson","brBRA","GK","Liverpool","engPremier League","30","1992","28.0","1","0","0","1","5","0","0","0","0","0","0","0","36","6","2","75.0",
"Tadeo Allende","arARG","MF,FW","Celta Vigo","esLa Liga","24","1999","3.7","1","0","0","2","3","3","10","3","1","0","0","0","19","5","4","55.6",
"Jim Allevinah","gaGAB","MF,DF","Clermont Foot","frLigue 1","28","1995","20.7","1","0","0","15","26","1","47","13","18","0","0","0","100","16","26","38.1",
"Domingos André Ribeiro Almeida","ptPOR","FW,MF","Valencia","esLa Liga","23","2000","10.7","0","0","0","12","20","1","18","6","15","0","0","0","43","4","15","21.1",
"Miguel Almirón","pyPAR","FW","Newcastle Utd","engPremier League","29","1994","21.5","2","0","0","16","22","10","24","10","24","0","0","0","97","6","7","46.2",
"Pontus Almqvist","seSWE","FW,MF","Lecce","itSerie A","24","1999","23.4","5","0","0","29","35","1","21","14","29","2","0","0","69","14","22","38.9",
"Marcos Alonso","esESP","DF","Barcelona","esLa Liga","32","1990","2.8","0","0","0","7","6","0","15","4","3","0","0","0","14","2","4","33.3",
"Adrià Altimira","esESP","DF,MF","Villarreal","esLa Liga","22","2001","8.6","3","0","0","12","4","0","5","5","7","0","1","0","42","2","7","22.2",
"Sergi Altimira","esESP","MF","Betis","esLa Liga","21","2001","6.3","1","0","0","8","8","0","1","9","8","0","0","0","41","2","4","33.3",
"Edson Álvarez","mxMEX","MF","West Ham","engPremier League","25","1997","26.4","11","0","0","33","15","1","4","42","39","0","1","0","164","30","34","46.9",
"Gastón Álvarez","uyURU","DF","Getafe","esLa Liga","23","2000","28.2","7","0","0","43","10","1","25","35","37","0","0","0","132","51","30","63.0",
"Hugo Álvarez","esESP","MF,DF","Celta Vigo","esLa Liga","20","2003","8.5","1","0","0","9","9","1","22","5","9","0","0","0","47","5","6","45.5",
"Julián Álvarez","arARG","MF,FW","Manchester City","engPremier League","23","2000","29.4","2","0","0","23","13","2","137","2","13","2","0","0","98","4","24","14.3",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","28","1995","12.8","1","1","0","15","14","0","1","11","9","0","0","0","68","43","15","74.1",
"Skelly Alvero","frFRA","MF","Lyon","frLigue 1","21","2002","4.7","2","0","0","12","3","0","2","2","7","0","1","0","20","9","7","56.3",
"Skelly Alvero","frFRA","MF","Werder Bremen","deBundesliga","21","2002","1.4","1","0","0","2","3","0","0","1","4","0","0","0","9","6","1","85.7",
"Papa Amadou Diallo","snSEN","FW","Metz","frLigue 1","19","2004","9.9","1","0","0","10","11","4","14","11","8","0","0","0","59","30","36","45.5",
"Selim Amallah","maMAR","FW,MF","Valencia","esLa Liga","26","1996","6.7","5","1","1","21","24","1","4","11","12","0","0","0","36","11","15","42.3",
"Amath","snSEN","FW,MF","Mallorca","esLa Liga","27","1996","4.4","2","0","0","10","7","4","7","3","6","1","0","0","21","6","5","54.5",
"Lorenzo Amatucci","itITA","MF","Fiorentina","itSerie A","19","2004","0.2","0","0","0","1","0","0","0","0","0","0","0","0","3","1","1","50.0",
"Jordan Amavi","frFRA","DF","Brest","frLigue 1","29","1994","1.0","1","0","0","2","0","0","1","3","1","0","0","0","7","1","0","100.0",
"Zeki Amdouni","chSUI","FW","Burnley","engPremier League","22","2000","21.7","2","0","0","22","39","2","8","9","18","1","0","0","79","15","56","21.1",
"Kelvin Amian","frFRA","DF","Nantes","frLigue 1","25","1998","8.9","2","0","0","13","3","0","14","7","7","0","0","0","19","6","4","60.0",
"Bruno Amione","arARG","DF","Hellas Verona","itSerie A","21","2002","6.4","2","0","0","10","6","0","1","9","3","0","0","0","39","19","10","65.5",
"Michael Amir Murillo","paPAN","DF","Marseille","frLigue 1","27","1996","11.1","3","0","0","10","10","6","16","11","11","0","0","0","60","15","11","57.7",
"Nadiem Amiri","deGER","MF","Mainz 05","deBundesliga","26","1996","14.6","5","0","0","11","32","1","126","14","14","0","0","0","93","10","5","66.7",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","26","1996","1.0","0","0","0","1","3","0","1","0","2","0","0","0","8","0","0","",
"Kofi Amoako","deGER","MF","Wolfsburg","deBundesliga","18","2005","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Sofyan Amrabat","maMAR","MF,DF","Manchester Utd","engPremier League","26","1996","10.4","6","0","0","24","10","0","7","8","16","0","0","0","60","5","6","45.5",
"Joachim Andersen","dkDEN","DF","Crystal Palace","engPremier League","27","1996","37.9","7","0","0","43","23","1","31","41","35","0","0","0","193","89","46","65.9",
"Elliot Anderson","engENG","MF,FW","Newcastle Utd","engPremier League","20","2002","11.4","3","0","0","21","19","1","19","8","18","0","0","0","60","19","12","61.3",
"Felipe Anderson","brBRA","FW,MF","Lazio","itSerie A","30","1993","30.8","3","0","0","30","36","4","57","27","45","0","0","0","139","15","16","48.4",
"Benjamin André","frFRA","MF","Lille","frLigue 1","32","1990","28.6","8","0","0","51","43","1","19","35","49","0","0","0","195","78","56","58.2",
"Komnen Andrić","rsSRB","FW","Clermont Foot","frLigue 1","28","1995","1.9","0","0","0","2","2","1","1","0","1","0","0","0","4","2","8","20.0",
"Robert Andrich","deGER","MF,DF","Leverkusen","deBundesliga","28","1994","18.8","4","0","0","23","14","0","14","20","18","0","0","0","122","20","22","47.6",
"Miguel Ángel Rubio","esESP","DF","Granada","esLa Liga","25","1998","17.3","5","0","0","20","11","1","0","28","12","0","0","0","77","58","30","65.9",
"Angeliño","esESP","DF","Roma","itSerie A","26","1997","12.7","2","0","0","13","10","1","53","12","11","0","0","1","55","15","9","62.5",
"Ângelo","brBRA","FW,MF","Strasbourg","frLigue 1","18","2004","12.2","1","0","0","12","22","2","42","9","11","1","0","0","82","2","7","22.2",
"Fabrizio Angileri","arARG","DF,MF","Getafe","esLa Liga","29","1994","1.8","2","1","0","1","1","0","8","4","1","0","0","0","15","6","5","54.5",
"Jaidon Anthony","engENG","FW","Bournemouth","engPremier League","23","1999","1.7","1","0","0","4","2","2","2","1","1","0","0","0","11","1","3","25.0",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","27","1996","32.1","7","0","0","25","26","0","14","40","25","1","1","1","203","79","42","65.3",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","33","1990","18.8","6","0","0","25","28","9","27","4","8","0","0","0","55","33","53","38.4",
"Antony","brBRA","FW","Manchester Utd","engPremier League","23","2000","14.7","5","0","0","19","32","2","16","12","21","1","1","0","96","2","21","8.7",
"Christopher Antwi-Adjei","ghGHA","FW,MF","Bochum","deBundesliga","29","1994","13.5","5","0","0","13","17","18","55","2","12","0","0","0","53","11","22","33.3",
"Houssem Aouar","dzALG","MF,FW","Roma","itSerie A","25","1998","8.4","3","0","0","10","11","3","10","4","11","0","0","0","39","10","11","47.6",
"Stredair Appuah","frFRA","FW,MF","Nantes","frLigue 1","19","2004","0.9","0","0","0","1","0","0","2","1","0","0","0","0","4","1","0","100.0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","27","1995","3.8","2","0","0","18","3","0","6","2","2","0","0","0","27","5","8","38.5",
"Jon Aramburu","veVEN","DF","Real Sociedad","esLa Liga","21","2002","6.0","3","0","0","11","5","0","7","7","15","0","0","0","24","7","7","50.0",
"Asaf Arania","ilISR","MF","Darmstadt 98","deBundesliga","17","2005","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Julian Araujo","mxMEX","DF","Las Palmas","esLa Liga","21","2001","16.2","5","0","0","13","9","2","23","10","22","0","0","0","81","29","21","58.0",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","24","1999","22.2","6","0","0","25","9","0","8","12","22","0","1","0","102","60","22","73.2",
"Oliver Arblaster","engENG","MF","Sheffield Utd","engPremier League","19","2004","10.5","2","0","0","10","12","0","7","16","14","0","0","1","52","9","15","37.5",
"Cameron Archer","engENG","FW,MF","Sheffield Utd","engPremier League","22","2001","20.4","1","0","0","14","20","13","5","1","13","0","0","0","62","7","42","14.3",
"Cameron Archer","engENG","MF","Aston Villa","engPremier League","22","2001","0.1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","30","1993","30.0","1","0","0","2","3","0","0","1","1","0","2","1","15","10","1","90.9",
"Adu Ares","esESP","FW","Athletic Club","esLa Liga","21","2001","2.9","2","0","0","5","12","1","11","1","4","0","0","0","15","1","3","25.0",
"Jesús Areso","esESP","DF","Osasuna","esLa Liga","24","1999","29.6","3","0","0","30","20","3","110","18","24","0","0","0","130","28","21","57.1",
"Simone Aresti","itITA","GK","Cagliari","itSerie A","37","1986","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Matias Arezo","uyURU","FW","Granada","esLa Liga","20","2002","4.1","1","0","0","6","1","8","4","1","3","0","0","0","13","11","17","39.3",
"Iñigo Arguibide","esESP","DF","Osasuna","esLa Liga","18","2005","0.2","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","100.0",
"Yoël Armougom","frFRA","DF,MF","Clermont Foot","frLigue 1","25","1998","2.6","1","0","0","1","3","0","14","1","3","0","0","0","6","2","3","40.0",
"José Arnaiz","esESP","FW,MF","Osasuna","esLa Liga","28","1995","10.3","3","0","0","8","19","3","46","3","8","0","0","0","39","11","14","44.0",
"Hákon Arnar Haraldsson","isISL","FW,MF","Lille","frLigue 1","20","2003","14.3","5","0","0","15","28","1","7","3","8","0","0","0","48","1","8","11.1",
"Marko Arnautović","atAUT","FW","Inter","itSerie A","34","1989","8.9","0","0","0","11","15","8","7","5","4","0","0","0","17","4","7","36.4",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","29","1994","27.8","9","0","0","37","46","0","110","24","31","0","0","0","174","14","30","31.8",
"Mohamed El Arouch","frFRA","FW","Lyon","frLigue 1","19","2004","0.0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.0",
"Sergio Arribas","esESP","MF,FW","Almería","esLa Liga","21","2001","22.7","1","0","0","14","42","1","60","16","17","0","0","0","91","19","24","44.2",
"Kepa Arrizabalaga","esESP","GK","Real Madrid","esLa Liga","28","1994","13.3","1","0","0","0","2","0","0","0","0","0","0","0","17","2","0","100.0",
"Arthur","brBRA","DF","Leverkusen","deBundesliga","20","2003","2.0","0","0","0","2","0","0","7","0","3","0","0","0","10","2","3","40.0",
"Takuma Asano","jpJPN","FW,MF","Bochum","deBundesliga","28","1994","22.1","2","0","0","15","22","23","37","4","6","0","0","0","74","15","52","22.4",
"Marco Asensio","esESP","MF,FW","Paris S-G","frLigue 1","27","1996","12.4","0","0","0","8","10","0","52","5","10","0","0","0","43","2","3","40.0",
"Kristjan Asllani","alALB","MF","Inter","itSerie A","21","2002","8.7","1","0","0","4","19","0","35","11","2","0","0","0","57","4","7","36.4",
"Joel Asoro","seSWE","FW,MF","Metz","frLigue 1","24","1999","9.4","2","0","0","18","22","4","19","6","9","1","1","0","32","17","15","53.1",
"Jonathan Asp Jensen","dkDEN","FW","Bayern Munich","deBundesliga","17","2006","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Iago Aspas","esESP","FW","Celta Vigo","esLa Liga","35","1987","30.1","6","1","0","19","59","12","149","10","6","1","0","0","99","7","30","18.9",
"Lorenz Assignon","tgTOG","DF","Burnley","engPremier League","23","2000","13.7","5","1","1","33","16","1","29","19","17","0","2","0","67","13","17","43.3",
"Lorenz Assignon","tgTOG","DF","Rennes","frLigue 1","23","2000","11.2","4","0","0","22","15","1","22","9","12","1","0","0","67","11","17","39.3",
"Youcef Atal","dzALG","DF","Nice","frLigue 1","27","1996","4.0","2","0","0","3","4","0","6","4","3","0","0","0","28","2","2","50.0",
"Valentin Atangana Edoa","frFRA","MF","Reims","frLigue 1","17","2005","6.2","0","0","0","19","8","0","5","6","13","0","0","0","28","8","12","40.0",
"Arthur Atta","frFRA","MF,FW","Metz","frLigue 1","20","2003","10.3","0","0","0","18","12","4","10","10","14","0","0","0","54","11","19","36.7",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","21","2002","34.0","0","0","0","0","3","0","0","0","0","0","0","0","62","7","0","100.0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Marseille","frLigue 1","34","1989","29.1","4","0","0","9","20","21","42","9","14","0","0","0","67","26","39","40.0",
"Emil Audero","idIDN","GK","Inter","itSerie A","26","1997","3.7","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","100.0",
"Tommaso Augello","itITA","DF","Cagliari","itSerie A","28","1994","26.9","5","0","0","15","14","1","153","17","19","0","0","0","147","34","28","54.8",
"Carlos Augusto","brBRA","DF","Inter","itSerie A","24","1999","19.2","1","0","0","17","6","1","40","16","21","0","0","0","74","59","26","69.4",
"Yann Aurel Bisseck","deGER","DF","Inter","itSerie A","22","2000","10.0","0","0","0","6","11","2","5","5","6","0","0","0","37","18","17","51.4",
"Serge Aurier","ciCIV","DF,MF","Nott'ham Forest","engPremier League","30","1992","9.3","2","0","0","8","9","0","22","9","14","0","0","0","50","30","20","60.0",
"Ezequiel Ávila","arARG","FW,MF","Osasuna","esLa Liga","29","1994","9.6","3","2","0","8","20","4","79","4","2","0","0","0","37","10","20","33.3",
"Ezequiel Ávila","arARG","FW","Betis","esLa Liga","29","1994","3.3","4","1","1","3","12","0","12","1","1","0","0","0","9","4","5","44.4",
"Taiwo Awoniyi","ngNGA","FW","Nott'ham Forest","engPremier League","25","1997","11.6","2","0","0","9","16","13","1","1","7","0","0","0","33","21","48","30.4",
"André Ayew","ghGHA","FW","Le Havre","frLigue 1","33","1989","12.3","2","1","0","15","26","4","4","2","11","0","0","0","40","44","62","41.5",
"Jordan Ayew","ghGHA","FW,MF","Crystal Palace","engPremier League","31","1991","28.3","9","1","1","46","94","7","97","16","36","0","0","0","155","33","61","35.1",
"Neil El Aynaoui","maMAR","MF","Lens","frLigue 1","22","2001","17.4","1","0","0","21","40","1","7","32","20","1","0","0","94","15","16","48.4",
"Sardar Azmoun","irIRN","FW,MF","Roma","itSerie A","28","1995","6.5","4","0","0","8","11","2","2","3","5","2","0","0","19","13","15","46.4",
"César Azpilicueta","esESP","DF","Atlético Madrid","esLa Liga","33","1989","15.8","4","0","0","29","12","0","11","16","14","0","0","0","72","21","23","47.7",
"Paulo Azzi","brBRA","DF,MF","Cagliari","itSerie A","29","1994","10.6","1","0","0","5","4","4","48","16","11","0","0","0","59","13","11","54.2",
"Oussama El Azzouzi","maMAR","MF","Bologna","itSerie A","22","2001","6.1","4","0","0","14","7","1","2","6","7","0","0","0","37","5","11","31.3",
"Abdellah Baallal","maMAR","MF","Clermont Foot","frLigue 1","18","2004","0.0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","100.0",
"Iddrisu Baba","ghGHA","MF","Almería","esLa Liga","27","1996","15.9","5","0","0","29","34","0","4","11","26","0","1","0","123","30","17","63.8",
"Srđan Babić","rsSRB","DF","Almería","esLa Liga","27","1996","1.0","0","0","0","2","0","0","0","0","2","0","0","0","4","3","1","75.0",
"Shavy Babicka","gaGAB","FW,MF","Toulouse","frLigue 1","23","2000","4.1","0","0","0","5","4","1","13","0","8","0","0","0","18","5","6","45.5",
"Aliou Badara Baldé","gnGUI","FW,DF","Nice","frLigue 1","20","2002","0.8","0","0","0","2","2","0","4","3","1","0","0","0","6","1","2","33.3",
"Loïc Bade","frFRA","DF","Sevilla","esLa Liga","23","2000","25.3","5","1","0","24","10","1","2","38","41","0","0","0","151","76","38","66.7",
"Milan Badelj","hrCRO","MF","Genoa","itSerie A","34","1989","28.2","6","0","0","24","14","0","14","50","27","0","0","0","177","12","13","48.0",
"Matthias Bader","deGER","DF,MF","Darmstadt 98","deBundesliga","26","1997","20.0","1","0","0","17","41","1","32","25","25","0","0","0","121","11","17","39.3",
"Benoît Badiashile","frFRA","DF","Chelsea","engPremier League","22","2001","14.9","3","0","0","17","6","1","2","18","15","0","1","1","82","28","22","56.0",
"Alex Baena","esESP","MF,FW","Villarreal","esLa Liga","22","2001","28.7","11","1","0","52","57","8","175","13","21","1","1","0","116","8","12","40.0",
